COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ȵ̥ a ³¹								
495-1	n ɔ ³¹								
838-1	pʰ a ³¹								
438-1	l u ⁵⁵								
334-1	l u ʔ ⁵⁵								
360-1	l ə ŋ ³¹								
394-1	ȵ i ³¹								
221-1	pʰ ʐ ⁵⁵ ⁵⁵								
202-1	k ɔ ³¹								
935-1	o w a								
93-1	s a ³¹								
7-1	p a n ³¹								
664-1	o ʔ ⁵⁵								
246-1	k a ʔ ⁵⁵								
547-1	s a ʔ ⁵⁵								
555-1	pʰ ʐ ⁵⁵ ⁵⁵								
464-1	ȵ au ³¹								
119-1	ȵ a ³¹								
835-1	n ɔ ⁵⁵								
79-1	t o ³¹								
693-1	ȵ̥ au ³¹								
477-1	n ɔ ³¹								
891-1	tʰ ɔ ³⁵								
528-1	o ɔ ⁵⁵								
797-1	k ʐ o ʔ ⁵⁵								
493-1	n ə ³¹								
217-1	pʰ a p ⁵⁵								
896-1	ʂ a a								
452-1	ȵ i ⁵⁵								
580-1	s a ³¹								
833-1	n ɔ ⁵⁵								
390-1	ȵ a ³¹								
696-1	n̥ a ³¹								
86-1	t u ³⁵								
384-1	ȵ a n								
61-1	t a n ³¹								
536-1	s a ʔ ⁵⁵								
731-1	ʂ a ³¹								
779-1	tʰ ɔ ⁵⁵								
589-1	tʰ ɔ ³¹								
658-1	o ʔ ⁵⁵								
456-1	ȵ i ⁵⁵								
183-1	k ʐ ŋ								
785-1	x a ³¹								
714-1	ʈʂ a ⁵⁵								
331-1	l u ⁵⁵								
930-1	ȵ̥ a ³¹ ⁵⁵								
161-1	k ɔ ³¹								
814-1	x ʐ ³¹								
179-1	k ʐ o								
194-1	pʰ a ⁵⁵ ⁵⁵								
727-1	ʂ a ŋ ³¹								
260-1	x ʐ a p ⁵⁵								
144-1	k ɔ m ⁵⁵								
53-1	p au m								
59-1	t a ʔ ⁵⁵								
506-1	pʰ i k ⁵⁵								
29-1	p i k ⁵⁵								
316-1	tʰ ɔ ⁵⁵								
389-1	ȵ i ⁵⁵								
118-1	ȵ au ³¹								
312-1	x au ³¹								
490-1	n i ³¹								
436-1	ȵ i ⁵⁵								
927-1	n̥ a n ³¹								
383-1	ȵ au ʔ ⁵⁵								
211-1	pʰ a m ⁵⁵								
873-1	s a ŋ ³¹								
877-1	s a m ³¹								
344-1	l ə m ⁵⁵								
666-1	n̥ a ³¹								
595-1	tʰ ɔ m								
660-1	o ʔ ⁵⁵								
642-1	x a ³¹								
257-1	x ʐ a ⁵⁵								
167-1	k ʐ o ³¹								
880-1	t a ⁵⁵ ⁵⁵								
484-1	n ɔ a								
574-1	s au ³¹								
718-1	ʂ a n ³¹								
811-1	x au ³¹								
458-1	tʰ ɔ ³⁵								
884-1	ʈʂ ɔ a								
205-1	k ʐ o ⁵⁵								
499-1	n ɔ ³¹								
706-1	ʂ a ⁵⁵								
920-1	ʈʂ w a ³¹								
36-1	p ʐ a a								
12-1	p i ⁵⁵								
350-1	l ə ŋ								
4-1	p ui n ³¹								
342-1	pʰ ʐ ʔ								
280-1	x ʐ a								
612-1	tʰ ɔ ³¹								
459-1	ȵ i k								
569-1	s a ³¹								
283-1	x ʐ o ⁵⁵								
148-1	k a ŋ ⁵⁵								
652-1	o ʔ ⁵⁵								
220-1	pʰ a ³¹								
562-1	s a n ³¹								
31-1	p ʐ o ⁵⁵								
386-1	ȵ au ³¹								
804-1	x ʐ o ⁵⁵								
369-1	l ə ŋ ³¹								
125-1	t u ³¹								
314-1	pʰ ʐ ³¹ ⁵⁵								
823-1	l ə ʔ ⁵⁵								
471-1	n ɔ m ⁵⁵								
40-1	p ʐ a ŋ								
393-1	ȵ au ³¹								
272-1	x ʐ a ŋ								
463-1	ȵ au ³¹								
1-1	p au ³¹								
214-1	pʰ a m ⁵⁵								
665-2		ŋ j ŋ ²¹							
495-2		n u ²¹							
838-2		j o ʔ ⁵⁵							
438-2		m j o ⁵⁵							
334-2		l o ʔ ⁵⁵							
360-2		l i̱ ŋ							
394-2		m j i ²¹							
221-2		j o ʔ ²¹							
202-2		k j i ²¹							
935-2		tʃʰ i ŋ ⁵¹							
93-2		t a ŋ							
7-2		p u̱ ʔ ²¹							
664-2		ŋ a ŋ ⁵¹							
246-2		k a k ⁵⁵							
547-2		s a k ⁵⁵							
555-2		j o̱ ʔ ⁵⁵							
464-2		m j i ²¹							
119-2		m j ŋ ⁵¹							
835-2		n a p ²¹							
79-2		t o̱ ʔ							
693-2		ŋ j i ²¹ ⁵¹							
477-2		n j o ⁵¹							
891-2		t o̱ ŋ ⁵¹							
528-2		j o ²¹							
797-2		k j i ²¹							
493-2		n a k ⁵⁵							
217-2		j o ʔ ²¹							
896-2		tʃʰ u t ⁵⁵							
452-2		m j o ²¹							
580-2		s a t ⁵⁵							
833-2		n o ʔ ²¹							
390-2		m j i ŋ ⁵¹							
696-2		ŋ j i ŋ ⁵¹							
86-2		t o̱ ŋ ⁵¹							
384-2		m j i ²¹							
61-2		t a ŋ ⁵¹							
536-2		s a t ⁵⁵							
731-2		s i ²¹							
779-2		t j i ²¹							
589-2		t a ŋ ⁵¹							
680-2		ŋ j ʔ ⁵⁵							
658-2		p j ʔ ²¹							
456-2		m j a ŋ ⁵¹							
183-2		k j i ²¹							
785-2		k o ʔ							
714-2		t j ʔ ²¹							
331-2		l o ²¹							
206-2		j o ʔ							
930-2		ŋ j p ²¹							
353-2		l i̱ ⁵¹ ⁵⁵							
161-2		k a ŋ ⁵¹							
814-2		k j i ²¹							
179-2		k j o ⁵¹							
194-2		j o ʔ ²¹							
727-2		ŋ a ŋ ⁵¹							
260-2		k j a p							
144-2		k a ŋ ⁵¹							
53-2		p u ʔ							
59-2		t o̱ ʔ ⁵⁵							
506-2		pʰ j k ⁵⁵							
29-2		p j ʔ ²¹							
316-2		t o̱ ʔ ⁵⁵							
389-2		m j a ŋ ⁵¹							
118-2		m j i ²¹							
312-2		k o ŋ							
490-2		n j ²¹							
436-2		m j a ²¹							
927-2		ŋ j ʔ ⁵⁵							
383-2		m j o ⁵¹							
211-2		j o ʔ ⁵⁵							
873-2		s a ŋ ⁵¹							
371-2		l o ŋ ⁵¹							
877-2		s a ŋ ⁵¹							
344-2		l o ʔ ⁵⁵							
666-2		ŋ j ŋ ²¹							
595-2		t a ŋ ²¹							
660-2		p j p ²¹							
