COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ ɔ ⁵⁵								
495-1	n u ʔ ³¹								
838-1	ŋ̊ i ʔ ⁵⁵								
438-1	ȵ ɔ ʔ ⁵⁵								
334-1	l ɔ ʔ ⁵⁵								
360-1	l ə ³¹								
394-1	n a ³¹								
221-1	ʑ i p ⁵⁵								
202-1	k u ³¹								
935-1	u ³¹								
93-1	ts ɔ ³¹								
7-1	p a n ³¹								
664-1	ɔ ŋ ⁵⁵								
246-1	x a ʔ ⁵⁵								
547-1	s ə ʔ ⁵⁵								
555-1	ʑ ə m ⁵⁵								
464-1	m u ³¹								
119-1	ȵ̥ i ⁵⁵								
835-1	ŋ̊ a p ⁵⁵								
79-1	o ³¹								
693-1	ŋ̊ u ⁵⁵								
477-1	n a p ³¹								
891-1	tʰ i ŋ ³¹								
528-1	ʐ o ⁵⁵								
797-1	x ʐ o ʔ ⁵⁵								
493-1	n ə ʔ ⁵⁵								
217-1	tɕʰ a p ⁵⁵								
896-1	tsʰ u ⁵⁵								
452-1	ȵ u ʔ ⁵⁵								
580-1	s u ⁵⁵								
833-1	ŋ̊ a ⁵⁵								
390-1	m w a ŋ ³¹								
696-1	ŋ̊ ui ⁵⁵								
86-1	t u ŋ ⁵⁵								
384-1	m a n ³⁵								
61-1	t a m ⁵⁵								
536-1	ʂ a ʔ ⁵⁵								
731-1	s oi ³¹								
779-1	ɔ ⁵⁵								
589-1	tʰ u ⁵⁵								
658-1	ɔ m ⁵⁵								
456-1	m tɕʰ a ŋ ³¹								
183-1	k ʐ au ³¹								
785-1	x ɔ ³¹								
714-1	u ʔ ⁵⁵								
331-1	l ɔ ³¹								
665-2		ŋ o ⁵¹							
495-2		n u ⁵⁵							
838-2		j i ʔ ²¹							
438-2		m j o ʔ ²¹							
334-2		l o ʔ ²¹							
360-2		l i ²¹							
394-2		n j i ²¹							
221-2		j i p ²¹							
202-2		k u ²¹							
935-2		a ²¹							
93-2		ʃ u ²¹							
7-2		p u n ²¹							
664-2		x a ŋ ⁵¹							
246-2		k o̱ ʔ ⁵⁵							
547-2		s i k ⁵⁵							
555-2		j o̱ m ⁵¹							
464-2		m u ²¹							
119-2		i ŋ ⁵⁵							
835-2		n a ʔ ⁵⁵							
79-2		t o ²¹							
693-2		ŋ u ⁵¹							
477-2		ŋ i ²¹							
891-2		tʰ o̱ ŋ ⁵⁵							
528-2		v o ⁵¹							
797-2		k j u ʔ ⁵⁵							
493-2		n i k ²¹							
217-2		j a p ⁵⁵							
896-2		tsʰ u t ⁵⁵							
452-2		m j u ʔ ²¹							
580-2		s u t ⁵⁵							
833-2		n u ⁵¹							
390-2		m a ŋ ²¹							
696-2		ŋ u ⁵¹							
86-2		t u ŋ ⁵¹							
384-2		m a n ⁵⁵							
61-2		tʰ a m ⁵¹							
536-2		ʃ ɔ ʔ ⁵⁵							
731-2		s i ²¹							
779-2		v o ⁵¹							
589-2		tʰ u ŋ ⁵¹							
680-2		ŋ ai ʔ ⁵⁵							
658-2		v u m ⁵¹							
456-2		m j a ŋ ²¹							
183-2		k j i ²¹							
785-2		kʰ o ²¹							
714-2		o̱ ²¹							
331-2		l o ²¹							
665-3			ŋ a ⁵⁵						
495-3			n au ³⁵						
838-3			j i ³¹						
438-3			m j a ʔ ³¹						
334-3			l a ʔ ³¹						
360-3			l a ³¹						
394-3			n j i ³¹						
221-3			j a ʔ ⁵⁵						
202-3			k au ³¹						
935-3			i ³¹						
93-3			t i ³¹						
7-3			p ɛ̃ ³¹						
664-3			v ɔ̃ ⁵⁵						
246-3			k a̱ ʔ ⁵⁵						
547-3			s a k ⁵⁵						
555-3			j i m ⁵⁵						
464-3			m au ³¹						
119-3			j a n ⁵⁵						
835-3			ŋ ɛ̱ ʔ ⁵⁵						
79-3			t ɔ ³¹						
693-3			ŋ au ⁵⁵						
477-3			n ɛ ʔ ⁵⁵						
891-3			t ə̱i ŋ ³⁵						
528-3			ɣ ɔ ⁵⁵						
797-3			k j au ʔ ⁵⁵						
493-3			n a k ³¹						
217-3			j ɛ ʔ ³¹						
896-3			t au ʔ ⁵⁵						
452-3			m j au ʔ ³¹						
580-3			s a ʔ ⁵⁵						
833-3			n a̱ ⁵⁵						
390-3			m ɔ̃ ³¹						
696-3			ŋ i ⁵⁵						
86-3			t au ŋ ⁵⁵						
384-3			m ɛ̃ ³⁵						
61-3			t ɛ̃ ⁵⁵						
536-3			ʃ a ⁵⁵						
779-3			a ⁵⁵						
589-3			tʰ ɔ̃ ⁵⁵						
680-3			ŋ a̱ ʔ ⁵⁵						
456-3			m j ɔ̃ ³¹						
183-3			k ɣ i ³¹						
785-3			kʰ a ³¹						
331-3			l a ³¹						
665-4				ŋ ɔː ³¹					
495-4				n a̱ ⁵⁵					
838-4				j ɔː ŋ ³¹					
438-4				m l ɔ k ³¹					
334-4				l ɔ ʔ ³¹					
360-4				l ei ³¹					
394-4				m j əː ³³					
221-4				j a̱ p ³¹					
202-4				k a ³³					
935-4				ɔ ⁵⁵					
93-4				tsʰ ei ⁵⁵					
7-4				p a n ³¹					
664-4				w a ŋ ³¹					
246-4				k j a ʔ ³¹					
547-4				s əː k ⁵⁵					
555-4				j a̱ m ³¹					
464-4				m a ⁵⁵					
119-4				j i ŋ ⁵⁵					
835-4				n a p ⁵⁵					
79-4				t a̱ ³³					
693-4				ŋ a̱ ³³					
477-4				ŋ j a k ³¹					
891-4				tʰ e̱ːi ŋ ⁵⁵					
528-4				j ə̆ ³¹					
797-4				k j uː k ⁵⁵					
493-4				n əː k ³¹					
217-4				j a p ³¹					
896-4				ts ɛ̱ t ⁵⁵					
452-4				l uː k ³¹					
580-4				ŋ ɔ k ⁵⁵					
833-4				n a̱ ³¹					
390-4				m a ŋ ⁵⁵					
696-4				ŋ a̱ ³¹					
86-4				t uː ŋ ³¹					
384-4				m a n ⁵⁵					
61-4				ts a m ³¹					
536-4				s ɔ n ⁵⁵					
731-4				s ei ⁵⁵					
779-4				ŋ ɔː ³¹					
589-4				kʰ uː ³¹					
680-4				ŋ a̱ ʔ ⁵⁵					
658-4				w uː m ³¹					
456-4				m j a ŋ ³³					
183-4				k j aːu ⁵⁵					
785-4				kʰ ɔː ⁵⁵					
714-4				k ei ³³					
331-4				l ɔː ⁵⁵					
665-5					ŋ ɔ ³¹				
495-5					n a ⁵⁵				
838-5					m a k ³¹				
438-5					m j ɔ ʔ ³¹				
334-5					l ɔ ʔ ³¹				
360-5					l a ³⁵				
394-5					ŋ i ³⁵				
221-5					j a p ⁵⁵				
202-5					k a k ³⁵				
935-5					ai ³⁵				
93-5					tsʰ ɔ ³⁵				
7-5					p a ŋ ³⁵				
664-5					v ɔ̃ ³¹				
246-5					k u̱i ʔ ³¹				
547-5					s a k ⁵⁵				
555-5					j a m ³¹				
464-5					m u k ³⁵				
119-5					tsʰ a ŋ ³¹				
835-5					ŋ ɛ̱ ʔ ⁵⁵				
79-5					t u ³⁵				
693-5					ŋ u k ³¹				
477-5					n ɛ ʔ ³¹				
891-5					t a ŋ ⁵⁵				
528-5					ɣ u ³¹				
797-5					k j au k ⁵⁵				
493-5					n a k ³¹				
217-5					j ɛ ʔ ³¹				
896-5					t au p ⁵⁵				
452-5					m j au k ³¹				
580-5					s a k ⁵⁵				
833-5					n ɔ̱ ³¹				
390-5					m ɔ̃ ³⁵				
696-5					ŋ a ³¹				
86-5					t au ŋ ³¹				
384-5					m ɛ̃ ŋ ⁵⁵				
61-5					t ɛ̃ ³¹				
536-5					ʃ ɔ ʔ ⁵⁵				
731-5					s i ³⁵				
779-5					ɔ̱ ³¹				
589-5					tʰ ɔ̃ ³¹				
680-5					ŋ a̱ ʔ ⁵⁵				
658-5					v ɛ̃ ³¹				
456-5					m j ɔ̃ ³⁵				
785-5					kʰ ɔ ³⁵				
714-5					au ³¹				
331-5					l ɔ ³⁵				
665-6						ŋ a			
495-6						n ui̯			
838-6						ɲʰ a k			
438-6						m j a k			
334-6						l a k			
360-6						l i j ⁵			
394-6						n i ⁵			
221-6						j a p			
202-6						k u ⁵			
935-6						u ⁵			
93-6						tʃʰ a ⁵			
7-6						p a ɲ ⁵			
664-6						w a ŋ			
246-6						kʰ a k			
547-6						r a k			
555-6						w a m			
464-6						m ui̯ ⁵			
119-6						c a ɲ			
835-6						ɲʰ a t			
79-6						t u ⁵			
693-6						ŋ u			
477-6						n a p			
891-6						t a ɲ ʔ			
528-6						r ʊ			
797-6						kʰ r ɔ k			
493-6						n a k			
217-6						j a t			
896-6						tʃʰ u t			
452-6						nʰ j ɔ k			
580-6						s u t			
833-6						n a			
390-6						m a ŋ ⁵			
696-6						ŋ u j			
86-6						t u ɲ			
731-6						r i ⁵			
680-6						n a k			
658-6						w a m			
183-6						k r i ⁵			
714-6						kʰ u j			
665-7							ŋ a ¹		
495-7							n u ³		
838-7							r a ⁴		
438-7							j a k ⁴		
334-7							l a k ⁴		
360-7							l i ²		
394-7							m i ²		
221-7							w i p ⁴		
202-7							g u ²		
935-7							u ²		
93-7							dz a ²		
7-7							b a n ²		
664-7							w a ŋ ¹		
246-7							ˀk a k ⁴		
547-7							s i k ⁴		
555-7							w i m ¹		
464-7							m u ²		
119-7							r i ¹		
835-7							ˀŋ a p ⁴		
79-7							d o ²		
693-7							ŋ u ¹		
477-7							n a ⁴		
891-7							t i ŋ ³		
528-7							r o ¹		
797-7							ˀk r u k ⁴		
493-7							n i k ⁴		
217-7							j a p ⁴		
896-7							ˀts u t ⁴		
452-7							m j u k ⁴		
580-7							s a k ⁴		
833-7							ˀŋ a ¹		
390-7							m a ŋ ²		
696-7							ŋ ui ¹		
86-7							d u ŋ ¹		
384-7							m a n ³		
61-7							tʃ a m ¹		
536-7							s a k ⁴		
731-7							ʃ i ²		
779-7							a ¹		
589-7							t a ŋ ¹		
680-7							ŋ a k ⁴		
658-7							w a m ¹		
456-7							m j a ŋ ²		
183-7							g r e ²		
785-7							k a ²		
714-7							i ¹		
331-7							l a ²		
665-8								ŋ ɑ ²²	
495-8								n̥ o ⁵³	
838-8								t j ɛ ʔ ⁴	
438-8								m ȵ ɛ ʔ ⁴	
334-8								l ɛ ʔ ⁴	
360-8								l e ⁵⁵	
394-8								n e ⁵⁵	
221-8								j o ʔ ⁴	
202-8								pʰ o ⁵⁵	
935-8								ɑ ⁵⁵	
93-8								s ɑ̃u ⁵⁵	
7-8								pʰ ɑ̃ ⁵⁵	
664-8								w ɑ ²²	
246-8								ɑ ʔ ⁴	
547-8								t θ ɛ ʔ ⁴	
555-8								j o ²²	
464-8								m o ⁵⁵	
119-8								l j o ²²	
835-8								t ɑ ʔ ⁴	
79-8								t w ɑ ⁵⁵	
693-8								n̥ o ²²	
477-8								n̥ e ⁵⁵	
891-8								t j ²²	
528-8								w ɑ ²²	
797-8								j o ʔ ⁴	
493-8								n ɛ ʔ ⁴	
217-8								t j ɛ ʔ ⁴	
896-8								sʰ o ʔ ⁴	
452-8								m ȵ ɑu ʔ ⁴	
580-8								t θ ɑ ʔ ⁴	
833-8								n̥ ɑ ⁵⁵	
