COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a n a a									
1285-1	n w a i									
1303-1	m a ɔ m a									
2197-1	z a a l a									
2828-1	z i n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	i n ɛ									
1789-1	k a l a ɔ ŋ g a									
3207-1	β ʊ l a									
3519-1	t u m a									
3686-1	a i m b a									
4249-1	k u m i									
4451-1	β i s i									
448-1	i i a a n i									
630-1	β ɛ ɛ l ɛ									
814-1	g ɔ ɛ m b ɛ									
1216-1	g a β a a									
1228-1	z w a i									
1418-1	z i m a a a									
1475-1	g i a									
2026-1	t w ɛ i									
2775-1	β u u m b a									
3397-1	β ɔ l a									
3826-1	ɔ k a									
4003-1	i i i β a									
4040-1	g ɛ n i									
4373-1	l i m i									
4384-1	i n ɔ									
84-1	g u l u									
116-1	i i k a									
181-1	g ɔ ɔ ŋ g ɔ									
419-1	l ɔ g a									
587-1	ɔ ɔ ŋ g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	β i n a									
2689-2		ɲ a m a								
893-2		a a n i a								
1303-2		o k o m a								
2197-2		s v a l a								
2828-2		s i n a								
3572-2		s o n i								
1095-2		l i m a								
1789-2		k a l a a ŋ g a								
3207-2		v u l a								
3519-2		t u m a								
3686-2		ɲ i m b a								
4249-2		k u m i								
4451-2		v i s a								
448-2		m u a a n i								
630-2		v e e l e								
814-2		s o o m b a								
1216-2		g a v i g a								
1228-2		w a a								
1418-2		s i m a a a								
1475-2		w a								
2026-2		t w a								
3826-2		s o k a								
4003-2		v i v a								
4373-2		l i m e								
4384-2		o l o								
84-2		w u g u l u								
116-2		v i k a								
419-2		l o g a								
587-2		o o ŋ g o								
660-2		l e l a								
848-2		k a l a								
1122-2		w i m a								
2689-3			β a m a							
893-3			a a n a							
1285-3			n w a a							
1303-3			ŋ g o m a							
2197-3			s a l a							
2828-3			s i n a							
3572-3			x o n i							
1095-3			l i m a							
1755-3			a n i							
1789-3			x a l a a ŋ g a							
3207-3			β u l a							
3519-3			tʰ u m a							
3686-3			tʰ m b a							
4249-3			k u m i							
4451-3			β i s i							
448-3			l o a s i							
630-3			β e e l e							
1216-3			k o a							
1228-3			b w a							
1418-3			s i m a a							
1475-3			k w a							
3397-3			β o l a							
4003-3			i i a							
4040-3			k e n i							
4373-3			l i m i							
4384-3			i l o							
181-3			k o a ŋ g o							
