COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
1257		v ɤ ⁴²	v ɤ ⁴²						
1039		s ɿ ⁵⁵	s ɿ ⁵⁵	s ɿ ⁵⁵		s ɤ ⁵⁵			s ɿ ⁵⁵
6048					t ɔ ⁵⁵				t ɔ ⁵⁵
1277			x ɯ̃ ³³					x ɯ ³³	x ɯ ³⁵
532		m i ⁴²	m i ⁴²	m i ³³		m i ⁴⁴			
6752			ɛ ⁵⁵	ɛ ⁵⁵					
4789	ɕ i ³³			ʐ ɯ ³³	ɖʐ ʅ ³³	ɕ i ³³		ɕ i ³³	ɕ i ³³
4026	z ɿ ⁴²			ʐ ɛ ³¹	ʐ a ⁴²	s ɿ ³¹		tɕʰ i ⁴²	
4069						p ɔ ³⁵			p ɔ ³⁵
5287				ɕ ĩ ⁴⁴		ɕ i ³⁵			
6916				l a ⁴²					l a ⁴²
5952					m æ̃ ³¹	m i ⁴⁴	m i ³³		m i ⁴⁴
3407	z ɛ ³³		s ɛ̃ ²¹	ʐ ɯ ³³					
5286		kʰ w ã ⁵⁵	kʰ w ã ⁵⁵	kʰ w ã ⁴⁴		kʰ w a ³⁵		kʰ w a ⁴⁴	
6579					tɕʰ o ³¹		tɕ ɛ ²¹	tsʰ u ³¹	
663						j i ³¹			j i ³¹
272	p ɯ ³¹	p ɯ ²¹	p o ²¹			p ɯ ³¹	p ou ²¹	p ɯ ³¹	p ɯ ³¹
2876	ɯ ³¹			ɯ ⁴²		ɯ ³¹			
4066		m j ɛ ⁴²	m i ⁴²	m i ³³			m i ⁴²		
1709		p ɔu ³³	p o ³³						
3097		j ɔ ³⁵				j ɔ ³⁵	j ɔ ³⁵		j ɔ ³⁵
5226	p e ²¹							p e ²¹	
971						m i ⁵⁵	m i ⁵⁵	m i ⁵⁵	m i ⁵⁵
1365			v ɤ ⁵⁵		v ɤ ⁵⁵	ŋ ɤ ³⁵	ɛ ³⁵		v ɤ ³⁵
1337		x w a ⁵⁵	x w a ⁵⁵	x w a ⁵⁵					
664						m u ³³			m u ³³
1362	x u ⁴⁴	x ɯ ⁴⁴	x ɯ ⁴⁴	x u ³³		x ɯ ⁴⁴	x ɯ ⁴⁴		x ɯ ⁴⁴
4163				p ɛ ³¹	p ã ³¹				
139			s ẽ ³³	s w ẽ ³³					
6896	ʈʂʰ ɛ ⁵⁵		tsʰ ɛ̃ ⁵⁵	tsʰ ɯ̃ ⁵⁵	tɕ i ³³				
2574	p ɔ ⁴²			p o ³³				p o ⁴²	
1742	ɲ ɤ ³³					n ɤ ³³		ɲ ɤ ³³	ɲ ɤ ³³
6130	kʲ i ³¹	tsʰ ɿ ³³			tɕ a ⁴²			tɕ i ³¹	
967	n i ⁵⁵	n i ³⁵	n i ⁵⁵	n i ⁵⁵					
958			m a ²¹	m a ²¹					
703				ts e ⁴⁴	ts ɛ ⁴⁴				
5786	ʂ e ⁴⁴			s e ³³		s e ⁴⁴		s ɛ ⁴⁴	
3357		f ɤ ³³	f ɤ ³³						
1843		ɣ ɔu ⁴²	ɣ ou ⁴²			ɔ ⁴²			ɔ ⁴²
5542		s e ⁵⁵		ɕ i ⁵⁵	s ao ⁵⁵	s ɿ ³⁵	s ɤ ³⁵	s u ⁵⁵	ɕ i ³⁵
4560				k u ⁴⁴			kʲ ɛ ³⁵	k ɛ ³³	
1163	pʰ j ɔ ³¹					pʰ j ɔ ³¹	pʰ j ɔ ³¹	pʰ j ɔ ³¹	pʰ j ɔ ³¹
1443		t a ⁴²	t a ⁴²	t a ⁴²	t a ⁴⁴		t a ⁴²		
4030		f ɤ ⁴⁴	f ɤ ⁴⁴		f ʊ ⁵⁵	f ɤ ⁴⁴	f ɤ ⁴⁴		f ɤ ⁴⁴
296	p ɯ ⁴⁴	p ɯ ⁴⁴		p i ³³	p ɯ ⁵⁵				p ɯ ⁴⁴
5485	p ɛ ⁴⁴	p ɛ ⁴²		p a ⁴⁴			p ɛ ⁴²	p ɛ ⁴⁴	
6173							t ou ³¹		t ɯ ³¹
349	l ɔ ⁵⁵		l ou ⁵⁵	l o ⁵⁵					
1582		l i ⁵⁵		l ɛ ³¹		l i ³¹			
3042	t ɯ ²¹	t ɯ ⁵⁵	t ɯ ²¹	t j ɯ ²¹		t ɯ ²¹	t ou ³¹		
6471	ts ɿ ⁴⁴				ʈʂ æ ⁵⁵				
983	tɕ i ⁴²		tɕ i ⁴²	tɕ i ³¹			tɕ i ⁴²	k ɛ ³¹	kʲ i ⁴²
2249		m ɯ ³¹	m ɯ ²¹		m ɯ̃ ³¹		m u ³¹	m ɯ ³¹	
5946	ŋ ɤ ⁴⁴							ŋ ɤ ⁴⁴	
5150		p ɛ ⁴²						p ɛ ⁴²	
4893	p ɔ ³⁵	p ɔu ⁵⁵				p ɔ ³⁵			p ɔ ³⁵
6993						s e ⁴⁴		ɕ ɛ ⁴⁴	s e ⁴⁴
299			tɕ i ³¹	tɕ i ³¹					tɕʰ ɯ ⁵⁵
1336		m i ⁵⁵	m i ⁵⁵	m i ⁵⁵		m i ³¹	m i ³¹		
2341	m ɛ ³⁵	m ɛ ³⁵	m ɛ ⁵⁵	m ɛ ⁵⁵		m ɛ ³⁵	m ɛ ³⁵		
947	j ɛ ⁴²	j ɛ̃ ⁴²	j ɛ ⁴²			j ɛ ³²		j ɛ ⁴²	j ɛ ⁴²
54	t ɔ ⁴⁴				t o ⁵⁵	t o ⁴⁴			t o ³³
483	ʈʂ ɔ ³¹	ts ɔ̃u ²¹	ts õu ²¹	ts ɔ ³³		ts o ²¹			ts o ²¹
774					t ɤ ³³		tʰ ɛ̃ ⁵⁵		
5590	tʰ i ⁵⁵			t i ⁵⁵	tʰ ã ⁵⁵	tʰ i ⁵⁵	tʰ e ⁵⁵	tʰ i ⁵⁵	
5889						ɕ u ³³	s u ³³	s w ɔ ³³	s ɔ ³³
649		p j ɛ ⁴⁴	p j ɛ ⁴⁴						
4892	j i ³⁵	j ĩ ²¹							
2576		sʰ w e ⁴⁴	s w e ⁴⁴				s w a ⁴⁴		s w e ⁴⁴
5591	k a ³⁵							k ɛ ³⁵	k a ³⁵
4874	p e ⁴⁴							p e ⁴⁴	p e ⁴⁴
5077					t ɯ ⁵⁵			t ɯ ³³	
5831						m i ⁴⁴			m i ⁴⁴
3474			ts ou ⁴²				ts ou ⁴²		
6859	s ɿ ⁵⁵		s ɿ ⁵⁵	s ɿ ⁵⁵		s ɿ ³⁵		ɕ i ⁵⁵	s ɿ ³⁵
2194	kʰ w a ³³	kʰ w ã ³³	kʰ w ã ³³	kʰ w ã ⁴⁴	qʰ ɔ̃ ³³		kʰ w ã ³³	kʰ w a ³³	
3413					m i ³¹			m i ³³	
1988	f ɛ ⁴⁴	f ɤ ²¹	f ɛ ⁴⁴	f e ⁴⁴				f ɛ ⁴⁴	
141						t e ³³			t ɛ ³³
6803					a ⁵⁵	a ⁵⁵	a ⁵⁵	a ⁵⁵	a ⁵⁵
4976				t e ⁴⁴				d ɛ ³³	
218					ts ẽ ⁵⁵			tɕʰ i ³¹	ts ɿ ⁴⁴
138	l a ⁴⁴	l a ⁴⁴					l a ⁴⁴		
660	t w a ³¹	t w a ³¹	t w a ³¹				t w e ³³	t w a ³¹	
2757							tsʰ u ⁵⁵	ts u ⁵⁵	
3098			j a ⁵⁵					j ao ²¹	
6616	ɔ ²¹					ɔ ²¹			ɔ ²¹
1583			kʰ w ɛ ⁵⁵					kʰ w ɛ ⁵⁵	
1315	y ⁵⁵							y ⁵⁵	
5289						pʰ i ⁴²	pʰ i ⁵⁵		pʰ i ⁵⁵
1462	x ɯ ⁴⁴					x ɯ ⁴⁴	x ou ⁴⁴	x ɯ ⁴⁴	x ɯ ⁴⁴
3291		sʰ ɯ ⁴⁴	s ɯ ⁴⁴	s ɯ ⁴⁴		z ɯ ⁴⁴			s ɯ ⁴⁴
6171			l ɯ ³¹			l ɯ ³¹			
2198						tʰ j ɔ ³³			tɕʰ o ³³
4943					ʈ õ ²¹		ts ɔ ⁴²		
5814	ɣ ɯ ⁴²	ɣ ɯ ⁴²	ɣ ɯ ⁴²	ɣ ɯ ⁴²	ɣ ɯ ⁴⁴				
5901				ɕ õ ⁵⁵	ɕ õ ⁵⁵				
6089			m a ⁵⁵	m a ⁵⁵					
12	ʈʂʰ ɤ ³¹	tɕʰ w ɔ ³¹	tsʰ ɤ ³¹	tsʰ ɛ ⁴²		tsʰ ɤ ³¹			tsʰ ɤ ³¹
1041		j ɤ ³³	j ɤ̃ ³³			n ɤ ³³			
4788	v ɤ ³³	v ɤ ³³	v ɤ ³³			v ɤ ³³		v ɤ ³³	v ɤ ³³
6131		t e ⁴²	t a ⁴²	t a ⁴²					
2271						tɕ i ³²			tɕ i ³²
2485			a ³¹			a ³¹	a ³¹		a ³¹
441			s ɤ̃ ³¹	s ɔ̃ ⁴²	s õ ³¹				
3304				l ã ³¹					l a ³¹
295	s e ⁴⁴					s e ⁴²			
1710					m ɔ ³³	m ɯ ³³	m e ³³		m ɔ ³³
5777			t w ẽ ⁵⁵	t w ẽ ⁴⁴					
2573	ʈʂ ɔ ⁴²							ts o ⁴²	
6486	j ɔ ⁴²	j ɔ̃u ⁴²	j õ ⁴²	j ɔ̃ ⁴²			j ɛ̃ ²¹	j ɔ ⁴²	
417	p ɯ ⁴⁴	p ɯ ⁵⁵	p o ⁵⁵	p u ⁵⁵		p o ⁵⁵	p ɔ ³⁵	p u ⁵⁵	
2563	ʈʂ ɯ ⁴²		ts ɯ ⁴²	ts ɯ̃ ⁴²	tʰ ɯ̃ ⁴²			tsʰ ai ³¹	
3625	u ⁵⁵					o ⁵⁵	u ⁵⁵	w u ⁵⁵	o ⁵⁵
6770	n a ⁴⁴		n a ⁴⁴			n a ⁴⁴		n a ⁴⁴	
534					d ɯ̃ ³¹	t ɔ ³⁵		d ɔ ³¹	t ɔ ³¹
6320	pʰ i ³¹	pʰ ĩ ³¹		pʰ ĩ ³¹		pʰ i ³¹		pʰ i ³¹	pʰ i ³¹
5488		ts ɿ ³³	ts ɿ ³³			ts ɿ ³³		ts ɿ ³³	
4604		k ɯ ³¹	k u ³¹			k ɯ ³¹			k ɯ ³¹
4160		l ɯ ²¹	l ɛ ²¹			l ɯ ³¹			
1363	u ⁵⁵			u ⁵⁵					
2951						ɕ i ³⁵			ɕ i ³⁵
840		tsʰ ɛ̃ ⁴⁴	tsʰ ɛ̃ ⁴⁴						
1287						x ɛ ⁵⁵			x ɛ ⁵⁵
214	x ɔ ³¹		x u ³¹	x ɔ ³³	x ẽ ⁵⁵	x a ⁴²	x w e ³³		
1334	x ɔ ³⁵				x ɔ ⁵⁵	x ɔ ³⁵	x ɔ ³⁵	x ɔ ³⁵	x ɔ ³⁵
350	j a ⁴⁴			j a ⁴⁴					
273		ts ɿ ³³	ts ɿ ³³	ts ɿ ⁴⁴	tɕ i ³¹		ts ɿ ³³		
