COGID	Albanian	English	French	German	Latin
560-1	l ʃ ə				
438-1	a r				
1222-1	a r				
353-1	d p ə k				
201-1	d a m				
20-1	d a ə				
503-1	d r ə				
957-1	p e				
728-1	l a m				
244-1	n a m				
289-1	m ʃ ə				
911-1	l a ə				
724-1	p r t				
145-1	p ʃ				
992-1	e				
1181-1	d p ə t				
741-1	d ʃ ə				
1150-1	s ʃ r p u				
585-1	e				
814-1	ɟ a r ʃ t				
916-1	e				
1079-1	p i t				
630-1	a m m k				
343-1	l p ə				
8-1	ɟ a r p r				
385-1	e e				
683-1	d a m k t				
650-1	d p ə ʃ r				
612-1	d i m				
871-1	j r m t k				
667-1	l i r				
527-1	s e p s				
499-1	m				
1029-1	l				
560-2		k r m ɪi			
438-2		ə r r r			
1222-2		j r i r			
353-2		f r s ɪi ɪi			
201-2		f au n ɪi			
20-2		f ɪ r r ɪi r			
503-2		f r ɛ l ɪi			
957-2		j ɪ n			
728-2		l a n r ɪi			
244-2		m a n n			
289-2		m r ɛ s d			
911-2		w ə r l			
724-2		ð r r			
145-2		p w ɛ r			
992-2		w i			
706-2		ə r r			
106-2		f au d ə r			
741-2		k ɛ t			
421-2		b l ɛ r m			
227-2		f r o s			
920-2		h ɪ r n			
1083-2		h au r n ɪi			
1066-2		j ɪ r			
1125-2		k r n			
1197-2		m au ə r			
473-2		m ɪ r r ɪi			
284-2		m a s			
661-2		j u n r			
701-2		r ɪ r d ɪi			
315-2		r ə r r n θ ɪi			
1169-2		s a l p			
1150-2		j k au r ɪi ɪi			
982-2		j s ɪ s ɪi			
987-2		s n ɪ r			
1055-2		s r r r ɪi n			
1130-2		s ʊ ʃ r			
433-2		s au n ɪi			
625-2		h au n r			
1186-2		p a n r			
416-2		j w r r			
1233-2		w ɪ n θ ɪi			
884-2		w ə r m ɪi			
1016-2		k r			
952-2		g i			
78-2		b l a s			
514-2		b r r n ɪi			
116-2		o s r			
188-2		f r r ɪi r n			
745-2		f ɪ ð ə r			
1100-2		f r r t			
47-2		k r			
111-2		p r i			
1061-2		k r			
24-2		m u d			
232-2		m u n r			
671-2		j r r t			
385-2		s i			
945-2		s a n n			
644-2		p r i			
1041-2		s t ɪ r ɪi			
492-2		θ au n r ɪi			
1209-2		k ɛ t			
527-2		w a ə r			
14-2		g o l v ɪi			
1-2		o l			
915-2		j n d			
271-2		j s			
560-3			v t ɛ		
438-3			ɛ r		
1222-3			ɔ v ɛ r		
353-3			p t ɛ s		
201-3			p ɑ̃		
20-3			ʃ r		
503-3			p l		
957-3			w		
728-3			l ɑ̃		
244-3			m ɑ̃ v		
289-3			n t		
911-3			r o d		
724-3			t r w		
145-3			d t		
992-3			b		
1181-3			g t		
706-3			o ø		
106-3			p ɔ t t r		
741-3			p t		
421-3			f l ɔ̃ t r		
