COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
2249			z o g j a k b o		z o k j a kʰ e n	z o g j a k b o	z o k j a kʰ e n	z o g j a k b o
1008		a b i tʃ a ŋ				a b i tʃ a ŋ	a i p tʃ a ŋ	
2302	ʃ o ŋ l a k a	ʃ o ŋ l a i			ʃ o ŋ l a kʰ a n		ʃ o ŋ l a kʰ a n	ʃ o ŋ l a l a n
210	g o i	g o i	g o i	g o i	g o i			g o i
2404	pʰ a l o		pʰ a w o					pʰ a l o
2588		kʰ u	kʰ u		kʰ u	kʰ u	kʰ u	
257	tʰ a ŋ a	tʰ a ŋ a	tʰ a ŋ a	pʰ a ŋ a	tʰ a ŋ a	tʰ a ŋ a		tʰ a ŋ a
1918					o tʰ u g a ŋ p u	u t u g a m p u	u t g a m b u	
2608					j a m l o k		j a m l o k	
2414		l u s p u z i g tʃ u		l u ʃ p u z i g tʃʰ a m	l u s p u z i g p o		l u s p u z i kʰ e n	
1880					j o ŋ j o ŋ		j o ŋ j o ŋ	
1612		dʒ i p a n			dʒ i d p æ n			dʒ i p a n
562	s a ŋ k a			s a ŋ k a				
1226	l a ɲ i ŋ		l a ɲ i	l a n i ŋ	l a ɲ i	l a ŋ i	l a ɲ i	l a ɲ i
1770		tʃ j a ŋ			o tʃ a n			
2296				tʰ o g tʃʰ a m				t o k p a n
493			ɾ i d o n	ɾ i d o n	ɾ i d o n	ɾ i d o n	ɾ i d o n	
1734	z i m u		z i m b u	z i m u	z e m b u	z i m b u	z i m b u	
89	k a ŋ p o	g a ŋ p u	g a ŋ p u	g a ŋ p u	g a ŋ p u	k a ŋ p u	g a ŋ p u	
873		pʰ u ŋ b e	pʰ u ŋ b e		pʰ u ŋ b e	pʰ u ŋ b e	pʰ u ŋ b e	
66			z a m i ŋ			z a m i n		z a m i n z i m b u
388	g u w a			g o w a				
2672	w a g a	b ă g a	b ă g a	w a g a	w a g a	w a g a	w a g a	
202					t o ŋ t e			t o ŋ t e
373	k o b i	k o b i				k o b i		
2266		g ɾ a n tʃ u			g ɾ a kʰ e n	g r a k a n	g ɾ a kʰ e n	
2681	b a l a ŋ b u	b a l u ŋ b o	b a l u ŋ b o		b a l a ŋ b u	b a l u ŋ b o	b a l a ŋ b u	b a l a ŋ b u
2329	tʃ o k l a					tʃ o k a n	tʃ o kʰ e n	
1654	l i	l i	l i	l i	l i	l i		l i
2158					p i r kʰ ə n		p i r kʰ ə n	
2034						g o k u	g o kʰ e n	
319	pʰ o t k a	pʰ o t p a n			pʰ o t k a n	pʰ o t k a n	pʰ u t kʰ e n	p o t p a n
329		tʃ a n tʃ a ɾ a n	tʃ a n tʃ a ɾ a n		tʃ a n tʃ a ɾ a n	tʃ a n tʃ a ɾ a n	tʃ a n tʃ a ɾ a n	
863	s e		s e	s e				
2339			ŋ a ŋ ɲ i r p o		ɲ u r kʰ ə n			ɲ i r p a n
19	n a i b a	n a ʃ i b a k		n a i b a	n a ʃ i	n a ʃ i	n a ʃ t i b a	n a ʃ i b a k
2163	ŋ a t̪ k a		ŋ a t a ɲ dʒ i			ŋ a t̪ a k a n		ŋ a t p a n
971	tʃ i t p u	tʃʰ i p u	tʃʰ i p u	tʃ i t p u	tʃ i t p u	tʃ i t p u		tʃʰ i p u
2784			z i	z i		z i		z i
1878	j u ŋ m u	j u ŋ b u	j u ŋ b u			j u ŋ b u		j u ŋ b u
2492		ʃ e ʃ u				ʃ e ʃ u		
310	a l e j a k			a l a k				a l j a k
509			t̪ i n u ŋ a m tʰ u r	ŋ a m tʰ u r				
239		kʰ a w a n	kʰ a w a n			kʰ a w a n		
774		tʃ i n a ŋ	tʃ i n a ŋ			tʃ i n a ŋ		tʃ i n a ŋ
1169	o t p a			o t p a				
1486	p a s a g o ŋ			p a s a g o m				
1760	s a h̥	s a h̥	s a	s a				
2350					tʃ o kʰ ə n			tʃʰ o l a n
311		d a			d a	d a	d a	
1264				z o ɾ				z o ɾ
962	s e m				s e m			s e m
2166					g r a n dʒ a m e kʰ e n		g r a ŋ g i m e kʰ e n	
2081		d̪ o ŋ b a	d̪ o ŋ b a			d̪ o ŋ k a n	d o ŋ kʰ e n	
1263		ɾ j u	ɾ j u			ɾ j u	ɾ j u	
2445		t̪ a m tʃ u				t̪ a m tʃ u		
2624	d̪ u n ts i				d u n tʃ i			
1584	g a ɾ i l a m	g a ɾ i l a m			g a ɾ i l a m	g a ɾ i l a m		g a ɾ i l a m
2452	n u ŋ k a l a	n o ŋ kʰ u			n o ŋ kʰ ə n	n o ŋ kʰ u	n o ŋ tʃ u kʰ ə n	
1521		tʃʰ u	tʃʰ u		tʃʰ u	tʃʰ u	tʃʰ u	tʃʰ u
1133		j u		j u	j u	j u	j u	
764	g a ɾ a ŋ b r u m a	g a ɾ a ŋ b r u m a	g a ɾ a ŋ b r u m a	g ă z a ŋ b r u m a		g a ɾ a ŋ b r u m a		g a ɾ a ŋ b r u m a
2072		g e p ʃ u			g e p k a n	g e p k a n	g e p kʰ ə n	g e p a n
2605	ɾ e d̪ a ŋ			pʰ a i ɾ e d̪ a ŋ				
1852		kʰ o m tʰ e ɾ a ŋ	kʰ o m d̪ a ɾ a ŋ		kʰ o m d̪ a ɾ a ŋ	kʰ o m tʰ e ɾ a ŋ	kʰ o m d i r a ŋ	
1611	ɕ i t k a l a					ʃ i k a n	z i t kʰ e n	
1575	ɾ i j a m a			ɾ i j a m a				
1636	b e tʃ a	b e tʃ a	b e tʃ a	b e tʃ a		b e tʃ a	b e tʃ a	p e tʃ a
2312		g o tʃ u				g o tʃ u		
2063		tʰ a kʰ u				tʰ a kʰ u		
1680	kʰ a n d i	kʰ a n d a		kʰ a n t i	kʰ a n d a	kʰ a n d a	kʰ a n tʰ u r	kʰ a n d a
1014			g e s t̪ u j a			g e s t̪ u r		
2285		dʒ a ŋ k u	dʒ a ŋ p o		dʒ a ŋ p o	tʃ a ŋ k u		dʒ a ŋ p a n
153	l i ʃ i ŋ			l i ʃ i ŋ				
2201		n a ʃ u				n a ʃ u		
872	pʰ u ŋ k a			pʰ u ŋ k a				
1594		pʰ e i tʰ u ŋ			pʰ e i tʰ u ŋ	pʰ e tʰ u ŋ	pʰ e i tʰ u ŋ	pʰ e tʰ u ŋ
1807			tʃʰ i n l a			tʃʰ i n l a		
582	p u r tʃ i			p u r tʃ i				
1060	kʰ o l o k p a		k o l o k p a			k o l o k p a		
1627	d̪ u l u l a			d o l u				
1577			ɾ i				ɾ i	
2607		tʃ i k p a	tʃ i k p a			tʃ i k p a		tʃ i k p a
580	b l a s a							b l a s a
2645	h ă ŋ		h ă ŋ		h ă ŋ			h ă ŋ
276		dʒ a tʃ i				dʒ a ɲ tʃ i		
965				tʰ i ŋ l o m			tʰ i ŋ l o m	
1415	ɾ a	ɾ a	ɾ a		ɾ a	ɾ a	ɾ a	ɾ a
2320	tʃ o ŋ o		tʃ o ŋ a l o		tʃ o ŋ a l o		tʃ o ŋ a kʰ e n	
2407					pʰ a kʰ e n		pʰ a kʰ e n	
563		s a ŋ b u	s a ŋ b o l a		s a ŋ b u	s a ŋ b u	s a ŋ b u	s a ŋ b u
5						dʒ a ŋ		dʒ a ŋ
2054		ŭ ɾ u	ŭ ɾ u			ŭ ɾ u		
1851	kʰ u m i n			kʰ ŏ m i n				kʰ ŏ m i n
2331			tʃ o k p o		tʃ o k p o			tʃ o k p o
827	bʱ i		bʱ i	bʱ i	b i h̥	b i h̥	bʱ i	
1602	tʃ a			tʃ a				tʃ a
2462		d̪ a ŋ kʰ u				d̪ a m k u	d a ŋ kʰ ə n	tʰ a ŋ m a n
2200	n a d̪ o k l a			n a d̪ o k tʃʰ a m				n a h a d o k p a n
855		b e ŋ k u ɾ t a			b e ŋ k u t̪ a	b e ŋ k u t̪ a		
