COGID	Albanian	English	French	German	Latin
560-1	p r r				
438-1	r r r				
1222-1	r				
353-1	r r p r				
201-1	p r				
20-1	r r				
503-1	r				
957-1	r r				
728-1	r r				
244-1	r				
289-1	r r				
911-1	r p d r				
724-1	r r r r				
145-1	d r				
992-1	r ə r				
1181-1	r r				
741-1	r ə r				
1150-1	r r r				
585-1	r r				
814-1	r a r r				
916-1					
1079-1	r r r				
630-1	r r r r				
343-1	r t r				
8-1	ɟ r r r				
385-1	r u r				
683-1	k r r r				
650-1	ɟ r r r				
612-1	f a m				
871-1	r p r r				
667-1	r r r r				
527-1	r a r r r				
499-1	n r				
1029-1	p				
560-2		k			
438-2					
1222-2		o			
353-2		t a s h			
201-2		ə			
20-2		h ɛ			
503-2		t ɔ d			
957-2					
728-2		ə ə			
244-2		ə			
289-2		t			
911-2		ɛ r l			
724-2		d			
145-2		t			
992-2		h i			
706-2					
106-2		ə ɛ d			
741-2		d h			
421-2		t			
227-2		d ə			
920-2		h ɛ r			
1083-2		h			
1066-2					
1125-2					
1197-2		ə r			
473-2		ai l			
284-2		d s			
661-2		o n			
701-2		o t			
315-2		ə n			
1169-2		s ə l			
1150-2		k ə r			
982-2		s a			
987-2		ə t			
1055-2		t ə			
1130-2		s ai			
433-2		s ə n ə			
625-2		ə ɛ r			
1186-2		l o n			
416-2		w			
1233-2		l o			
884-2		l ɛ r			
1016-2					
952-2		r			
78-2		b l a s			
514-2		b			
116-2		o t			
188-2		ə			
745-2		f ə r r			
1100-2		r t			
47-2					
111-2		ə ai k			
1061-2		n t			
24-2		n ə d			
232-2					
671-2		r t			
385-2		s			
945-2		s ə ə			
644-2		k			
1041-2		ə t			
492-2		ə n			
1209-2					
527-2		w ai r			
14-2		l b			
1-2		o l			
915-2		ə n d			
271-2		o ʃ			
560-3			r e		
438-3			s r		
1222-3					
353-3			s		
201-3					
20-3			r		
503-3			r		
957-3					
728-3			r r		
244-3					
289-3			r		
911-3			r r		
724-3			r r r		
145-3					
992-3					
1181-3			ʃ		
706-3			e		
106-3			r		
741-3			ɛ ʃ		
421-3					
227-3					
920-3			o r		
1083-3			r		
1066-3					
1125-3					
1197-3			ɛ r r		
473-3			s		
284-3			e r		
661-3					
701-3			r o o r		
315-3			r r		
1169-3			s e		
1150-3			r r r		
982-3			t		
987-3			t t r		
