index	index_p	rindex	rindex_p	cogid	id_Amharic	segment_Amharic	segment_Amharic_L1	segment_Amharic_L2	segment_Amharic_L3	segment_Amharic_R1	segment_Amharic_R2	segment_Amharic_R3	SC_Amharic	SC_Amharic_L1	SC_Amharic_L2	SC_Amharic_L3	SC_Amharic_R1	SC_Amharic_R2	SC_Amharic_R3	PROSODY_Amharic	PROSODY_Amharic_L1	PROSODY_Amharic_L2	PROSODY_Amharic_L3	PROSODY_Amharic_R1	PROSODY_Amharic_R2	PROSODY_Amharic_R3	id_Argobba	segment_Argobba	segment_Argobba_L1	segment_Argobba_L2	segment_Argobba_L3	segment_Argobba_R1	segment_Argobba_R2	segment_Argobba_R3	SC_Argobba	SC_Argobba_L1	SC_Argobba_L2	SC_Argobba_L3	SC_Argobba_R1	SC_Argobba_R2	SC_Argobba_R3	PROSODY_Argobba	PROSODY_Argobba_L1	PROSODY_Argobba_L2	PROSODY_Argobba_L3	PROSODY_Argobba_R1	PROSODY_Argobba_R2	PROSODY_Argobba_R3	id_Chaha	segment_Chaha	segment_Chaha_L1	segment_Chaha_L2	segment_Chaha_L3	segment_Chaha_R1	segment_Chaha_R2	segment_Chaha_R3	SC_Chaha	SC_Chaha_L1	SC_Chaha_L2	SC_Chaha_L3	SC_Chaha_R1	SC_Chaha_R2	SC_Chaha_R3	PROSODY_Chaha	PROSODY_Chaha_L1	PROSODY_Chaha_L2	PROSODY_Chaha_L3	PROSODY_Chaha_R1	PROSODY_Chaha_R2	PROSODY_Chaha_R3	id_Endegagn	segment_Endegagn	segment_Endegagn_L1	segment_Endegagn_L2	segment_Endegagn_L3	segment_Endegagn_R1	segment_Endegagn_R2	segment_Endegagn_R3	SC_Endegagn	SC_Endegagn_L1	SC_Endegagn_L2	SC_Endegagn_L3	SC_Endegagn_R1	SC_Endegagn_R2	SC_Endegagn_R3	PROSODY_Endegagn	PROSODY_Endegagn_L1	PROSODY_Endegagn_L2	PROSODY_Endegagn_L3	PROSODY_Endegagn_R1	PROSODY_Endegagn_R2	PROSODY_Endegagn_R3	id_Ezha	segment_Ezha	segment_Ezha_L1	segment_Ezha_L2	segment_Ezha_L3	segment_Ezha_R1	segment_Ezha_R2	segment_Ezha_R3	SC_Ezha	SC_Ezha_L1	SC_Ezha_L2	SC_Ezha_L3	SC_Ezha_R1	SC_Ezha_R2	SC_Ezha_R3	PROSODY_Ezha	PROSODY_Ezha_L1	PROSODY_Ezha_L2	PROSODY_Ezha_L3	PROSODY_Ezha_R1	PROSODY_Ezha_R2	PROSODY_Ezha_R3	id_Geez	segment_Geez	segment_Geez_L1	segment_Geez_L2	segment_Geez_L3	segment_Geez_R1	segment_Geez_R2	segment_Geez_R3	SC_Geez	SC_Geez_L1	SC_Geez_L2	SC_Geez_L3	SC_Geez_R1	SC_Geez_R2	SC_Geez_R3	PROSODY_Geez	PROSODY_Geez_L1	PROSODY_Geez_L2	PROSODY_Geez_L3	PROSODY_Geez_R1	PROSODY_Geez_R2	PROSODY_Geez_R3	id_Gumer	segment_Gumer	segment_Gumer_L1	segment_Gumer_L2	segment_Gumer_L3	segment_Gumer_R1	segment_Gumer_R2	segment_Gumer_R3	SC_Gumer	SC_Gumer_L1	SC_Gumer_L2	SC_Gumer_L3	SC_Gumer_R1	SC_Gumer_R2	SC_Gumer_R3	PROSODY_Gumer	PROSODY_Gumer_L1	PROSODY_Gumer_L2	PROSODY_Gumer_L3	PROSODY_Gumer_R1	PROSODY_Gumer_R2	PROSODY_Gumer_R3	id_Gura	segment_Gura	segment_Gura_L1	segment_Gura_L2	segment_Gura_L3	segment_Gura_R1	segment_Gura_R2	segment_Gura_R3	SC_Gura	SC_Gura_L1	SC_Gura_L2	SC_Gura_L3	SC_Gura_R1	SC_Gura_R2	SC_Gura_R3	PROSODY_Gura	PROSODY_Gura_L1	PROSODY_Gura_L2	PROSODY_Gura_L3	PROSODY_Gura_R1	PROSODY_Gura_R2	PROSODY_Gura_R3	id_Gyeto	segment_Gyeto	segment_Gyeto_L1	segment_Gyeto_L2	segment_Gyeto_L3	segment_Gyeto_R1	segment_Gyeto_R2	segment_Gyeto_R3	SC_Gyeto	SC_Gyeto_L1	SC_Gyeto_L2	SC_Gyeto_L3	SC_Gyeto_R1	SC_Gyeto_R2	SC_Gyeto_R3	PROSODY_Gyeto	PROSODY_Gyeto_L1	PROSODY_Gyeto_L2	PROSODY_Gyeto_L3	PROSODY_Gyeto_R1	PROSODY_Gyeto_R2	PROSODY_Gyeto_R3	id_Harari	segment_Harari	segment_Harari_L1	segment_Harari_L2	segment_Harari_L3	segment_Harari_R1	segment_Harari_R2	segment_Harari_R3	SC_Harari	SC_Harari_L1	SC_Harari_L2	SC_Harari_L3	SC_Harari_R1	SC_Harari_R2	SC_Harari_R3	PROSODY_Harari	PROSODY_Harari_L1	PROSODY_Harari_L2	PROSODY_Harari_L3	PROSODY_Harari_R1	PROSODY_Harari_R2	PROSODY_Harari_R3	id_Inor	segment_Inor	segment_Inor_L1	segment_Inor_L2	segment_Inor_L3	segment_Inor_R1	segment_Inor_R2	segment_Inor_R3	SC_Inor	SC_Inor_L1	SC_Inor_L2	SC_Inor_L3	SC_Inor_R1	SC_Inor_R2	SC_Inor_R3	PROSODY_Inor	PROSODY_Inor_L1	PROSODY_Inor_L2	PROSODY_Inor_L3	PROSODY_Inor_R1	PROSODY_Inor_R2	PROSODY_Inor_R3	id_Kistane	segment_Kistane	segment_Kistane_L1	segment_Kistane_L2	segment_Kistane_L3	segment_Kistane_R1	segment_Kistane_R2	segment_Kistane_R3	SC_Kistane	SC_Kistane_L1	SC_Kistane_L2	SC_Kistane_L3	SC_Kistane_R1	SC_Kistane_R2	SC_Kistane_R3	PROSODY_Kistane	PROSODY_Kistane_L1	PROSODY_Kistane_L2	PROSODY_Kistane_L3	PROSODY_Kistane_R1	PROSODY_Kistane_R2	PROSODY_Kistane_R3	id_Mesqan	segment_Mesqan	segment_Mesqan_L1	segment_Mesqan_L2	segment_Mesqan_L3	segment_Mesqan_R1	segment_Mesqan_R2	segment_Mesqan_R3	SC_Mesqan	SC_Mesqan_L1	SC_Mesqan_L2	SC_Mesqan_L3	SC_Mesqan_R1	SC_Mesqan_R2	SC_Mesqan_R3	PROSODY_Mesqan	PROSODY_Mesqan_L1	PROSODY_Mesqan_L2	PROSODY_Mesqan_L3	PROSODY_Mesqan_R1	PROSODY_Mesqan_R2	PROSODY_Mesqan_R3	id_Muher	segment_Muher	segment_Muher_L1	segment_Muher_L2	segment_Muher_L3	segment_Muher_R1	segment_Muher_R2	segment_Muher_R3	SC_Muher	SC_Muher_L1	SC_Muher_L2	SC_Muher_L3	SC_Muher_R1	SC_Muher_R2	SC_Muher_R3	PROSODY_Muher	PROSODY_Muher_L1	PROSODY_Muher_L2	PROSODY_Muher_L3	PROSODY_Muher_R1	PROSODY_Muher_R2	PROSODY_Muher_R3	id_Silte	segment_Silte	segment_Silte_L1	segment_Silte_L2	segment_Silte_L3	segment_Silte_R1	segment_Silte_R2	segment_Silte_R3	SC_Silte	SC_Silte_L1	SC_Silte_L2	SC_Silte_L3	SC_Silte_R1	SC_Silte_R2	SC_Silte_R3	PROSODY_Silte	PROSODY_Silte_L1	PROSODY_Silte_L2	PROSODY_Silte_L3	PROSODY_Silte_R1	PROSODY_Silte_R2	PROSODY_Silte_R3	id_Tigre	segment_Tigre	segment_Tigre_L1	segment_Tigre_L2	segment_Tigre_L3	segment_Tigre_R1	segment_Tigre_R2	segment_Tigre_R3	SC_Tigre	SC_Tigre_L1	SC_Tigre_L2	SC_Tigre_L3	SC_Tigre_R1	SC_Tigre_R2	SC_Tigre_R3	PROSODY_Tigre	PROSODY_Tigre_L1	PROSODY_Tigre_L2	PROSODY_Tigre_L3	PROSODY_Tigre_R1	PROSODY_Tigre_R2	PROSODY_Tigre_R3	id_Tigrigna	segment_Tigrigna	segment_Tigrigna_L1	segment_Tigrigna_L2	segment_Tigrigna_L3	segment_Tigrigna_R1	segment_Tigrigna_R2	segment_Tigrigna_R3	SC_Tigrigna	SC_Tigrigna_L1	SC_Tigrigna_L2	SC_Tigrigna_L3	SC_Tigrigna_R1	SC_Tigrigna_R2	SC_Tigrigna_R3	PROSODY_Tigrigna	PROSODY_Tigrigna_L1	PROSODY_Tigrigna_L2	PROSODY_Tigrigna_L3	PROSODY_Tigrigna_R1	PROSODY_Tigrigna_R2	PROSODY_Tigrigna_R3	id_Wolane	segment_Wolane	segment_Wolane_L1	segment_Wolane_L2	segment_Wolane_L3	segment_Wolane_R1	segment_Wolane_R2	segment_Wolane_R3	SC_Wolane	SC_Wolane_L1	SC_Wolane_L2	SC_Wolane_L3	SC_Wolane_R1	SC_Wolane_R2	SC_Wolane_R3	PROSODY_Wolane	PROSODY_Wolane_L1	PROSODY_Wolane_L2	PROSODY_Wolane_L3	PROSODY_Wolane_R1	PROSODY_Wolane_R2	PROSODY_Wolane_R3	id_Zway	segment_Zway	segment_Zway_L1	segment_Zway_L2	segment_Zway_L3	segment_Zway_R1	segment_Zway_R2	segment_Zway_R3	SC_Zway	SC_Zway_L1	SC_Zway_L2	SC_Zway_L3	SC_Zway_R1	SC_Zway_R2	SC_Zway_R3	PROSODY_Zway	PROSODY_Zway_L1	PROSODY_Zway_L2	PROSODY_Zway_L3	PROSODY_Zway_R1	PROSODY_Zway_R2	PROSODY_Zway_R3
1	0.1250	8	1.0000	2	1	h	∅	∅	∅	-	u	lː	H	∅	∅	∅	_	Y	L	3	∅	∅	∅	0	7	5	2	-	∅	∅	∅	d	i	jː	_	∅	∅	∅	T	I	J	0	∅	∅	∅	1	7	6																																																																			3	k	∅	∅	∅	w	ə	lː	K	∅	∅	∅	W	E	L	1	∅	∅	∅	6	7	5																																																																			4	k	∅	∅	∅	-	u	lː	K	∅	∅	∅	_	Y	L	1	∅	∅	∅	0	7	5																							5	k	∅	∅	∅	-	u	lː	K	∅	∅	∅	_	Y	L	1	∅	∅	∅	0	7	5																																													6	h	∅	∅	∅	-	u	lː	H	∅	∅	∅	_	Y	L	3	∅	∅	∅	0	7	5	7	k	∅	∅	∅	-	ɨ	lː	K	∅	∅	∅	_	I	L	1	∅	∅	∅	0	7	5	8	k	∅	∅	∅	-	u	lː	K	∅	∅	∅	_	Y	L	1	∅	∅	∅	0	7	5	9	h	∅	∅	∅	-	u	l	H	∅	∅	∅	_	Y	L	3	∅	∅	∅	0	7	5	10	h	∅	∅	∅	-	u	lː	H	∅	∅	∅	_	Y	L	3	∅	∅	∅	0	7	5
2	0.2500	7	0.8750	2	1	-	h	∅	∅	u	lː	u	_	H	∅	∅	Y	L	Y	0	3	∅	∅	7	5	7	2	d	-	∅	∅	i	jː	u	T	_	∅	∅	I	J	Y	1	0	∅	∅	7	6	7																																																																			3	w	k	∅	∅	ə	lː	-	W	K	∅	∅	E	L	_	6	1	∅	∅	7	5	0																																																																			4	-	k	∅	∅	u	lː	u	_	K	∅	∅	Y	L	Y	0	1	∅	∅	7	5	7																							5	-	k	∅	∅	u	lː	ɨ	_	K	∅	∅	Y	L	I	0	1	∅	∅	7	5	7																																													6	-	h	∅	∅	u	lː	ɨ	_	H	∅	∅	Y	L	I	0	3	∅	∅	7	5	7	7	-	k	∅	∅	ɨ	lː	a	_	K	∅	∅	I	L	A	0	1	∅	∅	7	5	7	8	-	k	∅	∅	u	lː	u	_	K	∅	∅	Y	L	Y	0	1	∅	∅	7	5	7	9	-	h	∅	∅	u	l	ɨ	_	H	∅	∅	Y	L	I	0	3	∅	∅	7	5	7	10	-	h	∅	∅	u	lː	u	_	H	∅	∅	Y	L	Y	0	3	∅	∅	7	5	7
3	0.3750	6	0.7500	2	1	u	-	h	∅	lː	u	m	Y	_	H	∅	L	Y	M	7	0	3	∅	5	7	4	2	i	d	-	∅	jː	u	m	I	T	_	∅	J	Y	M	7	1	0	∅	6	7	4																																																																			3	ə	w	k	∅	lː	-	-	E	W	K	∅	L	_	_	7	6	1	∅	5	0	0																																																																			4	u	-	k	∅	lː	u	-	Y	_	K	∅	L	Y	_	7	0	1	∅	5	7	0																							5	u	-	k	∅	lː	ɨ	m	Y	_	K	∅	L	I	M	7	0	1	∅	5	7	4																																													6	u	-	h	∅	lː	ɨ	m	Y	_	H	∅	L	I	M	7	0	3	∅	5	7	4	7	ɨ	-	k	∅	lː	a	n	I	_	K	∅	L	A	N	7	0	1	∅	5	7	4	8	u	-	k	∅	lː	u	-	Y	_	K	∅	L	Y	_	7	0	1	∅	5	7	0	9	u	-	h	∅	l	ɨ	m	Y	_	H	∅	L	I	M	7	0	3	∅	5	7	4	10	u	-	h	∅	lː	u	-	Y	_	H	∅	L	Y	_	7	0	3	∅	5	7	0
4	0.5000	5	0.6250	2	1	lː	u	-	h	u	m	-	L	Y	_	H	Y	M	_	5	7	0	3	7	4	0	2	jː	i	d	-	u	m	-	J	I	T	_	Y	M	_	6	7	1	0	7	4	0																																																																			3	lː	ə	w	k	-	-	-	L	E	W	K	_	_	_	5	7	6	1	0	0	0																																																																			4	lː	u	-	k	u	-	-	L	Y	_	K	Y	_	_	5	7	0	1	7	0	0																							5	lː	u	-	k	ɨ	m	-	L	Y	_	K	I	M	_	5	7	0	1	7	4	0																																													6	lː	u	-	h	ɨ	m	k	L	Y	_	H	I	M	K	5	7	0	3	7	4	1	7	lː	ɨ	-	k	a	n	-	L	I	_	K	A	N	_	5	7	0	1	7	4	0	8	lː	u	-	k	u	-	-	L	Y	_	K	Y	_	_	5	7	0	1	7	0	0	9	l	u	-	h	ɨ	m	-	L	Y	_	H	I	M	_	5	7	0	3	7	4	0	10	lː	u	-	h	u	-	-	L	Y	_	H	Y	_	_	5	7	0	3	7	0	0
5	0.6250	4	0.5000	2	1	u	lː	u	-	m	-	-	Y	L	Y	_	M	_	_	7	5	7	0	4	0	0	2	u	jː	i	d	m	-	-	Y	J	I	T	M	_	_	7	6	7	1	4	0	0																																																																			3	-	lː	ə	w	-	-	-	_	L	E	W	_	_	_	0	5	7	6	0	0	0																																																																			4	u	lː	u	-	-	-	-	Y	L	Y	_	_	_	_	7	5	7	0	0	0	0																							5	ɨ	lː	u	-	m	-	-	I	L	Y	_	M	_	_	7	5	7	0	4	0	0																																													6	ɨ	lː	u	-	m	k	ə	I	L	Y	_	M	K	E	7	5	7	0	4	1	7	7	a	lː	ɨ	-	n	-	-	A	L	I	_	N	_	_	7	5	7	0	4	0	0	8	u	lː	u	-	-	-	-	Y	L	Y	_	_	_	_	7	5	7	0	0	0	0	9	ɨ	l	u	-	m	-	-	I	L	Y	_	M	_	_	7	5	7	0	4	0	0	10	u	lː	u	-	-	-	-	Y	L	Y	_	_	_	_	7	5	7	0	0	0	0
6	0.7500	3	0.3750	2	1	m	u	lː	u	-	-	∅	M	Y	L	Y	_	_	∅	4	7	5	7	0	0	∅	2	m	u	jː	i	-	-	∅	M	Y	J	I	_	_	∅	4	7	6	7	0	0	∅																																																																			3	-	-	lː	ə	-	-	∅	_	_	L	E	_	_	∅	0	0	5	7	0	0	∅																																																																			4	-	u	lː	u	-	-	∅	_	Y	L	Y	_	_	∅	0	7	5	7	0	0	∅																							5	m	ɨ	lː	u	-	-	∅	M	I	L	Y	_	_	∅	4	7	5	7	0	0	∅																																													6	m	ɨ	lː	u	k	ə	∅	M	I	L	Y	K	E	∅	4	7	5	7	1	7	∅	7	n	a	lː	ɨ	-	-	∅	N	A	L	I	_	_	∅	4	7	5	7	0	0	∅	8	-	u	lː	u	-	-	∅	_	Y	L	Y	_	_	∅	0	7	5	7	0	0	∅	9	m	ɨ	l	u	-	-	∅	M	I	L	Y	_	_	∅	4	7	5	7	0	0	∅	10	-	u	lː	u	-	-	∅	_	Y	L	Y	_	_	∅	0	7	5	7	0	0	∅
7	0.8750	2	0.2500	2	1	-	m	u	lː	-	∅	∅	_	M	Y	L	_	∅	∅	0	4	7	5	0	∅	∅	2	-	m	u	jː	-	∅	∅	_	M	Y	J	_	∅	∅	0	4	7	6	0	∅	∅																																																																			3	-	-	-	lː	-	∅	∅	_	_	_	L	_	∅	∅	0	0	0	5	0	∅	∅																																																																			4	-	-	u	lː	-	∅	∅	_	_	Y	L	_	∅	∅	0	0	7	5	0	∅	∅																							5	-	m	ɨ	lː	-	∅	∅	_	M	I	L	_	∅	∅	0	4	7	5	0	∅	∅																																													6	k	m	ɨ	lː	ə	∅	∅	K	M	I	L	E	∅	∅	1	4	7	5	7	∅	∅	7	-	n	a	lː	-	∅	∅	_	N	A	L	_	∅	∅	0	4	7	5	0	∅	∅	8	-	-	u	lː	-	∅	∅	_	_	Y	L	_	∅	∅	0	0	7	5	0	∅	∅	9	-	m	ɨ	l	-	∅	∅	_	M	I	L	_	∅	∅	0	4	7	5	0	∅	∅	10	-	-	u	lː	-	∅	∅	_	_	Y	L	_	∅	∅	0	0	7	5	0	∅	∅
8	1.0000	1	0.1250	2	1	-	-	m	u	∅	∅	∅	_	_	M	Y	∅	∅	∅	0	0	4	7	∅	∅	∅	2	-	-	m	u	∅	∅	∅	_	_	M	Y	∅	∅	∅	0	0	4	7	∅	∅	∅																																																																			3	-	-	-	-	∅	∅	∅	_	_	_	_	∅	∅	∅	0	0	0	0	∅	∅	∅																																																																			4	-	-	-	u	∅	∅	∅	_	_	_	Y	∅	∅	∅	0	0	0	7	∅	∅	∅																							5	-	-	m	ɨ	∅	∅	∅	_	_	M	I	∅	∅	∅	0	0	4	7	∅	∅	∅																																													6	ə	k	m	ɨ	∅	∅	∅	E	K	M	I	∅	∅	∅	7	1	4	7	∅	∅	∅	7	-	-	n	a	∅	∅	∅	_	_	N	A	∅	∅	∅	0	0	4	7	∅	∅	∅	8	-	-	-	u	∅	∅	∅	_	_	_	Y	∅	∅	∅	0	0	0	7	∅	∅	∅	9	-	-	m	ɨ	∅	∅	∅	_	_	M	I	∅	∅	∅	0	0	4	7	∅	∅	∅	10	-	-	-	u	∅	∅	∅	_	_	_	Y	∅	∅	∅	0	0	0	7	∅	∅	∅
1	0.1667	6	1.0000	3	11	k	∅	∅	∅	ɨ	n	-	K	∅	∅	∅	I	N	_	1	∅	∅	∅	7	4	0	12	k	∅	∅	∅	ɨ	-	-	K	∅	∅	∅	I	_	_	1	∅	∅	∅	7	0	0																																													13	h	∅	∅	∅	ɨ	nː	-	H	∅	∅	∅	I	N	_	3	∅	∅	∅	7	4	0																							14	x	∅	∅	∅	ɨ	n	-	G	∅	∅	∅	I	N	_	3	∅	∅	∅	7	4	0	15	h	∅	∅	∅	ɨ	n	-	H	∅	∅	∅	I	N	_	3	∅	∅	∅	7	4	0																																													16	h	∅	∅	∅	ɨ	n	ɨ	H	∅	∅	∅	I	N	I	3	∅	∅	∅	7	4	7	17	k	∅	∅	∅	ɨ	-	-	K	∅	∅	∅	I	_	_	1	∅	∅	∅	7	0	0	18	h	∅	∅	∅	ɨ	nː	-	H	∅	∅	∅	I	N	_	3	∅	∅	∅	7	4	0																							19	k	∅	∅	∅	i	-	-	K	∅	∅	∅	I	_	_	1	∅	∅	∅	7	0	0																																													20	k	∅	∅	∅	i	-	-	K	∅	∅	∅	I	_	_	1	∅	∅	∅	7	0	0																						
2	0.3333	5	0.8333	3	11	ɨ	k	∅	∅	n	-	d	I	K	∅	∅	N	_	T	7	1	∅	∅	4	0	1	12	ɨ	k	∅	∅	-	-	rː	I	K	∅	∅	_	_	R	7	1	∅	∅	0	0	5																																													13	ɨ	h	∅	∅	nː	-	-	I	H	∅	∅	N	_	_	7	3	∅	∅	4	0	0																							14	ɨ	x	∅	∅	n	-	-	I	G	∅	∅	N	_	_	7	3	∅	∅	4	0	0	15	ɨ	h	∅	∅	n	-	-	I	H	∅	∅	N	_	_	7	3	∅	∅	4	0	0																																													16	ɨ	h	∅	∅	n	ɨ	ʔ	I	H	∅	∅	N	I	H	7	3	∅	∅	4	7	1	17	ɨ	k	∅	∅	-	-	rː	I	K	∅	∅	_	_	R	7	1	∅	∅	0	0	5	18	ɨ	h	∅	∅	nː	-	-	I	H	∅	∅	N	_	_	7	3	∅	∅	4	0	0																							19	i	k	∅	∅	-	-	r	I	K	∅	∅	_	_	R	7	1	∅	∅	0	0	5																																													20	i	k	∅	∅	-	-	r	I	K	∅	∅	_	_	R	7	1	∅	∅	0	0	5																						
