index	index_p	rindex	rindex_p	cogid	id_Amharic	segment_Amharic	segment_Amharic_L1	segment_Amharic_L2	segment_Amharic_L3	segment_Amharic_R1	segment_Amharic_R2	segment_Amharic_R3	SC_Amharic	SC_Amharic_L1	SC_Amharic_L2	SC_Amharic_L3	SC_Amharic_R1	SC_Amharic_R2	SC_Amharic_R3	PROSODY_Amharic	PROSODY_Amharic_L1	PROSODY_Amharic_L2	PROSODY_Amharic_L3	PROSODY_Amharic_R1	PROSODY_Amharic_R2	PROSODY_Amharic_R3	id_Argobba	segment_Argobba	segment_Argobba_L1	segment_Argobba_L2	segment_Argobba_L3	segment_Argobba_R1	segment_Argobba_R2	segment_Argobba_R3	SC_Argobba	SC_Argobba_L1	SC_Argobba_L2	SC_Argobba_L3	SC_Argobba_R1	SC_Argobba_R2	SC_Argobba_R3	PROSODY_Argobba	PROSODY_Argobba_L1	PROSODY_Argobba_L2	PROSODY_Argobba_L3	PROSODY_Argobba_R1	PROSODY_Argobba_R2	PROSODY_Argobba_R3	id_Chaha	segment_Chaha	segment_Chaha_L1	segment_Chaha_L2	segment_Chaha_L3	segment_Chaha_R1	segment_Chaha_R2	segment_Chaha_R3	SC_Chaha	SC_Chaha_L1	SC_Chaha_L2	SC_Chaha_L3	SC_Chaha_R1	SC_Chaha_R2	SC_Chaha_R3	PROSODY_Chaha	PROSODY_Chaha_L1	PROSODY_Chaha_L2	PROSODY_Chaha_L3	PROSODY_Chaha_R1	PROSODY_Chaha_R2	PROSODY_Chaha_R3	id_Endegagn	segment_Endegagn	segment_Endegagn_L1	segment_Endegagn_L2	segment_Endegagn_L3	segment_Endegagn_R1	segment_Endegagn_R2	segment_Endegagn_R3	SC_Endegagn	SC_Endegagn_L1	SC_Endegagn_L2	SC_Endegagn_L3	SC_Endegagn_R1	SC_Endegagn_R2	SC_Endegagn_R3	PROSODY_Endegagn	PROSODY_Endegagn_L1	PROSODY_Endegagn_L2	PROSODY_Endegagn_L3	PROSODY_Endegagn_R1	PROSODY_Endegagn_R2	PROSODY_Endegagn_R3	id_Ezha	segment_Ezha	segment_Ezha_L1	segment_Ezha_L2	segment_Ezha_L3	segment_Ezha_R1	segment_Ezha_R2	segment_Ezha_R3	SC_Ezha	SC_Ezha_L1	SC_Ezha_L2	SC_Ezha_L3	SC_Ezha_R1	SC_Ezha_R2	SC_Ezha_R3	PROSODY_Ezha	PROSODY_Ezha_L1	PROSODY_Ezha_L2	PROSODY_Ezha_L3	PROSODY_Ezha_R1	PROSODY_Ezha_R2	PROSODY_Ezha_R3	id_Geez	segment_Geez	segment_Geez_L1	segment_Geez_L2	segment_Geez_L3	segment_Geez_R1	segment_Geez_R2	segment_Geez_R3	SC_Geez	SC_Geez_L1	SC_Geez_L2	SC_Geez_L3	SC_Geez_R1	SC_Geez_R2	SC_Geez_R3	PROSODY_Geez	PROSODY_Geez_L1	PROSODY_Geez_L2	PROSODY_Geez_L3	PROSODY_Geez_R1	PROSODY_Geez_R2	PROSODY_Geez_R3	id_Gumer	segment_Gumer	segment_Gumer_L1	segment_Gumer_L2	segment_Gumer_L3	segment_Gumer_R1	segment_Gumer_R2	segment_Gumer_R3	SC_Gumer	SC_Gumer_L1	SC_Gumer_L2	SC_Gumer_L3	SC_Gumer_R1	SC_Gumer_R2	SC_Gumer_R3	PROSODY_Gumer	PROSODY_Gumer_L1	PROSODY_Gumer_L2	PROSODY_Gumer_L3	PROSODY_Gumer_R1	PROSODY_Gumer_R2	PROSODY_Gumer_R3	id_Gura	segment_Gura	segment_Gura_L1	segment_Gura_L2	segment_Gura_L3	segment_Gura_R1	segment_Gura_R2	segment_Gura_R3	SC_Gura	SC_Gura_L1	SC_Gura_L2	SC_Gura_L3	SC_Gura_R1	SC_Gura_R2	SC_Gura_R3	PROSODY_Gura	PROSODY_Gura_L1	PROSODY_Gura_L2	PROSODY_Gura_L3	PROSODY_Gura_R1	PROSODY_Gura_R2	PROSODY_Gura_R3	id_Gyeto	segment_Gyeto	segment_Gyeto_L1	segment_Gyeto_L2	segment_Gyeto_L3	segment_Gyeto_R1	segment_Gyeto_R2	segment_Gyeto_R3	SC_Gyeto	SC_Gyeto_L1	SC_Gyeto_L2	SC_Gyeto_L3	SC_Gyeto_R1	SC_Gyeto_R2	SC_Gyeto_R3	PROSODY_Gyeto	PROSODY_Gyeto_L1	PROSODY_Gyeto_L2	PROSODY_Gyeto_L3	PROSODY_Gyeto_R1	PROSODY_Gyeto_R2	PROSODY_Gyeto_R3	id_Harari	segment_Harari	segment_Harari_L1	segment_Harari_L2	segment_Harari_L3	segment_Harari_R1	segment_Harari_R2	segment_Harari_R3	SC_Harari	SC_Harari_L1	SC_Harari_L2	SC_Harari_L3	SC_Harari_R1	SC_Harari_R2	SC_Harari_R3	PROSODY_Harari	PROSODY_Harari_L1	PROSODY_Harari_L2	PROSODY_Harari_L3	PROSODY_Harari_R1	PROSODY_Harari_R2	PROSODY_Harari_R3	id_Inor	segment_Inor	segment_Inor_L1	segment_Inor_L2	segment_Inor_L3	segment_Inor_R1	segment_Inor_R2	segment_Inor_R3	SC_Inor	SC_Inor_L1	SC_Inor_L2	SC_Inor_L3	SC_Inor_R1	SC_Inor_R2	SC_Inor_R3	PROSODY_Inor	PROSODY_Inor_L1	PROSODY_Inor_L2	PROSODY_Inor_L3	PROSODY_Inor_R1	PROSODY_Inor_R2	PROSODY_Inor_R3	id_Kistane	segment_Kistane	segment_Kistane_L1	segment_Kistane_L2	segment_Kistane_L3	segment_Kistane_R1	segment_Kistane_R2	segment_Kistane_R3	SC_Kistane	SC_Kistane_L1	SC_Kistane_L2	SC_Kistane_L3	SC_Kistane_R1	SC_Kistane_R2	SC_Kistane_R3	PROSODY_Kistane	PROSODY_Kistane_L1	PROSODY_Kistane_L2	PROSODY_Kistane_L3	PROSODY_Kistane_R1	PROSODY_Kistane_R2	PROSODY_Kistane_R3	id_Mesqan	segment_Mesqan	segment_Mesqan_L1	segment_Mesqan_L2	segment_Mesqan_L3	segment_Mesqan_R1	segment_Mesqan_R2	segment_Mesqan_R3	SC_Mesqan	SC_Mesqan_L1	SC_Mesqan_L2	SC_Mesqan_L3	SC_Mesqan_R1	SC_Mesqan_R2	SC_Mesqan_R3	PROSODY_Mesqan	PROSODY_Mesqan_L1	PROSODY_Mesqan_L2	PROSODY_Mesqan_L3	PROSODY_Mesqan_R1	PROSODY_Mesqan_R2	PROSODY_Mesqan_R3	id_Muher	segment_Muher	segment_Muher_L1	segment_Muher_L2	segment_Muher_L3	segment_Muher_R1	segment_Muher_R2	segment_Muher_R3	SC_Muher	SC_Muher_L1	SC_Muher_L2	SC_Muher_L3	SC_Muher_R1	SC_Muher_R2	SC_Muher_R3	PROSODY_Muher	PROSODY_Muher_L1	PROSODY_Muher_L2	PROSODY_Muher_L3	PROSODY_Muher_R1	PROSODY_Muher_R2	PROSODY_Muher_R3	id_Silte	segment_Silte	segment_Silte_L1	segment_Silte_L2	segment_Silte_L3	segment_Silte_R1	segment_Silte_R2	segment_Silte_R3	SC_Silte	SC_Silte_L1	SC_Silte_L2	SC_Silte_L3	SC_Silte_R1	SC_Silte_R2	SC_Silte_R3	PROSODY_Silte	PROSODY_Silte_L1	PROSODY_Silte_L2	PROSODY_Silte_L3	PROSODY_Silte_R1	PROSODY_Silte_R2	PROSODY_Silte_R3	id_Tigre	segment_Tigre	segment_Tigre_L1	segment_Tigre_L2	segment_Tigre_L3	segment_Tigre_R1	segment_Tigre_R2	segment_Tigre_R3	SC_Tigre	SC_Tigre_L1	SC_Tigre_L2	SC_Tigre_L3	SC_Tigre_R1	SC_Tigre_R2	SC_Tigre_R3	PROSODY_Tigre	PROSODY_Tigre_L1	PROSODY_Tigre_L2	PROSODY_Tigre_L3	PROSODY_Tigre_R1	PROSODY_Tigre_R2	PROSODY_Tigre_R3	id_Tigrigna	segment_Tigrigna	segment_Tigrigna_L1	segment_Tigrigna_L2	segment_Tigrigna_L3	segment_Tigrigna_R1	segment_Tigrigna_R2	segment_Tigrigna_R3	SC_Tigrigna	SC_Tigrigna_L1	SC_Tigrigna_L2	SC_Tigrigna_L3	SC_Tigrigna_R1	SC_Tigrigna_R2	SC_Tigrigna_R3	PROSODY_Tigrigna	PROSODY_Tigrigna_L1	PROSODY_Tigrigna_L2	PROSODY_Tigrigna_L3	PROSODY_Tigrigna_R1	PROSODY_Tigrigna_R2	PROSODY_Tigrigna_R3	id_Wolane	segment_Wolane	segment_Wolane_L1	segment_Wolane_L2	segment_Wolane_L3	segment_Wolane_R1	segment_Wolane_R2	segment_Wolane_R3	SC_Wolane	SC_Wolane_L1	SC_Wolane_L2	SC_Wolane_L3	SC_Wolane_R1	SC_Wolane_R2	SC_Wolane_R3	PROSODY_Wolane	PROSODY_Wolane_L1	PROSODY_Wolane_L2	PROSODY_Wolane_L3	PROSODY_Wolane_R1	PROSODY_Wolane_R2	PROSODY_Wolane_R3	id_Zway	segment_Zway	segment_Zway_L1	segment_Zway_L2	segment_Zway_L3	segment_Zway_R1	segment_Zway_R2	segment_Zway_R3	SC_Zway	SC_Zway_L1	SC_Zway_L2	SC_Zway_L3	SC_Zway_R1	SC_Zway_R2	SC_Zway_R3	PROSODY_Zway	PROSODY_Zway_L1	PROSODY_Zway_L2	PROSODY_Zway_L3	PROSODY_Zway_R1	PROSODY_Zway_R2	PROSODY_Zway_R3
1	0.2000	5	1.0000	5	1	g	∅	∅	∅	ə	b	-	K	∅	∅	∅	E	P	_	1	∅	∅	∅	7	1	0																																																																																									2	g	∅	∅	∅	ə	b	-	K	∅	∅	∅	E	P	_	1	∅	∅	∅	7	1	0																																																																			3	g	∅	∅	∅	uː	-	-	K	∅	∅	∅	Y	_	_	1	∅	∅	∅	7	0	0																							4	g	∅	∅	∅	ə	b	-	K	∅	∅	∅	E	P	_	1	∅	∅	∅	7	1	0																																																																																																																																					5	g	∅	∅	∅	ə	b	ɨ	K	∅	∅	∅	E	P	I	1	∅	∅	∅	7	1	7
2	0.4000	4	0.8000	5	1	ə	g	∅	∅	b	-	s	E	K	∅	∅	P	_	S	7	1	∅	∅	1	0	3																																																																																									2	ə	g	∅	∅	b	-	s	E	K	∅	∅	P	_	S	7	1	∅	∅	1	0	3																																																																			3	uː	g	∅	∅	-	-	s	Y	K	∅	∅	_	_	S	7	1	∅	∅	0	0	3																							4	ə	g	∅	∅	b	-	s	E	K	∅	∅	P	_	S	7	1	∅	∅	1	0	3																																																																																																																																					5	ə	g	∅	∅	b	ɨ	s	E	K	∅	∅	P	I	S	7	1	∅	∅	1	7	3
3	0.6000	3	0.6000	5	1	b	ə	g	∅	-	s	∅	P	E	K	∅	_	S	∅	1	7	1	∅	0	3	∅																																																																																									2	b	ə	g	∅	-	s	∅	P	E	K	∅	_	S	∅	1	7	1	∅	0	3	∅																																																																			3	-	uː	g	∅	-	s	∅	_	Y	K	∅	_	S	∅	0	7	1	∅	0	3	∅																							4	b	ə	g	∅	-	s	∅	P	E	K	∅	_	S	∅	1	7	1	∅	0	3	∅																																																																																																																																					5	b	ə	g	∅	ɨ	s	∅	P	E	K	∅	I	S	∅	1	7	1	∅	7	3	∅
4	0.8000	2	0.4000	5	1	-	b	ə	g	s	∅	∅	_	P	E	K	S	∅	∅	0	1	7	1	3	∅	∅																																																																																									2	-	b	ə	g	s	∅	∅	_	P	E	K	S	∅	∅	0	1	7	1	3	∅	∅																																																																			3	-	-	uː	g	s	∅	∅	_	_	Y	K	S	∅	∅	0	0	7	1	3	∅	∅																							4	-	b	ə	g	s	∅	∅	_	P	E	K	S	∅	∅	0	1	7	1	3	∅	∅																																																																																																																																					5	ɨ	b	ə	g	s	∅	∅	I	P	E	K	S	∅	∅	7	1	7	1	3	∅	∅
5	1.0000	1	0.2000	5	1	s	-	b	ə	∅	∅	∅	S	_	P	E	∅	∅	∅	3	0	1	7	∅	∅	∅																																																																																									2	s	-	b	ə	∅	∅	∅	S	_	P	E	∅	∅	∅	3	0	1	7	∅	∅	∅																																																																			3	s	-	-	uː	∅	∅	∅	S	_	_	Y	∅	∅	∅	3	0	0	7	∅	∅	∅																							4	s	-	b	ə	∅	∅	∅	S	_	P	E	∅	∅	∅	3	0	1	7	∅	∅	∅																																																																																																																																					5	s	ɨ	b	ə	∅	∅	∅	S	I	P	E	∅	∅	∅	3	7	1	7	∅	∅	∅
1	0.1667	6	1.0000	10	6	tʼ	∅	∅	∅	ɨ	kʼ	-	T	∅	∅	∅	I	K	_	1	∅	∅	∅	7	1	0	7	tʼ	∅	∅	∅	ɨ	kʼ	-	T	∅	∅	∅	I	K	_	1	∅	∅	∅	7	1	0	8	tʼ	∅	∅	∅	ɨ	kʼ	-	T	∅	∅	∅	I	K	_	1	∅	∅	∅	7	1	0																																																																			9	tʼ	∅	∅	∅	ɨ	k	w	T	∅	∅	∅	I	K	W	1	∅	∅	∅	7	1	6	10	tʼ	∅	∅	∅	ɨ	kʼ	-	T	∅	∅	∅	I	K	_	1	∅	∅	∅	7	1	0	11	l	∅	∅	∅	ɨ	kʼ	-	L	∅	∅	∅	I	K	_	5	∅	∅	∅	7	1	0																																													12	tʼ	∅	∅	∅	ɨ	kʼ	-	T	∅	∅	∅	I	K	_	1	∅	∅	∅	7	1	0	13	tʼ	∅	∅	∅	ɨ	kʼ	-	T	∅	∅	∅	I	K	_	1	∅	∅	∅	7	1	0	14	tʼ	∅	∅	∅	ɨ	kʼ	-	T	∅	∅	∅	I	K	_	1	∅	∅	∅	7	1	0																																																																																																														
2	0.3333	5	0.8333	10	6	ɨ	tʼ	∅	∅	kʼ	-	u	I	T	∅	∅	K	_	Y	7	1	∅	∅	1	0	7	7	ɨ	tʼ	∅	∅	kʼ	-	u	I	T	∅	∅	K	_	Y	7	1	∅	∅	1	0	7	8	ɨ	tʼ	∅	∅	kʼ	-	u	I	T	∅	∅	K	_	Y	7	1	∅	∅	1	0	7																																																																			9	ɨ	tʼ	∅	∅	k	w	ɨ	I	T	∅	∅	K	W	I	7	1	∅	∅	1	6	7	10	ɨ	tʼ	∅	∅	kʼ	-	u	I	T	∅	∅	K	_	Y	7	1	∅	∅	1	0	7	11	ɨ	l	∅	∅	kʼ	-	u	I	L	∅	∅	K	_	Y	7	5	∅	∅	1	0	7																																													12	ɨ	tʼ	∅	∅	kʼ	-	u	I	T	∅	∅	K	_	Y	7	1	∅	∅	1	0	7	13	ɨ	tʼ	∅	∅	kʼ	-	u	I	T	∅	∅	K	_	Y	7	1	∅	∅	1	0	7	14	ɨ	tʼ	∅	∅	kʼ	-	u	I	T	∅	∅	K	_	Y	7	1	∅	∅	1	0	7																																																																																																														
3	0.5000	4	0.6667	10	6	kʼ	ɨ	tʼ	∅	-	u	r	K	I	T	∅	_	Y	R	1	7	1	∅	0	7	5	7	kʼ	ɨ	tʼ	∅	-	u	r	K	I	T	∅	_	Y	R	1	7	1	∅	0	7	5	8	kʼ	ɨ	tʼ	∅	-	u	r	K	I	T	∅	_	Y	R	1	7	1	∅	0	7	5																																																																			9	k	ɨ	tʼ	∅	w	ɨ	r	K	I	T	∅	W	I	R	1	7	1	∅	6	7	5	10	kʼ	ɨ	tʼ	∅	-	u	r	K	I	T	∅	_	Y	R	1	7	1	∅	0	7	5	11	kʼ	ɨ	l	∅	-	u	r	K	I	L	∅	_	Y	R	1	7	5	∅	0	7	5																																													12	kʼ	ɨ	tʼ	∅	-	u	r	K	I	T	∅	_	Y	R	1	7	1	∅	0	7	5	13	kʼ	ɨ	tʼ	∅	-	u	r	K	I	T	∅	_	Y	R	1	7	1	∅	0	7	5	14	kʼ	ɨ	tʼ	∅	-	u	r	K	I	T	∅	_	Y	R	1	7	1	∅	0	7	5																																																																																																														
4	0.6667	3	0.5000	10	6	-	kʼ	ɨ	tʼ	u	r	∅	_	K	I	T	Y	R	∅	0	1	7	1	7	5	∅	7	-	kʼ	ɨ	tʼ	u	r	∅	_	K	I	T	Y	R	∅	0	1	7	1	7	5	∅	8	-	kʼ	ɨ	tʼ	u	r	∅	_	K	I	T	Y	R	∅	0	1	7	1	7	5	∅																																																																			9	w	k	ɨ	tʼ	ɨ	r	∅	W	K	I	T	I	R	∅	6	1	7	1	7	5	∅	10	-	kʼ	ɨ	tʼ	u	r	∅	_	K	I	T	Y	R	∅	0	1	7	1	7	5	∅	11	-	kʼ	ɨ	l	u	r	∅	_	K	I	L	Y	R	∅	0	1	7	5	7	5	∅																																													12	-	kʼ	ɨ	tʼ	u	r	∅	_	K	I	T	Y	R	∅	0	1	7	1	7	5	∅	13	-	kʼ	ɨ	tʼ	u	r	∅	_	K	I	T	Y	R	∅	0	1	7	1	7	5	∅	14	-	kʼ	ɨ	tʼ	u	r	∅	_	K	I	T	Y	R	∅	0	1	7	1	7	5	∅																																																																																																														
5	0.8333	2	0.3333	10	6	u	-	kʼ	ɨ	r	∅	∅	Y	_	K	I	R	∅	∅	7	0	1	7	5	∅	∅	7	u	-	kʼ	ɨ	r	∅	∅	Y	_	K	I	R	∅	∅	7	0	1	7	5	∅	∅	8	u	-	kʼ	ɨ	r	∅	∅	Y	_	K	I	R	∅	∅	7	0	1	7	5	∅	∅																																																																			9	ɨ	w	k	ɨ	r	∅	∅	I	W	K	I	R	∅	∅	7	6	1	7	5	∅	∅	10	u	-	kʼ	ɨ	r	∅	∅	Y	_	K	I	R	∅	∅	7	0	1	7	5	∅	∅	11	u	-	kʼ	ɨ	r	∅	∅	Y	_	K	I	R	∅	∅	7	0	1	7	5	∅	∅																																													12	u	-	kʼ	ɨ	r	∅	∅	Y	_	K	I	R	∅	∅	7	0	1	7	5	∅	∅	13	u	-	kʼ	ɨ	r	∅	∅	Y	_	K	I	R	∅	∅	7	0	1	7	5	∅	∅	14	u	-	kʼ	ɨ	r	∅	∅	Y	_	K	I	R	∅	∅	7	0	1	7	5	∅	∅																																																																																																														
