index	index_p	rindex	rindex_p	cogid	id_Amharic	segment_Amharic	segment_Amharic_L1	segment_Amharic_L2	segment_Amharic_L3	segment_Amharic_R1	segment_Amharic_R2	segment_Amharic_R3	SC_Amharic	SC_Amharic_L1	SC_Amharic_L2	SC_Amharic_L3	SC_Amharic_R1	SC_Amharic_R2	SC_Amharic_R3	PROSODY_Amharic	PROSODY_Amharic_L1	PROSODY_Amharic_L2	PROSODY_Amharic_L3	PROSODY_Amharic_R1	PROSODY_Amharic_R2	PROSODY_Amharic_R3	id_Argobba	segment_Argobba	segment_Argobba_L1	segment_Argobba_L2	segment_Argobba_L3	segment_Argobba_R1	segment_Argobba_R2	segment_Argobba_R3	SC_Argobba	SC_Argobba_L1	SC_Argobba_L2	SC_Argobba_L3	SC_Argobba_R1	SC_Argobba_R2	SC_Argobba_R3	PROSODY_Argobba	PROSODY_Argobba_L1	PROSODY_Argobba_L2	PROSODY_Argobba_L3	PROSODY_Argobba_R1	PROSODY_Argobba_R2	PROSODY_Argobba_R3	id_Chaha	segment_Chaha	segment_Chaha_L1	segment_Chaha_L2	segment_Chaha_L3	segment_Chaha_R1	segment_Chaha_R2	segment_Chaha_R3	SC_Chaha	SC_Chaha_L1	SC_Chaha_L2	SC_Chaha_L3	SC_Chaha_R1	SC_Chaha_R2	SC_Chaha_R3	PROSODY_Chaha	PROSODY_Chaha_L1	PROSODY_Chaha_L2	PROSODY_Chaha_L3	PROSODY_Chaha_R1	PROSODY_Chaha_R2	PROSODY_Chaha_R3	id_Endegagn	segment_Endegagn	segment_Endegagn_L1	segment_Endegagn_L2	segment_Endegagn_L3	segment_Endegagn_R1	segment_Endegagn_R2	segment_Endegagn_R3	SC_Endegagn	SC_Endegagn_L1	SC_Endegagn_L2	SC_Endegagn_L3	SC_Endegagn_R1	SC_Endegagn_R2	SC_Endegagn_R3	PROSODY_Endegagn	PROSODY_Endegagn_L1	PROSODY_Endegagn_L2	PROSODY_Endegagn_L3	PROSODY_Endegagn_R1	PROSODY_Endegagn_R2	PROSODY_Endegagn_R3	id_Ezha	segment_Ezha	segment_Ezha_L1	segment_Ezha_L2	segment_Ezha_L3	segment_Ezha_R1	segment_Ezha_R2	segment_Ezha_R3	SC_Ezha	SC_Ezha_L1	SC_Ezha_L2	SC_Ezha_L3	SC_Ezha_R1	SC_Ezha_R2	SC_Ezha_R3	PROSODY_Ezha	PROSODY_Ezha_L1	PROSODY_Ezha_L2	PROSODY_Ezha_L3	PROSODY_Ezha_R1	PROSODY_Ezha_R2	PROSODY_Ezha_R3	id_Geez	segment_Geez	segment_Geez_L1	segment_Geez_L2	segment_Geez_L3	segment_Geez_R1	segment_Geez_R2	segment_Geez_R3	SC_Geez	SC_Geez_L1	SC_Geez_L2	SC_Geez_L3	SC_Geez_R1	SC_Geez_R2	SC_Geez_R3	PROSODY_Geez	PROSODY_Geez_L1	PROSODY_Geez_L2	PROSODY_Geez_L3	PROSODY_Geez_R1	PROSODY_Geez_R2	PROSODY_Geez_R3	id_Gumer	segment_Gumer	segment_Gumer_L1	segment_Gumer_L2	segment_Gumer_L3	segment_Gumer_R1	segment_Gumer_R2	segment_Gumer_R3	SC_Gumer	SC_Gumer_L1	SC_Gumer_L2	SC_Gumer_L3	SC_Gumer_R1	SC_Gumer_R2	SC_Gumer_R3	PROSODY_Gumer	PROSODY_Gumer_L1	PROSODY_Gumer_L2	PROSODY_Gumer_L3	PROSODY_Gumer_R1	PROSODY_Gumer_R2	PROSODY_Gumer_R3	id_Gura	segment_Gura	segment_Gura_L1	segment_Gura_L2	segment_Gura_L3	segment_Gura_R1	segment_Gura_R2	segment_Gura_R3	SC_Gura	SC_Gura_L1	SC_Gura_L2	SC_Gura_L3	SC_Gura_R1	SC_Gura_R2	SC_Gura_R3	PROSODY_Gura	PROSODY_Gura_L1	PROSODY_Gura_L2	PROSODY_Gura_L3	PROSODY_Gura_R1	PROSODY_Gura_R2	PROSODY_Gura_R3	id_Gyeto	segment_Gyeto	segment_Gyeto_L1	segment_Gyeto_L2	segment_Gyeto_L3	segment_Gyeto_R1	segment_Gyeto_R2	segment_Gyeto_R3	SC_Gyeto	SC_Gyeto_L1	SC_Gyeto_L2	SC_Gyeto_L3	SC_Gyeto_R1	SC_Gyeto_R2	SC_Gyeto_R3	PROSODY_Gyeto	PROSODY_Gyeto_L1	PROSODY_Gyeto_L2	PROSODY_Gyeto_L3	PROSODY_Gyeto_R1	PROSODY_Gyeto_R2	PROSODY_Gyeto_R3	id_Harari	segment_Harari	segment_Harari_L1	segment_Harari_L2	segment_Harari_L3	segment_Harari_R1	segment_Harari_R2	segment_Harari_R3	SC_Harari	SC_Harari_L1	SC_Harari_L2	SC_Harari_L3	SC_Harari_R1	SC_Harari_R2	SC_Harari_R3	PROSODY_Harari	PROSODY_Harari_L1	PROSODY_Harari_L2	PROSODY_Harari_L3	PROSODY_Harari_R1	PROSODY_Harari_R2	PROSODY_Harari_R3	id_Inor	segment_Inor	segment_Inor_L1	segment_Inor_L2	segment_Inor_L3	segment_Inor_R1	segment_Inor_R2	segment_Inor_R3	SC_Inor	SC_Inor_L1	SC_Inor_L2	SC_Inor_L3	SC_Inor_R1	SC_Inor_R2	SC_Inor_R3	PROSODY_Inor	PROSODY_Inor_L1	PROSODY_Inor_L2	PROSODY_Inor_L3	PROSODY_Inor_R1	PROSODY_Inor_R2	PROSODY_Inor_R3	id_Kistane	segment_Kistane	segment_Kistane_L1	segment_Kistane_L2	segment_Kistane_L3	segment_Kistane_R1	segment_Kistane_R2	segment_Kistane_R3	SC_Kistane	SC_Kistane_L1	SC_Kistane_L2	SC_Kistane_L3	SC_Kistane_R1	SC_Kistane_R2	SC_Kistane_R3	PROSODY_Kistane	PROSODY_Kistane_L1	PROSODY_Kistane_L2	PROSODY_Kistane_L3	PROSODY_Kistane_R1	PROSODY_Kistane_R2	PROSODY_Kistane_R3	id_Mesqan	segment_Mesqan	segment_Mesqan_L1	segment_Mesqan_L2	segment_Mesqan_L3	segment_Mesqan_R1	segment_Mesqan_R2	segment_Mesqan_R3	SC_Mesqan	SC_Mesqan_L1	SC_Mesqan_L2	SC_Mesqan_L3	SC_Mesqan_R1	SC_Mesqan_R2	SC_Mesqan_R3	PROSODY_Mesqan	PROSODY_Mesqan_L1	PROSODY_Mesqan_L2	PROSODY_Mesqan_L3	PROSODY_Mesqan_R1	PROSODY_Mesqan_R2	PROSODY_Mesqan_R3	id_Muher	segment_Muher	segment_Muher_L1	segment_Muher_L2	segment_Muher_L3	segment_Muher_R1	segment_Muher_R2	segment_Muher_R3	SC_Muher	SC_Muher_L1	SC_Muher_L2	SC_Muher_L3	SC_Muher_R1	SC_Muher_R2	SC_Muher_R3	PROSODY_Muher	PROSODY_Muher_L1	PROSODY_Muher_L2	PROSODY_Muher_L3	PROSODY_Muher_R1	PROSODY_Muher_R2	PROSODY_Muher_R3	id_Silte	segment_Silte	segment_Silte_L1	segment_Silte_L2	segment_Silte_L3	segment_Silte_R1	segment_Silte_R2	segment_Silte_R3	SC_Silte	SC_Silte_L1	SC_Silte_L2	SC_Silte_L3	SC_Silte_R1	SC_Silte_R2	SC_Silte_R3	PROSODY_Silte	PROSODY_Silte_L1	PROSODY_Silte_L2	PROSODY_Silte_L3	PROSODY_Silte_R1	PROSODY_Silte_R2	PROSODY_Silte_R3	id_Tigre	segment_Tigre	segment_Tigre_L1	segment_Tigre_L2	segment_Tigre_L3	segment_Tigre_R1	segment_Tigre_R2	segment_Tigre_R3	SC_Tigre	SC_Tigre_L1	SC_Tigre_L2	SC_Tigre_L3	SC_Tigre_R1	SC_Tigre_R2	SC_Tigre_R3	PROSODY_Tigre	PROSODY_Tigre_L1	PROSODY_Tigre_L2	PROSODY_Tigre_L3	PROSODY_Tigre_R1	PROSODY_Tigre_R2	PROSODY_Tigre_R3	id_Tigrigna	segment_Tigrigna	segment_Tigrigna_L1	segment_Tigrigna_L2	segment_Tigrigna_L3	segment_Tigrigna_R1	segment_Tigrigna_R2	segment_Tigrigna_R3	SC_Tigrigna	SC_Tigrigna_L1	SC_Tigrigna_L2	SC_Tigrigna_L3	SC_Tigrigna_R1	SC_Tigrigna_R2	SC_Tigrigna_R3	PROSODY_Tigrigna	PROSODY_Tigrigna_L1	PROSODY_Tigrigna_L2	PROSODY_Tigrigna_L3	PROSODY_Tigrigna_R1	PROSODY_Tigrigna_R2	PROSODY_Tigrigna_R3	id_Wolane	segment_Wolane	segment_Wolane_L1	segment_Wolane_L2	segment_Wolane_L3	segment_Wolane_R1	segment_Wolane_R2	segment_Wolane_R3	SC_Wolane	SC_Wolane_L1	SC_Wolane_L2	SC_Wolane_L3	SC_Wolane_R1	SC_Wolane_R2	SC_Wolane_R3	PROSODY_Wolane	PROSODY_Wolane_L1	PROSODY_Wolane_L2	PROSODY_Wolane_L3	PROSODY_Wolane_R1	PROSODY_Wolane_R2	PROSODY_Wolane_R3	id_Zway	segment_Zway	segment_Zway_L1	segment_Zway_L2	segment_Zway_L3	segment_Zway_R1	segment_Zway_R2	segment_Zway_R3	SC_Zway	SC_Zway_L1	SC_Zway_L2	SC_Zway_L3	SC_Zway_R1	SC_Zway_R2	SC_Zway_R3	PROSODY_Zway	PROSODY_Zway_L1	PROSODY_Zway_L2	PROSODY_Zway_L3	PROSODY_Zway_R1	PROSODY_Zway_R2	PROSODY_Zway_R3
1	0.2000	5	1.0000	5	1	g	∅	∅	∅	ə	b	-	K	∅	∅	∅	E	P	_	1	∅	∅	∅	7	1	0																																																																																									2	g	∅	∅	∅	ə	b	-	K	∅	∅	∅	E	P	_	1	∅	∅	∅	7	1	0																																																																			3	g	∅	∅	∅	uː	-	-	K	∅	∅	∅	Y	_	_	1	∅	∅	∅	7	0	0																							4	g	∅	∅	∅	ə	b	-	K	∅	∅	∅	E	P	_	1	∅	∅	∅	7	1	0																																																																																																																																					5	g	∅	∅	∅	ə	b	ɨ	K	∅	∅	∅	E	P	I	1	∅	∅	∅	7	1	7
2	0.4000	4	0.8000	5	1	ə	g	∅	∅	b	-	s	E	K	∅	∅	P	_	S	7	1	∅	∅	1	0	3																																																																																									2	ə	g	∅	∅	b	-	s	E	K	∅	∅	P	_	S	7	1	∅	∅	1	0	3																																																																			3	uː	g	∅	∅	-	-	s	Y	K	∅	∅	_	_	S	7	1	∅	∅	0	0	3																							4	ə	g	∅	∅	b	-	s	E	K	∅	∅	P	_	S	7	1	∅	∅	1	0	3																																																																																																																																					5	ə	g	∅	∅	b	ɨ	s	E	K	∅	∅	P	I	S	7	1	∅	∅	1	7	3
3	0.6000	3	0.6000	5	1	b	ə	g	∅	-	s	∅	P	E	K	∅	_	S	∅	1	7	1	∅	0	3	∅																																																																																									2	b	ə	g	∅	-	s	∅	P	E	K	∅	_	S	∅	1	7	1	∅	0	3	∅																																																																			3	-	uː	g	∅	-	s	∅	_	Y	K	∅	_	S	∅	0	7	1	∅	0	3	∅																							4	b	ə	g	∅	-	s	∅	P	E	K	∅	_	S	∅	1	7	1	∅	0	3	∅																																																																																																																																					5	b	ə	g	∅	ɨ	s	∅	P	E	K	∅	I	S	∅	1	7	1	∅	7	3	∅
4	0.8000	2	0.4000	5	1	-	b	ə	g	s	∅	∅	_	P	E	K	S	∅	∅	0	1	7	1	3	∅	∅																																																																																									2	-	b	ə	g	s	∅	∅	_	P	E	K	S	∅	∅	0	1	7	1	3	∅	∅																																																																			3	-	-	uː	g	s	∅	∅	_	_	Y	K	S	∅	∅	0	0	7	1	3	∅	∅																							4	-	b	ə	g	s	∅	∅	_	P	E	K	S	∅	∅	0	1	7	1	3	∅	∅																																																																																																																																					5	ɨ	b	ə	g	s	∅	∅	I	P	E	K	S	∅	∅	7	1	7	1	3	∅	∅
5	1.0000	1	0.2000	5	1	s	-	b	ə	∅	∅	∅	S	_	P	E	∅	∅	∅	3	0	1	7	∅	∅	∅																																																																																									2	s	-	b	ə	∅	∅	∅	S	_	P	E	∅	∅	∅	3	0	1	7	∅	∅	∅																																																																			3	s	-	-	uː	∅	∅	∅	S	_	_	Y	∅	∅	∅	3	0	0	7	∅	∅	∅																							4	s	-	b	ə	∅	∅	∅	S	_	P	E	∅	∅	∅	3	0	1	7	∅	∅	∅																																																																																																																																					5	s	ɨ	b	ə	∅	∅	∅	S	I	P	E	∅	∅	∅	3	7	1	7	∅	∅	∅
1	0.1250	8	1.0000	13																							6	m	∅	∅	∅	ə	-	-	M	∅	∅	∅	E	_	_	4	∅	∅	∅	7	0	0	7	m	∅	∅	∅	ə	t	a	M	∅	∅	∅	E	T	A	4	∅	∅	∅	7	1	7																																																																																																																																																																																																																																																																																																																																																																
2	0.2500	7	0.8750	13																							6	ə	m	∅	∅	-	-	kː	E	M	∅	∅	_	_	K	7	4	∅	∅	0	0	1	7	ə	m	∅	∅	t	a	g	E	M	∅	∅	T	A	K	7	4	∅	∅	1	7	1																																																																																																																																																																																																																																																																																																																																																																
3	0.3750	6	0.7500	13																							6	-	ə	m	∅	-	kː	a	_	E	M	∅	_	K	A	0	7	4	∅	0	1	7	7	t	ə	m	∅	a	g	ə	T	E	M	∅	A	K	E	1	7	4	∅	7	1	7																																																																																																																																																																																																																																																																																																																																																																
4	0.5000	5	0.6250	13																							6	-	-	ə	m	kː	a	tʃː	_	_	E	M	K	A	T	0	0	7	4	1	7	1	7	a	t	ə	m	g	ə	tʃ	A	T	E	M	K	E	T	7	1	7	4	1	7	1																																																																																																																																																																																																																																																																																																																																																																
5	0.6250	4	0.5000	13																							6	kː	-	-	ə	a	tʃː	a	K	_	_	E	A	T	A	1	0	0	7	7	1	7	7	g	a	t	ə	ə	tʃ	a	K	A	T	E	E	T	A	1	7	1	7	7	1	7																																																																																																																																																																																																																																																																																																																																																																
6	0.7500	3	0.3750	13																							6	a	kː	-	-	tʃː	a	∅	A	K	_	_	T	A	∅	7	1	0	0	1	7	∅	7	ə	g	a	t	tʃ	a	∅	E	K	A	T	T	A	∅	7	1	7	1	1	7	∅																																																																																																																																																																																																																																																																																																																																																																
7	0.8750	2	0.2500	13																							6	tʃː	a	kː	-	a	∅	∅	T	A	K	_	A	∅	∅	1	7	1	0	7	∅	∅	7	tʃ	ə	g	a	a	∅	∅	T	E	K	A	A	∅	∅	1	7	1	7	7	∅	∅																																																																																																																																																																																																																																																																																																																																																																
8	1.0000	1	0.1250	13																							6	a	tʃː	a	kː	∅	∅	∅	A	T	A	K	∅	∅	∅	7	1	7	1	∅	∅	∅	7	a	tʃ	ə	g	∅	∅	∅	A	T	E	K	∅	∅	∅	7	1	7	1	∅	∅	∅																																																																																																																																																																																																																																																																																																																																																																
1	0.2000	5	1.0000	16																																													8	ʔ	∅	∅	∅	a	g	a	H	∅	∅	∅	A	K	A	1	∅	∅	∅	7	1	7	9	ʔ	∅	∅	∅	a	g	a	H	∅	∅	∅	A	K	A	1	∅	∅	∅	7	1	7																																																																																									10	ʔ	∅	∅	∅	a	g	a	H	∅	∅	∅	A	K	A	1	∅	∅	∅	7	1	7																																																																																																																																																																																																																												
2	0.4000	4	0.8000	16																																													8	a	ʔ	∅	∅	g	a	t	A	H	∅	∅	K	A	T	7	1	∅	∅	1	7	1	9	a	ʔ	∅	∅	g	a	d	A	H	∅	∅	K	A	T	7	1	∅	∅	1	7	1																																																																																									10	a	ʔ	∅	∅	g	a	l	A	H	∅	∅	K	A	L	7	1	∅	∅	1	7	5																																																																																																																																																																																																																												
3	0.6000	3	0.6000	16																																													8	g	a	ʔ	∅	a	t	∅	K	A	H	∅	A	T	∅	1	7	1	∅	7	1	∅	9	g	a	ʔ	∅	a	d	∅	K	A	H	∅	A	T	∅	1	7	1	∅	7	1	∅																																																																																									10	g	a	ʔ	∅	a	l	∅	K	A	H	∅	A	L	∅	1	7	1	∅	7	5	∅																																																																																																																																																																																																																												
4	0.8000	2	0.4000	16																																													8	a	g	a	ʔ	t	∅	∅	A	K	A	H	T	∅	∅	7	1	7	1	1	∅	∅	9	a	g	a	ʔ	d	∅	∅	A	K	A	H	T	∅	∅	7	1	7	1	1	∅	∅																																																																																									10	a	g	a	ʔ	l	∅	∅	A	K	A	H	L	∅	∅	7	1	7	1	5	∅	∅																																																																																																																																																																																																																												
5	1.0000	1	0.2000	16																																													8	t	a	g	a	∅	∅	∅	T	A	K	A	∅	∅	∅	1	7	1	7	∅	∅	∅	9	d	a	g	a	∅	∅	∅	T	A	K	A	∅	∅	∅	1	7	1	7	∅	∅	∅																																																																																									10	l	a	g	a	∅	∅	∅	L	A	K	A	∅	∅	∅	5	7	1	7	∅	∅	∅																																																																																																																																																																																																																												
1	0.1429	7	1.0000	20																																																																			11	g	∅	∅	∅	ə	m	b	K	∅	∅	∅	E	M	P	1	∅	∅	∅	7	4	1	12	g	∅	∅	∅	ə	m	b	K	∅	∅	∅	E	M	P	1	∅	∅	∅	7	4	1																																																																																																															13	g	∅	∅	∅	ə	m	b	K	∅	∅	∅	E	M	P	1	∅	∅	∅	7	4	1																																																																																																																																																											14	g	∅	∅	∅	ə	m	b	K	∅	∅	∅	E	M	P	1	∅	∅	∅	7	4	1
2	0.2857	6	0.8571	20																																																																			11	ə	g	∅	∅	m	b	ə	E	K	∅	∅	M	P	E	7	1	∅	∅	4	1	7	12	ə	g	∅	∅	m	b	ə	E	K	∅	∅	M	P	E	7	1	∅	∅	4	1	7																																																																																																															13	ə	g	∅	∅	m	b	ə	E	K	∅	∅	M	P	E	7	1	∅	∅	4	1	7																																																																																																																																																											14	ə	g	∅	∅	m	b	ə	E	K	∅	∅	M	P	E	7	1	∅	∅	4	1	7
3	0.4286	5	0.7143	20																																																																			11	m	ə	g	∅	b	ə	n	M	E	K	∅	P	E	N	4	7	1	∅	1	7	4	12	m	ə	g	∅	b	ə	nː	M	E	K	∅	P	E	N	4	7	1	∅	1	7	4																																																																																																															13	m	ə	g	∅	b	ə	n	M	E	K	∅	P	E	N	4	7	1	∅	1	7	4																																																																																																																																																											14	m	ə	g	∅	b	ə	l	M	E	K	∅	P	E	L	4	7	1	∅	1	7	5
4	0.5714	4	0.5714	20																																																																			11	b	m	ə	g	ə	n	ə	P	M	E	K	E	N	E	1	4	7	1	7	4	7	12	b	m	ə	g	ə	nː	a	P	M	E	K	E	N	A	1	4	7	1	7	4	7																																																																																																															13	b	m	ə	g	ə	n	a	P	M	E	K	E	N	A	1	4	7	1	7	4	7																																																																																																																																																											14	b	m	ə	g	ə	l	o	P	M	E	K	E	L	U	1	4	7	1	7	5	7
