COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	d e b e			
222-1	a b o b o n e			
208-1	e b u ɾ b u d u			
962-1	e g o ɾ ʔ e			
203-1	e g u d i o			
138-1	s i l e			
504-1	ɗ ə s o o e			
662-1	ɗ e d a			
478-1	ɪ g ə ɗ e			
409-1	e ɾ e			
410-1	g u n d i			
256-1	ɗ eː l e			
622-1	n d u			
546-1	n d u			
547-1	s e d e o			
847-1	n e n d e g e			
95-1	b e ɗ i			
105-1	b ə n i			
510-1	b o s e			
951-1	m b ə m e ɾ e			
1116-1	m b ɪ m eː			
149-1	ɗ u eː ʔ i			
376-1	ɗ eː l i			
815-1	k o ɾ o e			
453-1	ɗ u ɗ e			
67-1	ɗ ɪ s e			
47-1	ɗ o k o d e			
869-1	ɗ ɪ d e			
57-1	k eː g u			
303-1	g e eː ʔ i e			
443-1	g eː ɾ e			
884-1	g u n d e			
166-1	g u n d i			
918-1	e b e ɾ e			
831-1	ɓ eː ʔ s e			
616-1	ɗ eː e			
84-1	ɓ o s e l e			
346-1	ɓ u h u l u			
601-1	ɓ i g i			
177-1	k ʔ e d e			
341-1	k ʔ o l e			
1066-1	d e n ɓ e ŋ e			
318-1	d ə s e			
241-1	m eː ʔ s o			
556-1	ɓ e n d u ŋ u			
191-1	ɗ e eː h e l			
458-1	e eː ʔ i eː ʔ i			
1-1	ɓ e ŋ ɓ i ɾ			
751-1	ɾ o			
864-1	e ŋ o n e			
154-1	e m e n ɓ i			
278-1	e m i l o ʔ e			
766-1	s ə ɾ e			
251-1	e g e ɾ u			
582-1	eː ʔ u ŋ			
6-1	e l i			
1106-1	n g o			
473-1	tʃ e n e			
1111-1	ɓ e l u			
957-1	m eː ɾ e			
41-1	b i e			
24-1	tʃ eː			
25-1	m eː ɾ e			
879-1	a b a ɾ a b e ɛ			
837-1	m ə ʃ i			
233-1	b eː b e o o			
938-1	ɗ u l a			
369-1	a ɾ e			
946-1	k e ŋ g o			
889-1	ɗ eː l e			
820-1	ə ʃ o ɾ e ɲ			
438-1	n d e n e			
468-2		l a b a		
222-2		aː b a b o ʔ i		
208-2		a b u r b u d u		
962-2		a g o r l a		
203-2		a g u d i ʔ		
138-2		ʃ i l e		
504-2		ɗ oː ʃ f a		
662-2		lː oː d a		
478-2		g oː ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		lː aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n ə n d i g i		
95-2		b ɛ ɗ i		
105-2		b i mː ɲ i		
510-2		b oː ʃ a		
951-2		m b ə m a r e		
1116-2		m b u m a		
149-2		lː u s ʔ i		
376-2		lː ɛ l i		
815-2		g o r a		
453-2		ɗ u ŋ e		
67-2		ɗ e ʃ e		
47-2		d u k ʔ u l a		
869-2		ɗ oː l a		
57-2		k aː g u		
303-2		g aː s ʔ i a		
443-2		g eː r a		
884-2		g n d i		
166-2		g u n d i		
918-2		a b a r e		
831-2		h n ʃ e		
616-2		b iː e		
84-2		h o ʃ a l a		
346-2		h oː h u l u		
601-2		s i g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
1066-2		f ɛ n s e ŋ a		
318-2		f i ʃ i		
241-2		m ɪ n ʃ o		
556-2		h a n d u ŋ u		
191-2		lː i oː lː i l		
458-2		a s ʔ i s ʔ i		
1-2		h a n ŋ i r		
751-2		r o		
864-2		a ŋ o n a		
154-2		a m aː n s i		
278-2		m i l u ʔ i		
766-2		ʃ oː r a		
251-2		a g oː r u		
582-2		u ʔ u ŋ		
6-2		a l i		
1106-2		ŋ g o		
473-2		ɲ i e		
1111-2		h a l u		
957-2		m a r e		
41-2		b i e		
24-2		s e		
25-2		a r e		
879-2		a b a r a b ɛ d		
566-2		aː f a ɲ f a r a s		
742-2		a g u		
1044-2		ʃ i m b i l u		
13-2		l h a m i s		
720-2		aː s ɛ l a		
837-2		m e ʃ i		
233-2		mː e mː i o		
938-2		mː u l n e		
369-2		a r e		
946-2		ʔ a ŋ g o		
889-2		mː eː l aː		
820-2		a ʃ o r e n		
405-2		b ə d a		
134-2		lː ʔ a ɗ i ʔ e		
1078-2		m iː h i		
429-2		b o ŋ o ʃ		
187-2		b i s k ʔ e		
438-2		n d i nː e		
468-3			s a b a	
222-3			a b a b n i	
208-3			a b u r b u d u	
962-3			a g ɔ r θ a	
203-3			a g u d i ʔ	
138-3			m ʃ l e	
504-3			ɗ ɔː ʃ f a	
662-3			s d d a	
478-3			eː g ɔː ɗ a	
409-3			a r e	
410-3			g u n d i	
256-3			s a l e	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a	
847-3			ɲ a n d i g i	
95-3			b ɛ ɗ i	
105-3			b n i	
510-3			b ɔ ʃ a	
951-3			m b θ m a r e	
1116-3			m b m a	
149-3			s u s ʔ i	
376-3			s a l i	
815-3			k ɔ r m a	
453-3			ɗ u ŋ e	
67-3			ɗ a ʃ e	
47-3			ɗ ɔ k ɔ s a	
869-3			ɗ ɔː s a	
57-3			k a g u	
303-3			g a s ʔ i a	
443-3			g r a	
884-3			g u n d i	
166-3			g u n d i	
918-3			a b ɛ r e	
831-3			h a m ʃ e	
616-3			bː iː e	
84-3			h ɔ ʃ a l e	
346-3			h ʊu̯ o h l u	
601-3			s i g i	
177-3			k ʔ a f a m	
341-3			k ʔ ɔ l a	
1066-3			f ɛ n s i ŋ a	
318-3			ʊ f eː s i	
241-3			m d m ʃ ɔ	
556-3			h a n d u ŋ u	
191-3			s a m b i l	
458-3			a s ʔ i s ʔ i	
1-3			h a a m r	
751-3			r ɔ	
