COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə t																		
63-1	ʔ a b ɨ ɲː																		
107-1	g ə mː ə ɲː ə																		
112-1	d ɨ b ə t ə																		
331-1	ʔ ɨ s ə																		
377-1	b ə zː ə a																		
381-1	ʔ a																		
417-1	dʒ ɨ r																		
451-1	s ə zː																		
454-1	ʔ a g ə s a																		
484-1	s ɨ s ɨ s ə																		
535-1	ʔ a g u s a																		
543-1	s ə r w																		
593-1	ʔ a b ə																		
640-1	ʔ ə																		
1-1	d ə t ə ɲː ə																		
65-1	tʼ ɨ r																		
212-1	ʔ a																		
244-1	ʔ a g b																		
248-1	ʔ ə r ɨ																		
293-1	ʔ ə zː o ɲː ə																		
373-1	ʔ ɨ h ə																		
408-1	b ə zː a																		
414-1	d ɨ r a																		
601-1	ʔ a s o																		
642-1	ʔ ɨ mː a																		
60-1	ʔ ə zː i s ə																		
115-1	ʔ ə b ə																		
209-1	s ə h ə s																		
242-1	ʔ a b ɨ s ə																		
415-1	j ɨ dʒː f																		
450-1	j ə zː																		
490-1	tʼ ɨ zː ə																		
638-1	s ɨ s f																		
645-1	ʔ a																		
160-1	d o zː o ɲː ə																		
208-1	ʔ ɨ mː f a																		
214-1	ʔ a b a																		
378-1	ʔ a g g ə																		
379-1	tʃʼ ə zː ɨ																		
409-1	ʔ a g																		
598-1	ʔ ɨ r ɨ																		
646-1	ʔ a																		
210-1	d ə mː u																		
215-1	ʔ ɨ																		
285-1	ʔ ɨ mː ɨ																		
332-1	ʔ a s ə s																		
380-1	ʔ a																		
412-1	s ə																		
64-1	d ɨ																		
67-1	w ɨ zː																		
251-1	ʔ ə dʒː a																		
294-1	ʔ ə r ə																		
597-1	ʔ ə n f ə																		
7-1	ʔ a																		
158-1	ʔ ə zː ə																		
372-1	ʔ ə n f o																		
374-1	b ə zː ə																		
375-1	s ə zː																		
411-1	ʔ ɨ dʒː a																		
541-1	ʔ ə ɲː ə s																		
6-1	ʔ ə zː ə a																		
113-1	b ɨ g																		
330-1	ʔ ə zː ɨ																		
448-1	ʔ ə mː																		
449-1	ʔ a																		
491-1	d ɨ mː f																		
596-1	ʔ ə g ə ɲː																		
4-1	ʔ ɨ n o																		
8-1	ʔ ə zː																		
106-1	ʔ ə zː ɨ																		
290-1	ʔ a g ə ɲː ə																		
489-1	ʔ ɨ zː o																		
602-1	ʔ ə mː f																		
2-1	ʔ ɨ r ə																		
3-1	ʔ ə dʒː f																		
213-1	ʔ a																		
486-1	ʔ ə zː ə ɲː ə																		
647-1	ʔ ɨ																		
10-1	tʼ ɨ dʒː ə																		
110-1	d ɨ t o																		
152-1	ʔ a																		
211-1	ʔ ə mː a s																		
328-1	s ə ɲː ə ɲː																		
333-1	ʔ ə mː u s																		
334-1	ʔ a																		
410-1	ʔ ə																		
540-1	ʔ ɨ t																		
109-1	ʔ ə r f																		
153-1	ʔ ɨ w u																		
250-1	ʔ ɨ zː																		
289-1	ʔ ɨ dʒː																		
326-1	ʔ ə zː																		
594-1	ʔ ə																		
154-1	ʔ a																		
245-1	ʔ ə w																		
247-1	ʔ ɨ mː f																		
