COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a s ɨ m																		
107-1	g ə m ə r																		
112-1	d ə b ə n ə																		
331-1	n ɨ g u s																		
377-1	b ə kʼː u																		
381-1	ʔ a tʃː																		
417-1	r u r																		
451-1	s ə b a																		
454-1	ʔ a tʃʼ ɨ r																		
484-1	s ɨ d ɨ s																		
535-1	ʔ a s ɨ r																		
543-1	s ə s																		
593-1	ʔ a m u m																		
640-1	m ə m																		
1-1	d ə b ə r ə																		
65-1	tʼ ɨ b																		
212-1	ʔ a n																		
244-1	ʔ a r b																		
248-1	m u r																		
293-1	f ə r ə z																		
373-1	kʼ ɨ m a																		
408-1	b ə r a																		
414-1	d ɨ b a																		
601-1	ʔ a r o																		
642-1	n ɨ n a s																		
60-1	n ə f ə s ə																		
115-1	ʔ a r																		
209-1	s ə n																		
242-1	ʔ a m ɨ s																		
415-1	tʼ ɨ n a																		
450-1	g ə r																		
490-1	tʼ ɨ b																		
638-1	s ɨ n g																		
645-1	kʼ a r																		
160-1	d ə r ə kʼ ə																		
208-1	ʔ ɨ n kʼ u r																		
214-1	ʔ a b																		
378-1	ʔ a n g ə t																		
379-1	b ə tʼː ə																		
409-1	g a tʃː ə r																		
598-1	ʔ u r																		
646-1	ʔ a s ə																		
210-1	b ə n u																		
215-1	ʔ ɨ s																		
285-1	m ɨ d ɨ																		
332-1	ʔ a g																		
380-1	ʔ a s u																		
412-1	s ə s a n																		
64-1	d ə m o																		
67-1	w ɨ r																		
251-1	t ə kʼ																		
294-1	m ə lː u																		
597-1	ʔ ə n ə ə																		
7-1	ʔ a r g a																		
158-1	kʼ ə m ɨ																		
61-2		d ə m a																	
63-2		ʔ a r ɨ m																	
107-2		g a m ə																	
112-2		d a w ə r																	
331-2		n ɨ n																	
377-2		b ə kʼ u r																	
381-2		ʔ a x																	
417-2		r a r a																	
451-2		s ə b a																	
454-2		ʔ a x ɨ r																	
484-2		s ɨ b ɨ s ɨ																	
535-2		ʔ a r ɨ r																	
543-2		s ə r ə																	
593-2		ʔ a m a s a																	
640-2		m a x																	
1-2		d a d ə r a																	
65-2		tʼ ɨ b																	
163-2		s ə tʃ ə																	
212-2		ʔ a d																	
244-2		ʔ a r b ə																	
248-2		m a r a m																	
293-2		k ə r a																	
373-2		kʼ ɨ b a																	
408-2		b ə r a																	
414-2		d ɨ b a																	
642-2		n ɨ n																	
60-2		n ə tʼː ə s																	
115-2		l a r a																	
209-2		s ɨ m																	
242-2		ʔ a m ɨ m a																	
415-2		dʒ ɨ n																	
450-2		dʒ ə r																	
490-2		tʼ ɨ w																	
645-2		kʼ a r																	
160-2		d ə r a kʼ																	
208-2		ʔ ɨ n g ə r e																	
378-2		ʔ a n																	
379-2		dʒ ə n e n																	
409-2		g a x ə r																	
598-2		k ɨ d																	
646-2		ʔ a x g																	
210-2		dʒ ə tʼː																	
215-2		ʔ a x																	
285-2		m ɨ n m																	
380-2		ʔ a x a																	
412-2		s a x																	
496-2		s ɨ r a ə r																	
64-2		d a b a																	
251-2		k ə n																	
