COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a t ɨ m																		
107-1	g a n ə l																		
112-1	d ə bː ə r																		
331-1	n ɨ g u s																		
377-1	b ə kʼː u																		
381-1	ʔ a t																		
417-1	r u r ɨ																		
451-1	s ə w ə																		
454-1	ʔ a s ɨ r																		
484-1	s ɨ d ɨ s																		
535-1	ʔ a s ɨ r																		
543-1	s ə s ə																		
593-1	ʔ a m u s																		
640-1	m ə m																		
1-1	d ə b ə r ə																		
65-1	tʼ a b																		
212-1	ʔ a n																		
244-1	ʔ a r b t																		
248-1	m u l a l																		
293-1	f ɨ r ə z																		
373-1	kʼ ɨ m a																		
408-1	b ə r a																		
414-1	d ə b a																		
601-1	ʔ a r b																		
642-1	n ɨ f a s																		
60-1	n ə f ə s ə																		
115-1	ʔ a m																		
209-1	s ə n ə t																		
242-1	ʔ a m ɨ s																		
415-1	z ɨ n d																		
450-1	z ɨ r																		
490-1	tʼ ə b o																		
61-2		d ə m																	
63-2		ʔ a h ɨ m																	
107-2		ʔ a m ə																	
112-2		d a m ə r																	
331-2		n ɨ g a m																	
377-2		b ə kʼ u r																	
381-2		ʔ a t																	
417-2		r u nː e																	
451-2		s ə b a n																	
454-2		ʔ a tʃ ɨ r																	
484-2		s ɨ tʼ ɨ s																	
535-2		ʔ a s ɨ r																	
543-2		s ə s ə																	
593-2		ʔ a m u s																	
640-2		m a m																	
1-2		d e m ə r																	
65-2		tʼ u ʃ																	
163-2		s ə tʃ ə																	
212-2		ʔ a d																	
244-2		ʔ a r b ə																	
248-2		m u l a l  a																	
293-2		f ə r ə z																	
373-2		kʼ u m a l																	
408-2		b ə r a																	
414-2		d ɨ m a kʼ  a																	
642-2		n ɨ jː ɨ s																	
60-2		n ə f ə s																	
115-2		l a m a  a a																	
209-2		s ə m																	
242-2		ʔ a m ɨ s																	
415-2		z ɨ n k b																	
450-2		z ə r																	
490-2		d ə m ə																	
61-3			d ə m																
63-3			ʔ a t ɨ m																
107-3			g a m ə r a																
112-3			d a b ə n a																
331-3			n ɨ g w ɨ																
377-3			b ə kʼ o ə r																
381-3			ʔ a t																
417-3			r u z																
451-3			s ə b ə t																
454-3			ʔ a x u r																
484-3			s ɨ t ɨ s																
535-3			ʔ a s ɨ r																
543-3			s ə s ə																
593-3			ʔ a m i s																
640-3			m a a																
1-3			d ə b ə r ə m																
65-3			tʼ ə b  u																
163-3			s ə tʃʼ ə																
212-3			ʔ e n																
244-3			ʔ a r b ə																
248-3			m ɨ r a																
293-3			f ə r ə z ə																
373-3			kʼ ɨ m a r																
408-3			b ə r a																
414-3			d ə b a																
601-3			ʔ ə r																
642-3			n ɨ n a e																
60-3			n ə k ə s ə																
115-3			ʔ a m a																
209-3			s ɨ mː ə																
242-3			ʔ a m ɨ s																
415-3			z ɨ n a b																
450-3			z ə r																
490-3			tʼ ə b ə ə																
61-4				d ə m															
63-4				ʔ a kː ə r															
107-4				g a m e															
112-4				d a b ə															
331-4				n u ʃ ə s															
377-4				b ə s ə r															
381-4				ʔ a t ə															
417-4				w a r a															
451-4				s ə w a ə															
454-4				ʔ a s ə s															
484-4				s ɨ r ɨ r															
535-4				ʔ a s a r															
543-4				s a s t															
593-4				ʔ a m e s															
640-4				m a n															
1-4				d ə b ə															
65-4				ʔ ai̯ ʃ															
163-4				s ə kː ə															
408-4				b ə r a															
414-4				d ə b a															
601-4				ʔ ə r ə ə															
642-4				n ə r a ə															
60-4				n ə w ə s ə															
115-4				ʔ a m a															
450-4				g ə r ə															
490-4				ʔ ə ʔ a															
61-5					d ə m														
63-5					ʔ a tʼ ə m														
107-5					g a m ə r														
112-5					d a m ə r ə														
331-5					n ɨ g w ə r ə														
377-5					b ə mː w ə r														
381-5					ʔ a t ɨ														
417-5					r u mː a														
451-5					s ə b ə t														
454-5					ʔ a n ɨ r														
484-5					s ɨ nː ɨ s														
535-5					ʔ a n ɨ r														
543-5					s ə s ə														
593-5					ʔ a m w s														
640-5					m a a														
1-5					d ə b ə r ə														
65-5					tʼ ə t ə														
163-5					s ə tʼ ə														
212-5					ʔ ɨ n kʼ														
244-5					ʔ a r b ə														
248-5					m w mː a														
293-5					f ə r ə z ə														
373-5					kʼ ɨ m a r														
408-5					b ə r a														
414-5					d ə b a														
601-5					ʔ ə r b b ə														
642-5					n ɨ n a s														
60-5					n ə n ə s ə														
115-5					ʔ a m a														
209-5					s e m														
242-5					ʔ a m ɨ r														
415-5					z ɨ r a n														
450-5					z ə r														
490-5					tʼ ə b a ə														
61-6						d ə m ɨ													
63-6						ʔ a s b													
107-6						g ə m ɨ r													
112-6						d a b ə r													
331-6						n ɨ g w													
377-6						b ə kʼ ə													
381-6						ʔ a t ɨ													
417-6						r ɨ mː n													
451-6						s ə b ə ə													
454-6						ʔ ə l ʔ r													
484-6						s ə ʔ ɨ													
535-6						ʔ a s ɨ													
543-6						s ɨ s ʔ													
593-6						ʔ a m ɨ													
640-6						m ɨ n													
1-6						d ə b ə r													
163-6						s ə s ə													
212-6						ʔ ə n t													
244-6						ʔ a r b ə													
248-6						m ɨ l													
293-6						ʕ ə r ə r													
373-6						kʼ ɨ m ʔ													
408-6						b ə r a r													
601-6						ʔ ə r													
642-6						n ɨ r r s													
60-6						n ə r ə ə s													
115-6						ʔ ə m o													
242-6						ʔ a m ɨ													
415-6						z ɨ n t													
450-6						z ə r n ə													
490-6						t ə b													
61-7							d ə m												
63-7							ʔ a tʼ ɨ m												
107-7							g a m ə r a												
112-7							d a bː ə n ə												
331-7							n ɨ g w ɨ r												
377-7							b ə kʼ w r												
381-7							ʔ a t												
417-7							r ɨ z												
451-7							s ə b a t												
454-7							ʔ a n e r												
484-7							s ɨ d t s												
535-7							ʔ a sː o r												
543-7							s ə s a												
593-7							ʔ a m w a r												
640-7							m a ə												
1-7							d ə pː ə r ə												
65-7							tʼ ɨ b												
163-7							s ə n ə												
212-7							ʔ e m												
244-7							ʔ a l b ə t												
248-7							m w ə r												
293-7							f e r ə z ə												
373-7							kʼ ɨ m a r												
408-7							b ə r a												
414-7							d ɨ b a												
601-7							ʔ ə r o												
642-7							n ɨ r a s												
60-7							n ə f ə s ə												
115-7							ʔ a m												
209-7							s ɨ m w ə r												
242-7							ʔ a m a s												
415-7							z ɨ n a b ə												
450-7							z ə r												
490-7							tʼ ə pː w ə												
61-8								d ə m											
63-8								ʔ a tʼ ɨ m											
107-8								g a m ə r											
112-8								d a b ə r ə											
331-8								n ɨ g u ɨ											
377-8								b ə kʼ w r											
381-8								ʔ a t											
417-8								r ɨ z											
451-8								s ə b ə t											
454-8								ʔ a n u r											
484-8								s ɨ n ɨ r ɨ											
535-8								ʔ a s ɨ r											
543-8								s ə s ə											
593-8								ʔ a m w r											
640-8								m a ə											
1-8								d ə b ə r ə											
65-8								tʼ ɨ b											
163-8								s ə n ə											
212-8								ʔ e n											
244-8								ʔ a r b ə t											
248-8								m w r a											
293-8								f e r ə z ə											
373-8								kʼ ɨ m a r											
408-8								b ə r a											
414-8								d ɨ b a											
601-8								ʔ ə r ə											
642-8								n ɨ r a e											
60-8								n ə p ə s ə											
115-8								ʔ a m											
209-8								s ɨ m w t											
242-8								ʔ a m ɨ r											
415-8								z ɨ n a b											
450-8								z ə r											
