COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	t̪ a ŋ							
37-1	n a n							
46-1	n a n							
98-1	k a ŋ t̪ i l a							
125-1	b i j a ŋ t̪ a							
162-1	l a i s i							
171-1	o m ʃ a							
219-1	t a ŋ pʰ u							
247-1	ʃ a ŋ l u ŋ							
282-1	l u s p u							
292-1	k a ŋ							
301-1	l i							
354-1	m u m b a t i							
363-1	n a m b u							
397-1	ʃ a m ʃ i							
406-1	k a u							
426-1	m ă k p a							
473-1	pʰ i n a ŋ							
499-1	t̪ a m ă n							
526-1	ʃ a ʃ a							
544-1	k u							
553-1	k o t a ŋ							
599-1	ʃ o i t̪ a m							
608-1	b a n t̪ o							
617-1	j e n							
645-1	a n a							
663-1	s o ŋ t̪ u ɾ a							
672-1	t o ŋ p a							
681-1	pʰ i t̪ i							
690-1	m i ŋ							
708-1	t̪ aː pʰ i ŋ b u							
717-1	t̪ o k p u							
726-1	s i							
744-1	a p a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m o m n a ŋ							
836-1	p ʃ i							
881-1	l a m							
890-1	ʃ a ʃ a							
899-1	s e ɾ a							
926-1	ʃ a m							
944-1	ʃ a t̪ a ŋ							
953-1	ʃ a t̪ a ŋ							
980-1	t̪ a ʃ o ŋ							
998-1	pʰ a i							
1022-1	t̪ a t̪ u ɾ a							
1031-1	b i n a ŋ kʰ u k a							
1069-1	l o ʃ a ŋ t̪ a							
1079-1	ʃ a a ʃ a							
1098-1	j a ŋ pʰ u							
1117-1	l u n							
1141-1	ʃ i n b u							
1189-1	m a n							
1198-1	n u							
1208-1	t̪ a l a							
1217-1	l a n i a r							
1253-1	a m a							
1271-1	n o ʃ a ŋ							
1289-1	m i ŋ							
1316-1	ŋ a ŋ							
1325-1	k a m							
1334-1	s i ŋ m a							
1343-1	b i i n a ŋ							
1361-1	j e n a ŋ							
1370-1	n a t̪ u							
1388-1	m a n m a							
1397-1	t̪ u ɾ a							
1406-1	tʃ o ŋ							
1424-1	ʃ a t̪ a ŋ p a ɾ a							
1433-1	ʃ u ʃ u							
1442-1	l a m							
1451-1	b a ʃ a m							
1468-1	pʰ a k p a							
1477-1	ŋ a s							
1502-1	ŋ a m s u							
1511-1	m u ʃ t a ŋ m a							
1529-1	t̪ a l u							
1538-1	s o l u							
1557-1	l o i t̪ u m							
1618-1	i tʃʰ a							
1663-1	t̪ u m							
1689-1	ŋ o i							
1698-1	k u ŋ							
1707-1	m o ŋ n a ŋ							
1716-1	ŋ a m a							
1742-1	m u ʃ i							
1751-1	b u ʃ i l a							
1778-1	ʃ a							
1787-1	t̪ u ɾ a p u							
1823-1	l e m							
1832-1	k a ɾ a m a							
1842-1	l u ŋ							
1860-1	ŋ a m							
1869-1	ʃ u p t̪ a ŋ							
1888-1	ʃ a m p i							
1897-1	s e							
1932-1	t̪ i n a ŋ s o p k a							
1950-1	t̪ u							
1968-1	t o ŋ t a r a							
1978-1	k u t p a							
1987-1	s a m							
2015-1	ŋ a m k a							
2118-1	m o ŋ ʃ o o ŋ							
2238-1	ŋ a ɾ a a							
2507-1	t ă n u ŋ							
2526-1	l e h̥							
2535-1	ʃ a h̥							
2544-1	ʃ i ŋ							
2560-1	s o ŋ n i tʃ i ŋ							
2569-1	k a i t̪ u r							
2578-1	n i tʃ i ŋ							
2596-1	ʃ u ŋ							
2615-1	t̪ i							
2663-1	ʃ i t i							
2690-1	s i							
2719-1	t̪ i ʃ i							
2728-1	k o tʃ u ŋ							
2747-1	ʃ i ŋ							
2756-1	s e ɾ a b u							
2774-1	b o ʃ i ŋ							
19-1	n a ʃ i b a							
28-1	n a ʃ i b a k							
89-1	g a ŋ p u							
107-1	ʃ i m i							
190-1	p u tʃ i							
229-1	kʰ a							
257-1	pʰ a ŋ a							
338-1	b ɾ u ŋ							
436-1	t̪ u l u							
483-1	ʃ a							
535-1	s o s o							
571-1	ʃ e l e n ʃ i							
699-1	ɲ o ŋ p a							
845-1	ʃ o k							
971-1	t̪ i p u							
1049-1	b u							
1161-1	a m							
1180-1	ʃ a							
1226-1	l a ʃ i							
1235-1	n a m n i ŋ							
1280-1	t̪ i tʃ a							
1352-1	g u							
1379-1	s i							
1415-1	ʃ a							
1636-1	b e tʃ a							
1654-1	l i							
1680-1	k a n ʃ a							
1725-1	l a p tʃ e							
2127-1	ʃ a m k a							
2181-1	ʃ i l o							
2366-1	j a k p a							
2672-1	ɾ a g a							
2681-1	b a l a ŋ b o							
55-1	t̪ a t̪ i b a k							
80-1	ɲ u ŋ ɲ a							
116-1	t u l i							
210-1	g o i							
319-1	ʃ o a k a n							
453-1	a ŋ p u							
508-1	ŋ a m							
754-1	a tʃ i t̪ u ɾ							
764-1	t a t a ŋ b ɾ a u m a							
827-1	l i							
1244-1	t t o ŋ tʃ u ŋ m							
1460-1	ɕ o ŋ o							
1734-1	ʃ i m ʃ u							
2033-1	g o k p o							
2172-1	b i l o							
2209-1	b i t i ŋ pʰ i a							
2256-1	pʰ u k o							
2517-1	ŋ a m tʃ a							
2654-1	h̥ h̥ h̥ o ŋ							
2737-1	n i ɲ a							
415-1	h a u							
1013-1	ʃ e ʃ a ŋ a a							
1150-1	ʃ o ŋ a							
1584-1	t̪ a t̪ i l a m							
10-2		z a ŋ						
37-2		n a n						
46-2		n a n						
98-2		kʰ a ŋ tʰ i l a						
125-2		b e j ŋ ɾ a						
162-2		l e i z i						
171-2		o m ʃ a						
219-2		tʰ a ŋ p u						
247-2		tʰ a ŋ l u ŋ						
282-2		l u s p u						
292-2		kʰ a ŋ						
301-2		l i						
354-2		m u m b a tʰ i						
363-2		n a m b u						
397-2		g a m tʰ i						
406-2		kʰ a u						
426-2		m s k p a						
473-2		pʰ i n a ŋ						
499-2		z a m s n						
526-2		g a ʃ a						
544-2		kʰ u						
553-2		k o tʰ a ŋ						
599-2		g o i tʰ a m						
608-2		b a n tʰ o						
617-2		j e n						
645-2		a n a						
663-2		z o ŋ tʰ u r						
672-2		tʰ o ŋ p a						
681-2		tʰ e ɾ i						
690-2		m i ŋ						
708-2		tʰ a r i ŋ b u						
717-2		z o k p u						
726-2		z i						
744-2		a p a						
782-2		m i						
791-2		ŋ a						
800-2		ŋ a						
809-2		m o m n a ŋ						
836-2		p tʰ i						
