COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
2312		g o tʃ u				g o tʃ u		
464		t o tʃ a ŋ	t o tʃ a ŋ		t o tʃ a ŋ	t o tʃ a ŋ	t o ʃ a ŋ	
1132	b ă ŋ tʃ a ŋ		b ă ŋ tʃ a ŋ					b ă ŋ tʃ a ŋ
755		tʃ j a m t u ɾ t a	tʃ j a m t u ɾ t a					
2101		ʃ i n dʒ i		ʃ i n tʃʰ a m				
2100	ʃ i k a		ʃ i l o		ʃ i k a n	ʃ i k a n	ʃ i kʰ e n	
1307		t̪ʰ e p z a	t̪ʰ e p z a	k e p k a	t e p k a	t e p k a	t e p k a	k e p k a
1040	pʰ u i b u			pʰ o i b u				
2645	h ă ŋ		h ă ŋ		h ă ŋ			h ă ŋ
909		pʰ e l u l a	pʰ e l u l a		pʰ e l o	pʰ e l o	pʰ e l u l a	
2654	b o ŋ	b o ŋ	b o ŋ	b o ŋ	r a ŋ b o ŋ		b o ŋ	
238	kʰ a l u			kʰ a l u				kʰ a l u
864		g o ŋ			g o ŋ			
1761					s a ʔ	s a h̥		
2166					g r a n dʒ a m e kʰ e n		g r a ŋ g i m e kʰ e n	
1415	ɾ a	ɾ a	ɾ a		ɾ a	ɾ a	ɾ a	ɾ a
1603		r a	r a		ɾ u	r a	ɾ u	
563		s a ŋ b u	s a ŋ b o l a		s a ŋ b u	s a ŋ b u	s a ŋ b u	s a ŋ b u
257	tʰ a ŋ a	tʰ a ŋ a	tʰ a ŋ a	pʰ a ŋ a	tʰ a ŋ a	tʰ a ŋ a		tʰ a ŋ a
2646		h a ŋ j a				h a ŋ j a		
1013	g e s a ŋ	g e dʒ a ŋ j a			g e dʒ a ŋ		g e dʒ a ŋ	k e z a ŋ
517	t i ŋ p u			t i ŋ p u				
2517	ŋ a m tʃ a	ŋ a m tʃʰ a	ŋ a m tʃʰ a	n a m tʃ a ŋ	ŋ a m tʃ a		ŋ a m ts i	
493			ɾ i d o n	ɾ i d o n	ɾ i d o n	ɾ i d o n	ɾ i d o n	
2140					dʒ a kʰ ə n		dʒ a kʰ ə n	
1593	pʰ a i b ŭ ŋ n a ŋ			pʰ a i b ŭ ŋ n a ŋ				
1796	kʰ a b a ɾ a	kʰ a b a r		kʰ a b a r				pʰ a r
329		tʃ a n tʃ a ɾ a n	tʃ a n tʃ a ɾ a n		tʃ a n tʃ a ɾ a n	tʃ a n tʃ a ɾ a n	tʃ a n tʃ a ɾ a n	
