COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	m ə															
175-1	p ə															
241-1	p ə															
2163-1	p ə n															
2181-1	ɲ ə n															
2060-1	p ə n															
410-1	p ə															
1841-1	m ə															
2017-1	m ə															
1004-1	j ə															
614-1	p ə n															
686-1	p j ɛ															
88-1	p ɛ ʔ															
872-1	ɲ ə ŋ															
1891-1	p ə															
68-1	j ə n															
631-1	p ɛ ŋ															
594-1	g ə															
1759-1	m ə ŋ															
805-1	g ə n															
756-1	h ə t															
1201-1	p ɛ ʔ															
2042-1	p ə															
1968-1	p ə t															
2000-1	j ə ŋ															
17-1	h ə t															
4-1	p ə n															
788-1	p ə															
1219-1	j ə n															
141-1	p ə ŋ															
541-1	p r j a ŋ															
1687-1	j ə ŋ															
123-1	ɲ ə n															
1652-1	p ə n															
576-1	ɲ ə															
1738-1	p ə t															
442-1	j ə n															
368-1	p j ɛ ŋ															
1778-1	p ə t															
957-1	h ə t															
1704-1	p ə t															
304-1	j ə n															
1796-1	p ə ŋ															
720-1	p ə n															
287-1	p ɛ ʔ															
321-1	g ə n															
206-1	p ə t															
1950-1	p ɛ															
665-1	p j ɛ ŋ															
703-1	h ə t															
1290-1	m ə															
1391-1	p ə t															
269-1	p ɛ ʔ															
855-1	p ə n															
2078-1	j ə															
2213-1	m ə															
1858-1	j ə															
1151-1	g j ɛ ŋ															
737-1	p ɛ ʔ															
340-1	j ə															
1111-1	j ə															
485-1	m ə															
1356-1	j ə n															
1093-1	ʔ ɛ ɛ															
1063-1	p ə n															
648-1	p ə̆ ŋ															
223-1	p ɛ ŋ															
1248-1	m a															
1509-1	p ə n															
504-1	ʔ ɛ ɛ															
2130-1	m ə															
1-1	p ə															
386-1	j ə ʔ															
1411-1	p ɛ															
1027-1	g ə t															
1459-1	g j ɛ															
1323-1	m a															
1538-1	r j ɛ n															
975-1	ɲ ʔ ɛ n															
940-1	ɲ ə n															
1476-1	p ə n															
1923-1	ɲ ə															
105-1	j ə ŋ															
1431-1	p a															
1814-1	j a ŋ															
1183-1	ɲ ə ŋ															
1430-1	kʰ ɛ															
1721-1	p ə n															
1617-1	p ə t															
1564-1	h u															
2111-1	r ə															
1563-1	m a															
1597-1	n a ŋ															
1859-2		b ɔ														
175-2		kʰ ɔ w														
241-2		ʔ a d														
2163-2		b ɔ n														
2181-2		n ɔ n														
2060-2		ʔ a n														
410-2		d ɔ														
1841-2		b ɔ														
2017-2		h ɔi̯														
1004-2		l ɔ														
614-2		b əː h														
686-2		b l eː														
88-2		b w ɔ b														
872-2		n ɔ n														
1891-2		d ɔ														
68-2		tɕ ɔ n														
631-2		b w ɔ h														
594-2		b ɔ														
1759-2		h ɔ n														
805-2		b ɔ n														
756-2		h ɔ b														
1201-2		dʑ w ɔ ʔ														
2042-2		ʔ a														
1968-2		ʔ ɔ ʔ														
2000-2		l ɔ n														
17-2		ʔ ɔ ʔ														
4-2		tɕ əː ŋ														
788-2		kʰ o w														
1219-2		tɕ ɔ n														
141-2		ʔ a n														
541-2		b dʑ ɔ ɔ n														
1687-2		h ɔ n														
123-2		tɕ ɔ n														
1652-2		b ɔ au̯														
576-2		kʰ ɔ														
1738-2		ʔ ɔ b														
442-2		h ɔ k														
368-2		b l ɔ n														
1778-2		ʔ ɔ ʔ														
957-2		n ɔ ʔ														
1704-2		ʔ a d														
304-2		tɕ ɔ n														
1796-2		b ɔ au̯														
720-2		d eː h														
287-2		b ʔ ɔ p														
321-2		b eː h														
206-2		d ɔ b														
1950-2		ʔ a ɔ														
665-2		b w ɔ n														
703-2		n ɔ b														
1290-2		b ɔ														
1391-2		b ɔ ʔ														
269-2		b w ɔ ʔ														
855-2		ʔ ɔ n														
2078-2		kʰ ɔ w														
2213-2		b ɔ														
1111-2		kʰ ɔ w														
485-2		b ɔ														
1356-2		b ɔ h														
1093-2		d ɨ n														
1063-2		d ɔ n														
648-2		b eː n														
223-2		b ɔ n														
1248-2		b ɔ														
1509-2		d eː n														
504-2		b ɔ h														
2130-2		l eː														
1-2		ʔ a														
386-2		b ɔ b														
1411-2		ʔ a w														
1027-2		ʔ ɔ ʔ														
2077-2		n w kʰ ɔ h														
1459-2		dʑ o a														
1323-2		b a														
975-2		dʑ ʔ a h														
940-2		n ɔ dʑ														
1476-2		ʔ a h														
1923-2		n ɔ														
105-2		d ɔ n														
1431-2		ʔ a														
37-2		k ɔ dʑ														
1152-2		dʑ ʔ ɔːi̯ n														
1814-2		ɣ a n														
1183-2		n a ʔ														
1430-2		ʔ o														
1721-2		ɣ ɔ b														
1617-2		b ɨ b														
1564-2		b a ʔ														
2111-2		kʰ a														
1563-2		m a														
1859-3			n ɔː													
175-3			kʰ a													
241-3			ʔ a													
2163-3			h a													
2181-3			n ɔː m													
2060-3			tɕ o m													
410-3			h a													
1841-3			n ɔː													
2017-3			h i													
1004-3			s ɔː													
614-3			h ɔːi̯ h													
686-3			b r ɔː													
88-3			b l ɔː ʔ													
872-3			n ɔː n													
1891-3			s a													
68-3			h ɔː m													
631-3			b l ɔ													
594-3			s a													
1759-3			h i n													
805-3			h a n													
756-3			h i ʔ													
1201-3			b w ɔː													
2042-3			kʰ a													
1968-3			d a ʔ													
2000-3			s ɔː n													
17-3			h ɔː ʔ													
4-3			tɕ eː m													
788-3			kʰ a w													
1219-3			h ɔː m													
141-3			ʔ a n													
541-3			ʔ b j ɔː n													
1687-3			h i													
123-3			n ɔː m													
1652-3			h ɔː n													
576-3			kʰ ɔː													
1738-3			h a													
442-3			h ɔːi̯ m													
368-3			b j ɔː n													
1778-3			h a ɔ													
957-3			n ɔː ʔ													
1704-3			ʔ a													
304-3			j ɔː m													
1796-3			h ɔː n													
720-3			h a h													
287-3			b l ɔː													
321-3			h a h													
206-3			h a													
1950-3			b h ɔː													
665-3			b w ɔː n													
703-3			n ɔːi̯ ʔ													
1290-3			n ɔː													
1391-3			d a													
269-3			b w ɔː													
855-3			h ɔː n													
2078-3			kʰ ɔː													
2213-3			n ɔː													
1858-3			s ə													
1151-3			b j a r													
737-3			b h ɔ													
340-3			ʔ a													
1111-3			kʰ ə													
485-3			n ɔː													
1356-3			n ɔː h													
1093-3			ʔ a t													
1063-3			h a m													
648-3			h a n													
223-3			b l ɔː n													
1248-3			h ɔː													
1509-3			h a r													
504-3			ʔ ɔːi̯													
1-3			h ɔːi̯													
386-3			kʰ kʰ w w													
1411-3			kʰ a													
1027-3			d a													
2077-3			h b n ɔː													
1459-3			h r ɔː													
1323-3			n ɔː													
1538-3			b j a h													
975-3			n l ɔː													
940-3			n ɔː													
1476-3			h ɔː													
105-3			h ɔː n													
1431-3			h ɔː													
37-3			h a n													
1152-3			b l a n													
1814-3			n ɔː n													
1890-3			s ə													
1430-3			ʔ a													
1721-3			r ɔː													
1617-3			h ɔː													
1564-3			h ɔː													
1028-3			ʔ a													
1563-3			h ə													
1859-4				ə ə												
175-4				t a k												
241-4				t ə k												
2163-4				g ɨ k												
2181-4				n ɛː m												
2060-4				tɕ ə m												
410-4				t ɛː												
1841-4				ə ə												
2017-4				h ɛː												
1004-4				ə ə												
614-4				b ə k												
686-4				t ə ɛː												
88-4				t b ə m												
872-4				n ə m												
1891-4				t ə												
68-4				tɕ ə m												
631-4				t g ɛː k												
594-4				t ə												
1759-4				h ɔ n												
805-4				d ə n												
756-4				b ə m												
1201-4				m b ə m												
2042-4				t ə k												
1968-4				b a k												
2000-4				tɕ ə m												
17-4				b ɛː t												
4-4				tɕ ɛː m												
788-4				t ə k												
1219-4				tɕ ə m												
141-4				d ə ŋ												
541-4				t ɨ j ə m												
1687-4				h ə k												
