COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	kʰ u															
2181-1	n ă m															
2060-1	ʔ o m															
410-1	d ai̯															
1841-1	m aːu̯															
2017-1	h e															
1004-1	t ă															
614-1	b ou̯ h															
686-1	b l e															
88-1	k au̯ ʔ															
872-1	n ɨ															
1891-1	d ă															
68-1	s ɨi̯															
631-1	b ə̆ u															
594-1	g ă															
1759-1	h ă ɲ															
805-1	g e ɲ															
756-1	h u k															
1201-1	m o ʔ															
2042-1	ʔ ă															
1968-1	d ă ʔ															
2000-1	t ă ŋ															
17-1	v ă t															
4-1	pʰ ə m															
788-1	d ɛ															
1219-1	h ɨi̯															
141-1	ʔ ă ŋ															
541-1	b r j a ŋ															
1687-1	h u															
123-1																
1652-1	c ɨ ɲ															
576-1	ŋ au̯															
1738-1	d ă k															
442-1	h o m															
368-1	d j a ŋ															
1778-1	p ă t															
1859-2		ŋ ai̯														
175-2		k a														
241-2		ʔ uː ʔ														
2163-2		kʰ uː														
2181-2		n a m														
2060-2		ʔ oː m														
410-2		d aːi̯														
1841-2		m aːu̯														
2017-2		h ɔi̯														
1004-2		d aː														
614-2		b o h														
686-2		b l ɔːi̯														
88-2		g ɔ k														
872-2		n u ŋ														
1891-2		d aː														
68-2		s i m														
631-2		b e uː														
594-2		k aː														
1759-2		h a ɲ														
805-2		k i n														
756-2		h u k														
1201-2		m u dʑ														
2042-2		ʔ aː														
1968-2		d ɔ ʔ														
2000-2		d aː ŋ														
17-2		v a t														
4-2		pʰ eː m														
788-2		d ai̯														
1219-2		h i m														
141-2		ʔ aː ŋ														
541-2		b ɣ a ŋ														
1687-2		h uː														
123-2		u aː m														
1652-2		dʑ ə n														
576-2		ŋ a														
1738-2		d ɔ k														
442-2		h oː m														
368-2		d o ŋ														
1778-2		b a t														
1859-3			ŋ ɔːi̯													
175-3			k a													
241-3			ʔ uː t													
2163-3			kʰ uː r													
2181-3			n a													
2060-3			ʔ ɔː m													
410-3			ɗ aːi̯													
1841-3			m aːu̯													
2017-3			h i													
1004-3			d aː													
614-3			ɓ o h													
686-3			b l iː													
88-3			k a ʔ													
872-3			n ɨ n													
1891-3			ɗ aː													
68-3			s iː m													
