ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	PARTIAL_COGNACY	COGIDS
85	85_dipterocarpustuberculatusroxb	Dipterocarpus tuberculatus Roxb	ProtoKaren	Proto-Karen	*thəNᴬ	*thəNᴬ	tʰ ə ɴ ⁵⁵	kare1337			Sino-Tibetan	1	1
420	85_dipterocarpustuberculatusroxb	Dipterocarpus tuberculatus Roxb	Kayah	Kayah	thɔ³³	thɔ³³	tʰ ɔ ³³	kaya1317			Sino-Tibetan	1	1
711	85_dipterocarpustuberculatusroxb	Dipterocarpus tuberculatus Roxb	Kayan	Kayan	thə⁵³	thə⁵³	tʰ ə ⁵³	kaya1315	19.5183	97.4138	Sino-Tibetan	1	1
1012	85_dipterocarpustuberculatusroxb	Dipterocarpus tuberculatus Roxb	Kayaw	Kayaw	thə⁵⁵	thə⁵⁵	tʰ ə ⁵⁵	kaya1316			Sino-Tibetan	1	1
1315	85_dipterocarpustuberculatusroxb	Dipterocarpus tuberculatus Roxb	NorthernPao	Northern Pa-O	təŋ³¹ ̈	təŋ³¹̈	tʰ ə̤ ŋ ³¹	nort2705			Sino-Tibetan	1	1
1602	85_dipterocarpustuberculatusroxb	Dipterocarpus tuberculatus Roxb	NorthernPwo	Northern Pwo	thɑ̃⁵⁵	thɑ̃⁵⁵	tʰ ɑ̃ ⁵⁵	nort2704			Sino-Tibetan	1	1
1	1_allallgonewhole	all, all gone, whole	ProtoKaren	Proto-Karen	*loɁᴰ	*loɁᴰ	l o ʔ̚ ⁵¹	kare1337			Sino-Tibetan	10	10
345	1_allallgonewhole	all, all gone, whole	Kayah	Kayah	lɔ³³	lɔ³³	l ɔ ³³	kaya1317			Sino-Tibetan	10	10
643	1_allallgonewhole	all, all gone, whole	Kayan	Kayan	lɔɁ³³	lɔɁ³³	l ɔ ʔ ³³	kaya1315	19.5183	97.4138	Sino-Tibetan	10	10
935	1_allallgonewhole	all, all gone, whole	Kayaw	Kayaw	lə³³	lə³³	l ə ³³	kaya1316			Sino-Tibetan	10	10
1249	1_allallgonewhole	all, all gone, whole	NorthernPao	Northern Pa-O	loɁ⁴⁵	loɁ⁴⁵	l o ʔ ⁴⁵	nort2705			Sino-Tibetan	10	10
1528	1_allallgonewhole	all, all gone, whole	NorthernPwo	Northern Pwo	lauɁ²¹	lauɁ²¹	l au ʔ ²¹	nort2704			Sino-Tibetan	10	10
2121	1_allallgonewhole	all, all gone, whole	SouthernPao	Southern Pa-O	luɁ⁴⁵	luɁ⁴⁵	l u ʔ ⁴⁵	sout2712			Sino-Tibetan	10	10
2	2_ant	ant	ProtoKaren	Proto-Karen	*dəŋᴮ	*dəŋᴮ	d ə ŋ ¹¹	kare1337			Sino-Tibetan	21	21
346	2_ant	ant	Kayah	Kayah	tɔ¹¹	tɔ¹¹	t ɔ ¹¹	kaya1317			Sino-Tibetan	21	21
644	2_ant	ant	Kayan	Kayan	tə¹¹	tə¹¹	t ə ¹¹	kaya1315	19.5183	97.4138	Sino-Tibetan	21	21
936	2_ant	ant	Kayaw	Kayaw	tə¹¹	tə¹¹	t ə ¹¹	kaya1316			Sino-Tibetan	21	21
1250	2_ant	ant	NorthernPao	Northern Pa-O	təŋ⁵³	təŋ⁵³	tʰ ə ŋ ⁵³	nort2705			Sino-Tibetan	21	21
1529	2_ant	ant	NorthernPwo	Northern Pwo	thã¹¹ ̈	thã¹¹̈	tʰ ã ɦ ¹¹	nort2704			Sino-Tibetan	21	21
2122	2_ant	ant	SouthernPao	Southern Pa-O	təŋ⁵⁵	təŋ⁵⁵	t ə ŋ ⁵⁵	sout2712			Sino-Tibetan	21	21
2984	2_ant	ant	WesternBwe	Western Bwe	do³³	do³³	d o ³³	bwek1238	18.9796	96.9936	Sino-Tibetan	21	21
3	3_arrive	arrive	ProtoKaren	Proto-Karen	*təᴮ	*təᴮ	d ə ¹¹	kare1337			Sino-Tibetan	33	33
347	3_arrive	arrive	Kayah	Kayah	to¹¹	to¹¹	t o ¹¹	kaya1317			Sino-Tibetan	33	33
645	3_arrive	arrive	Kayan	Kayan	təɨ̯ ¹¹	təɨ̯_¹¹	t əɨ ¹¹	kaya1315	19.5183	97.4138	Sino-Tibetan	33	33
937	3_arrive	arrive	Kayaw	Kayaw	tə¹¹	tə¹¹	t ə ¹¹	kaya1316			Sino-Tibetan	33	33
1251	3_arrive	arrive	NorthernPao	Northern Pa-O	tə⁵⁵	tə⁵⁵	tʰ ə ⁵⁵	nort2705			Sino-Tibetan	33	33
1530	3_arrive	arrive	NorthernPwo	Northern Pwo	thɔ³³	thɔ³³	tʰ ɔ ³¹	nort2704			Sino-Tibetan	33	33
2123	3_arrive	arrive	SouthernPao	Southern Pa-O	tə³³	tə³³	t ə ³³	sout2712			Sino-Tibetan	33	33
2985	3_arrive	arrive	WesternBwe	Western Bwe	do³³	do³³	d o ³³	bwek1238	18.9796	96.9936	Sino-Tibetan	33	33
4	4_arrowdart	arrow, dart	ProtoKaren	Proto-Karen	*blaᴮ	*blaᴮ	b l a ¹¹	kare1337			Sino-Tibetan	46	46
348	4_arrowdart	arrow, dart	Kayah	Kayah	pla¹¹	pla¹¹	p l e ¹¹	kaya1317			Sino-Tibetan	46	46
646	4_arrowdart	arrow, dart	Kayan	Kayan	pla¹¹	pla¹¹	p l a ¹¹	kaya1315	19.5183	97.4138	Sino-Tibetan	46	46
938	4_arrowdart	arrow, dart	Kayaw	Kayaw	ple¹¹	ple¹¹	p l a ¹¹	kaya1316			Sino-Tibetan	46	46
1252	4_arrowdart	arrow, dart	NorthernPao	Northern Pa-O	pla⁵⁵	pla⁵⁵	pʰ l a ⁵³	nort2705			Sino-Tibetan	46	46
1531	4_arrowdart	arrow, dart	NorthernPwo	Northern Pwo	pla¹¹ ̈	pla¹¹̈	pʰ l a ɦ ¹¹	nort2704			Sino-Tibetan	46	46
2124	4_arrowdart	arrow, dart	SouthernPao	Southern Pa-O	pla³³	pla³³	p l a ⁵⁵	sout2712			Sino-Tibetan	46	46
2986	4_arrowdart	arrow, dart	WesternBwe	Western Bwe	blɛ³³	blɛ³³	b l ɛ ³³	bwek1238	18.9796	96.9936	Sino-Tibetan	46	46
5	5_ascendgouprise	ascend, go up, rise	ProtoKaren	Proto-Karen	*thaŋᴮ	*thaŋᴮ	tʰ a ŋ ¹¹	kare1337			Sino-Tibetan	59	59
349	5_ascendgouprise	ascend, go up, rise	Kayah	Kayah	thɛ¹¹	thɛ¹¹	tʰ ɛ ¹¹	kaya1317			Sino-Tibetan	59	59
647	5_ascendgouprise	ascend, go up, rise	Kayan	Kayan	thaŋ¹¹	thaŋ¹¹	tʰ a ŋ ¹¹	kaya1315	19.5183	97.4138	Sino-Tibetan	59	59
939	5_ascendgouprise	ascend, go up, rise	Kayaw	Kayaw	hɔ¹¹	hɔ¹¹	h ɔ ¹¹	kaya1316			Sino-Tibetan	60	60
1253	5_ascendgouprise	ascend, go up, rise	NorthernPao	Northern Pa-O	thaŋ⁵⁵	thaŋ⁵⁵	tʰ a ŋ ⁵⁵	nort2705			Sino-Tibetan	59	59
1532	5_ascendgouprise	ascend, go up, rise	NorthernPwo	Northern Pwo	thɛ̃³³	thɛ̃³³	tʰ ɛ̃ ³³	nort2704			Sino-Tibetan	59	59
2125	5_ascendgouprise	ascend, go up, rise	SouthernPao	Southern Pa-O	thaŋ³³	thaŋ³³	tʰ a ŋ ³³	sout2712			Sino-Tibetan	59	59
2987	5_ascendgouprise	ascend, go up, rise	WesternBwe	Western Bwe	tha³³	tha³³	tʰ a ³³	bwek1238	18.9796	96.9936	Sino-Tibetan	59	59
6	6_ashesfireplace	ashes, fireplace	ProtoKaren	Proto-Karen	*phaᴮ	*phaᴮ	pʰ a ¹¹	kare1337			Sino-Tibetan	72	72
350	6_ashesfireplace	ashes, fireplace	Kayah	Kayah	phe¹¹	phe¹¹	pʰ e ¹¹	kaya1317			Sino-Tibetan	72	72
648	6_ashesfireplace	ashes, fireplace	Kayan	Kayan	pha¹¹	pha¹¹	pʰ a ¹¹	kaya1315	19.5183	97.4138	Sino-Tibetan	72	72
940	6_ashesfireplace	ashes, fireplace	Kayaw	Kayaw	pha¹¹	pha¹¹	pʰ a ¹¹	kaya1316			Sino-Tibetan	72	72
