COGID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	ProtoKaren	SouthernPao	WesternBwe
21-1	t o Ø ³³							
33-1	t Ø ³³							
46-1	b l Ø ³³							
126-1	θ Ø ⁵⁵							
114-1	ɓ Ø ³³							
149-1	b l Ø ³³							
171-1	tʰ Ø ⁵⁵							
191-1	w ɛ Ø							
203-1	n ɪ ⁵⁵							
224-1	l Ø Ø							
275-1	kʰ Ø ³³							
302-1	u Ø							
315-1	tʰ o ¹¹							
394-1	n ɔ Ø							
431-1	b Ø ¹¹							
444-1	b ɛ ³³							
445-1	n Ø ³³							
514-1	θ i ³³							
555-1	kʰ w i ³³							
579-1	ʃ r Ø ⁵⁵							
603-1	kʰ Ø ³³							
737-1	l u ³³							
763-1	ʃ w e ³³							
870-1	kʰ i ¹¹							
918-1	o Ø							
979-1	l Ø ⁵⁵							
1013-1	m Ø ³³							
1040-1	tʰ w i ³³							
1027-1	m Ø ⁵⁵							
1053-1	l w i ³³							
1065-1	m Ø Ø ³³							
1091-1	m ʊ ⁵⁵							
1116-1	ɪ ³³							
1129-1	n Ø ³³							
1173-1	ɗ i ³³							
1207-1	ʃ Ø ⁵⁵							
1255-1	b i Ø							
1277-1	t ɛ Ø							
21-2		d o ³³						
33-2		d Ø ³³						
46-2		b l ɛ ³³						
126-2		θ ɛ ⁵⁵						
114-2		ɓ a ³³						
149-2		b l ɛ ³³						
171-2		tʰ ɛ ⁵⁵						
191-2		w ɛ Ø						
203-2		n i ⁵⁵						
224-2		l ɛ ¹¹						
275-2		kʰ ɛ ³³						
302-2		u ³³						
315-2		tʰ ɔ Ø						
394-2		n o ¹¹						
431-2		p ɛ Ø						
444-2		p ɛ Ø						
445-2		n ɛ ³³						
514-2		θ Ø Ø						
555-2		kʰ w i ³³						
579-2		ʃ r a ⁵⁵						
603-2		kʰ ɛ ³³						
737-2		l u ³³						
763-2		ʃ w ɛ ³³						
870-2		kʰ i Ø						
918-2		o ³³						
979-2		l a ³³						
1013-2		m ɛ ³³						
1040-2		tʰ w i ³³						
1027-2		m ɛ ³³						
1053-2		l w i ³³						
1065-2		m a ³³						
1091-2		m Ø ³³						
1116-2		i ³³						
1129-2		n ɛ ³³						
1173-2		ɗ i ³³						
1207-2		ʃ a ⁵⁵						
1255-2		b i ¹¹						
1277-2		d e ¹¹						
21-3			d o Ø ³³					
33-3			d o ³³					
46-3			b l ɛ ³³					
126-3			θ ɛ ⁵⁵					
114-3			ɓ ɛ r ³³					
149-3			p l ɛ ³³					
171-3			tʰ ɛ r ⁵⁵					
191-3			w ɛ r ⁵⁵					
203-3			n i ⁵⁵					
224-3			l ɛ ³³					
275-3			kʰ ɛ ³³					
302-3			u ⁵⁵					
315-3			tʰ ɔ ⁵⁵					
394-3			n ɔ ³³					
431-3			b ɛ ⁵⁵					
444-3			p ɛ ³³					
445-3			n ɛ ³³					
514-3			θ e ⁵⁵					
555-3			kʰ w i ³³					
579-3			ʃ r ɛ r ⁵⁵					
603-3			kʰ ɛ ³³					
737-3			l u ³³					
763-3			ʃ w ɛ ³³					
870-3			kʰ i ⁵⁵					
918-3			o r ⁵⁵					
979-3			l ɛ r ³³					
1013-3			m ɛ ³³					
1040-3			tʰ w i ³³					
1027-3			m ɛ ³³					
1053-3			l w i ³³					
1065-3			m ɛ Ø ³³					
1091-3			m u ³³					
1116-3			i ³³					
1129-3			n ɛ ³³					
1173-3			ɗ i ³³					
1207-3			ʃ ɛ r ⁵⁵					
1255-3			b e ³³					
1277-3			d ɛ ³³					
21-4				t o ³³				
33-4				t o ³³				
46-4				b l ɛ ³³				
126-4				θ ɛ ⁵⁵				
114-4				ɓ a ³³				
149-4				p l ɛ ¹¹				
171-4				tʰ a ⁵⁵				
191-4				w ɛ ³³				
203-4				n ɪ ⁵⁵				
224-4				l a ³³				
275-4				kʰ ɛ ³³				
302-4				u Ø				
315-4				tʰ ɔ ³³				
394-4				n o ¹¹				
431-4				pʰ a ³³				
444-4				p ɛ ³³				
445-4				n ɛ ³³				
514-4				θ i ³³				
555-4				kʰ w i ³³				
579-4				ʃ r a ⁵⁵				
603-4				kʰ ɛ ³³				
737-4				l u ³³				
763-4				ʃ ɛ ³³				
870-4				kʰ i ³³				
918-4				o Ø				
979-4				l a ³³				
1013-4				m ɛ ³³				
1040-4				tʰ i ³³				
1027-4				m ɛ ³³				
1053-4				l i ³³				
1065-4				m a ³³				
1091-4				m u ³³				
1116-4				ɪ ³³				
1129-4				n ɛ ³³				
1173-4				ɗ i ³³				
1207-4				ʃ a ⁵⁵				
1255-4				b i ¹¹				
1277-4				t e ¹¹				
21-5					d o ³³			
33-5					d Ø ³³			
46-5					b l ɛ ³³			
126-5					θ ɛ ⁵⁵			
114-5					Ø a ³³			
149-5					p l ɛ ³³			
171-5					tʰ a ⁵⁵			
191-5					w ɛ ³³			
203-5					n i ⁵⁵			
224-5					l a ¹¹			
275-5					kʰ ɛ ³³			
302-5					u ⁵⁵			
315-5					tʰ ɔ ³³			
394-5					n o ¹¹			
431-5					p a ³³			
444-5					p ɛ ³³			
445-5					n ɛ ³³			
514-5					θ i ³³			
555-5					kʰ w i ³³			
579-5					ʃ a ⁵⁵			
603-5					kʰ ɛ ³³			
737-5					l u ³³			
763-5					ʃ ɛ ³³			
870-5					kʰ i ³³			
918-5					o ⁵⁵			
979-5					l a ³³			
1013-5					m ɛ ³³			
1040-5					tʰ i ³³			
1027-5					m ɛ ³³			
1053-5					l i ³³			
1065-5					m a ³³			
1091-5					m u ³³			
1116-5					i ³³			
1129-5					n ɛ ³³			
1173-5					ɗ i ³³			
1207-5					ʃ a ⁵⁵			
1255-5					p i ³³			
1277-5					d i ¹¹			
21-6						d o ³³		
33-6						d o ³³		
46-6						b l ɛ ³³		
126-6						θ ɛ ⁵⁵		
114-6						ɓ a ³³		
149-6						p l ɛ ³³		
171-6						tʰ a ⁵⁵		
191-6						w ɛ ³³		
203-6						n ɪ ⁵⁵		
224-6						l a ¹¹		
275-6						kʰ ɛ ³³		
302-6						u ⁵⁵		
315-6						tʰ ɔ ³³		
394-6						n o ¹¹		
431-6						pʰ a ³³		
444-6						p ɛ ³³		
445-6						n ɛ ³³		
514-6						θ i Ø ³³		
555-6						kʰ w i ³³		
579-6						ʃ a ⁵⁵		
603-6						kʰ ɛ ³³		
737-6						l u ³³		
763-6						ʃ ɛ ³³		
870-6						kʰ ə ³³		
918-6						o ⁵⁵		
979-6						l a ³³		
1013-6						m ɛ ³³		
1040-6						tʰ i ³³		
1027-6						m ɛ ³³		
1053-6						l w i ³³		
1065-6						m a ³³		
1091-6						m r i ³³		
1116-6						ɪ ³³		
1129-6						n ɛ ³³		
1173-6						ɗ i ³³		
1207-6						ʃ a ⁵⁵		
1255-6						b ə ³³		
1277-6						d i ¹¹		
21-7							d o ³³	
33-7							d o ³³	
46-7							b l ɛ ³³	
126-7							θ r ɛ ⁵⁵	
114-7							ɓ a ³³	
149-7							p l ɛ ³³	
171-7							tʰ ɛ ⁵⁵	
191-7							w ɛ ³³	
203-7							n ɪ ⁵⁵	
224-7							l a Ø ¹¹	
275-7							kʰ ɛ ³³	
302-7							u ⁵⁵	
315-7							tʰ ɔ Ø ³³	
394-7							n o ¹¹	
431-7							pʰ a Ø ³³	
444-7							p ɛ Ø ³³	
445-7							n ɛ ³³	
514-7							θ i ³³	
555-7							kʰ w i ³³	
579-7							ʃ a ⁵⁵	
603-7							kʰ ɛ ³³	
737-7							l u ³³	
763-7							ʃ ɛ ³³	
870-7							kʰ ə Ø ³³	
918-7							o ⁵⁵	
979-7							l a ³³	
1013-7							m ɛ ³³	
1040-7							tʰ i ³³	
1027-7							m ɛ ³³	
1053-7							l w i ³³	
1065-7							m a ³³	
1091-7							m u ³³	
1116-7							ɪ ³³	
1129-7							n ɛ ³³	
1173-7							ɗ i ³³	
1207-7							ʃ a ⁵⁵	
1255-7							p ə Ø ¹¹	
1277-7							d i Ø ¹¹	
21-8								d o ³³
33-8								d o ³³
46-8								b l ɛ ³³
126-8								θ r ɛ ⁵⁵
114-8								ɓ a ³³
149-8								p l ɛ ³³
171-8								tʰ ɛ ⁵⁵
191-8								w ɛ ³³
203-8								n i ⁵⁵
224-8								l a ¹¹
275-8								kʰ ɛ ³³
302-8								u ⁵⁵
315-8								tʰ ɔ ³³
394-8								n o ¹¹
431-8								p a ³³
444-8								p ə ³³
445-8								n ɛ ³³
514-8								θ i ³³
555-8								kʰ w i ³³
579-8								ʃ a ⁵⁵
603-8								kʰ ɛ ³³
737-8								l u ³³
763-8								ʃ w ɛ ³³
870-8								kʰ i ³³
918-8								o ⁵⁵
979-8								l a ³³
1013-8								m ɛ ³³
1040-8								tʰ w i ³³
1027-8								m ɛ ³³
1053-8								l w i ³³
1065-8								m a ³³
1091-8								m u ³³
1116-8								i ³³
1129-8								n ɛ ³³
1173-8								ɗ i ³³
1207-8								ʃ a ⁵⁵
1255-8								p i ¹¹
1277-8								d e ¹¹
