COGID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	ProtoKaren	SouthernPao	WesternBwe
3192		k a ŋ ³³	k ɔ ³³	kʰ a ŋ ³³	kʰ ɛ̃ ⁵⁵	g a ŋ ⁵⁵	k a ŋ ⁵³	g a ¹¹
3236		pʰ r u ⁵³	pʰ r u ⁵⁵	pʰ r u ɦ ³¹	pʰ j u ⁵⁵	p r u ⁵⁵	p r u ɦ ³¹	pʰ r u ³³
3388	k u ¹¹	k au ¹¹	k u ¹¹	kʰ o ⁵³	kʰ u ɦ ¹¹	g o ¹¹	k o ⁵⁵	
3607	kʰ i ³³	kʰ i ⁵³	kʰ i ⁵⁵	kʰ i ŋ ⁵⁵	kʰ ãi ³⁵	kʰ i ŋ ⁵⁵	kʰ i ŋ ³³	
3693	j e ¹¹	ɟ a ŋ ¹¹		j a m ⁵³	j ã ɦ ¹¹	j a m ¹¹	j a m ⁵⁵	j ɛ ³³
3704	m ɔ ¹¹	m ə ¹¹	m ə ¹¹	m ɨ ŋ ⁵³	m ɑ̃ ɦ ¹¹	m ə ŋ ¹¹	m ə ŋ ⁵⁵	
3740	cʰ ə ¹¹		cʰ i ¹¹	ɕ i ⁵⁵	cʰ ei ³³	cʰ ei ¹¹	ɕ i ³³	ʃ i ³³
3775	l ɛ ¹¹		l ɔ ¹¹	l a ŋ ⁵⁵	l ɛ̃ ³⁵	l̥ a ŋ ¹¹	l a ŋ ³³	l a ³³
3776	t e ³³		t ɔ ³³	tʰ a ʔ ⁴⁵	tʰ a ʔ ²¹	d a ʔ̚ ⁵¹	t a ʔ ⁴⁵	d a ⁵⁵
3818	l e ¹¹	l a ŋ ³³	l ɔ ³³		l ã ⁵⁵	l a m ⁵⁵	l a m ⁵³	l ɛ ³³
3891	cʰ a ³³	ɕ i ⁵³	ɕ i ⁵⁵	cʰ ɛ ŋ ɦ ³¹	cʰ ãi ³⁵	cʰ ɛ ŋ ⁵⁵	cʰ ɛ ŋ ɦ ³¹	
3951	b u ³³	b au ⁵³	b u ⁵⁵	b w a ɦ ³¹		ˀb w w a ⁵⁵	b w a ɦ ³¹	ɓ ʊ ⁵⁵
4012	d a ⁵⁵		d e ³³	d e ʔ ²¹	d ai ʔ ⁴⁵	ˀd e ʔ̚ ⁵¹	d i ʔ ²¹	ɗ e ³³
4039		n w ɛ ¹¹	n ɛ ¹¹	n w ɛ ⁵⁵	n ɛ ³³	n̥ w ɛ ¹¹	n w ɛ ³³	n w ɛ ³³
4074	m a ¹¹	m w ɛ ¹¹	m ɛ ¹¹	m w ɛ ⁵³	m ɛ ɦ ¹¹	m w ɛ ¹¹	m w ɛ ⁵⁵	
4085	c e ¹¹	c a ¹¹	c a ¹¹	cʰ a ⁵³		ɟ a ¹¹	c a ⁵⁵	j ɛ ³³
72	pʰ e ¹¹	pʰ a ¹¹	pʰ a ¹¹	pʰ a ⁵⁵		pʰ a ¹¹	pʰ a ³³	
