COGID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	ProtoKaren	SouthernPao	WesternBwe
21-1	t ə ¹¹							
33-1	t ə ¹¹							
46-1	p l a ¹¹							
126-1	s a ⁵⁵							
114-1	b a ¹¹							
149-1	p l a ¹¹							
171-1	tʰ a ⁵⁵							
191-1	h w ɛ ³³							
203-1	n i ⁵⁵							
224-1	l a ³³							
275-1	kʰ a ¹¹							
302-1	ʔ u ⁵⁵							
315-1	tʰ ɔ ³³							
394-1	n o ³³							
431-1	pʰ a ³³							
444-1	p a ³³							
445-1	n a ¹¹							
514-1	s i ³³							
555-1	kʰ w i ¹¹							
579-1	ɕ a ⁵⁵							
603-1	kʰ a ¹¹							
737-1	l u ¹¹							
763-1	cʰ w ɛ ¹¹							
870-1	kʰ i ³³							
918-1	ʔ ə ⁵⁵							
979-1	l a ³³							
1013-1	m a ¹¹							
1040-1	tʰ w i ¹¹							
1027-1	m a ³³							
1053-1	l w i ¹¹							
1065-1	m a ¹¹							
1091-1	m u ³³							
1116-1	ʔ i ¹¹							
1129-1	n a ¹¹							
1173-1	d i ¹¹							
1207-1	cʰ a ⁵⁵							
1255-1	p i ³³							
1277-1	t e ³³							
1290-1	b u ¹¹							
1301-1	cʰ u ¹¹							
1337-1	m ɨ ¹¹							
1323-1	m u ¹¹							
1350-1	m i ¹¹							
1372-1	j ɛ ¹¹							
1498-1	d i ¹¹							
1664-1	l e ³³							
1652-1	ʔ ɔ ¹¹							
1687-1	s a ³³							
1708-1	s ɔ ¹¹							
1732-1	t o ¹¹							
1742-1	n o ¹¹							
1755-1	pʰ r ɨ ⁵⁵							
1767-1	s r i ³³							
1786-1	j a ³³							
1803-1	w a ³³							
1815-1	cʰ a ⁵⁵							
1840-1	p r e ³³							
1853-1	tʰ a ³³							
1866-1	s a ³³							
1894-1	l a ¹¹							
1934-1	c i ¹¹							
1947-1	kʰ a ¹¹							
1993-1	pʰ w i ⁵⁵							
2059-1	ʔ o ¹¹							
2098-1	j i ³³							
2086-1	tʰ o ⁵⁵							
2153-1	s ɨ ¹¹							
2180-1	l o ¹¹							
2205-1	kʰ w o ⁵⁵							
2328-1	l a ⁵⁵							
2349-1	j u ¹¹							
2372-1	m i ¹¹							
2388-1	m i ³³							
2413-1	d i ⁵⁵							
2637-1	p l o ¹¹							
2649-1	c u ⁵⁵							
2693-1	p ə ³³							
2755-1	s ɔ ³³							
2858-1	m i ⁵⁵							
2953-1	cʰ a ⁵⁵							
2986-1	cʰ a ³³							
3034-1	kʰ a ³³							
3088-1	p l ɛ ³³							
3113-1	p l i ⁵⁵							
3154-1	r u ¹¹							
3179-1	ɕ a ¹¹							
3246-1	d a ⁵⁵							
3259-1	c i ¹¹							
3282-1	tʰ ə ¹¹							
3295-1	cʰ a ¹¹							
