COGID	Kayah	Kayan	Kayaw	NorthernPao	NorthernPwo	ProtoKaren	SouthernPao	WesternBwe
21-1	d Ø Ø ³³							
33-1	d Ø ³³							
46-1	b l Ø ³³							
126-1	θ Ø ³³							
114-1	ɓ Ø ³³							
149-1	b l Ø ³³							
171-1	tʰ Ø ³³							
191-1	Ø Ø ɛ Ø							
203-1	n ɪ ³³							
224-1	l Ø Ø							
275-1	kʰ Ø ³³							
302-1	u Ø							
315-1	tʰ ɔ ³³							
394-1	n ɔ Ø							
431-1	pʰ Ø ³³							
444-1	ɓ ɛ Ø							
445-1	n Ø ³³							
514-1	θ ɪ ³³							
555-1	kʰ Ø Ø ³³							
579-1	ʃ Ø ³³							
603-1	kʰ Ø ³³							
737-1	l u ³³							
763-1	ʃ Ø Ø ³³							
870-1	kʰ Ø ³³							
918-1	Ø Ø							
979-1	l Ø ⁵⁵							
1013-1	b Ø ³³							
1040-1	tʰ Ø Ø ³³							
1027-1	b Ø ³³							
1053-1	l Ø Ø ³³							
1065-1	b Ø Ø ³³							
1091-1	b u ⁵⁵							
1116-1	ɪ ³³							
1129-1	n Ø ³³							
1173-1	ɗ i ³³							
1207-1	ʃ Ø ³³							
1255-1	b ɪ Ø							
1277-1	d e Ø							
1290-1	ɓ Ø Ø ³³							
1301-1	ʃ Ø Ø ³³							
1337-1	b u ³³							
1323-1	b u ³³							
1350-1	b ɪ ³³							
1372-1	Ø ɛ ³³							
1498-1	ɗ ɪ ³³							
1664-1	l e Ø							
1652-1	Ø ³³							
1687-1	θ Ø ³³							
1708-1	θ Ø ³³							
1732-1	d ɔ Ø ³³							
1742-1	n ɔ Ø							
1755-1	pʰ r u ³³							
1767-1	θ ɪ Ø							
1786-1	r j Ø ⁵⁵							
1803-1	Ø Ø ⁵⁵							
1815-1	ʃ Ø ³³							
1840-1	b r i Ø							
1853-1	tʰ Ø ³³							
1866-1	θ Ø ³³							
1894-1	l Ø ³³							
1934-1	Ø ɪ ³³							
1947-1	kʰ Ø ³³							
1993-1	pʰ Ø Ø ³³							
2059-1	ɔ ³³							
2098-1	j ɛ ³³							
2086-1	tʰ ɔ ³³							
2153-1	θ u ³³							
2180-1	l ɔ ³³							
2205-1	kʰ Ø ɔ ³³							
2328-1	l Ø Ø							
2349-1	j u ³³							
2372-1	b i ³³							
2388-1	b Ø ⁵⁵							
2413-1	ɗ ɪ ³³							
2637-1	b l ɔ ³³							
2649-1	k u Ø							
2693-1	b Ø ³³							
2755-1	θ ɔ ³³							
2858-1	b Ø Ø							
2953-1	ʃ Ø ³³							
2986-1	ʃ Ø ³³							
3034-1	kʰ Ø ³³							
3088-1	b l e Ø							
3113-1	b l ɪ ³³							
3154-1	r u ³³							
3179-1	ʃ Ø ³³							
3246-1	ɗ Ø Ø							
3259-1	ʃ Ø Ø ³³							
3282-1	tʰ Ø ³³							
3295-1	ʃ Ø ³³							
3338-1	l ɔ Ø ³³							
3351-1	b l i ⁵⁵							
3375-1	b u ³³							
3410-1	j ɔ ³³							
3423-1	b ɪ ³³							
3445-1	ʃ i ³³							
3485-1	b i ³³							
3500-1	b l ɔ ³³							
3545-1	d u ³³							
3557-1	θ Ø ³³							
3581-1	Ø Ø Ø							
3594-1	kʰ ɪ ³³							
3618-1	θ u ³³							
3654-1	b l ɪ ³³							
3667-1	d Ø Ø							
3680-1	kʰ l Ø ³³							
3763-1	b r ɔ ³³							
3850-1	b l Ø ³³							
3878-1	tʰ i ³³							
3903-1	tʰ Ø ³³							
3938-1	Ø Ø ³³							
3963-1	l Ø ³³							
3977-1	b Ø ³³							
1464-1	l Ø Ø Ø ³³							
10-1	l Ø ³³							
59-1	tʰ Ø ³³							
91-1	Ø Ø Ø ³³							
288-1	θ Ø Ø ³³							
316-1	b Ø Ø							
336-1	kʰ l i ³³							
371-1	ʃ Ø Ø Ø ³³							
383-1	θ i ³³							
408-1	pʰ ɪ ³³							
469-1	b r ɪ Ø							
567-1	θ Ø ɛ Ø							
592-1	Ø ə ³³							
646-1	θ i Ø							
666-1	ɓ Ø Ø							
696-1	b r Ø Ø							
634-1	pʰ l ɔ Ø Ø							
725-1	kʰ Ø Ø t ³³							
750-1	kʰ u Ø ³³							
823-1	kʰ l i ³³							
835-1	ɔ ³³							
894-1	n i ³³							
930-1	j ɔ Ø							
942-1	kʰ i ³³							
969-1	Ø Ø Ø							
1160-1	Ø Ø Ø							
1314-1	k Ø ³³							
1363-1	d Ø ³³							
1385-1	r Ø Ø							
1530-1	b Ø ə ³³							
1539-1	e Ø Ø							
1565-1	l i ³³							
1599-1	l Ø Ø							
1612-1	l u Ø							
1632-1	t ɔ Ø							
1643-1	k l o Ø ³³							
1676-1	k l Ø ³³							
1700-1	tʰ Ø ³³							
1829-1	θ Ø Ø							
1878-1	l e ³³							
1907-1	Ø Ø Ø							
2025-1	tʰ Ø Ø Ø							
2072-1	θ Ø Ø Ø ³³							
2111-1	Ø Ø ³³							
2193-1	pʰ Ø ³³							
2219-1	kʰ ɔ ³³							
2230-1	Ø ³³							
2255-1	Ø i Ø							
2279-1	Ø Ø ³³							
2320-1	j ɔ ³³							
2341-1	b Ø ³³							
2401-1	e Ø							
2442-1	Ø Ø ³³							
2468-1	n e ³³							
2480-1	b r Ø ³³							
2531-1	b ɔ ³³							
2559-1	k Ø ³³							
2590-1	pʰ ɔ Ø Ø							
2604-1	tʰ ɪ Ø							
2662-1	tʰ Ø Ø Ø Ø							
2673-1	θ Ø u Ø ³³							
2825-1	ɓ Ø ³³							
2846-1	tʰ Ø Ø ³³							
2881-1	Ø Ø Ø ³³							
2893-1	θ Ø Ø ³³							
2910-1	θ Ø ³³							
2922-1	ʃ Ø Ø ³³							
3047-1	pʰ Ø Ø							
3059-1	ɓ l e Ø ³³							
3167-1	b Ø ³³							
21-2		tʰ Ø Ø ³³						
33-2		tʰ Ø ³³						
46-2		Ø l ɛ ³³						
126-2		θ ɛ ³³						
114-2		ɓ a ³³						
149-2		Ø l ɛ ³³						
171-2		tʰ ɛ ³³						
191-2		Ø w ɛ Ø						
203-2		n i ³³						
224-2		l ɛ ¹¹						
275-2		kʰ ɛ ³³						
302-2		u ⁵⁵						
315-2		tʰ ɔ Ø						
394-2		n Ø ¹¹						
431-2		pʰ ɛ Ø						
444-2		Ø ɛ Ø						
445-2		n ɛ ³³						
514-2		θ Ø Ø						
555-2		kʰ w i ³³						
579-2		Ø a ³³						
603-2		kʰ ɛ ³³						
737-2		l u ³³						
763-2		Ø w ɛ ³³						
870-2		kʰ i Ø						
918-2		Ø ⁵⁵						
979-2		l a ³³						
1013-2		b ɛ ³³						
1040-2		tʰ w i ³³						
1027-2		b ɛ ³³						
1053-2		l w i ³³						
1065-2		b a Ø ³³						
1091-2		b Ø ³³						
1116-2		i ³³						
1129-2		n ɛ ³³						
1173-2		ɗ i ³³						
1207-2		Ø a ³³						
1255-2		Ø i ¹¹						
1277-2		tʰ ɛ ¹¹						
1290-2		ɓ Ø ³³						
1301-2		Ø Ø ³³						
1337-2		b o ³³						
1323-2		b u ³³						
1350-2		b i ³³						
1372-2		ɛ Ø ¹¹						
1498-2		ɗ i ³³						
1664-2		l Ø ¹¹						
1652-2		ɔ ³³						
1687-2		θ ɛ Ø						
1708-2		θ ɔ ³³						
1732-2		tʰ o Ø ³³						
1742-2		n o ³³						
1755-2		pʰ l u ³³						
1767-2		θ i Ø						
1786-2		j ɛ ³³						
1803-2		w ɛ ³³						
1815-2		Ø ɛ ³³						
1840-2		pʰ r Ø ¹¹						
1853-2		tʰ ɛ Ø						
1866-2		θ ɛ Ø						
1894-2		l ɛ ³³						
1934-2		Ø i ³³						
1947-2		kʰ a ³³						
1993-2		pʰ w i ³³						
2059-2		ɔ ³³						
2098-2		j ɛ ¹¹						
2086-2		tʰ o ³³						
2153-2		θ Ø ³³						
2180-2		l o ³³						
2205-2		kʰ w o ³³						
2328-2		l ɛ ⁵⁵						
2349-2		j u ³³						
2372-2		b i ³³						
2388-2		b i ³³						
2413-2		ɗ i ⁵⁵						
2637-2		Ø l u ³³						
2649-2		Ø u ⁵⁵						
2693-2		Ø Ø ³³						
2755-2		θ ɔ Ø						
2858-2		b i ⁵⁵						
2953-2		Ø ɛ ³³						
2986-2		Ø ɛ Ø						
3034-2		kʰ ɛ Ø						
3088-2		Ø l ɛ ¹¹						
3113-2		Ø l i ³³						
3154-2		r u ³³						
3179-2		Ø a ³³						
3246-2		ɗ ɛ ⁵⁵						
3259-2		j i Ø ³³						
3282-2		tʰ Ø ³³						
3295-2		Ø ɛ ³³						
3338-2		l o Ø ³³						
3351-2		Ø l i ³³						
3375-2		b o ³³						
3410-2		j ɔ Ø						
