COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	ɾ o ɣ d o ŋ						
514-1	m i k						
464-1	s̪ n̪ ɑ						
1020-1	n̪ ɜ m s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕ e						
302-1	b l ɜ ŋ						
237-1	l̪ t̪ Ø ɑ						
205-1	p r̪ ɜ x p ɜ						
1089-1	l ɜ x Ø ɪ l						
804-1	k ɜ ŋ m ɜ						
1263-1	b ɑ x s̪ p ɑ						
286-1	ɾ u s̪ p ɑ						
717-1	s̪ n̪ i ŋ						
269-1	kʰ r̪ ɜ Ø						
1512-1	x tɕ i n̪						
555-1	Ø ɜ k p ɜ						
751-1	n̪ ɜ ŋ						
439-1	z̪ g o						
601-1	ɕ i ŋ						
320-1	Ø ɜ x m ɜ						
1106-1	b u s̪ s̪						
693-1	h ɜ Ø o Ø ɑ						
221-1	s̪ t̪ ɜ r̪ e						
1199-1	t̪ʰ ɜ Ø p ɑ						
1424-1	s̪ k u t̪ p ɑ						
904-1	l z̪ o t̪						
1273-1	x n̪ ɜ m						
1323-1	s̪ k ɜ r̪ m ɜ						
1127-1	tɕʰ ɜ r̪ p ɑ						
1529-1	tɕʰ u						
1175-1	ɾ ɣ ɛ m Ø o						
383-1	p s̪ ɪ l						
820-1	l̪ o k						
1636-1	x l̪ u ŋ						
1331-1	ʊ ɾ d̪ Ø ɑ						
1097-1	l ɜ m						
1223-1	Ø ɜ ŋ ɜ						
592-1	m e						
1290-1	t̪ u t̪ p ɜ						
669-1	x s̪ ɛ ɾ						
1472-1	s̪ t̪ ɑ ɾ Ø i						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m p ɑ						
626-1	m ɪ n̪ d o Ø						
844-1	ɑ m						
879-1	tɕʰ ɑ						
1151-1	b r̪ ɜ s̪						
1119-1	ɑ l u						
365-1	s̪ ȵ ɛ r̪ m ɜ						
1480-1	j u ŋ						
653-1	z̪ g o k p ɑ						
1081-1	Ø o ŋ						
1448-1	p ɑ ɣ ɜ n̪						
1029-1	m ɑ ɾ						
863-1	ɕ ɜ						
539-1	Ø ɪ l						
610-1	Ø ɑ						
350-1	Ø ɜ ŋ s̪ o						
