COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	tʃ a ŋ							
37-1	n a							
46-1	n a							
98-1	kʰ a ŋ i l a							
125-1	b i j a ŋ ɾ a							
162-1	l a i i							
171-1	kʰ o m l a							
219-1	t a ŋ p u							
247-1	d̪ a ŋ l u							
282-1	l u s p u							
292-1	kʰ a ŋ							
301-1	l i							
354-1	m u m t̪ a i							
363-1	n a ŋ u							
397-1	kʰ a i							
406-1	kʰ a m u							
426-1	j u k p a							
473-1	pʰ i n k a ŋ							
499-1	s a m a n							
526-1	kʰ a l a							
544-1	kʰ u							
553-1	kʰ o l a ŋ							
599-1	d̪ o l a							
608-1	b a tʃ o							
617-1	j a n							
645-1	a n a							
663-1	s o ŋ l u							
672-1	t o ŋ p a							
681-1	n i ɾ i							
690-1	m i ŋ							
708-1	tʃ a ŋ ɾ i ŋ p u							
717-1	j o k p u							
726-1	s i							
744-1	a p a							
782-1	m i							
791-1	n a							
800-1	n a							
809-1	m o m n a ŋ							
836-1	p a s i							
881-1	l a m							
890-1	ɾ a a a							
899-1	s e ɾ							
926-1	tʃ a							
944-1	g a ɾ a ŋ							
953-1	ʃ o a ɾ a ŋ							
980-1	n a ɾ o ŋ							
998-1	pʰ a l i							
1022-1	tʃ u a ŋ u ɾ							
1031-1	b i n a ŋ u l a							
1069-1	tʃ o n a ŋ p a a							
1079-1	ʃ i ŋ a a							
1098-1	j a ŋ m u l a							
1117-1	d̪ u n							
1141-1	ɾ i ŋ b u							
1189-1	m a n							
1198-1	n u l							
1208-1	s a l a a							
1217-1	l a n i ŋ u							
1253-1	a m a							
1271-1	n o k a ŋ							
1289-1	m i n							
1316-1	n a ŋ							
1325-1	kʰ a							
1334-1	s i ŋ m a							
1343-1	pʰ u i n a ŋ							
1361-1	j a n a ŋ							
1370-1	n a ɲ u							
1388-1	m a n a a							
1397-1	d̪ u ɾ							
1406-1	tʃ o ŋ							
1424-1	g a ɾ a ŋ p a ɾ a a							
1433-1	ʃ u k u							
1442-1	l a m							
1451-1	pʰ a l a							
1468-1	pʰ a k p a							
1477-1	n a							
1502-1	ŋ a u							
1511-1	m u j a ŋ m a							
1529-1	kʰ a l u							
1538-1	s o l u							
1557-1	tʃ o ŋ l u ŋ							
1618-1	i n tʃ a							
1663-1	s u m							
1689-1	ŋ o i							
1698-1	kʰ u ŋ							
1707-1	m o ŋ n a ŋ							
1716-1	n a m u ŋ							
1742-1	m u u							
1751-1	pʰ u i l a							
1778-1	s a							
1787-1	d̪ u ɾ p u							
1823-1	l e m							
1832-1	k a ɾ m a							
1842-1	l u ŋ							
1860-1	n a a							
1869-1	ʃ u ŋ t̪ a ŋ							
1888-1	s a m p i							
1897-1	s l a							
1932-1	ɾ i n a ŋ o ŋ l a							
1950-1	s u							
1968-1	d̪ o ŋ l a a a							
1978-1	k u t p a							
1987-1	s a m							
2015-1	ŋ a k a a							
2118-1	m u ŋ ŋ a							
2238-1	ŋ a ɾ k a							
2507-1	d̪ i n u ŋ							
2526-1	l e							
2535-1	s a a							
2544-1	ʃ i ŋ							
2560-1	s o ŋ n i tʃ i ŋ							
2569-1	kʰ a a u ɾ							
2578-1	n i tʃ i ŋ							
2596-1	d̪ u ŋ							
2615-1	ɾ i							
2663-1	kʰ i b i k a							
2690-1	s i k							
2719-1	ɾ i d̪ i							
2728-1	kʰ o l u ŋ							
2747-1	n i ŋ a							
2756-1	s e ɾ b u							
2774-1	n o n i ŋ							
19-1	n a i b a							
28-1	n a i b a							
89-1	d̪ a ŋ p u							
107-1	n k i k i n a							
190-1	n u i							
229-1	kʰ a							
257-1	d̪ a ŋ a							
338-1	b ɾ u ŋ							
436-1	kʰ u l u							
483-1	n a							
535-1	s a s o							
571-1	kʰ a l a a i							
699-1	d̪ o ŋ p a							
845-1	ɾ o k							
971-1	tʃ i k p u							
1049-1	p u							
1161-1	a							
1180-1	s o a							
1226-1	l a n i ŋ							
1235-1	n a i ŋ							
1280-1	b i ŋ k a							
1352-1	d̪ u							
1379-1	s i							
1415-1	ɾ a							
1636-1	s e tʃ a							
1654-1	l i							
1680-1	d̪ a a i							
1725-1	tʃ a b l o							
2127-1	s a k a							
2181-1	ʃ i k l a							
2366-1	d̪ o j a k p a							
2672-1	ʃ a k a							
2681-1	kʰ a l a ŋ u							
55-1	d̪ a ɾ i b a							
80-1	d̪ u ŋ l a							
116-1	kʰ u l u							
210-1	kʰ o i							
319-1	pʰ o k a							
453-1	tʃ a ŋ p u							
508-1	n a							
754-1	a tʃ i a u							
764-1	kʰ a ɾ a ŋ u u a							
827-1	tʃ i ŋ							
1244-1	d̪ ɾ u ŋ tʃ u ŋ m							
1460-1	s o ŋ							
1734-1	ʃ i ŋ a u							
2033-1	j o k p o							
2172-1	pʰ i l o							
2209-1	b i b i ŋ o							
2256-1	pʰ u a							
2517-1	n a i ŋ							
2654-1	pʰ a a o ŋ							
2737-1	ŋ i ŋ k a							
415-1	h a m o							
1013-1	h a a ŋ l							
1150-1	tʃ o ŋ a							
1584-1	n a ɾ i l o							
10-2		dʒ a ŋ						
37-2		n a n						
46-2		n a n						
98-2		kʰ a ŋ i a						
125-2		b i n a ŋ r a						
162-2		l e i ʃ i						
171-2		kʰ o m ʃ i						
219-2		dʒ i ŋ p u						
247-2		tʃʰ a ŋ l u ŋ						
282-2		l u ŋ p u						
292-2		kʰ a ŋ						
301-2		i						
354-2		m u m p u i						
363-2		n i m u						
397-2		kʰ u m i						
406-2		kʰ a u						
426-2		m i k p a						
473-2		b i n a ŋ						
499-2		ʃ i m i n						
526-2		g a ʃ a						
544-2		kʰ u						
553-2		k o tʰ a ŋ						
599-2		g o i tʰ a						
608-2		b a n o						
617-2		j e n						
645-2		a n a						
663-2		ʃ o ŋ tʰ u						
672-2		d̪ o ŋ p a						
681-2		ɲ i r i						
690-2		m i ŋ						
708-2		dʒ a r i ŋ b u						
717-2		dʒ o ŋ p u						
726-2		ʃ i						
744-2		a b a						
782-2		i						
791-2		ŋ i						
800-2		ŋ i						
809-2		m o m n a ŋ						
836-2		b ʃ i						
881-2		l i						
890-2		r a w a						
899-2		ʃ e r						
926-2		tʃʰ i						
944-2		g a r a ŋ						
953-2		ʃ b a r a ŋ						
980-2		e a r u ŋ						
998-2		pʰ a i						
1022-2		pʰ e a tʰ u r						
1031-2		b i n a ŋ kʰ u a						
1069-2		tʃ o ŋ a n						
1079-2		ʃ i a ŋ a						
1098-2		j a ŋ b u						
1117-2		tʃ u n						
1141-2		r i ŋ b u						
1189-2		m a n						
1198-2		n u						
1208-2		ʃ a l a						
1217-2		l a ɲ i						
1253-2		u m a						
1271-2		n o w a ŋ						
1289-2		m i ŋ						
1316-2		ŋ i ŋ						
1325-2		kʰ a						
1334-2		ʃ i ŋ a						
1343-2		b i n a ŋ						
1361-2		j e n a ŋ						
1370-2		n a tʰ u						
1388-2		m i n u						
1397-2		tʰ u ŋ						
1406-2		tʃ o ŋ						
1424-2		g a r a ŋ p a a r						
1433-2		ʃ u tʰ u						
1442-2		l i						
1451-2		b a t̪ a						
1468-2		b i k a						
1477-2		ŋ a ŋ						
1502-2		ŋ u m u						
1511-2		m u n o ŋ a						
1529-2		tʃʰ a ŋ u						
1538-2		ʃ u l u						
1557-2		tʃ o i tʰ u ŋ						
1618-2		i ŋ tʃ a						
1663-2		z u m						
1689-2		ŋ o i						
1698-2		kʰ u ŋ						
1707-2		m o ŋ n a ŋ						
1716-2		ŋ o m						
1742-2		m u i						
1751-2		b u ʃ i l a						
1778-2		ʃ i						
1787-2		b u ŋ u						
1823-2		l e						
1832-2		kʰ a r						
1842-2		l u ŋ						
1860-2		ŋ o m						
1869-2		ʃ u ŋ a ŋ						
1888-2		ʃ i m i						
1897-2		ʃ e						
1932-2		ʃ i n a ŋ o a						
1950-2		ʃ u						
1968-2		d̪ o ŋ b a						
1978-2		kʰ u ŋ p a						
1987-2		ʃ i m						
2015-2		ŋ i m u						
2118-2		m o ŋ ʃ a ɾ o ŋ b a						
2238-2		ŋ a r u						
2507-2		ʃ i n u ŋ						
2526-2		l e						
2535-2		ʃ a						
2544-2		ʃ i ŋ						
2560-2		ʃ o ŋ n i tʃ i ŋ						
2569-2		kʰ e i tʰ u ŋ						
2578-2		n i tʰ i ŋ						
2596-2		d u ŋ						
2615-2		r i						
2663-2		g i tʰ i						
2690-2		ʃ i						
2719-2		ɾ i i						
2728-2		g o tʰ u ŋ						
2747-2		ɲ i ŋ u						
2756-2		ʃ e r u						
2774-2		b o ɲ i ŋ						
19-2		n a ʃ i						
28-2		n a ʃ i b a						
89-2		kʰ a ŋ b u						
107-2		tʃ a m i n						
145-2		dʒ u ŋ p u						
190-2		tʃʰ u i						
229-2		kʰ a						
257-2		tʃʰ a ŋ a						
