COGID	Albanian	English	French	German	Latin
560-1	v ə m				
438-1	g ə				
1222-1	n				
353-1	p e ʃ t				
201-1	t ə n				
20-1	u j				
503-1	j e ł				
957-1	n ə				
728-1	l ə g u				
244-1	n ə m				
289-1	n r e r				
911-1	d a r v				
724-1	d r e r				
145-1	n i m				
992-1	u j				
1181-1	k ə n d				
741-1	p e k				
1150-1	u ə r v i ʃ				
585-1	n i ʃ				
814-1	d j r				
560-2		w ɪ n			
438-2		i r			
1222-2		w ɪ			
353-2		s ɑ			
201-2		w ɪ n			
20-2		w ɪ r			
503-2		ŋ l			
957-2		a ɪ			
728-2		l au ŋ			
244-2		n ɪ m			
289-2		n ɑ t			
911-2		l ə r			
724-2		θ r ai			
145-2		s ɛ			
992-2		w ɑ t			
706-2		ai ɪ			
106-2		l ɑ d			
741-2		i e m			
421-2		b l o m			
227-2		l ə t			
920-2		h ɑ r			
1083-2		h ɑ r n			
1066-2		i t			
1125-2		w ɪ ɔ o			
1197-2		m ə t r			
473-2		n ɑ v ə			
284-2		n o s			
661-2		a n			
701-2		r i d			
315-2		m au θ			
1169-2		s i l			
1150-2		k au r			
982-2		s i t			
987-2		a ɑ			
1055-2		s t i t			
1130-2		s e			
433-2		s i l			
625-2		l ɪ			
1186-2		θ ɪ n			
560-3			v ɑ̃		
438-3			j		
1222-3			t ɛ		
353-3			v u s		
201-3			v ɑ̃		
20-3			ʃ ɛ r		
503-3			p u		
957-3			n		
728-3			s ɑ̃		
244-3			n ɑ̃		
289-3			n r w a		
911-3			v w a s		
724-3			r r		
145-3			d u		
992-3			k u		
1181-3			ʃ ɑ̃ t		
706-3			s ɑ̃		
106-3			v ɔ ɛ i		
741-3			p ø		
421-3			f l r		
227-3			v a		
920-3			k ɔ r		
1083-3			k œ ɑ̃		
1066-3			r w		
1125-3			d ɑ̃		
1197-3			m i ɛ r		
473-3			n u a		
284-3			n u r		
661-3			v n		
701-3			d r		
315-3			d ɔ̃		
1169-3			k u t		
1150-3			g r r		
982-3			d ɑ̃		
987-3			s u		
1055-3			s u j		
1130-3			l ɛ ʒ		
433-3			k u		
585-3			t y		
625-3			t ɑ̃		
1186-3			d ɑ̃ t		
814-3			v ɛ r		
560-4				v i n t	
438-4				ts r	
1222-4				v s	
353-4				e i ʃ	
201-4				v i ŋ	
20-4				v a	
503-4				e l l	
957-4				e i	
728-4				z i ŋ	
244-4				n i m ə n	
289-4				n i x	
911-4				r e n	
724-4				d r x	
145-4				t oː s	
992-4				h a	
1181-4				h a n	
706-4				h k	
106-4				v a n ə	
421-4				b l a t	
227-4				f e s	
920-4				h a r x	
1083-4				h a e n	
1066-4				v e	
1125-4				g y n	
1197-4				m a n d	
473-4				n eː v l	
284-4				n aː	
661-4				v u n	
701-4				r aː t	
315-4				t a n d n	
1169-4				z a l t	
1150-4				ʃ a r	
982-4				z i s	
987-4				z aː	
1055-4				z a	
1130-4				z e n	
433-4				z a l	
585-4				d e n	
625-4				v i n	
1186-4				v e n d	
814-4				v r	
560-5					w e m n
438-5					e r o
1222-5					kʷ a
353-5					p oː u s o n
201-5					t a n u
20-5					k a r r
503-5					p l l
957-5					a n u i
728-5					s a n t
244-5					n oː n i n
289-5					n oː n
911-5					a e r iː
724-5					t e o
145-5					d d
992-5					kʷ o
1181-5					k a n n o
706-5					k i k
106-5					p o ɛ e
741-5					p oː m
421-5					f l u k
227-5					p e d
920-5					k o r n n
1083-5					w o r n u
1066-5					g d
1125-5					d e oː
1197-5					m e r
473-5					n oː g l
284-5					n u
661-5					w e
701-5					r n
315-5					t o n t o
1169-5					s o l a
982-5					s eː n
987-5					s n u i
1055-5					s d aː
1130-5					s uː i
433-5					s o l u i
585-5					s uː
625-5					w a n t
1186-5					t e n t
814-5					w e r t
