COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m ə˞ ⁴⁴									
53-1	ʈʂ i ²¹									
93-1	k ɯ ²¹									
216-1	s w a ⁴⁴									
236-1	ts o ¹³									
267-1	tɕ j e n ⁴²									
316-1	p ɯ ³³									
327-1	ɣ ɯ ³³									
348-1	tɕ j ou ⁴⁴									
400-1	ts u ²¹									
452-1	k ə˞ ⁴⁴									
463-1	k a ⁴⁴									
512-1	d u ⁴²									
534-1	ts ou ⁴⁴									
556-1	k u ³³									
568-1	x ɯ ⁴⁴									
588-1	s w a ⁴⁴									
599-1	p ɯ ³⁵									
656-1	k u ²¹									
678-1	k o ²¹									
689-1	m ə˞ ⁴²									
700-1	m e ⁴²									
775-1	p j e n ⁴²									
786-1	k e ³⁵									
820-1	ʈʂ õ ³¹									
839-1	t ɯ ²¹									
863-1	k w o ³³									
896-1	k ə˞ ³⁵									
929-1	t ɯ ³¹									
1015-1	ʂ u ⁵⁵									
1035-1	ts o ³³									
1107-1	ʂ ə˞ ⁴⁴									
1173-1	ʂ i ³³									
1195-1	ʂ i ³³									
1241-1	m e ²¹									
1252-1	l o ²¹									
1294-1	k u ¹³									
1326-1	tɕ i ³³									
1348-1	tɕ i ³¹									
1401-1	s e n ⁴²									
1451-1	ʂ i ³³									
1473-1	t w e n ³³									
1507-1	tɕʰ i ⁵⁵									
1532-1	k ɯ ⁵⁵									
1543-1	ʂ ɯ ³³									
1575-1	ʂ ẽ ³⁵									
1618-1	p ɯ ²¹									
1640-1	k u ⁴⁴									
1671-1	ɕʰ i ⁴⁴									
1731-1	s o ŋ ³⁵									
1762-1	s w a ⁴⁴									
1773-1	t ɯ ⁴⁴									
1794-1	k o ¹³									
1805-1	ts i ²¹									
1816-1	ʂ u ³³									
1862-1	ʈʂ i ə ³⁵									
1885-1	k ə˞ ⁴⁴									
1914-1	ʂ ɯ ³³									
1936-1	p u ³³									
1969-1	s ẽ ³⁵									
