COGID	dutch	english	french	german
1469-1	s ɑ n d			
2047-1	z ɔ n			
2054-1	d ɔ n d r			
1375-1	l ɛɪ x ts			
760-1	w ɪ n t			
756-1	s n eː			
726-1	m ɔ d ə r			
1351-1	x r ɑ n + p aː t			
1353-1	x r ɑ n + m ɔ d ə r			
412-1	b iː n + r + aː ə			
406-1	s ɔ iː r r + m ɔ t ə			
1005-1	s t iː p + v ɑ d ə r			
1012-1	s t iː p + m ɔ d ə r			
1016-1	w ɪ v w ə r			
1069-1	iː x			
509-1	v ɔ l ə			
693-1	m ɑu w l t			
2179-1	n eː s t			
1753-1	v ɪ s x			
1131-1	w ɔ l f			
1198-1	b aː r d			
2032-1	h ɔ r n			
2241-1	n øː z			
2244-1	l ɪ p			
610-1	k n n			
945-1	h ɑ r t			
1534-1	l ɛ k ə			
384-1	z ɔ k ə			
1650-1	n ɔ s t			
1663-1	s ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ɛ ə			
1385-1	z aː d			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r d			
1970-1	v ɔ l			
1230-1	d r ɪ d			
2017-1	n ɔ uː			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h øː ɣ ə l			
829-1	k l ɪ p			
1025-1	w ɑ t ə r			
1027-1	z eː			
1832-1	r oː w			
-1816-1	oː s aː n			
-335-1	l ɑ x uː n			
1043-1	s t r oː m			
1469-2		s uː n d		
2047-2		s ɔː n		
2054-2		d ɔː n t r		
1375-2		l ɪ t		
760-2		w aɪ n		
756-2		s n eɪ		
726-2		m aʊ d ə r		
1351-2		ɡ r ɛ s l p eɪ ð ə r		
1353-2		ɡ r ɛ s + m aʊ d ə r		
412-2		ʃ ɔː n + r r əʊ p ɑː ð		
406-2		s ɔː n + + r r		
1005-2		s t iː p æ r eɪ ə		
1012-2		s t ɛ p + m aʊ d ə r		
1016-2		w ɛ d ə r r		
1069-2		ɪ k		
509-2		f p l		
693-2		m iː l + eɪ n		
2179-2		n eɪ s t		
1753-2		f ɪ ʃ		
