COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	kʰ u															
2181-1	n a m															
2060-1	ʔ kʰ m															
410-1																
1841-1	m															
2017-1	h ɛ															
1004-1	ə															
614-1	p s h															
686-1	p h ɛ															
88-1	k a ʔ															
872-1	n ə ŋ															
1891-1	ə															
68-1	s ɛ m															
631-1	p ə n															
594-1	s ə															
1759-1	h a ŋ															
805-1	s ɛ ŋ															
756-1	h ə ʔ															
1201-1	m u ʔ															
2042-1	ʔ ə															
1968-1	a ʔ															
2000-1	ə ŋ															
17-1	a n															
4-1	ə m															
788-1	kʰ ɛ															
1219-1	h ɛ m															
141-1	ʔ ə ŋ															
541-1	p r j a ŋ															
1687-1	h u															
123-1	ə m															
1652-1	r a ŋ															
576-1	ŋ a															
1738-1	kʰ a k															
442-1	h s m															
368-1	kʰ j a ŋ															
1778-1	p a n															
957-1	n a p															
1704-1	ʔ ɛ ʔ															
304-1	j a m															
1796-1	r a ŋ															
720-1	t h															
287-1	k a p															
321-1	s ə h															
206-1	kʰ s ʔ															
1950-1	ʔ a															
665-1	b n															
703-1	n o ʔ															
1290-1	m															
1391-1	k a n															
269-1	s a ʔ															
855-1	r a n															
2078-1	s ɛ															
2213-1	m ɛ															
1858-1	s a															
1151-1	s j a															
737-1	p r															
340-1	s o															
1111-1	s ɛ															
485-1	ŋ															
1356-1	m u h															
1093-1	t s ŋ															
1063-1	kʰ ɔ m															
648-1	r ə ŋ															
223-1	s ɔ n															
1248-1	r ə															
1509-1	t ɛ n															
504-1	r s h															
2130-1	s ɛ															
1-1	ʔ o															
386-1	o ʔ															
1411-1	ʔ u															
1027-1	s a ʔ															
1459-1	s h															
1323-1	r ə															
1538-1	r j a h															
975-1	ɲ a h															
940-1	ŋ ɛ h															
1476-1	ʔ a h															
1923-1	n ɛ															
105-1	a ŋ															
1431-1	ʔ ɛ															
1814-1	m a ɲ															
1183-1	n ɔ n															
1430-1	u															
1721-1	ʔ ɔ ʔ															
1617-1	p s ʔ															
1564-1	b ɔ ʔ															
2111-1	h u															
1563-1	s a															
1597-1	s ɔ ŋ															
1859-2		ŋ a														
175-2		k a														
241-2		ʔ o ʔ														
