COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t u t									
56-1	u m i									
96-1	t a n									
99-1	t i k o n									
114-1	t o k o z i ʔ									
115-1	t o m ʔ									
133-1	t i p a k									
144-1	t o w a									
150-1	k a w ʔ									
234-1	k o m									
236-1	p i k o n									
241-1	a w i n									
249-1	tʃ i ʔ									
1-1	w a t a									
2-1	m o m									
65-1	i w ʔ									
74-1	p a n a									
106-1	t o n									
128-1	p o k o z i ʔ									
147-1	t i m ʔ									
231-1	p a n a w o ʔ									
232-1	u p e j i									
239-1	m a n a k									
266-1	i t i m ʔ									
51-1	w e ʔ									
97-1	m o p a n									
109-1	u p e j i									
121-1	k a p i m a tʃ i ʔ									
149-1	t o k									
160-1	t u k									
163-1	u p e n									
167-1	t a p									
207-1	m i n ʔ									
259-1	t o w a									
66-1	k a r a k o w									
134-1	n a p a t									
139-1	m o n o									
142-1	p a t a m a tʃ i ʔ									
145-1	k a t a tʃ i ʔ									
148-1	t a w a n									
162-1	i n a n									
166-1	i m i ʔ									
179-1	t a k									
201-1	p i p									
21-1	t a n a tʃ a n									
24-1	t o k o n									
52-2		t e								
56-2		o m i								
96-2		a t a s a								
99-2		a r e k o n								
114-2		t o k i s i								
115-2		i t r e s i								
133-2		t i s i p a n								
144-2		w a r a s i								
150-2		k a w								
234-2		k o m								
236-2		p i k i n								
241-2		a w i n								
249-2		i s i								
74-2		p a n a ʔ								
93-2		t o p a r i s i								
95-2		w i s i k i n								
106-2		t o m i s i								
119-2		i a p i s i								
128-2		p i h i k i n								
147-2		t i m i s i								
231-2		a n a o								
232-2		o i p i ã								
239-2		i m a k a n								
266-2		i s i m								
51-2		w i								
55-2		i h a m								
97-2		l a h u n e s i								
121-2		k a p i a s i								
163-2		i p i n								
167-2		t a p								
259-2		t o a								
66-2		k a r a k a r								
112-2		t r a p i s i								
116-2		t o k o s i								
125-2		k a s a m a s i								
135-2		t i m i s i								
139-2		l o k i k i n								
142-2		p a t r a m a s i								
148-2		t a r a w i n								
162-2		i n								
166-2		i m i								
179-2		t a k								
52-3			tʃ e t							
56-3			o m i							
96-3			n a v i s a j a							
99-3			a r u k n							
114-3			t u k a i v a tʃ e							
115-3			u r u p a tʃ e n e							
133-3			t u p a r a s i							
144-3			v a r a v i s a							
150-3			k a w							
234-3			k u m							
236-3			p a k i n							
241-3			a w i n							
249-3			i s e							
1-3			w a j a							
2-3			u m i j a m a							
65-3			i w i							
93-3			t u p a r a s i							
95-3			w i k i t i							
106-3			t i o p a tʃ e n e							
119-3			j a v i t i							
128-3			p u k a i v a tʃ e							
147-3			t u m a j o							
231-3			p a n a w o							
232-3			i p i j a m o							
239-3			ɲ a m a k a n							
266-3			tʃ e m							
3-3			k i r u p a k o							
4-3			w a r a							
55-3			h u m a							
109-3			u p u i t i							
121-3			k a p a i v a tʃ e							
149-3			tʃ u k							
160-3			k i r e							
207-3			m i							
112-3			t a r o v i s i							
125-3			k a t i m a tʃ e							
134-3			p a p a tʃ e n e							
135-3			t u k a i v a tʃ e							
139-3			m a r o tʃ e							
52-4				t i t						
56-4				u m i						
96-4				t a n ʔ						
99-4				i t i k o n						
114-4				t u k u n						
115-4				u m						
133-4				t i p u n						
144-4				t o w a						
150-4				k a w						
234-4				k o m						
236-4				p i k o n						
241-4				a w i n						
249-4				tʃ i						
1-4				w a t a						
2-4				w i m						
65-4				i w i						
74-4				p a n a ʔ						
93-4				t u p u n						
95-4				w i t						
106-4				t i m						
119-4				ʒ̟ i t						
128-4				u k u n						
147-4				t i m						
231-4				p a n a w						
232-4				u p e j e						
239-4				m a m a k o n						
266-4				t i m						
3-4				r o k o n						
4-4				w a n						
51-4				w e						
97-4				t i m a k						
109-4				u p e j e						
121-4				k a p w i t a k a tʃ i						
149-4				t o k o						
160-4				k i r i k						
163-4				u p e n						
167-4				t u p a						
207-4				m i n						
259-4				t o w a						
66-4				k a r a k o w						
116-4				t u k u n						
134-4				n a p a t						
135-4				t u k u n						
139-4				m u n						
142-4				u p a m a						
145-4				k a t a r a						
148-4				t a w a n						
162-4				i n						
166-4				u m i						
179-4				t a k						
201-4				p u n						
21-4				t a n a k						
24-4				k i r a k o n						
52-5					t y t					
56-5					o m e					
96-5					t a s i					
99-5					t i p a n					
114-5					t o k i ʔ					
115-5					w i t i ʔ					
133-5					t o p a s i					
144-5					w a r a s i m					
150-5					k a w					
234-5					k o m					
236-5					p i k i n					
241-5					a w i n					
249-5					i s e					
1-5					w a t a ʔ					
2-5					w o m					
65-5					i w i					
74-5					p a n a ʔ					
93-5					t o p a r i					
95-5					w i k i ʔ					
106-5					t o m i n e s i					
119-5					p i t i s i					
128-5					e p e s i ʔ					
147-5					t o m i s i					
239-5					i m a k a n					
266-5					i s i m					
3-5					w o r i k o m					
4-5					w a t i ʔ					
51-5					y w e ʔ					
55-5					i f a m					
97-5					t f o m ʔ					
109-5					y p e s i m					
149-5					t o k					
160-5					k i r i k					
163-5					y p e n					
167-5					t a p					
207-5					m i					
259-5					t o w a					
66-5					k a r a k o w					
112-5					t a s o m a s i					
116-5					t o p a k a s i					
134-5					n a p a t i ʔ					
135-5					t y k e m e s i					
139-5					w o r i k o m					
142-5					p a m a s i					
145-5					k a r a t i ʔ					
148-5					s a w a n a s i					
162-5					i n i n					
166-5					i m i					
179-5					t a k					
201-5					p e					
21-5					t a w					
52-6						t e t				
56-6						u m i tʃ i				
96-6						h u r a tʃ i				
99-6						t a r u i				
114-6						t u k i tʃ i				
115-6						w i t i tʃ i				
133-6						t a p u i t a k a				
144-6						w a r a w a				
150-6						k a w a				
234-6						k u m				
236-6						p i k i p a				
241-6						w a w i				
249-6						i tʃ e				
1-6						w a t a				
2-6						w u r a m				
65-6						i w i				
74-6						p a n a				
93-6						t u p a r a				
95-6						w i k i tʃ i				
106-6						t u m i tʃ i				
119-6						tʃ i t i tʃ i				
128-6						k u k i tʃ i				
147-6						t u m i tʃ i				
231-6						p a n a w				
232-6						u p i tʃ i				
239-6						m a m a k a				
266-6						tʃ i m				
3-6						w a r a k o				
4-6						w a r i				
55-6						h u m a				
97-6						t a h u m a				
109-6						u p u i tʃ i				
160-6						k i r i k				
207-6						m i tʃ i				
112-6						t a r a tʃ i				
116-6						t u p a k a tʃ i				
125-6						k a t i m a tʃ i				
134-6						k i p a tʃ i				
135-6						t u m a tʃ i				
139-6						w a r u m i				
201-6						p i				
21-6						t a w a				
24-6						k u k a r a				
52-7							t e			
56-7							u m i			
96-7							t			
99-7							i r e a k o n			
114-7							t u k u z i			
115-7							v i t i			
133-7							t i p a r a			
144-7							a r a w			
150-7							k a w			
234-7							k u m			
236-7							p i k i n			
241-7							w i n			
249-7							i s u n i			
1-7							w a z a			
2-7							w i h u			
65-7							i w i ʔ			
74-7							p a n a			
93-7							t u p u n i			
95-7							v i k i			
106-7							t u m u			
119-7							v i t i			
128-7							u k u z i			
147-7							t u k u			
231-7							p a n a w o			
232-7							u p u			
266-7							i t u m			
3-7							w u r i k o n			
4-7							w a r i			
51-7							v i			
55-7							i h u n i			
97-7							w a h u z i m			
109-7							u p u n i			
121-7							k a p a k a			
149-7							t u k			
160-7							k i r i k			
163-7							i p i d			
167-7							t u p a			
207-7							m i			
259-7							t o a			
66-7							k a r a k o n			
125-7							k a t i m a			
135-7							t u k u z i m			
142-7							u p a r a m a			
145-7							k a r a t i			
148-7							t e o a w a d n			
162-7							i n j i d			
166-7							i m i ʔ			
179-7							t a k			
201-7							p e			
21-7							t a k a w			
24-7							w a k a r a d n			
52-8								t y t y		
56-8								u h u n e		
96-8								y v y t y		
99-8								t r a k o n		
114-8								t u k u s i		
115-8								y v y r y		
133-8								t i b a s		
144-8								y v y t y		
150-8								k a w		
234-8								k u m		
236-8								p i k i n		
241-8								a w i		
249-8								i s e		
1-8								w a t a		
2-8								w u r a m		
65-8								i h y		
74-8								p a n a		
93-8								t u p a s i		
95-8								y v y k y		
119-8								y v y t y		
231-8								b a w a		
232-8								b u i b		
239-8								w a m a k a		
3-8								r u k o n		
4-8								y v a t y		
51-8								y v e		
55-8								h u m		
109-8								b u k u n e s i		
121-8								k a p u i t a k a s i		
149-8								t u k		
163-8								u p e n		
167-8								p a		
259-8								t u w a		
66-8								k a r a k o w		
112-8								t a r a s		
116-8								t u p a k a s i		
125-8								k a t m a s i		
145-8								k a t r a s i		
52-9									t i t	
56-9									o m i	
96-9									t a h u t i ʔ	
99-9									i r a k o n	
114-9									t u k i ʔ	
115-9									u r a m	
133-9									t i t a r a ʔ	
144-9									w a r a w i ʔ	
150-9									k a w	
234-9									k u m	
236-9									p i k i n	
241-9									n w i n	
249-9									i ʃ e ʔ	
1-9									w a t a ʔ	
2-9									u h u m	
65-9									i w i	
74-9									p a n a ʔ	
93-9									t u p a r i	
95-9									w i t	
106-9									t o m a ʃ i ʔ	
119-9									i t a ʃ i ʔ	
128-9									m u k a ɲ i ʔ	
147-9									t o k i ʔ	
231-9									p a n a w i	
232-9									i p i u	
239-9									n a m a k a n	
266-9									i t a h u n	
3-9									w a r a k o r o	
4-9									w a t a r i ʔ	
51-9									i w e	
55-9									h u m	
97-9									m a h u r e	
109-9									u p a r u m	
121-9									k a p a k a ʃ i ʔ	
149-9									t o k	
160-9									k i r i k	
163-9									i p i n	
167-9									t a	
207-9									m i	
259-9									t o w a	
66-9									k a r a k a w	
112-9									t a r a ʃ i ʔ	
116-9									t u k a ʃ i ʔ	
125-9									k a t i m a ʃ i ʔ	
134-9									n i p a t i ʔ	
135-9									t o k i m a ʃ i ʔ	
142-9									p a r a m a ʃ i ʔ	
145-9									k a r a k i ʔ	
148-9									t a r a w a n	
162-9									i n	
166-9									i m i	
179-9									t a	
201-9									p i	
21-9									t a n a ʔ	
24-9									w i r a k o n	
52-10										t e ʔ
56-10										k o m
96-10										t a tʃ i ʔ
99-10										t a k o n
114-10										t o k i tʃ i ʔ
115-10										t o p a tʃ i ʔ
133-10										p a r a tʃ i ʔ
144-10										t o w a tʃ i ʔ
150-10										k a w ʔ
234-10										k o m
236-10										p i k i n
241-10										a w i n
249-10										tʃ e ʔ
1-10										w a j a
2-10										w e r e m e
65-10										i w i ʔ
74-10										p a n a ʔ
93-10										p a r o tʃ i ʔ
95-10										w i k i tʃ i
106-10										t o m i ʔ
119-10										t a tʃ i ʔ
128-10										k a k i tʃ i ʔ
147-10										t o k i tʃ i ʔ
231-10										p a n a w a
232-10										p i tʃ i ʔ
239-10										n a m a k a
266-10										tʃ i m
3-10										k o r i k o n
4-10										w a j i
51-10										w i ʔ
55-10										k i h m ʔ
97-10										t o m a tʃ i ʔ
121-10										k a p w i t a k a tʃ i
149-10										t o k
160-10										k i r i k
163-10										p w i j i m a ʔ
167-10										p a ʔ
207-10										m i ʔ
259-10										t o w a
112-10										t a r i m a tʃ i ʔ
116-10										p a k a tʃ i ʔ
