COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t a ʔ									
56-1	m i ʔ									
96-1	t a n									
99-1	w i r a n									
114-1	t o k									
115-1	w i z i ʔ									
133-1	t i p a t									
144-1	w a t o w									
150-1	k a w									
234-1	k o m									
236-1	p i k o n									
241-1	n a w i n									
249-1	i tʃ e									
1-1	w a z a									
2-1	w i r i m ʔ									
65-1	i w i ʔ									
74-1	p a n a									
106-1	t i t i n ʔ									
128-1	p u k									
147-1	t i m									
231-1	p a n a w									
232-1	u p e j i									
239-1	m a n a k									
266-1	p i t i m ʔ									
51-1	i w i ʔ									
97-1	t o m o n									
109-1	u p e n									
121-1	k a p a k									
149-1	t o k									
160-1	k i r i k									
163-1	u p e n									
52-2		t e t e								
56-2		o m i								
96-2		t r a i								
99-2		t r e k r e n								
114-2		t o k i p a s i								
115-2		t r e s i								
133-2		t r a p a s i								
144-2		t r a w a s i								
150-2		k a o								
234-2		k o m								
236-2		p i k i k i n								
241-2		a w i n								
249-2		i s i								
74-2		p a n a								
93-2		t o p r i p a s i								
95-2		w i k i								
106-2		t o n e s i								
119-2		i t i s i								
128-2		p o k o t e k i l i p a s i								
147-2		t o k o t e p a s i								
231-2		p a n a w a n								
232-2		o p i ã								
239-2		n a m a k a n								
266-2		p i t i m a s i								
51-2		i w i								
55-2		i n j a m								
97-2		m e n e m a s i								
121-2		k a p i k a s i								
163-2		o p i n								
52-3			t e							
56-3			o m e							
96-3			t a t i a t a tʃ e							
99-3			o r a k o n							
114-3			t u k a i v a tʃ e							
115-3			u r a j i							
133-3			t i p a t a tʃ e							
144-3			p a t i a t a tʃ e							
150-3			k a w							
234-3			k u m							
236-3			p a k i							
241-3			o w i n							
249-3			i tʃ e							
1-3			p a							
2-3			u m a j o							
65-3			i w i							
93-3			t u p a r a tʃ e							
95-3			u k a j o							
106-3			t u j i n a tʃ e							
119-3			t a t i							
128-3			a i k e ɲ e m i tʃ e							
147-3			t u k a i n a tʃ e							
