COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t a t									
56-1	u m									
96-1	t a s a									
99-1	t i r a n									
114-1	t o k									
115-1	j u tʃ i									
133-1	t i p a tʃ i ʔ									
144-1	t i s a w									
150-1	k a w									
234-1	k o m									
236-1	p a k o n									
241-1	n a w i n									
249-1	tʃ i ʔ									
1-1	w a t a									
2-1	w i m									
65-1	i w ʔ									
74-1	p a n a									
106-1	t u n									
128-1	p u k									
147-1	t i m ʔ									
231-1	p a n a w o ʔ									
232-1	u p e j i									
239-1	n a m a k a n									
266-1	p a m									
51-1	u w ʔ									
97-1	t i m									
109-1	u p u tʃ i									
121-1	k a p a k									
149-1	t o k									
160-1	k i n									
163-1	u p e n									
167-1	t a p									
207-1	m									
259-1	t o a									
66-1	k a r a k a w									
134-1	n a p a t									
139-1	m i p									
142-1	p a r a m a tʃ i ʔ									
145-1	k a r a t i tʃ i ʔ									
148-1	t a r a w a n									
162-1	i n									
166-1	m ʔ									
179-1	t a k									
201-1	p i									
21-1	t a n									
24-1	t a r a k a n									
50-1	n a ʔ									
57-1	t o k a w a n									
84-1	p i w a n									
91-1	m a k o n									
131-1	t u k a z i m a tʃ i									
151-1	k i w ʔ									
154-1	w i									
192-1	t o t									
197-1	t i m									
205-1	p a n									
227-1	p a p u t o									
246-1	i w ʔ									
251-1	w a n a									
52-2		t a n								
56-2		u m								
96-2		a r a s i								
99-2		a r i k o n								
114-2		t o k i								
115-2		i r o p								
133-2		t i p a r a								
144-2		r a p a s i								
150-2		k a w								
234-2		k o m								
236-2		p a k i n								
241-2		a n								
249-2		s i p								
74-2		p a n a								
93-2		t o p a r i								
95-2		a w i k								
106-2		t i n i								
119-2		s i j a s i								
128-2		p i k								
147-2		t o k o n								
231-2		p a n a o								
232-2		p i p								
239-2		n a m a k a n								
266-2		p i s i m								
51-2		u w i								
55-2		h a m								
97-2		t o h o m								
121-2		k a p a k i n a s i								
163-2		i p i n								
167-2		p a p								
259-2		t o a								
66-2		k a r a k a w								
112-2		t a s a p								
116-2		t o p a k								
125-2		k a m a s i ʔ								
135-2		t i s i k i n								
139-2		tʃ i m								
142-2		p a r a m a s i ʔ								
148-2		t a s a r i								
162-2		i n								
166-2		i m i								
179-2		t a								
45-2		h o r a m a n								
84-2		p i w a n								
131-2		t o k o t i m a								
146-2		k i m a k								
154-2		w i n								
192-2		t i t								
197-2		t i r i m								
235-2		s o n								
237-2		n a m a j i								
246-2		i w i								
250-2		m i p a k o n								
52-3			t a j i							
56-3			u m a j o							
96-3			a r a s i							
99-3			r a j r i							
114-3			t o k i							
115-3			j r a j i							
133-3			t i p a r a m a tʃ i							
144-3			n a r a w a s i							
150-3			k a w							
234-3			k o m							
236-3			p a k i							
241-3			a w i n							
249-3			tʃ e j e m e							
1-3			w a tʃ a							
2-3			w i m a							
65-3			e w a j o							
93-3			t r a p a r i							
95-3			j u k i							
106-3			tʃ i j i							
119-3			s i j a s i							
128-3			h u k i							
147-3			t i m i							
231-3			p a a w o							
232-3			p i j a m a							
239-3			n a m a k a							
266-3			tʃ e m							
3-3			n a r i							
4-3			w a r i							
55-3			a w a m							
109-3			u p e j e s i							
121-3			k a p a j a s i							
149-3			t o							
160-3			k r i							
207-3			m e							
112-3			t a r a j i s i							
125-3			k a tʃ i m a tʃ i ʔ							
