COGID	Albanian	English	French	German	Latin
560-1	g m r				
438-1	ə ə r				
1222-1	e t				
353-1	p i θ k				
201-1	s l n r				
20-1	θ a r r				
503-1	p l r n				
957-1	e n				
728-1	l g r				
244-1	n m r				
289-1	n r i t				
911-1	r a d v				
724-1	t ə i r				
145-1	d u r				
992-1	k				
1181-1	k ə t				
741-1	p p k				
560-2		w ɑ			
438-2		u r			
1222-2		ɑ			
353-2		f ɑ s au			
201-2		s j n			
20-2		w a r r			
503-2		f l l n			
957-2		n ə			
728-2		s au ŋ			
244-2		n au m			
289-2		n u t t			
911-2		a t			
724-2		r ɑ			
145-2		t w ɑ			
992-2		w ɑ			
706-2		au g			
106-2		f u ð ə r			
741-2		f h			
421-2		b l ɑ s			
227-2		f ə t			
560-3			v ɛ		
438-3			u r		
1222-3			u i		
353-3			p s e		
201-3			f n		
20-3			f ɛ r		
503-3			p y		
957-3			s n		
728-3			s ɛ g e		
244-3			n ɔ m		
289-3			n ɛ i a		
911-3			r ɑ̃ l		
724-3			r ɛ		
145-3			i ɥ e		
992-3			k ɛ		
1181-3			k ɛ n		
706-3			u		
106-3			p w r r		
741-3			p ø ʃ		
421-3			f l ɔ̃		
227-3			p y i		
560-4				v a n	
438-4				o r ə	
1222-4				o i	
353-4				f z h u	
201-4				z e b r	
20-4				v a r	
503-4				f uː aː	
957-4				ts aː	
728-4				l u ŋ t	
244-4				n u m	
289-4				n u t	
911-4				aː	
724-4				d r t	
145-4				ts u	
992-4				h u	
1181-4				h n	
706-4				e	
106-4				f a t ə r	
421-4				f l u r	
227-4				f uː s	
560-5					w e a n
438-5					w r i
1222-5					o f
353-5					p oː s k o
201-5					p a k r
20-5					p a r
503-5					p uː l
957-5					n a
728-5					l o n
244-5					n o m
289-5					n uː n
911-5					a i d
724-5					t r eː
145-5					d uː e
992-5					k e
1181-5					k i n nː
706-5					o i
106-5					p aː t r
741-5					p au k
421-5					f l o m
227-5					p uː t i
