COGID	Albanian	English	French	German	Latin
560-1	d t r				
438-1	d r r				
1222-1	f				
353-1	p t p ə r				
201-1	ɟ e n d				
20-1	ʃ u r				
503-1	p a o				
957-1	d t y				
728-1	n t r				
244-1	n o n r				
289-1	n d t				
911-1	d u s e				
724-1	ʃ r u a				
145-1	d t u				
992-1	ʃ u a				
1181-1	d e y				
741-1	p e				
1150-1	ɟ t ə r				
585-1	n o				
814-1	d ə r				
916-1	a				
1079-1	p e r y				
630-1	θ p t				
343-1	d a p				
8-1	d r e p t				
385-1	ʃ u r				
683-1	d r ɟ t				
650-1	ɟ e r ə				
612-1	f e m				
871-1	d r k				
667-1	ɟ e p o a				
527-1	e u r				
499-1	n e				
1029-1	d e				
560-2		o n s			
438-2		s r			
1222-2		o			
353-2		h p ʊ ʃ ʃ			
201-2		p ʊ n			
20-2		p ʊ ʃ r			
503-2		h p ʃ			
957-2		h t			
728-2		k ʊ n			
244-2		n au			
289-2		d ʊ ʊ t			
911-2		p i s i			
724-2		t r			
145-2		t ʊ			
992-2		l t			
706-2		ʃ a			
106-2		p ʊ d			
741-2		h p a			
421-2		ɔ r i ʃ			
227-2		l p ai s			
920-2		r r			
1083-2		r r			
1066-2		θ r			
1125-2		k n d r			
1197-2		p ʊ d			
473-2		ɪ ʃ a			
284-2		n ʊ s			
661-2		ai s			
701-2		p ʊ d			
315-2		r r n			
1169-2		s r n			
1150-2		k ʊ i			
982-2		s ɪ ʃ			
987-2		s r			
1055-2		s t d θ			
1130-2		s θ			
433-2		s r n			
625-2		p r θ			
1186-2		k d			
416-2		t r			
1233-2		h o l e d			
884-2		h o r i			
1016-2		k o n r p d			
952-2		k t l			
78-2		b l i s			
514-2		b r ai n			
116-2		θ ɪ			
188-2		ʃ r ai			
745-2		p i			
1100-2		b r i s t			
47-2		d r w t θ			
111-2		m k ʊ			
1061-2		s			
24-2		k ɪ n d			
232-2		n ɪ n			
671-2		t ɪ s o			
385-2		s i			
945-2		s e n n			
644-2		k ʊ θ			
1041-2		s r o			
492-2		k m n			
1209-2		h r p θ			
527-2		ʃ ɑ s ə			
14-2		g o ɪ v			
1-2		ə l			
915-2		ə ð d			
271-2		ə ð			
560-3			v u		
438-3			g r		
1222-3			g i		
353-3			ɔ u s ʒ		
201-3			ɔ i		
20-3			m i s		
503-3			p u		
957-3			d		
728-3			k u s		
244-3			k ɔ̃		
289-3			n i ʒ		
911-3			p i r		
724-3			g r		
145-3			k u		
992-3			k ɔ̃		
1181-3			ʃ o		
706-3					
106-3			ɔ		
741-3			p u		
421-3			g u r r		
227-3			v p u		
920-3			g r		
1083-3			g r		
1066-3			g		
1125-3			k u		
1197-3			p u s		
473-3			n j		
284-3			k ɔ̃ e		
661-3			k n		
701-3			v ɔ t s		
315-3			ɔ r		
1169-3			ɛ̃ t e		
1150-3			s ɔ̃ r r		
982-3			t ɛ̃		
987-3			t i v z		
1055-3			t u e		
1130-3			s i e		
433-3			s ɔ̃		
585-3			n		
625-3			ʃ u		
1186-3			k u t		
814-3			p r r		
416-3			ʃ ʒ s		
1233-3			a ɔ̃ t e		
884-3			p ɔ̃ r		
916-3			e		
1016-3			p t ɛ s e		
952-3					
514-3			m g r t		
1079-3			p ɑ̃		
1100-3			b r r s		
47-3			ʃ ɔ t ɛ		
111-3			s ɑ̃		
1061-3			p u t		
1155-3			k p u		
343-3			v ɛ r s		
671-3			v ɔ e		
460-3			p u s r r		
8-3			p r i s ɑ̃		
644-3			k r e		
683-3			ʃ u t		
650-3			ʃ		
612-3			f œ m		
871-3			p ɑ̃		
1209-3			a i r e n		
667-3			s ɑ̃ v e		
499-3			n		
14-3			k ɔ̃ r e		
1029-3			v		
272-3			ʃ ɛ t ɛ		
560-4				h a au t d	
438-4				r r	
1222-4				k a n	
353-4				ai ʃ l t	
201-4				ʃ ai g d	
20-4				ʃ au r t	
503-4				ai ʃ au r	
957-4				h s n ə	
728-4				ʃ au t r	
244-4				n au s	
289-4				s au t	
911-4				r r u s	
724-4				t r	
145-4				h s au ə	
