COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ i								
2-1	k n e x + tɬ i								
8-1	w e i								
16-1	e s + tɬ i								
24-1	i s t i + tɬ								
32-1	m i k i								
51-1	o n								
52-1	w a k + k i								
53-1	n a k a								
54-1	tɬ a l + i								
55-1	k w a								
60-1	i x								
83-1	tɬ i + tɬ								
87-1	p a tɬ a n i								
92-1	m a k a								
103-1	m a								
106-1	k a k i								
138-1	n e ʔ w aː + tɬ								
139-1	m i k + t i a								
142-1	m a t i								
145-1	m o + t e k a								
176-1	tɬ aː k a + tɬ								
179-1	n a k a + tɬ								
180-1	m e + tɬ i								
186-1	k e tʃ + tɬ i								
190-1	j a k a + tɬ								
194-1	s e								
220-1	o ʔ + tɬ i								
231-1	i + t a								
240-1	k o tʃ i								
283-1	t e + tɬ								
293-1	i n + i								
314-1	k w a w + + tɬ								
315-1	oː m e								
322-1	t e ʔ w a i								
323-1	tɬ e								
9-1	t oː t + tɬ								
17-1	o m i + tɬ								
22-1	tɬ a								
30-1	w i tɬ								
88-1	i k i								
158-1	w e a k								
159-1	a t i m i + tɬ								
177-1	m i a k								
184-1	t oː k a + tɬ								
187-1	j a n k w i + k								
227-1	x aː l +								
1-2		n u t i							
2-2		n e k i							
8-2		w e							
16-2		e s + t i							
24-2		i s t i							
32-2		m i k i							
51-2		u n i							
52-2		w a k + t i							
53-2		n a k a s							
54-2		t a i							
55-2		b w a							
60-2		i k							
83-2		t i t							
87-2		p a t a n i							
92-2		m a k a							
103-2		m u							
106-2		k a k i							
138-2		n e h e							
139-2		m i k t i a							
142-2		m a t i							
145-2		m u + t e a							
176-2		t a k a t							
179-2		n a k a + t							
180-2		m e + t i							
186-2		k e t							
190-2		j a k a							
194-2		s e							
220-2		u h t i							
231-2		i t a							
240-2		k u t i							
283-2		t e + t							
293-2		h i n i							
314-2		b w a i t							
315-2		u m e							
322-2		t e h e							
323-2		t a							
9-2		t u t + t							
17-2		u i + t							
22-2		t a t i a							
88-2		i i							
158-2		w e a k							
159-2		a t i n							
177-2		m i a k							
184-2		t uː k a							
187-2		j a n k w i + k							
227-2		a l i							
1-3			n o t i						
2-3			n e x i						
8-3			w eː						
16-3			e s + t i						
24-3			i s t i						
32-3			m i k i						
51-3			o n + i						
52-3			w aː k + t o						
53-3			n a k a s						
54-3			t aː l						
55-3			k w a						
60-3			i x + t o o						
83-3			t i t						
87-3			p a t a n i						
92-3			m a k a						
103-3			m aː						
106-3			k a k i						
138-3			n e h						
139-3			m i k + t i a						
142-3			m a t i						
145-3			m o + t e k a						
176-3			t aː k a						
179-3			n a k a + t						
180-3			m eː s + t i						
186-3			k e t						
190-3			j a k a						
194-3			s e						
220-3			o h + t i						
231-3			i t a						
240-3			k o t i						
283-3			t e + t						
293-3			i n						
314-3			k w a w i						
315-3			o m e						
322-3			t e h w a n						
323-3			t e						
9-3			t o t o + ʔ						
17-3			o m i						
22-3			t a t a						
30-3			w i ʔ						
88-3			i k i						
158-3			w e t a k						
159-3			a t i n						
177-3			m i a k						
184-3			t o k a						
187-3			j a n k w i + ʔ						
227-3			x aː l i						
1-4				m o tʃ i					
2-4				n e x + tɬ i					
8-4				w e j					
16-4				e s + tɬ i					
24-4				i s t e					
32-4				m i k i					
51-4				o n i					
52-4				w a k + k o					
53-4				n a k a s					
54-4				tɬ a l i					
55-4				k w a					
60-4				i x					
83-4				tɬ e tɬ					
87-4				p a tɬ a n i					
92-4				m a k a					
103-4				m a					
106-4				k a k i					
138-4				n e h w a					
139-4				m i k + t i a					
142-4				m a t i					
145-4				m o + t e k a					
176-4				t a k a					
179-4				n a k a + tɬ					
180-4				m e + tɬ i					
186-4				k e tʃ					
190-4				j a k					
194-4				s e					
220-4				o h tɬ i					
231-4				i a					
240-4				k o tɬ i					
283-4				t e + tɬ					
293-4				i n					
314-4				k w a w i tɬ					
315-4				o m e					
322-4				t e h w a n					
323-4				tɬ e					
9-4				t o t o + tɬ					
17-4				o m i + tɬ					
30-4				w i tɬ					
88-4				i k i					
158-4				w e j a k					
177-4				m e a k					
