COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	Xiamen	XiAn	Yangzhou	ZhongyuanYinyun
2-1	i ²¹⁴																		
4-1	Ø i ²¹⁴																		
5-1	ts a ŋ ⁵¹																		
6-1	s a n ⁵⁵																		
7-1	s a ŋ ⁵¹																		
8-1	x a ⁵¹																		
9-1	p u ²¹⁴																		
17-1	ʈʂ u ŋ ⁵⁵																		
31-1	tɕ j ou ²¹⁴																		
32-1	j a ²¹⁴																		
33-1	u ²¹⁴																		
38-1	i ⁵¹																		
40-1	u n ³⁵																		
42-1	u ²¹⁴																		
43-1	ts i ŋ ²¹⁴																		
46-1	w a ŋ ³⁵																		
52-1	l j a ŋ ⁵¹																		
53-1	i n ³⁵																		
56-1	tɕ i n ⁵⁵																		
59-1	tʰ a ⁵⁵																		
60-1	ʈʂ a ŋ ⁵¹																		
64-1	l i ŋ ⁵¹																		
68-1	tɕ j a n ⁵¹																		
85-1	w i ⁵¹																		
86-1	t i ⁵⁵																		
87-1	ts u ⁵¹																		
93-1	n i ²¹⁴																		
98-1	l ai ³⁵																		
109-1	ɕ i n ⁵¹																		
115-1	t au ²¹⁴																		
118-1	ts j a ⁵¹																		
124-1	tɕ j a ²¹⁴																		
127-1	ts w o ⁵¹																		
133-1	tʰ ou ⁵⁵																		
144-1	s a ²¹⁴																		
161-1	x u ŋ ⁵⁵																		
166-1	k w a ŋ ⁵⁵																		
170-1	i ³⁵																		
171-1	tʰ u ⁵¹																		
173-1	u ⁵¹																		
174-1	n w ai ⁵¹																		
175-1	ts a n ³⁵																		
176-1	l j a ŋ ²¹⁴																		
177-1	p a ⁵⁵																		
179-1	l ou ⁵¹																		
181-1	p i ŋ ⁵⁵																		
182-1	tɕ i ³⁵																		
189-1	k a n ⁵⁵																		
191-1	t u ŋ ⁵⁵																		
193-1	l o ŋ ²¹⁴																		
198-1	t a ŋ ⁵¹																		
199-1	x j u ŋ ⁵⁵																		
2-2		i ²⁴																	
4-2		Ø i ²⁴																	
5-2		ts a n ⁵⁵																	
6-2		s a ³³																	
7-2		s a n ⁵⁵																	
8-2		s a ⁵⁵																	
9-2		p u ²⁴																	
17-2		ʈʂ u n ³³																	
31-2		tɕ j ɤu ⁴¹																	
32-2		j a ⁴¹																	
33-2		u ⁴¹																	
38-2		i ⁵⁵																	
40-2		u n ¹³																	
42-2		u ⁴¹																	
43-2		ts i n ⁴¹																	
46-2		w a n ¹³																	
52-2		n j a n ⁵⁵																	
53-2		i n ¹³																	
56-2		tɕ i n ³³																	
59-2		tʰ a ³³																	
60-2		ʈʂ a n ⁵⁵																	
64-2		n i n ⁵⁵																	
68-2		tɕ ieː ⁵⁵																	
85-2		w i ⁵⁵																	
86-2		t i ³³																	
87-2		ʈʂ u ⁵⁵																	
93-2		n i ⁴¹																	
98-2		n ai ¹³																	
109-2		s i n ⁵⁵																	
115-2		t au ⁴¹																	
118-2		ts j ieː ⁵⁵																	
