COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	Xiamen	XiAn	Yangzhou	ZhongyuanYinyun
2-1	e ²¹⁴																		
4-1	Ø e ²¹⁴																		
5-1	tʃ a ŋ ⁵⁵																		
6-1	s a n ⁵¹																		
7-1	s a ŋ ⁵⁵																		
8-1	j a ²¹⁴																		
9-1	p u ²¹⁴																		
17-1	ts u ŋ ⁵¹																		
31-1	k j au ³⁵																		
32-1	j a ²¹⁴																		
33-1	u ²¹⁴																		
38-1	i ³⁵																		
40-1	j u n ⁵¹																		
42-1	u ²¹⁴																		
43-1	ts j i n ³⁵																		
46-1	j w a ŋ ⁵¹																		
52-1	l j a ŋ ⁵⁵																		
53-1	j a n ⁵¹																		
56-1	k j i n ⁵⁵																		
59-1	tʰ j a ⁵¹																		
60-1	ts a ŋ ⁵⁵																		
64-1	l j i n ³⁵																		
68-1	k j a j ³⁵																		
85-1	w i ⁵⁵																		
86-1	t i ⁵¹																		
87-1	ts u ⁵⁵																		
93-1	n i ²¹⁴																		
98-1	j l ai ⁵¹																		
109-1	s j e n ⁵⁵																		
115-1	t au ³⁵																		
118-1	ts j a j ⁵⁵																		
124-1	k a ³⁵																		
127-1	ts u ⁵⁵																		
133-1	tʰ j au ⁵¹																		
144-1	s j a ⁵⁵																		
161-1	s j u ŋ ⁵¹																		
166-1	k w a ŋ ⁵¹																		
170-1	i ⁵¹																		
171-1	tʰ u ⁵⁵																		
173-1	j u ²¹⁴																		
174-1	j n w i ³⁵																		
175-1	ts a ⁵¹																		
176-1	l j a ŋ ²¹⁴																		
177-1	p a ²¹⁴																		
179-1	l u w ²¹⁴																		
181-1	p j i n ⁵¹																		
182-1	kʰ i ⁵¹																		
189-1	k a ⁵¹																		
191-1	t u ŋ ⁵¹																		
193-1	l j a ŋ ²¹⁴																		
198-1	t ai n ⁵⁵																		
199-1	s j u ŋ ⁵¹																		
200-1	tʰ j u ²¹⁴																		
202-1	t au ⁵¹																		
205-1	j u n ⁵¹																		
206-1	Ø j e ²¹⁴																		
209-1	w a ³⁵																		
211-1	Ø u ⁵¹																		
215-1	l i ⁵⁵																		
216-1	k w a ²¹⁴																		
217-1	t au ⁵⁵																		
219-1	s w a ²¹⁴																		
220-1	Ø j i ⁵⁵																		
225-1	ts a j ⁵¹																		
230-1	ts a ³⁵																		
234-1	pʰ i ²¹⁴																		
238-1	l a ²¹⁴																		
242-1	ts j u ⁵⁵																		
253-1	kʰ j i n ⁵¹																		
256-1	s o w ⁵⁵																		
261-1	x w a ⁵⁵																		
262-1	p j a w ²¹⁴																		
263-1	s j i ⁵¹																		
264-1	ts j a ŋ ³⁵																		
271-1	s a ⁵⁵																		
272-1	k a j ⁵¹																		
274-1	u ²¹⁴																		
275-1	p a j ⁵⁵																		
279-1	n a n ⁵¹																		
287-1	l w a ³⁵																		
291-1	x j au ²¹⁴																		
295-1	kʰ j e ⁵⁵																		
300-1	j j u ²¹⁴																		
303-1	Ø j u ³⁵																		
306-1	kʰ j au ³⁵																		
307-1	k u ³⁵																		
308-1	k j u ⁵⁵																		
312-1	k j au ⁵⁵																		
313-1	kʰ o ³⁵																		
314-1	tʰ j ai ⁵¹																		
323-1	m j i n ⁵¹																		
325-1	tʰ u ³⁵																		
330-1	j u ³⁵																		
334-1	s e ²¹⁴																		
335-1	tʰ w i j ⁵¹																		
338-1	k au ⁵⁵																		
339-1	ts u ⁵¹																		
341-1	x u ⁵¹																		
342-1	m j i n ³⁵																		
343-1	x j o ⁵¹																		
344-1	j au ²¹⁴																		
349-1	kʰ j u ²¹⁴																		
353-1	tʰ a ŋ ⁵⁵																		
360-1	x j au ⁵¹																		
375-1	ts w i ³⁵																		
388-1	s i ⁵⁵																		
389-1	x w i ⁵¹																		
392-1	kʰ w u n ⁵⁵																		
394-1	k a ⁵¹																		
401-1	tʰ u ³⁵																		
402-1	tʃ j ai ⁵⁵																		
403-1	t i ³⁵																		
409-1	ts j o ²¹⁴																		
418-1	m j ai ⁵¹																		
441-1	tʰ a ⁵¹																		
443-1	m j u j ⁵⁵																		
459-1	w ai ³⁵																		
460-1	t j o ⁵¹																		
461-1	j a ⁵⁵																		
464-1	t a ⁵⁵																		
465-1	tʰ a ⁵¹																		
466-1	tʰ ai ⁵⁵																		
467-1	x u ⁵¹																		
469-1	s i ²¹⁴																		
480-1	ŋ j u j ²¹⁴																		
482-1	n ai ²¹⁴																		
484-1	x au ³⁵																		
491-1	m j i ⁵⁵																		
492-1	Ø i ⁵¹																		
495-1	ts j a ³⁵																		
496-1	k u ⁵¹																		
507-1	n j a ŋ ⁵¹																		
509-1	Ø j u ²¹⁴																		
510-1	p j o ⁵¹																		
513-1	s i ³⁵																		
518-1	s au ³⁵																		
525-1	ts i ³⁵																		
527-1	j w a n ⁵⁵																		
533-1	x j ai ⁵¹																		
548-1	kʰ j a ²¹⁴																		
554-1	x j ai ³⁵																		
558-1	j j u ŋ ⁵¹																		
564-1	pʰ u ⁵⁵																		
580-1	s j a j ⁵⁵																		
587-1	s j au ³⁵																		
588-1	s au ³⁵																		
589-1	ts a ⁵¹																		
594-1	Ø j a ²¹⁴																		
602-1	j u ²¹⁴																		
604-1	s ai ³⁵																		
611-1	s a n ⁵¹																		
630-1	ts j o ³⁵																		
637-1	k j i n ⁵¹																		
638-1	s i ²¹⁴																		
639-1	p j u ⁵⁵																		
644-1	tʃ u ³⁵																		
648-1	s e ⁵⁵																		
652-1	m au ⁵⁵																		
657-1	k a n ⁵¹																		
658-1	pʰ j i n ⁵¹																		
659-1	n i j ⁵¹																		
665-1	w a ŋ ⁵¹																		
692-1	k u ŋ ⁵¹																		
696-1	t i ³⁵																		
707-1	j i ŋ ³⁵																		
719-1	t j e ²¹⁴																		
727-1	s j i n ⁵¹																		
732-1	w a ŋ ⁵⁵																		
733-1	m a ŋ ⁵¹																		
735-1	kʰ w ai ⁵⁵																		
740-1	pʰ a ⁵⁵																		
773-1	s j a ŋ ³⁵																		
788-1	m a n ³⁵																		
808-1	s j i n ⁵¹																		
809-1	ŋ o ²¹⁴																		
816-1	t ai ⁵⁵																		
818-1	j p a ŋ ⁵¹																		
821-1	s j a n ⁵⁵																		
822-1	s u ³⁵																		
826-1	t j a ³⁵																		
829-1	kʰ j au ⁵⁵																		
841-1	ts w a ⁵¹																		
845-1	ts a ²¹⁴																		
848-1	p au ⁵⁵																		
858-1	pʰ j a ²¹⁴																		
862-1	tʰ o ⁵¹																		
869-1	kʰ a ⁵¹																		
874-1	ts i ³⁵																		
876-1	tʰ j au ⁵¹																		
883-1	ts o ²¹⁴																		
894-1	t j au ⁵⁵																		
903-1	ts j e ²¹⁴																		
905-1	tʰ w i ⁵¹																		
910-1	tʰ i ⁵¹																		
911-1	Ø j a ²¹⁴																		
926-1	p a j ⁵¹																		
934-1	m j o ⁵⁵																		
968-1	s u ⁵¹																		
970-1	k j ai ³⁵																		
982-1	k a n ³⁵																		
986-1	kʰ au ⁵¹																		
997-1	k j i n ⁵¹																		
998-1	p u ³⁵																		
1001-1	s j i n ⁵¹																		
1003-1	j w a ŋ ⁵¹																		
1005-1	pʰ a ŋ ⁵¹																		
1008-1	ts j u ⁵⁵																		
2-2		e ²¹⁴																	
4-2		Ø e ²¹⁴																	
5-2		tʃ a ŋ ⁵¹																	
6-2		s a n ⁵¹																	
7-2		s a ŋ ⁵¹																	
8-2		j a ⁵¹																	
