ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	PARTIAL_COGNACY	COGIDS
7845	148	(rice) seedling	Beijing	Beijing	.i.a.ŋ.⁵⁵	.i.a.ŋ.⁵⁵	i/j a ŋ ⁵⁵	beij1234	39.9385466	116.1172766	Sino-Tibetan	1620	1620
7846	148	(rice) seedling	Jinan	Jinan	.i.a.ŋ.²¹³	.i.a.ŋ.²¹³	i/j a ŋ ²¹³	jina1245	36.690777	116.997299	Sino-Tibetan	1620	1620
7847	148	(rice) seedling	XiAn	Xi_an	.i.a.ŋ.²¹	.i.a.ŋ.²¹	i/j a ŋ ²¹	xian1253	34.228154	108.960571	Sino-Tibetan	1620	1620
7848	148	(rice) seedling	Taiyuan	Taiyuan	.i.ɒː ¹¹	.i.ɒː ¹¹	iɒː ¹¹	taiy1243	37.8632119	112.4024883	Sino-Tibetan	1620	1620
7849	148	(rice) seedling	Hankou	Hankou	.i.a.ŋ.⁵⁵	.i.a.ŋ.⁵⁵	i/j a ŋ ⁵⁵	hank1234	30.581179	114.272597	Sino-Tibetan	1620	1620
7850	148	(rice) seedling	Chengdu	Chengdu	.i.a.ŋ.⁴⁴	.i.a.ŋ.⁴⁴	i/j a ŋ ⁴⁴	chen1267	30.605768	103.970947	Sino-Tibetan	1620	1620
7851	148	(rice) seedling	Yangzhou	Yangzhou	.i.ɑ.ŋ.²¹	.i.ɑ.ŋ.²¹	i/j ɑ ŋ ²¹	yang1306	32.4171449	119.209227	Sino-Tibetan	1620	1620
7852	148	(rice) seedling	Suzhou	Suzhou	.i.a.ŋ.⁴⁴	.i.a.ŋ.⁴⁴	i/j a ŋ ⁴⁴	suzh1234	31.3280439	120.364116	Sino-Tibetan	1620	1620
7853	148	(rice) seedling	Wenzhou	Wenzhou	.i.⁴⁴	.i.⁴⁴	i ⁴⁴	ouji1238	28.005496	120.701179	Sino-Tibetan	1620	1620
7854	148	(rice) seedling	Changsha	Changsha	.i.a.n.³³	.i.a.n.³³	i/j a n ³³	chan1326	28.85032	112.943344	Sino-Tibetan	1620	1620
7855	148	(rice) seedling	Shuangfeng	Shuangfeng	.i.a.ŋ.⁵⁵	.i.a.ŋ.⁵⁵	i/j a ŋ ⁵⁵	shua1258	27.4569781	111.916486	Sino-Tibetan	1620	1620
7856	148	(rice) seedling	Nanchang	Nanchang	.i.ɔ.ŋ.⁴²	.i.ɔ.ŋ.⁴²	i/j ɔ ŋ ⁴²	nanc1254	28.706609	115.857468	Sino-Tibetan	1620	1620
7857	148	(rice) seedling	Meixian	Meixian	j.ɔ.ŋ.⁴⁴	j.ɔ.ŋ.⁴⁴	j ɔ ŋ ⁴⁴	yuet1238	24.3522958	115.8903375	Sino-Tibetan	1620	1620
7858	148	(rice) seedling	Guangzhou	Guangzhou	j.œ.ŋ.⁵³/⁵⁵	j.œ.ŋ.⁵³/⁵⁵	j œ ŋ ⁵³/⁵⁵	guan1279	23.1253503	112.9476548	Sino-Tibetan	1620	1620
7859	148	(rice) seedling	Xiamen	Xiamen	.i.ɔ.ŋ.⁵⁵	.i.ɔ.ŋ.⁵⁵	i/j ɔ ŋ ⁵⁵	xiam1236	24.49421	118.08918	Sino-Tibetan	1620	1620
7860	148	(rice) seedling	Xiamen	Xiamen	.ŋ.⁵⁵	.ŋ.⁵⁵	ŋ ⁵⁵	xiam1236	24.49421	118.08918	Sino-Tibetan	1620	1620
7861	148	(rice) seedling	Chaozhou	Chaozhou	.i.a.ŋ.³³	.i.a.ŋ.³³	i/j a ŋ ³³	chao1238	23.666667	116.633333	Sino-Tibetan	1620	1620
7862	148	(rice) seedling	Fuzhou	Fuzhou	.y.ɔ.⁴⁴	.y.ɔ.⁴⁴	y/ɥ ɔ ⁴⁴	fuzh1239	26.08904	119.294243	Sino-Tibetan	1620	1620
1336	149	(wind) blow	Beijing	Beijing	k.u.a.⁵⁵	k.u.a.⁵⁵	k u/w a ⁵⁵	beij1234	39.9385466	116.1172766	Sino-Tibetan	216	216
1337	149	(wind) blow	Jinan	Jinan	k.u.a.²¹³	k.u.a.²¹³	k u/w a ²¹³	jina1245	36.690777	116.997299	Sino-Tibetan	216	216
1338	149	(wind) blow	XiAn	Xi_an	k.u.a.²¹	k.u.a.²¹	k u/w a ²¹	xian1253	34.228154	108.960571	Sino-Tibetan	216	216
1339	149	(wind) blow	Taiyuan	Taiyuan	k.u.ə.ʔ.²	k.u.ə.ʔ.²	k u/w ə ʔ ²	taiy1243	37.8632119	112.4024883	Sino-Tibetan	216	216
1340	149	(wind) blow	Taiyuan	Taiyuan	k.u.a.ʔ.²	k.u.a.ʔ.²	k u/w a ʔ ²	taiy1243	37.8632119	112.4024883	Sino-Tibetan	216	216
1341	149	(wind) blow	Hankou	Hankou	k.u.a.²¹³	k.u.a.²¹³	k u/w a ²¹³	hank1234	30.581179	114.272597	Sino-Tibetan	216	216
1342	149	(wind) blow	Chengdu	Chengdu	k.u.a.³¹	k.u.a.³¹	k u/w a ³¹	chen1267	30.605768	103.970947	Sino-Tibetan	216	216
1343	149	(wind) blow	Yangzhou	Yangzhou	k.u.a.ʔ.⁴	k.u.a.ʔ.⁴	k u/w a ʔ ⁴	yang1306	32.4171449	119.209227	Sino-Tibetan	216	216
1344	149	(wind) blow	Suzhou	Suzhou	k.u.a.ʔ.⁴	k.u.a.ʔ.⁴	k u/w a ʔ ⁴	suzh1234	31.3280439	120.364116	Sino-Tibetan	216	216
1345	149	(wind) blow	Wenzhou	Wenzhou	k.o.³²³	k.o.³²³	k o ³²³	ouji1238	28.005496	120.701179	Sino-Tibetan	216	216
1346	149	(wind) blow	Changsha	Changsha	k.u.a.²⁴	k.u.a.²⁴	k u/w a ²⁴	chan1326	28.85032	112.943344	Sino-Tibetan	216	216
