COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	Xiamen	XiAn	Yangzhou	ZhongyuanYinyun
2-1	i ³⁵																		
4-1	Ø i ³⁵																		
5-1	ts a ŋ ⁵¹																		
6-1	s a n ⁵⁵																		
7-1	s a ŋ ⁵¹																		
8-1	x a ⁵¹																		
9-1	p u ³⁵																		
17-1	ʈʂ u ŋ ⁵⁵																		
31-1	tɕ j ou ²¹⁴																		
32-1	j a ²¹⁴																		
33-1	u ²¹⁴																		
38-1	i ⁵¹																		
40-1	u n ³⁵																		
42-1	u ²¹⁴																		
43-1	ts i ŋ ²¹⁴																		
46-1	w a ŋ ³⁵																		
52-1	l j a ŋ ⁵¹																		
53-1	w i n ³⁵																		
56-1	tɕ i n ⁵⁵																		
59-1	tʰ a ⁵⁵																		
60-1	ʈʂ a ŋ ⁵¹																		
64-1	l i ŋ ⁵¹																		
68-1	tɕ j a n ⁵¹																		
85-1	w i ⁵¹																		
86-1	t i ⁵⁵																		
87-1	ts u ⁵¹																		
93-1	n i ²¹⁴																		
98-1	l ai ³⁵																		
109-1	ɕ i n ⁵¹																		
115-1	t au ²¹⁴																		
118-1	ts j a ⁵¹																		
124-1	tɕ j a ²¹⁴																		
127-1	ts w o ⁵¹																		
133-1	tʰ ou ⁵⁵																		
144-1	s a ²¹⁴																		
161-1	x j u ŋ ⁵⁵																		
166-1	k w a ŋ ⁵⁵																		
170-1	i ³⁵																		
171-1	tʰ u ⁵¹																		
173-1	w u ⁵¹																		
174-1	n w ai ⁵¹																		
175-1	ts j a n ³⁵																		
176-1	l j a ŋ ²¹⁴																		
177-1	p a ⁵⁵																		
179-1	l j ou ⁵¹																		
181-1	p i ŋ ⁵⁵																		
182-1	tɕ i ³⁵																		
189-1	k a n ⁵⁵																		
191-1	t u ŋ ⁵⁵																		
193-1	l o ŋ ²¹⁴																		
198-1	t a ŋ ⁵¹																		
199-1	x j u ŋ ⁵⁵																		
200-1	tʰ u ³⁵																		
202-1	t au ⁵⁵																		
205-1	x u n ⁵⁵																		
206-1	Ø j o ⁵⁵																		
209-1	w w a ⁵¹																		
211-1	Ø u ⁵⁵																		
215-1	l i ⁵¹																		
216-1	k w a ⁵⁵																		
217-1	t au ⁵¹																		
219-1	s w a ⁵⁵																		
