COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	Xiamen	XiAn	Yangzhou	ZhongyuanYinyun
2-1	ə ²¹⁴																		
4-1	Ø ə ²¹⁴																		
5-1	tʃ a ŋ ⁵⁵																		
6-1	s a n ⁵¹																		
7-1	s a ŋ ⁵⁵																		
8-1	w a ²¹⁴																		
9-1	p u ²¹⁴																		
17-1	ts u ŋ ⁵¹																		
31-1	k j au ³⁵																		
32-1	j a ²¹⁴																		
33-1	u ²¹⁴																		
38-1	i ³⁵																		
40-1	u n ⁵¹																		
42-1	u ²¹⁴																		
43-1	ts j i n ³⁵																		
46-1	w a ŋ ⁵¹																		
52-1	l j a ŋ ⁵⁵																		
53-1	j a n ⁵¹																		
56-1	k i n ⁵⁵																		
59-1	tʰ j a ⁵¹																		
60-1	ts a ŋ ⁵⁵																		
64-1	l w i n ³⁵																		
68-1	k w a w ³⁵																		
85-1	w i ⁵⁵																		
86-1	t i ⁵¹																		
87-1	ts u ⁵⁵																		
93-1	n i ²¹⁴																		
98-1	w l ai ⁵¹																		
109-1	s j ə n ⁵⁵																		
115-1	t au ³⁵																		
118-1	ts j a j ⁵⁵																		
124-1	k a ³⁵																		
127-1	ts u ⁵⁵																		
133-1	tʰ j au ⁵¹																		
144-1	s j a ⁵⁵																		
161-1	s j u ŋ ⁵¹																		
166-1	k w a ŋ ⁵¹																		
170-1	i ⁵¹																		
171-1	tʰ u ⁵⁵																		
173-1	j u ²¹⁴																		
174-1	n w i ³⁵																		
175-1	ts ə ⁵¹																		
176-1	l j a ŋ ²¹⁴																		
177-1	p a ²¹⁴																		
179-1	l u w ²¹⁴																		
181-1	p j i n ⁵¹																		
182-1	kʰ i ⁵¹																		
189-1	k w a ⁵¹																		
191-1	t u ŋ ⁵¹																		
193-1	l w a ŋ ²¹⁴																		
198-1	t ai n ⁵⁵																		
199-1	s j u ŋ ⁵¹																		
200-1	tʰ j u ²¹⁴																		
202-1	t au ⁵¹																		
205-1	u n ⁵¹																		
206-1	Ø j e ²¹⁴																		
209-1	w a ³⁵																		
211-1	Ø u ⁵¹																		
215-1	l i ⁵⁵																		
216-1	k w a ²¹⁴																		
217-1	t au ⁵⁵																		
219-1	s w a ²¹⁴																		
220-1	Ø j i ⁵⁵																		
225-1	ts a ⁵¹																		
230-1	ts a ³⁵																		
234-1	pʰ i ²¹⁴																		
238-1	l ə ²¹⁴																		
242-1	ts j u ⁵⁵																		
253-1	kʰ i n ⁵¹																		
256-1	s o w ⁵⁵																		
261-1	x w a ⁵⁵																		
262-1	p j a w ²¹⁴																		
263-1	s j i ⁵¹																		
264-1	ts j a ŋ ³⁵																		
271-1	s a ⁵⁵																		
272-1	k a ⁵¹																		
274-1	u ²¹⁴																		
275-1	p a ⁵⁵																		
279-1	n a n ⁵¹																		
287-1	l w a ³⁵																		
291-1	x j au ²¹⁴																		
295-1	kʰ e ⁵⁵																		
300-1	j u ²¹⁴																		
303-1	Ø j u ³⁵																		
306-1	kʰ au ³⁵																		
307-1	k u ³⁵																		
308-1	k j u ⁵⁵																		
312-1	k j au ⁵⁵																		
313-1	kʰ o ³⁵																		
314-1	tʰ j ai ⁵¹																		
323-1	m i n ⁵¹																		
325-1	tʰ u ³⁵																		
330-1	j u ³⁵																		
334-1	s ə ²¹⁴																		
335-1	tʰ w i j ⁵¹																		
338-1	k au ⁵⁵																		
339-1	ts u ⁵¹																		
341-1	x u ⁵¹																		
342-1	m i n ³⁵																		
343-1	x j o ⁵¹																		
344-1	w au ²¹⁴																		
349-1	kʰ j u ²¹⁴																		
353-1	tʰ a ŋ ⁵⁵																		
360-1	x j au ⁵¹																		
375-1	ts w i ³⁵																		
388-1	s i ⁵⁵																		
389-1	x w i ⁵¹																		
392-1	kʰ w u n ⁵⁵																		
394-1	k a ⁵¹																		
401-1	tʰ u ³⁵																		
402-1	tʃ j ai ⁵⁵																		
403-1	t i ³⁵																		
409-1	ts j o ²¹⁴																		
418-1	m ai ⁵¹																		
441-1	tʰ a ⁵¹																		
443-1	m j u j ⁵⁵																		
459-1	w ai ³⁵																		
460-1	t j o ⁵¹																		
461-1	j a ⁵⁵																		
464-1	t a ⁵⁵																		
465-1	tʰ a ⁵¹																		
466-1	tʰ ai ⁵⁵																		
467-1	x u ⁵¹																		
469-1	s ə ²¹⁴																		
480-1	ŋ u j ²¹⁴																		
482-1	n ai ²¹⁴																		
484-1	x au ³⁵																		
491-1	m j i ⁵⁵																		
492-1	Ø i ⁵¹																		
495-1	ts j a ³⁵																		
496-1	k u ⁵¹																		
507-1	n j a ŋ ⁵¹																		
509-1	Ø j u ²¹⁴																		
510-1	pʰ j o ⁵¹																		
513-1	s i ³⁵																		
518-1	s au ³⁵																		
525-1	ts i ³⁵																		
527-1	w w a n ⁵⁵																		
533-1	x j ai ⁵¹																		
548-1	kʰ j a ²¹⁴																		
554-1	x j ai ³⁵																		
558-1	j u ŋ ⁵¹																		
564-1	p u ⁵⁵																		
580-1	s j a ⁵⁵																		
587-1	s j au ³⁵																		
588-1	s au ³⁵																		
589-1	ts a ⁵¹																		
594-1	Ø j a ²¹⁴																		
602-1	w u ²¹⁴																		
604-1	s ai ³⁵																		
611-1	s a n ⁵¹																		
630-1	ts j o ³⁵																		
637-1	k i n ⁵¹																		
638-1	s i ²¹⁴																		
639-1	p j u ⁵⁵																		
2-2		ə ²¹⁴																	
4-2		Ø ə ²¹⁴																	
5-2		tʃ a ŋ ⁵¹																	
6-2		s a n ⁵¹																	
7-2		s a ŋ ⁵¹																	
8-2		w a ⁵¹																	
9-2		p u ²¹⁴																	
17-2		ts u ŋ ⁵¹																	
31-2		k j ou ²¹⁴																	
32-2		j a ²¹⁴																	
33-2		u ²¹⁴																	
38-2		i ⁵¹																	
40-2		u n ⁵⁵																	
42-2		u ²¹⁴																	
43-2		ts j i ŋ ²¹⁴																	
46-2		w a ŋ ⁵⁵																	
52-2		l j a ŋ ⁵¹																	
53-2		j a n ⁵⁵																	
56-2		k i n ⁵⁵																	
59-2		tʰ j a ⁵¹																	
60-2		ts a ŋ ⁵¹																	
64-2		l w i ŋ ⁵¹																	
68-2		k w a n ⁵¹																	
85-2		w i ⁵¹																	
86-2		t i ⁵¹																	
87-2		tʃ u ⁵¹																	
93-2		n i ²¹⁴																	
98-2		w l ai ⁵⁵																	
109-2		s j ə n ⁵¹																	
115-2		t au ²¹⁴																	
118-2		ts j a j ⁵¹																	
124-2		k a ²¹⁴																	
127-2		ts u ⁵¹																	
133-2		tʰ j au ⁵¹																	
144-2		s j a ³⁵																	
161-2		s u ŋ ⁵¹																	
166-2		k w a ŋ ⁵¹																	
170-2		i ⁵⁵																	
171-2		tʰ u ⁵¹																	
173-2		j u ²¹⁴																	
174-2		n w i ⁵¹																	
175-2		ts a n ⁵⁵																	
176-2		l j a ŋ ²¹⁴																	
177-2		p a ²¹⁴																	
179-2		l j u w ²¹⁴																	
181-2		p j i ŋ ⁵¹																	
182-2		kʰ i ⁵⁵																	
189-2		k w a n ⁵¹																	
191-2		t u ŋ ⁵¹																	
193-2		l w a ŋ ²¹⁴																	
198-2		t ai ŋ ⁵¹																	
199-2		s u ŋ ⁵¹																	
200-2		tʰ j u ²¹⁴																	
202-2		t au ⁵¹																	
205-2		u n ⁵¹																	
206-2		Ø j e ²¹⁴																	
209-2		w a ⁵¹																	
211-2		Ø u ⁵¹																	
215-2		l i ⁵¹																	
216-2		k w a ²¹⁴																	
217-2		t au ⁵¹																	
219-2		s w a ²¹⁴																	
220-2		Ø j i ⁵¹																	
225-2		ts a n ⁵⁵																	
230-2		k a n ²¹⁴																	
234-2		pʰ i ²¹⁴																	
238-2		l ə ²¹⁴																	
242-2		tʃ j u ⁵¹																	
253-2		kʰ i n ⁵⁵																	
256-2		s o w ⁵⁵																	
261-2		x w a ⁵¹																	
262-2		p j a w ²¹⁴																	
263-2		s j i ⁵¹																	
264-2		k j a ŋ ⁵¹																	
271-2		s a ⁵⁵																	
272-2		k a n ⁵¹																	
274-2		u ²¹⁴																	
275-2		p a n ⁵¹																	
279-2		n a n ⁵⁵																	
287-2		l w a n ²¹⁴																	
291-2		x j au ⁵¹																	
295-2		kʰ e ⁵¹																	
300-2		j ou ²¹⁴																	
303-2		Ø j u ³⁵																	
306-2		kʰ ou ²¹⁴																	
307-2		k u ²¹⁴																	
308-2		k j u ⁵¹																	
312-2		k j au ⁵¹																	
313-2		kʰ o ²¹⁴																	
314-2		tʰ j ai ⁵⁵																	
323-2		m i ŋ ⁵⁵																	
325-2		tʰ u ³⁵																	
330-2		j pʰ u ²¹⁴																	
334-2		s ə ²¹⁴																	
335-2		tʰ w u j ⁵¹																	
338-2		k au ⁵¹																	
339-2		ts u ⁵¹																	
341-2		x u ⁵¹																	
342-2		m i ŋ ⁵¹																	
343-2		x j o ⁵⁵																	
344-2		au ²¹⁴																	
349-2		kʰ j u ²¹⁴																	
353-2		tʰ a ŋ ⁵¹																	
360-2		x j au ⁵⁵																	
375-2		ts w i ³⁵																	
388-2		s i ⁵¹																	
389-2		x w i ⁵⁵																	
392-2		kʰ w u n ⁵¹																	
394-2		k a n ⁵¹																	
401-2		tʰ u ²¹⁴																	
402-2		tʃ j ai ⁵¹																	
403-2		t i ⁵¹																	
409-2		ts j o ⁵¹																	
418-2		m ai ⁵⁵																	
441-2		tʰ a n ⁵⁵																	
443-2		m j u j ⁵¹																	
459-2		w ai ⁵¹																	
460-2		t j o ⁵¹																	
461-2		j a ⁵¹																	
464-2		t a ⁵¹																	
465-2		tʰ j a n ⁵¹																	
466-2		tʰ ai ⁵¹																	
467-2		x u ⁵¹																	
469-2		s ə ²¹⁴																	
480-2		n u j ²¹⁴																	
482-2		n ai ²¹⁴																	
484-2		x au ²¹⁴																	
491-2		m j i ⁵¹																	
492-2		Ø i ⁵¹																	
495-2		ts j a ²¹⁴																	
496-2		k u ⁵¹																	
507-2		n j a ŋ ⁵⁵																	
509-2		Ø j u ²¹⁴																	
510-2		pʰ j o ⁵⁵																	
513-2		s i ⁵¹																	
518-2		s au ²¹⁴																	
525-2		ts i ²¹⁴																	
527-2		w w a n ⁵¹																	
533-2		x j ai ⁵⁵																	
548-2		kʰ j a ²¹⁴																	
554-2		x j ai ⁵¹																	
558-2		j u ŋ ⁵⁵																	
564-2		p u ⁵¹																	
580-2		s j a ⁵¹																	
587-2		s j au ²¹⁴																	
588-2		s au ²¹⁴																	
589-2		ts j a n ⁵¹																	
594-2		Ø j a ²¹⁴																	
602-2		w u ²¹⁴																	
604-2		s ai ²¹⁴																	
611-2		s a n ⁵¹																	
630-2		ts j o ²¹⁴																	
637-2		k i n ⁵¹																	
638-2		s i ⁵¹																	
639-2		p j u ⁵¹																	
2-3			ə ²¹⁴																
4-3			Ø ə ²¹⁴																
5-3			tʃ a ŋ ⁵¹																
6-3			s a n ⁵¹																
7-3			s a ŋ ⁵¹																
8-3			x j a ⁵¹																
9-3			p u ²¹⁴																
17-3			tʃ u ŋ ⁵¹																
31-3			k j ou ³⁵																
32-3			j a ²¹⁴																
33-3			u ²¹⁴																
38-3			i ⁵¹																
40-3			u n ⁵⁵																
42-3			u ²¹⁴																
43-3			ts j i ŋ ³⁵																
46-3			w a ŋ ⁵⁵																
52-3			l j a ŋ ⁵¹																
53-3			j i n ⁵⁵																
56-3			k i n ⁵⁵																
59-3			tʰ j a ⁵¹																
60-3			tʃ a ŋ ⁵¹																
64-3			l j i ŋ ⁵¹																
68-3			k j a n ⁵¹																
85-3			w i ⁵¹																
86-3			t i ⁵¹																
87-3			tʃ u ⁵¹																
93-3			n i ²¹⁴																
98-3			j l ai ⁵⁵																
109-3			s j ə n ⁵¹																
115-3			t au ³⁵																
118-3			ts j a j ⁵¹																
124-3			k j a ³⁵																
127-3			ts u ⁵¹																
133-3			tʰ j ou ⁵¹																
144-3			s j a ³⁵																
161-3			s u ŋ ⁵¹																
166-3			k w a ŋ ⁵¹																
170-3			i ⁵⁵																
171-3			tʰ u ⁵¹																
173-3			j u ²¹⁴																
174-3			n i ⁵¹																
175-3			ts a n ⁵⁵																
176-3			l j a ŋ ²¹⁴																
177-3			p a ²¹⁴																
179-3			l j u ²¹⁴																
181-3			p j i ŋ ⁵¹																
182-3			kʰ i ⁵⁵																
189-3			k w a n ⁵¹																
191-3			t u ŋ ⁵¹																
193-3			l a ŋ ²¹⁴																
198-3			t ai n ⁵¹																
199-3			s u ŋ ⁵¹																
200-3			tʰ j u ²¹⁴																
202-3			t au ⁵¹																
205-3			u n ⁵¹																
206-3			Ø j e ²¹⁴																
209-3			w a ²¹⁴																
211-3			Ø u ⁵¹																
215-3			l i ⁵¹																
216-3			k w a ²¹⁴																
217-3			t au ⁵¹																
219-3			s w a ²¹⁴																
220-3			Ø j i ⁵¹																
225-3			ts a n ⁵⁵																
230-3			ts a n ³⁵																
234-3			pʰ ə ²¹⁴																
238-3			l i ²¹⁴																
242-3			tʃ j u ⁵¹																
253-3			kʰ i n ⁵⁵																
256-3			s o ²¹⁴																
261-3			x w a ⁵¹																
262-3			p j ai ²¹⁴																
263-3			s j a ³⁵																
264-3			k j a ŋ ⁵¹																
271-3			s a ²¹⁴																
272-3			Ø a n ⁵¹																
274-3			u ²¹⁴																
275-3			p a n ⁵¹																
279-3			n a n ⁵⁵																
287-3			l a n ³⁵																
291-3			x j ou ⁵¹																
295-3			kʰ e ⁵¹																
300-3			j ou ²¹⁴																
303-3			Ø j i ³⁵																
306-3			kʰ ou ³⁵																
307-3			k u ³⁵																
308-3			k j u ⁵¹																
312-3			k j au ⁵¹																
313-3			kʰ o ³⁵																
314-3			tʰ j ai ⁵⁵																
323-3			m i ŋ ⁵⁵																
325-3			tʰ u ³⁵																
330-3			j pʰ ou ³⁵																
334-3			s ə ²¹⁴																
335-3			tʰ u j ⁵¹																
338-3			k au ⁵¹																
339-3			ts ou ⁵¹																
341-3			x u ⁵¹																
342-3			m i ŋ ⁵¹																
343-3			x j o ⁵⁵																
344-3			w au ²¹⁴																
349-3			kʰ j u ²¹⁴																
353-3			tʰ a ŋ ⁵¹																
360-3			x j ou ⁵⁵																
375-3			ts w i ³⁵																
388-3			s i ⁵¹																
389-3			x w i ⁵⁵																
392-3			kʰ w u n ⁵¹																
394-3			k a n ⁵¹																
401-3			tʰ u ³⁵																
402-3			ts j ai ⁵¹																
403-3			t i ⁵¹																
409-3			ts j o ⁵¹																
418-3			m ai ⁵⁵																
441-3			tʰ a n ⁵⁵																
443-3			m j u j ⁵¹																
459-3			w ai ⁵¹																
460-3			t j o ⁵¹																
461-3			j a ⁵¹																
464-3			t a ⁵¹																
465-3			tʰ a n ⁵¹																
466-3			tʰ ai ⁵¹																
467-3			x u ⁵¹																
469-3			s a ²¹⁴																
480-3			n u ²¹⁴																
482-3			n ai ²¹⁴																
484-3			x au ³⁵																
491-3			m j i ⁵¹																
492-3			Ø i ⁵¹																
495-3			ts j a ³⁵																
496-3			k u ⁵¹																
507-3			n j a ŋ ⁵⁵																
509-3			Ø j i ³⁵																
510-3			pʰ j o ⁵⁵																
513-3			s i ⁵¹																
518-3			s au ³⁵																
525-3			ts i ³⁵																
527-3			w a n ⁵¹																
533-3			x j ai ⁵⁵																
548-3			kʰ j a ²¹⁴																
554-3			x j ai ⁵¹																
558-3			j u ŋ ⁵⁵																
564-3			x u ⁵¹																
580-3			s j o ⁵¹																
587-3			s j au ³⁵																
588-3			s au ³⁵																
589-3			ts a n ⁵¹																
594-3			Ø a ²¹⁴																
602-3			j u ²¹⁴																
604-3			s ai ³⁵																
611-3			s a n ⁵¹																
630-3			ts j o ³⁵																
637-3			k ə n ⁵¹																
638-3			s i ⁵¹																
639-3			p j u ⁵¹																
2-4				ə ²¹⁴															
4-4				Ø ə ²¹⁴															
5-4				tʃ a ŋ ⁵¹															
6-4				s a n ⁵¹															
7-4				s a ŋ ⁵¹															
8-4				j a ⁵¹															
9-4				p u ²¹⁴															
17-4				tʃ u ŋ ⁵¹															
31-4				k j ou ³⁵															
32-4				j a ²¹⁴															
33-4				u ²¹⁴															
38-4				i ⁵¹															
40-4				w u n ⁵⁵															
42-4				u ²¹⁴															
43-4				ts j i ŋ ³⁵															
46-4				w w a ŋ ⁵⁵															
52-4				l j a ŋ ⁵¹															
53-4				w a n ⁵⁵															
56-4				k i n ⁵⁵															
59-4				tʰ j a ⁵¹															
60-4				tʃ a ŋ ⁵¹															
64-4				l j i ŋ ⁵¹															
68-4				k j e n ⁵¹															
85-4				w i ⁵¹															
86-4				t i ⁵¹															
87-4				tʃ u ⁵¹															
93-4				n i ²¹⁴															
98-4				j l ai ⁵⁵															
109-4				s j ə n ⁵¹															
115-4				t au ³⁵															
118-4				ts j a w ⁵¹															
124-4				k a ³⁵															
127-4				ts u ⁵¹															
133-4				tʰ j ou ⁵¹															
144-4				s j a ³⁵															
161-4				s u ŋ ⁵¹															
166-4				k w a ŋ ⁵¹															
170-4				i ⁵⁵															
171-4				tʰ u ⁵¹															
173-4				j u ²¹⁴															
174-4				n j i ⁵¹															
175-4				ts w ə n ⁵⁵															
176-4				l j a ŋ ²¹⁴															
177-4				p a ²¹⁴															
179-4				l j u ²¹⁴															
181-4				p j i ŋ ⁵¹															
182-4				kʰ i ⁵⁵															
189-4				k w a n ⁵¹															
191-4				t u ŋ ⁵¹															
193-4				l w e ŋ ²¹⁴															
198-4				t e ŋ ⁵¹															
199-4				s j u ŋ ⁵¹															
200-4				tʰ j u ²¹⁴															
202-4				t au ⁵¹															
205-4				w u n ⁵¹															
206-4				Ø j e ²¹⁴															
209-4				w a ²¹⁴															
211-4				Ø u ⁵¹															
215-4				l i ⁵¹															
216-4				k w a ²¹⁴															
217-4				t au ⁵¹															
219-4				s w a ²¹⁴															
220-4				Ø j i ⁵¹															
225-4				ts e n ⁵⁵															
230-4				ts e n ³⁵															
234-4				pʰ ə ²¹⁴															
238-4				l ə ²¹⁴															
242-4				tʃ j u ⁵¹															
253-4				kʰ ə n ⁵⁵															
256-4				s o ²¹⁴															
261-4				x w a ⁵¹															
262-4				p j a ²¹⁴															
263-4				s j i ⁵⁵															
264-4				k j a ŋ ⁵¹															
271-4				s a ²¹⁴															
272-4				k e n ⁵¹															
274-4				w u ²¹⁴															
275-4				p a n ⁵¹															
279-4				n a n ⁵⁵															
287-4				l w a n ³⁵															
291-4				x j ou ⁵¹															
295-4				kʰ e ⁵¹															
300-4				j ou ²¹⁴															
303-4				Ø j u ³⁵															
306-4				kʰ ou ³⁵															
307-4				k u ³⁵															
308-4				k j u ⁵¹															
312-4				k j au ⁵¹															
313-4				kʰ o ³⁵															
314-4				tʰ j ai ⁵⁵															
323-4				m i ŋ ⁵⁵															
325-4				tʰ u ³⁵															
330-4				w ou ³⁵															
334-4				s ə ²¹⁴															
335-4				tʰ u j ⁵¹															
338-4				k au ⁵¹															
339-4				ts ou ⁵¹															
341-4				x u ⁵¹															
342-4				m w i ŋ ⁵¹															
343-4				x w o ⁵⁵															
344-4				au ²¹⁴															
349-4				kʰ j u ²¹⁴															
353-4				tʰ a ŋ ⁵¹															
360-4				x j ou ⁵⁵															
375-4				ts w i ³⁵															
388-4				s i ⁵¹															
389-4				x w i ⁵⁵															
392-4				kʰ w u n ⁵¹															
394-4				k a n ⁵¹															
401-4				tʰ u ³⁵															
402-4				tʃ j ai ⁵¹															
403-4				t i ⁵¹															
409-4				ts j o ⁵¹															
418-4				m ai ⁵⁵															
441-4				tʰ e n ⁵⁵															
443-4				m j u j ⁵¹															
459-4				w ai ⁵¹															
460-4				t j o ⁵¹															
461-4				j a ⁵¹															
464-4				t a ⁵¹															
465-4				tʰ e n ⁵¹															
466-4				tʰ ai ⁵¹															
467-4				x u ⁵¹															
469-4				s i ²¹⁴															
480-4				n u w ²¹⁴															
482-4				n ai ²¹⁴															
484-4				x au ³⁵															
491-4				m w e ⁵¹															
492-4				Ø i ⁵¹															
495-4				ts j a ³⁵															
496-4				k u ⁵¹															
507-4				n j a ŋ ⁵⁵															
509-4				Ø j u ³⁵															
510-4				pʰ w o ⁵⁵															
513-4				s i ⁵¹															
518-4				s au ³⁵															
525-4				ts i ³⁵															
527-4				e n ⁵¹															
533-4				x j ai ⁵⁵															
548-4				kʰ j a ²¹⁴															
554-4				x j ai ⁵¹															
558-4				j u ŋ ⁵⁵															
564-4				x u ⁵¹															
580-4				s w a ⁵¹															
587-4				s j au ³⁵															
588-4				s au ³⁵															
589-4				ts a n ⁵¹															
594-4				Ø w a ²¹⁴															
602-4				j u ²¹⁴															
604-4				s ai ³⁵															
611-4				s a n ⁵¹															
630-4				ts j o ³⁵															
637-4				k ə n ⁵¹															
638-4				s i ⁵¹															
639-4				p j u ⁵¹															
2-5					i ²¹⁴														
4-5					Ø i ²¹⁴														
5-5					tʃ a ŋ ⁵¹														
6-5					s a n ⁵¹														
7-5					s a ŋ ⁵¹														
8-5					s j a ⁵¹														
9-5					p u ²¹⁴														
17-5					tʃ u ŋ ⁵¹														
31-5					k j ou ³⁵														
32-5					j a ³⁵														
33-5					u ³⁵														
38-5					i ⁵¹														
40-5					w u n ⁵⁵														
42-5					u ³⁵														
43-5					ts j i ŋ ³⁵														
46-5					w w a ŋ ⁵⁵														
52-5					l j a ŋ ⁵¹														
53-5					w a n ⁵⁵														
56-5					k i n ⁵⁵														
59-5					tʰ j a ⁵¹														
60-5					tʃ a ŋ ⁵¹														
64-5					l j i ŋ ⁵¹														
68-5					k j e n ⁵¹														
85-5					w i ⁵¹														
86-5					t i ⁵¹														
87-5					tʃ u ⁵¹														
93-5					n i ³⁵														
98-5					j l ai ⁵⁵														
109-5					s j i n ⁵¹														
115-5					t au ³⁵														
118-5					ts j a w ⁵¹														
124-5					k j a ³⁵														
127-5					ts u ⁵¹														
133-5					tʰ j ou ⁵¹														
144-5					s j a ³⁵														
161-5					s o ŋ ⁵¹														
166-5					k w a ŋ ⁵¹														
170-5					i ⁵⁵														
171-5					tʰ u ⁵¹														
173-5					j u ²¹⁴														
174-5					w i ⁵¹														
175-5					ts w e n ⁵⁵														
176-5					l j a ŋ ³⁵														
177-5					p a ²¹⁴														
179-5					l j ou ²¹⁴														
181-5					p j i ŋ ⁵¹														
182-5					kʰ i ⁵⁵														
189-5					k w a n ⁵¹														
191-5					t u ŋ ⁵¹														
193-5					l w e ŋ ³⁵														
198-5					t e ŋ ⁵¹														
199-5					s j u ŋ ⁵¹														
200-5					tʰ j u ²¹⁴														
202-5					t au ⁵¹														
205-5					w x u n ⁵¹														
206-5					Ø j e ²¹⁴														
209-5					w a ²¹⁴														
211-5					Ø u ⁵¹														
215-5					l i ⁵¹														
216-5					k w a ²¹⁴														
217-5					t au ⁵¹														
219-5					s w a ²¹⁴														
220-5					Ø i ⁵¹														
225-5					ts e n ⁵⁵														
230-5					k e n ³⁵														
234-5					pʰ ə ²¹⁴														
238-5					l ə ²¹⁴														
242-5					tʃ j u ⁵¹														
253-5					kʰ i n ⁵⁵														
256-5					s o ²¹⁴														
261-5					x w a ⁵¹														
262-5					p j a ²¹⁴														
263-5					s i ⁵⁵														
264-5					k j a ŋ ⁵¹														
271-5					s a ²¹⁴														
272-5					k e n ⁵¹														
274-5					w u ³⁵														
275-5					p a n ⁵¹														
279-5					n a n ⁵⁵														
287-5					l w a n ³⁵														
291-5					x j ou ⁵¹														
295-5					kʰ e ⁵¹														
300-5					j ou ³⁵														
303-5					Ø j u ³⁵														
306-5					kʰ ou ³⁵														
307-5					k u ³⁵														
308-5					k j u ⁵¹														
312-5					k j au ⁵¹														
313-5					kʰ o ³⁵														
314-5					tʰ j ai ⁵⁵														
323-5					m i ŋ ⁵⁵														
325-5					tʰ u ³⁵														
330-5					w ou ³⁵														
334-5					s i ²¹⁴														
335-5					tʰ u j ⁵¹														
338-5					k au ⁵¹														
339-5					ts ou ⁵¹														
341-5					x u ⁵¹														
342-5					m w i ŋ ⁵¹														
343-5					x w o ⁵⁵														
344-5					au ³⁵														
349-5					kʰ j u ²¹⁴														
353-5					tʰ a ŋ ⁵¹														
360-5					x j ou ⁵⁵														
375-5					ts w i ³⁵														
388-5					s i ⁵¹														
389-5					x w i ⁵⁵														
392-5					kʰ w u n ⁵¹														
394-5					k a n ⁵¹														
401-5					tʰ u ³⁵														
402-5					tʃ j ai ⁵¹														
403-5					t i ⁵¹														
409-5					ts j o ⁵¹														
418-5					m ai ⁵⁵														
441-5					tʰ e n ⁵⁵														
443-5					m u j ⁵¹														
459-5					w ai ⁵¹														
460-5					t j o ⁵¹														
461-5					j a ⁵¹														
464-5					t a ⁵¹														
465-5					tʰ e n ⁵¹														
466-5					tʰ ai ⁵¹														
467-5					x u ⁵¹														
469-5					s i ²¹⁴														
480-5					n u w ³⁵														
482-5					n ai ³⁵														
484-5					x au ³⁵														
491-5					m w e ⁵¹														
492-5					Ø i ⁵¹														
495-5					ts j a ³⁵														
496-5					k u ⁵¹														
507-5					n j a ŋ ⁵⁵														
509-5					Ø j u ³⁵														
510-5					pʰ w o ⁵⁵														
513-5					s i ⁵¹														
518-5					s au ³⁵														
525-5					ts i ³⁵														
527-5					e n ⁵¹														
533-5					x j ai ⁵⁵														
548-5					kʰ j a ²¹⁴														
554-5					x j ai ⁵¹														
558-5					j u ŋ ⁵⁵														
564-5					x u ⁵¹														
580-5					s w a ⁵¹														
587-5					s j au ³⁵														
588-5					s au ³⁵														
589-5					k a n ⁵¹														
594-5					Ø w a ²¹⁴														
602-5					j u ²¹⁴														
604-5					s ai ³⁵														
611-5					s a n ⁵¹														
630-5					ts j o ³⁵														
637-5					k a n ⁵¹														
638-5					s i ⁵¹														
639-5					p u ⁵¹														
2-6						i ²¹⁴													
4-6						Ø i ²¹⁴													
5-6						tʃ a ŋ ⁵¹													
6-6						s a n ⁵¹													
7-6						s a ŋ ⁵¹													
8-6						s j a ⁵¹													
9-6						p u ²¹⁴													
17-6						tʃ u ŋ ⁵¹													
31-6						k j ou ³⁵													
32-6						j a ³⁵													
33-6						u ³⁵													
38-6						i ⁵¹													
40-6						w u n ⁵⁵													
42-6						u ³⁵													
43-6						ts j i ŋ ³⁵													
46-6						w w a ŋ ⁵⁵													
52-6						l j a ŋ ⁵¹													
53-6						j a n ⁵⁵													
56-6						k i n ⁵⁵													
59-6						tʰ j a ⁵¹													
60-6						tʃ a ŋ ⁵¹													
64-6						l j i ŋ ⁵¹													
68-6						k j a n ⁵¹													
85-6						w i ⁵¹													
86-6						t i ⁵¹													
87-6						tʃ u ⁵¹													
93-6						n i ³⁵													
98-6						j l ai ⁵⁵													
109-6						s j i n ⁵¹													
115-6						t au ³⁵													
118-6						ts j a w ⁵¹													
124-6						k j a ³⁵													
127-6						ts u ⁵¹													
133-6						tʰ j ou ⁵¹													
144-6						s j a ³⁵													
161-6						s o ŋ ⁵¹													
166-6						k w a ŋ ⁵¹													
170-6						i ⁵⁵													
171-6						tʰ u ⁵¹													
173-6						j u ²¹⁴													
174-6						w i ⁵¹													
175-6						ts a n ⁵⁵													
176-6						l j a ŋ ³⁵													
177-6						p a ²¹⁴													
179-6						l j ou ²¹⁴													
181-6						p j i ŋ ⁵¹													
182-6						k i ⁵⁵													
189-6						k w a n ⁵¹													
191-6						t u ŋ ⁵¹													
193-6						l w e ŋ ³⁵													
198-6						t e ŋ ⁵¹													
