COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t i									
56-1	u m a									
96-1	t a n									
99-1	r i k o n									
114-1	t o k									
115-1	u									
133-1	t i p a n									
144-1	w a w a k									
150-1	k a w									
234-1	k o m									
236-1	p i k u n									
241-1	n a w i n									
249-1										
1-1	w a t a ʔ									
2-1	m u m									
65-1	i w i									
74-1	p a n a									
52-2		t e								
56-2		u m a								
96-2		t r a s i								
99-2		e r i j o n								
114-2		t o k i s i								
115-2		u r e s i								
133-2		t i p a n								
144-2		t o r i s i								
150-2		k a w								
234-2		k o m								
236-2		p i k u n								
241-2		w i n								
249-2		i s e								
74-2		p a n a								
93-2		t u p a n								
95-2		w i k i								
52-3			i t i							
56-3			u m a							
96-3			a tʃ e							
99-3			r a k o							
114-3			k i tʃ e							
115-3			u tʃ e							
133-3			t e p a							
144-3			w a tʃ i							
150-3			k a w							
234-3			k o m							
236-3			p i k u							
241-3			a w i							
249-3			e t i							
1-3			w a i							
2-3			p u m							
65-3			e w e							
93-3			t o p a							
95-3			k i tʃ e							
52-4				t i						
56-4				u m a						
96-4				t a t i						
99-4				e r i j o n						
114-4				t o k						
115-4				u						
133-4				t i p a n						
144-4				w a t o						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				n a w i n						
249-4				i tʃ e						
1-4				w a t a						
2-4				w i m						
65-4				i w i						
74-4				p a n a						
93-4				t u p a						
95-4				w i k i						
52-5					t i					
56-5					o m a					
96-5					a r a s i					
99-5					e r i j o ʔ					
114-5					t o k i s i					
115-5					i r i s i					
133-5					t i p a n					
144-5					t o r a w a s i					
150-5					k a w					
234-5					k o m					
236-5					p i k o n					
241-5					w i n					
249-5					i s i					
1-5					w a t a					
2-5					m i					
65-5					i f i					
74-5					p a n a					
93-5					t o p a i s i					
95-5					w i s i					
52-6						t i				
56-6						u m a				
96-6						a t i tʃ i				
99-6						t i r i				
114-6						t u k i tʃ i				
115-6						u i tʃ i				
133-6						t i p a n				
144-6						w a t u tʃ i				
150-6						k a w				
234-6						k u m				
236-6						p i k u n				
241-6						w a i n				
249-6						i tʃ i				
1-6						w a t a				
2-6						w a m				
65-6						i h i				
74-6						p a n a				
93-6						t u p a n a tʃ i				
95-6						w i k i tʃ i				
52-7							e t i			
56-7							u m i			
96-7							t r a			
99-7							t i r i			
114-7							t u k i			
115-7							u r i			
133-7							t i p a n			
144-7							w a w a			
150-7							k a w			
234-7							k o m			
236-7							p i k u n			
241-7							w a n			
249-7							i			
1-7							w a t a			
2-7							u h u m			
65-7							i h i			
74-7							p a n a			
93-7							t u p a n			
95-7							w i k i			
52-8								t e		
56-8								y m		
96-8								t r a t i		
99-8								a t o		
114-8								t o k i s i		
115-8								y r i s i		
133-8								t i p a n		
144-8								w a t o s i		
150-8								k a w		
234-8								k o m		
236-8								p i k y n		
241-8								n a w i		
249-8								i s e		
1-8								w a t a		
2-8								y m		
65-8								i h i		
74-8								p a n a		
93-8								t o p a n		
95-8								k i s i		
52-9									e t e	
56-9									i m a	
96-9									a r a ʃ i	
99-9									t a r a t a n	
114-9									k i ʃ i	
115-9									i r i ʃ i	
133-9									t i p a n	
144-9									w a r a w a ʃ i	
150-9									k a w	
234-9									k o m	
236-9									p i k i n	
241-9									w a i n	
249-9									i ʃ i	
1-9									w a t a	
2-9									w u m	
65-9									i h i	
74-9									p a n a	
93-9									t o p a r i ʃ i	
95-9									w i k i	
52-10										t e ʔ
56-10										m a ʔ
96-10										t a r a tʃ i
99-10										t i j i ʔ
114-10										t o k i tʃ i
115-10										j o tʃ i ʔ
133-10										tʃ i p a n
144-10										w a w a tʃ i ʔ
150-10										k a w
234-10										k o m
236-10										p i k o n
241-10										w i n
249-10										tʃ e ʔ
1-10										w a t a ʔ
2-10										w i m
65-10										i w i ʔ
74-10										p a n a
93-10										t o p a n
95-10										w i k i
