COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	x u r i									
18-1	θ a x									
35-1	i θ ɨ dʑ i									
36-1	ʔ i θ i ts									
48-1	n a g a s a r									
60-1	θ i r									
63-1	s ɨ r a r i									
64-1	x									
67-1	h									
68-1	n ɨ									
71-1	ts									
76-1	h u r i									
83-1	ts ɨ r u									
87-1	h a n ɨ i									
95-1	m ɨ m i									
98-1	h a r a									
99-1	x u ts i									
-102-1	s ɨ r b a									
103-1	ɨ m i									
110-1	θ									
116-1	r b a r									
120-1	n u n u r i									
132-1	ts ɨ r u r i									
139-1	x u r u r u									
140-1	ʔ ɨ g u r i									
156-1	θ a x i r									
168-1	ts ɨ r									
169-1	h u s									
170-1	m ɨ g i									
173-1	ʔ ɨ s									
180-1	x u m u									
185-1	h a i									
186-1	m i r u r i									
187-1	m i ts i									
190-1	ʔ a x a s a r									
193-1	ts ɨ r u i									
194-1	s ɨ r u ɕ a r									
195-1	k u r u ɕ a r									
216-1	m a r u ɕ a r									
221-1	n i									
239-1	ʔ ɨ ts i									
252-1	m ɨ ts i									
253-1	r i ts u									
254-1	ʔ ɨ i ts i									
266-1	x a ɨ									
267-1	n a g a r ɨ r u r i									
268-1	ʔ u m i									
272-1	ʔ a m ɨ r									
276-1	ʔ a r a r u r i									
281-1	m u ɕ									
304-1	r ɨ b b									
305-1	a ts									
308-1	h a r a									
309-1	x u ɕ a									
310-1	θ u									
311-1	n a x a									
342-1	r u ts i									
346-1	k u r a s a r									
347-1	ɨ r u r i									
348-1	h ɨ r u ɕ a r									
351-1	θ i s a r									
361-1	ʔ u b b u ɕ a r i									
379-1	k u a r u a									
394-1	h ɨ d a r									
395-1	n ɨ r i i									
400-1	h ɨ g u b i									
412-1	s a x ɨ r u r i									
413-1	i i k u dʑ ɨ r u r i									
414-1	h u r u r i									
422-1	h u r ɨ r u r i									
423-1	k a b g a r u r									
430-1	h a r u r i									
435-1	h u r u r i									
446-1	s ɨ d a b x a									
447-1	ʔ ɨ b x a									
