COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z oː n ə			
2054-1	d ɑ n j ə r			
1375-1	l ɪ + s ə t			
760-1	w ɪ n t			
756-1	s n aː			
726-1	m uː d ə r			
1351-1	k r ɛɪ n s + v aː d ə r			
1353-1	x r ɛɪ n + m uː d ə r			
412-1	s w eː ɣ ə r + v aː d ə r ə + n ə ə ə			
406-1	s w eː ɣ ə r + m uː d ə r ə + n ə ə ə			
1005-1	s t ɪ p + v aː d ə r			
1012-1	s t eː p + m uː d ə r			
1016-1	w ɪ d w ə + r ə ə t			
1069-1	v ɪ k			
509-1	v ʉ l ə			
693-1	m x oː l + + + d ə r			
2179-1	n ɛ s t			
1753-1	v x ɪ s t			
1131-1	w ɑu l t			
1198-1	b aː w r t			
2032-1	h ɔ r n			
2241-1	n aː z			
2244-1	l ɪ p t			
610-1	k oː n			
945-1	h ɛ r t			
1534-1	l eː k ə			
384-1	z ɑu ɣ ə			
1650-1	n x ɔ s			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z eː w ə			
1385-1	z aː d ə ə			
792-1	r ɔ k			
1111-1	m ɑ s t			
197-1	z øː d ə			
2020-1	l ɑ n			
867-1	h ɔ n d ə r ə t			
1970-1	v ɑu l t			
1230-1	d r + ɪ d ə ə			
2017-1	n x ɑu ə t			
968-1	w ɛ + ə l t			
1674-1	l ɑ n t			
1671-1	h øː ɣ ə l			
829-1	k l ɪ p			
1025-1	w ɑ t ə r			
1027-1	z ɛɪ			
1832-1	r ɑu w			
-1816-1	aː x ə j ə			
-335-1	l ɑ k ə n			
1043-1	s t r m			
423-1	s t eː n			
2049-1	m oː n t			
2062-1	s t ɛ r m			
2065-1	r aː x ə n + b oː ɣ ə			
1368-1	s x ɑ d ə			
1365-1	d x ɑu w			
754-1	r aː x ə			
768-1	w eː d ə r			
1211-1	v iː r			
106-1	m ɑ n			
-98-1	b aː v			
719-1	v aː d ə r			
1341-1	z oː n			
-2027-1	d ɑ n t			
-2026-1	n ɛ v t ə			
409-1	s w eː ɣ ə r + z ɛɪ n ə ə ə			
402-1	s w eː ɣ ə r + d ɔ x t ə r ə + n ə ə ə			
1014-1	s t ɪ p + d ɔ x t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t ɛ r t			
2194-1	aː k s			
2199-1	k ɑ l t			
2197-1	s x ɔ f			
1523-1	z ɑu w			
1521-1	b oː x			
512-1	m eː r			
2141-1	h ɑ n			
2147-1	x ɑ n s			
814-1	k r aː t			
810-1	d eː v			
1755-1	v h ɔ n t			
1758-1	m ɑ s			
1760-1	r ɔ t			
1620-1	v ɪ n			
1282-1	w aː l ə ə t			
1136-1	v ɔ k s			
1309-1	l oː s			
1307-1	n ɪ t			
1305-1	v l ɛɪ			
711-1	w ɛ s t			
1442-1	v l eː k			
62-1	m ʉ k			
-73-1	m ɔ s k eː t			
1810-1	h ɛɪ t			
1805-1	v l eː s			
1813-1	h aː r			
1811-1	b l ɑ t			
690-1	r ɪ p			
2177-1	h aː r t			
246-1	v + k ə n + b r ə ə			
249-1	aː x ə n + l ə t			
1506-1	n aː s + ə n + + l ə k t ə			
2242-1	m ɔ n t			
2245-1	t ɔ ŋ			
1196-1	n eː k ə			
2174-1	s x ʉ l d ə r			
575-1	aː k t ə l + h ə			
603-1	aː l ə n + b oː ɣ ə			
601-1	h ɑ n t			
615-1	v ɪ ŋ k ə r			
901-1	k l ɔ ə l			
608-1	v eː s			
596-1	t aː k			
937-1	b ɔ r s t			
936-1	n aː v ə l			
646-1	l ɔ ŋ			
947-1	l eː v ə r			
1606-1	h uː x t			
472-1	v n eː t ə			
1535-1	s w ɪ t ə			
1546-1	s p ʉ k ə			
1959-1	s l aː p ə			
694-1	s n ɑ r k ə			
1961-1	d r aː m ə			
323-1	v ə l aː v ə			
1885-1	x r aː t			
2156-1	v ə r + k ɛ l d + w ɪ ŋ			
1903-1	w ɔ n d			
525-1	s w ɛ l ɪ ŋ			
276-1	l aː m t			
274-1	d ɑ w			
278-1	b l ɪ n t			
258-1	b ə + d r ɪ ŋ k ə			
256-1	n ɑ k ə t			
383-1	eː t ə			
207-1	r ɛɪ f			
376-1	d r ɪ ŋ k ə			
2009-1	aː v ə			
2003-1	k eː t ə l			
2024-1	w ɑ n			
1321-1	k aː p			
1976-1	t ɑ ŋ t			
1243-1	m aː l + ɛɪ d ə ə ə ə			
1265-1	p iː l ə			
1261-1	z eː v ə			
655-1	b r eː t			
650-1	d eː x			
1532-1	k n eː d ə			
-36-1	z ʉ p			
34-1	b oː n			
-1647-1	v eː k			
-1615-1	aː iː l t			
125-1	v ɛ t			
1659-1	h oː n ə x			
1661-1	m ɪ l k			
1676-1	b uː d ə r			
480-1	x ə + d r ɛ ŋ k			
1466-1	k l ɛɪ d ɪ ŋ			
2277-1	w eː l			
2271-1	v ɪ l t			
2293-1	l eː d ə r			
624-1	s p ɪ n ə			
628-1	s p ɪ n d ə l			
626-1	w eː v ə			
633-1	n aː d ə l ə			
1185-1	v oː r s + s + s t ə r			
1179-1	h aː t			
2168-1	k ɑ m			
1952-1	d iː r			
899-1	l ɛɪ d ə r			
922-1	b ɛ t			
-934-1	l ɑ m t			
916-1	d r ɔ x			
1726-1	v ɛ l t			
2108-1	v l øː ɣ ə			
1133-1	v ɔ r k			
2114-1	s p aː d ə			
1272-1	r oː ɣ			
1979-1	x r aː s			
1989-1	h aː j			
-2260-1	v l ɑ n t ə			
70-1	b ʉ k			
-89-1	w ɛɪ n + + + + s t ə x			
-12-1	p eː p			
713-1	z ɑ x t			
747-1	n eː t ə l			
308-1	d eː n			
289-1	b ɪ n d ə			
1930-1	b r aː k ə			
1928-1	s p ɑ l + t ə			
858-1	d ə + s t r aː k ə			
1577-1	v + h eː ŋ ə			
908-1	w ɑ s ə			
648-1	b oː r ə			
1855-1	h eː l ə			
657-1	h ɑ m ə r			
2058-1	n aː ɣ ə l			
