COGID	Albanian	English	French	German	Latin
560-1	g ə m				
438-1	g ə r				
1222-1	g i				
353-1	g e p t i				
201-1	c i m				
20-1	k j ə u				
503-1	p l				
957-1	d				
728-1	l ł m r				
244-1	n u m r				
289-1	n d d o				
911-1	r u ə r a				
724-1	g ə u				
145-1	d u e				
992-1	c u				
1181-1	k ə n				
741-1	p i e				
1150-1	g g ə v i				
585-1	t y				
814-1	j r ə				
916-1	d o				
1079-1	j u j				
630-1	r n ð ʃ θ j				
343-1	j u a ə				
560-2		v ɪ m			
438-2		s r i			
1222-2		k au			
353-2		g ɑ s s			
201-2		s m f			
20-2		s o r r			
503-2		v ɑ o l			
957-2		j			
728-2		l a m			
244-2		m m m			
289-2		n ɔ ɪi t			
911-2		r i r ə			
724-2		g r i d			
145-2		j w ai			
992-2		w ə			
706-2		s o			
106-2		j ə t			
741-2		s o			
421-2		b l ə m			
227-2		j ɑ t			
920-2		h ɛ r i			
1083-2		h ɑ r n			
1066-2		j f			
1125-2		j u m			
1197-2		m ə t			
473-2		m ai v ɑ			
284-2		n ə s			
661-2		o n			
701-2		r ɛ v			
315-2		r i θ			
1169-2		s i l o			
1150-2		s au r p d			
982-2		s ɪ ŋ			
987-2		s n o n			
1055-2		s t ɪ r n			
1130-2		s ɪ g ə			
433-2		s ɑ n d			
625-2		s ɪ ŋ			
1186-2		j i n			
416-2		v d			
1233-2		v ɪ n d			
884-2		j i r m			
1016-2		m ə m ə l			
952-2		t			
78-2		b l a s			
514-2		v r i n			
116-2		ɛ t			
188-2		f r r n			
745-2		g a θ ə r			
1100-2		f r ɛ ə t			
47-2		v ɑ o l			
111-2		l ɛ h o			
1061-2		m ə n t			
24-2		m ɪ f d			
232-2		n n			
671-2		j ɪ ə d n			
560-3			g r		
438-3			g r		
1222-3			u u		
353-3			p w s ʃ		
201-3			g ɔ̃ d		
20-3			ʃ a r		
503-3			p l n		
957-3			ɛ̃		
728-3			n a n e		
244-3			n ʃ s		
289-3			n e t		
911-3			d ɛ a i		
724-3			g r t		
145-3			ʒ u z		
992-3			k e		
1181-3			s ɑ̃ n		
706-3			k		
106-3			k ɔ a t r		
741-3			p ø ʃ		
421-3			g l ø		
227-3			g i		
920-3			k a r		
1083-3			k k r t e		
1066-3			d b		
1125-3			ʒ ɛ n		
1197-3			m i a t r		
473-3			n ɥ		
284-3			n r s u		
661-3			ʒ n		
701-3			r t a r		
315-3			r t ɛ		
1169-3			s o n e		
1150-3			g g r t f r		
982-3			s i t		
987-3			s t u		
1055-3			s ɛ a r		
1130-3			k ø ʒ		
433-3			k ɛ		
585-3			n e		
625-3			d r d		
1186-3			d ɑ̃ t		
814-3			v r r t		
416-3			g ɔ		
1233-3			ʒ ɑ̃ t		
884-3			ʒ ɛ r m		
916-3			w		
1016-3			ɛ̃ n ɛ m ɛ l		
952-3			o		
514-3			g r t		
1079-3			p d e		
1100-3			g r t t		
47-3			v l m ɛ̃		
111-3			l a k		
1061-3			m ɔ t e		
1155-3			k o l l		
343-3			v i ɛ s r		
671-3			s w t		
560-4				k eː i	
438-4				k r	
1222-4				k eː	
353-4				m i ʃ h	
201-4				h i b	
20-4				h a ts r	
503-4				m l eː n	
957-4				g n	
728-4				l a m	
244-4				n m b	
289-4				n ai t	
911-4				r eː s	
724-4				t r eː	
145-4				iː r	
992-4				h au	
1181-4				h i n	
706-4				k g	
106-4				m l eː r	
421-4				ʃ l au eː r	
227-4				iː i s	
920-4				h k r b	
1083-4				h a r n	
1066-4				iː g	
1125-4				g eː n	
1197-4				m eː t eː r	
473-4				n d a	
284-4				n eː r	
661-4				h	
701-4				r eː b	
315-4				r u n	
1169-4				ʃ a l t	
1150-4				ʃ t r t	
982-4				ʃ eː b	
987-4				ʃ eː b	
1055-4				ʃ t ai r	
1130-4				ʃ i m eː	
433-4				ʃ eː l ə	
585-4				t s	
625-4				g e b	
1186-4				iː r n	
814-4				a r eː	
416-4				h ai t	
1233-4				j e n t	
884-4				g eː r b	
78-4				b l eː	
514-4				b ə r n	
116-4				eː b	
188-4				f a r h	
745-4				g e l ə r	
1100-4				f r i s	
630-4				n eː ʃ t t	
1155-4				h au b n	
24-4				n ə s	
232-4				n ə n	
671-4				r ai s ts	
560-5					w ae m n
438-5					p r a
1222-5					p l
353-5					p au s e iː
201-5					s oː m e
20-5					k t r r eː
503-5					p l aː o
957-5					d e n
728-5					l a m i
244-5					n m m eː
289-5					n u t
911-5					d e s iː aː
724-5					n eː k a
145-5					s uː o
992-5					s aː
1181-5					k ae n oː
706-5					k ae
106-5					w l r e r i
741-5					p au d n
421-5					f l a r r
227-5					k eː e
920-5					k p r s i
1083-5					k r n a
1066-5					d e
1125-5					g e n eː
1197-5					m e t e r i
473-5					n oː w e l
284-5					n o s a
661-5					l a
701-5					r i eː i
315-5					r iː n
1169-5					s t l aː i
982-5					s e iː i
987-5					s n aː
1055-5					s t t r n a
1130-5					s t s i
433-5					s a n e eː
585-5					f e
625-5					l a b i
1186-5					s e n a
814-5					w r e o k
416-5					s i t
1233-5					w i n
884-5					w i r m e
916-5					k
1016-5					a n e m a l a
952-5					d
78-5					b l aː e
1079-5					w i d
116-5					d t i
188-5					w t r n
745-5					n aː m e r i
47-5					uː m a m e
111-5					l a o
1061-5					m e n t e
630-5					n b i u t
1155-5					k u l o i
24-5					n o s t
232-5					n e n
343-5					w ae l f r eː
