COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a a n i a a									
1285-1	n i a a									
1303-1	ɔ g ɔ m a									
2197-1	s a a l a									
2828-1	s i n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	ɔ n ɛ									
1789-1	k a l a a ŋ g a									
3207-1	β ʊ l a									
3519-1	t a m a									
3686-1	a i m p a									
4249-1	k ʊ m i									
4451-1	β i s i									
448-1	k ʊ a a n a									
630-1	β ɛ ɛ l ɛ									
814-1	g ɔ a m b ɛ									
1216-1	g a a i l a									
1228-1	p a a a									
1418-1	s i m a a a a									
1475-1	g i a									
2026-1	t a i a									
2775-1	s u a m b a									
3397-1	k ɔ l a									
3826-1	s ɔ k a									
4003-1	g i a b a									
4040-1	g ɛ n i									
4373-1	l i m i									
4384-1	i n ɔ									
84-1	s a a a l a									
116-1	g i k a									
181-1	g ɔ ɔ ŋ g ɔ									
419-1	l ɔ g a									
587-1	ɔ ɔ n g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	k i n a									
1159-1	n a									
1350-1	l j a a									
1374-1	n a a a n ɛ									
1396-1	z ɔ a a									
1430-1	i ɔ s ɔ									
1666-1	t a a n ɔ									
1767-1	k ɔ k ɔ									
1906-1	i n g i l a									
2177-1	n g a h i									
2286-1	l a									
2317-1	k ʊ a a									
2419-1	s ɛ k a									
2750-1	ɛ ɛ s i									
3018-1	s i l a									
3275-1	k a a n a									
3441-1	s a a ŋ g a									
3464-1	k ɔ n a									
3639-1	t ɛ t ɛ m a l a									
3885-1	s u m ɔ									
3981-1	i a m a a a									
4192-1	β i a m b a									
4260-1	s a a a									
4350-1	l ɛ ɛ l a a									
43-1	k i ɔ t a									
93-1	k ɔ n ɔ									
200-1	β i a									
374-1	k a a l a a a									
459-1	l i m a									
508-1	p ɔ a a									
528-1	β i l i									
575-1	t a i									
871-1	k a m a									
1137-1	β i k a									
1339-1	t w i a									
1585-1	a a l a									
1712-1	k ɔ l ɔ									
1872-1	p a a									
2088-1	β i s a									
2166-1	s u á m b a									
2334-1	g i g ɔ									
2393-1	m a n a									
2537-1	l ɔ m ɔ									
2665-1	i ʊ n g i									
2738-1	β ɛ ɛ l a									
2872-1	k ɔ s i									
2893-1	i k a a									
2997-1	g a i n s a									
3075-1	g u l a b a									
3675-1	l a ɛ a l a									
4028-1	b i ɛ									
4137-1	m a l a									
4238-1	i a s a s i									
4316-1	t a t a									
4429-1	p a s a									
4440-1	β i l a									
4485-1	s i									
4574-1	β ɔ a a l a									
4688-1	a ɔ ɔ l ɛ									
143-1	β a a									
240-1	ɔ ʊ g a									
388-1	n a a ʊ m a									
401-1	d a									
2689-2		n a m a								
893-2		a a n g a								
1303-2		n k o m a								
2197-2		s w a l a								
2828-2		s i n a								
3572-2		s o n i								
1095-2		l i m a								
1789-2		k a l a a n g a								
3207-2		w u l a								
3519-2		t u m a								
3686-2		l i m b a								
4249-2		k u m i								
4451-2		v i s a								
448-2		m u a n a								
630-2		v e e l e								
814-2		n o o m b e								
1216-2		g a v a b a								
1228-2		p u a a								
1418-2		s i m a a g a								
1475-2		k w a								
2026-2		t w i a								
3826-2		s o k a								
4003-2		v i i v a								
4373-2		l i m a								
4384-2		i n o								
84-2		s u k u l u								
116-2		w i k a								
419-2		l o g a								
587-2		o o ŋ g o								
660-2		l e l a								
848-2		k a l a								
1122-2		v i n a								
1159-2		n a								
1350-2		l j a a								
1374-2		n a a n a								
1906-2		i n k i l a								
2419-2		s e k a								
2750-2		e u s a								
3441-2		s e e n g a								
3464-2		v o n a								
3639-2		t e t a m b a a								
3981-2		a a m a g a								
4192-2		v i a m b a								
4350-2		l e e l o o								
278-2		v a								
3971-2		k a m a								
55-2		l i m a								
43-2		s a a a a								
93-2		k o n o								
459-2		l u m a								
1137-2		s i g u								
1585-2		a a l a								
1872-2		p a a								
2166-2		u u m b a								
2872-2		k o l a								
2997-2		a a n s a								
3075-2		g u l u g a								
3675-2		l a e a l e								
4137-2		v i l a								
4238-2		t u s o s a								
4316-2		t a t u								
4574-2		a a a l a								
3067-2		n t u								
3531-2		a a n a g a								
1033-2		o a a a o l a								
3185-2		v i i k a								
794-2		v e e a k a								
143-2		v u a								
240-2		o a g a								
388-2		l e a u m a								
2689-3			a m a							
893-3			a a n a l a							
1285-3			n w a a							
1303-3			k o m a							
2197-3			s l a l a							
2828-3			l i n a							
3572-3			o n a							
1095-3			l i m a							
1755-3			u n e							
1789-3			k a l a a n k a							
3207-3			β u l a							
3519-3			k u m a							
3686-3			k i m b a							
4249-3			k u m a							
4451-3			i l i							
448-3			l o a n a							
630-3			β e e l a							
1216-3			k a β a l a							
1228-3			k a a a							
1418-3			s i l a a l a							
1475-3			k u a							
3397-3			β o l a							
4003-3			i l k a							
4040-3			k e n a							
4373-3			l i l a							
4384-3			i n o							
181-3			k o o n k o							
419-3			l o k a							
587-3			o a n k a							
660-3			l e l a							
1083-3			l i l a							
1350-3			l j a a							
1374-3			n a a a n a							
1396-3			s o f u							
1666-3			r a a l o							
1767-3			k o k o							
1906-3			n k i l a							
2177-3			k k a n a							
2286-3			l a							
2317-3			f u β a							
2750-3			e e s a							
3275-3			k a a n a							
3464-3			l o n a							
3639-3			e r a m a l a							
3981-3			i l m a l a							
4192-3			f i m b a							
4260-3			s i a a							
4350-3			l e e l o o							
278-3			β a							
745-3			x a x a							
3971-3			x o m a							
93-3			k o n o							
200-3			β i a							
374-3			l a a l a a a							
508-3			l o f a							
528-3			β i l a							
1137-3			a k a							
1585-3			a a l a							
1712-3			k u l o							
