COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	a i ⁵⁵								
495-1	l au ³⁵								
838-1	ʐ a ⁵⁵								
438-1	ʐ a ʔ ⁵⁵								
334-1	l a ʔ ⁵⁵								
360-1	l a ³¹								
394-1	l a ³¹								
221-1	i ⁵⁵								
202-1	t au ³¹								
935-1	au ³¹								
93-1	l a ³¹								
7-1	pʰ a m ³¹								
664-1	a ŋ ⁵⁵								
246-1	w a ʔ ⁵⁵								
547-1	l i ⁵⁵								
555-1	i m ⁵⁵								
464-1	l au ³¹								
119-1	i ŋ ⁵⁵								
835-1	a a p ⁵⁵								
79-1	t w o ³¹								
693-1	l au ⁵⁵								
477-1	l a p ⁵⁵								
891-1	tʰ i a ³⁵								
528-1	a o ⁵⁵								
797-1	x ʐ au ʔ ⁵⁵								
493-1	n i ⁵⁵								
217-1	ʐ a p ⁵⁵								
896-1	pʰ au t ⁵⁵								
452-1	ʐ u ʔ ⁵⁵								
580-1	ʐ au t ⁵⁵								
833-1	l a ⁵⁵								
390-1	m w a ŋ ³¹								
696-1	l w au ŋ ⁵⁵								
86-1	t au ŋ ⁵⁵								
384-1	l a n ³⁵								
61-1	t a m ⁵⁵								
536-1	ʂ a ʔ ⁵⁵								
731-1	n a ³¹								
779-1	pʰ a ⁵⁵								
589-1	t a m ⁵⁵								
658-1	a m ⁵⁵								
456-1	ȵ a ŋ ³¹								
183-1	k a a ³¹								
785-1	pʰ a ³¹								
714-1	tʰ au ⁵⁵								
331-1	a a ³¹								
930-1	l a p ⁵⁵								
161-1	w a m ⁵⁵								
814-1	x ʐ au ŋ ³¹								
179-1	k ʐ w a ʔ ⁵⁵								
194-1	ʐ o ʔ ⁵⁵								
727-1	ʂ a m ⁵⁵								
260-1	a a p ⁵⁵								
144-1	w a m ⁵⁵								
53-1	p au m ⁵⁵								
59-1	t a ʔ ⁵⁵								
506-1	pʰ au ⁵⁵								
