COGID	Albanian	English	French	German	Latin
560-1	k j m				
438-1	ɔ r				
1222-1	œ f				
353-1	p i ʃ				
201-1	f ɛ̃ n				
20-1	a t r				
503-1	p l l n				
957-1	i n				
728-1	l ɔ̃ ŋ				
244-1	n ɔ̃ m				
289-1	n ɥ i				
911-1	r u s i n				
724-1	t r i				
145-1	d u				
992-1	k i				
1181-1	ʃ j n n				
741-1	p ø				
1150-1	k u r t				
585-1	t uː				
814-1	v r ɛ				
916-1	e				
1079-1	b w a				
630-1	a n g u s t o				
343-1	v j ɛ j				
560-2		k o m			
438-2		oː r			
1222-2		ai			
353-2		p i ʃ k			
201-2		f y n f			
20-2		a iː r			
503-2		p l l n			
957-2		i n			
728-2		l a ŋ			
244-2		n aː m ə n			
289-2		n a x t			
911-2		r u r ts ə			
724-2		t r ai			
145-2		d v ai			
992-2		v eː			
706-2		au g ə			
106-2		f aː t r			
741-2		p au k o			
421-2		f l uː m			
227-2		p uː s			
920-2		k e r ts			
1083-2		k o r n			
1066-2		i x			
1125-2		k n n			
1197-2		m u t r			
473-2		n oi			
284-2		n aː z ə			
661-2		ai n			
701-2		r u t			
315-2		r u n d			
1169-2		s a l			
1150-2		k u r ts			
982-2		z i ts			
987-2		n n eː			
1055-2		ʃ t e r n			
1130-2		s au g e			
433-2		s o l ə			
625-2		l u ŋ ə			
1186-2		d aː n			
416-2		v			
1233-2		v i n d			
884-2		v u r m			
1016-2		a n i m aː l			
952-2		a d			
78-2		b l aː z			
514-2		b r e n			
116-2		e s			
188-2		f e r n			
745-2		f eː d ə r			
1100-2		f r u x t			
47-2		h o m i n			
111-2		l a k u			
1061-2		m o n t			
24-2		n i x t			
232-2		n uː n			
671-2		r e x t			
560-3			k j m		
438-3			v r		
1222-3			v e		
353-3			p i ʃ k		
201-3			f e n ə		
20-3			a f r r		
503-3			p l l		
957-3			i n		
728-3			l a ŋ		
244-3			n m m r		
289-3			n a t		
911-3			r u ɲ		
724-3			t r i		
145-3			d u		
992-3			k		
1181-3			c e n		
706-3			ai		
106-3			f ɑ t ə r		
741-3			p a k		
421-3			f l au ə		
227-3			f ʊ t		
920-3			h ɑ r t		
1083-3			h o r n		
1066-3			ai		
1125-3			n i		
1197-3			m ə t ə r		
473-3			n u		
284-3			n aː z		
661-3			w n n		
701-3			r ɛ d		
315-3			r au n d		
1169-3			s a l t		
1150-3			ʃ k r r		
982-3			s ɪ t		
987-3			s n o		
1055-3			s t eː r		
1130-3			s ə g		
433-3			s ə n		
585-3			t uː		
625-3			t ə ŋ		
1186-3			t u n		
814-3			v ə r t		
416-3			w ɑ		
1233-3			w ɪ n d		
884-3			w ə r m		
916-3			e		
1016-3			a n ə m aː l		
952-3			a t		
514-3			b ə r n		
1079-3			p i		
1100-3			f r u t		
47-3			h j u m ə n		
111-3			l a k		
1061-3			m au n t ə n		
1155-3			k o l l o		
343-3			v j e t ə r		
671-3			r ai t		
560-4				w e n	
438-4				au r i	
1222-4				oː g	
353-4				p i ʃ k	
201-4				f iː n	
20-4				kʷ a ɔ r	
503-4				p l eː n	
957-4				i n	
728-4				l o n	
244-4				n oː m	
289-4				n k t	
911-4				r aː d	
724-4				t r i	
145-4				d u	
992-4				h o	
1181-4				k a n i	
706-4				o k	
106-4				p a t r	
421-4				f l oː s	
227-4				p e d	
920-4				k ɑ r d	
1083-4				k ɔ r n	
1066-4				e g	
1125-4				g e n uː	
1197-4				m aː t r	
473-4				n u w o	
284-4				n aː s	
661-4				uː n o	
701-4				r u b	
315-4				r o t u	
1169-4				s a l	
1150-4				ʃ ɔ r t	
982-4				s s d eː	
987-4				n i w	
1055-4				s t eː lː a	
1130-4				s uː g e	
433-4				s oː l	
585-4				t uː	
625-4				l i n	
1186-4				d e n	
814-4				w eː r o	
416-4				kʷ o	
1233-4				w e n t	
884-4				w e r m	
78-4				f l aː	
514-4				b ə r n	
116-4				e t e	
188-4				p r o k l	
745-4				p e nː a	
1100-4				f r u t	
630-4				a n g u s t o	
1155-4				k o l l o	
24-4				n oː n	
232-4				n u n k	
671-4				r ai t	
560-5					k o m
438-5					oː r
1222-5					ai
353-5					f i ʃ
201-5					f y n
20-5					f iː r
503-5					f o l
957-5					i n
728-5					l a ŋ
244-5					n aː m
289-5					n a t
911-5					r u r
724-5					d r ai
145-5					ts v
992-5					v eː
1181-5					h u n d
706-5					au g
106-5					f aː t ə r
741-5					f j u
421-5					f l uː m
227-5					f uː s
920-5					h e r ts
1083-5					h ɔ r n
1066-5					i x
1125-5					k n iː
1197-5					m u t ə r
473-5					n u
284-5					n aː z
661-5					ai n
701-5					r oː t
315-5					r u n d
1169-5					s a l ts
982-5					s i ts
987-5					ʃ n eː
1055-5					ʃ t e r n
1130-5					s au g
433-5					s o n ə
585-5					d uː
625-5					ts u ŋ
1186-5					ts aː n
814-5					v aː r
416-5					v
1233-5					v i n d
884-5					v u r m
916-5					e
1016-5					a n ə m ə l
952-5					a t
78-5					b l aː z
1079-5					b w a
116-5					e s
188-5					f e r n
745-5					f eː d ə r
47-5					h j u m ə n
111-5					l e k
1061-5					m au n t ə n
630-5					e ŋ
1155-5					h a l z
24-5					n i x t
232-5					n uː n
343-5					v j ɛ j
