COGID	Albanian	English	French	German	Latin
560-1	k o m				
438-1	oː r				
1222-1	ai				
353-1	f i ʃ				
201-1	f ai n				
20-1	f iː r				
503-1	f l l				
957-1	i n				
728-1	l a ŋ				
244-1	n aː m				
289-1	n a t				
911-1	r u r ts ə				
724-1	t r i				
145-1	d u				
992-1	v eː				
1181-1	h u n d				
741-1	p j u				
1150-1	k u r t				
585-1	t uː				
814-1	v aː r				
916-1	e				
1079-1	b w a				
630-1	e ŋ				
343-1	v j ɛ j				
8-1	k r a ts				
385-1	z i				
683-1	ʃ ɑ̃ t e				
650-1	s j ɛ l				
612-1	f y m e				
871-1	d r w a t				
667-1	l a v e				
527-1	w a t ə r				
499-1	n u				
1029-1	v u				
560-2		k o m			
438-2		oː r			
1222-2		ai			
353-2		f i ʃ			
201-2		f y n f			
20-2		f iː r			
503-2		f o l			
957-2		i n			
728-2		l a ŋ			
244-2		n aː m ə n			
289-2		n a x t			
911-2		v u r ts ə l			
724-2		d r ai			
145-2		ts v ai			
992-2		v eː			
706-2		au g ə			
106-2		f aː t ə r			
741-2		p a k			
421-2		b l uː m			
227-2		f uː s			
920-2		h e r ts ə n			
1083-2		h o r n			
1066-2		i x			
1125-2		k n iː			
1197-2		m u t ə r			
473-2		n oi			
284-2		n aː z ə			
661-2		ai n			
701-2		r oː t			
315-2		r u n d			
1169-2		z a l ts			
1150-2		k u r ts			
982-2		z i ts			
987-2		ʃ n eː			
1055-2		ʃ t e r n			
1130-2		z au g			
433-2		z o n ə			
625-2		ts u ŋ ə			
1186-2		ts aː n			
416-2		v			
1233-2		v i n d			
884-2		v u r m			
1016-2		a n i m a l			
952-2		a			
78-2		b l aː z			
514-2		b r e n			
116-2		e s			
188-2		f e r n			
745-2		f eː d ə r			
1100-2		f r u x t			
47-2		y m ɛ n			
111-2		l a k			
1061-2		m ɔ̃ t a ɲ			
24-2		n i x t			
232-2		n uː n			
671-2		r e x t			
385-2		z eː			
945-2		z aː m ə n			
644-2		k u z			
1041-2		ʃ t eː			
492-2		d y n			
1209-2		v ɔ m i			
527-2		v a s ə r			
14-2		g e l b			
1-2		a l			
915-2		u n t			
271-2		a ʃ ə			
560-3			k e m		
438-3			au r		
1222-3			oː w		
353-3			p i k		
201-3			f iː n kʷ		
20-3			f a o r		
503-3			p l l		
957-3			i n		
728-3			l a ŋ		
244-3			n oː m ə n		
289-3			n a t t		
911-3			r u d		
724-3			t r i		
145-3			d u		
992-3			kʷ o		
1181-3			k a n i		
706-3			o k u		
106-3			f a ə r		
741-3			p au k		
421-3			f l oː s		
227-3			f e d		
920-3			h o r d		
1083-3			h o r n		
1066-3			e g		
1125-3			g n uː		
1197-3			m aː ə r		
473-3			n o		
284-3			n aː z o		
661-3			uː n n		
701-3			r u b		
315-3			r u n d		
1169-3			s a l		
1150-3			ʃ k r r		
982-3			s e d		
987-3			n n w		
1055-3			s t eː r a		
1130-3			s uː g		
433-3			s oː n		
585-3			t uː		
625-3			l i ŋ gʷ		
1186-3			d e n		
814-3			v eː r o		
416-3			kʷ o		
1233-3			w e n d		
884-3			w e r m		
916-3			e t		
1016-3			a n i m aː l		
952-3			a d		
514-3			b ə e n		
1079-3			b i b e		
1100-3			f r u x		
47-3			h o m i n		
111-3			l a k u		
1061-3			m o n t		
1155-3			k o l l o		
343-3			w e t e r		
671-3			r e x		
460-3			p u t r i d o		
8-3			g ə r v i ʃ		
644-3			s u e		
683-3			k a n i t		
650-3			k ae l o		
612-3			f uː m o		
871-3			r eː k t o		
1209-3			w o m e		
667-3			l a w aː		
499-3			n oː		
14-3			g e l b		
1029-3			w oː		
272-3			k i n e r		
560-4				k ə m	
438-4				ɪ r	
1222-4				ɛ g	
353-4				f ɪ ʃ	
201-4				f ai v	
20-4				f ɔ r	
503-4				f ʊ l	
957-4				ɪ n	
728-4				l ɔ ŋ	
244-4				n e m	
289-4				n ai t	
911-4				r u t	
724-4				θ r i	
145-4				t u	
992-4				h u	
1181-4				c e n	
706-4				ai	
106-4				f ɑ ð ə r	
421-4				f l au ə r	
227-4				f ʊ t	
920-4				h ɑ r t	
1083-4				h ɔ r n	
1066-4				ai	
1125-4				n i	
1197-4				m ə ð ə r	
473-4				n u	
284-4				n o z	
661-4				w ə n	
701-4				r ɛ d	
315-4				r au n d	
1169-4				s ɔ l t	
1150-4				ʃ ɔ r t	
982-4				s ɪ t	
987-4				s n o	
1055-4				s t ɑ r	
1130-4				s ə k	
433-4				s ə n	
585-4				t	
625-4				t ə ŋ	
1186-4				t u θ	
814-4				v ə r t t	
416-4				w ɑ t	
1233-4				w ɪ n d	
884-4				w ə r m	
78-4				b l o	
514-4				b ə r n	
116-4				i t	
188-4				f ɑ r	
745-4				f ɛ ð ə r	
1100-4				f r u t	
630-4				n g u ʃ t	
1155-4				k u	
24-4				n ɑ t	
232-4				n au	
671-4				r ai t	
460-4				p u r i	
8-4				g ə r v i ʃ	
385-4				s i	
945-4				s i d	
1041-4				s t a n d	
492-4				θ ɪ n	
527-4				w ɑ t ə r	
14-4				j ɛ l o	
1-4				ɔ l	
915-4				a n d	
271-4				a ʃ	
560-5					v j ɛ̃
438-5					ɔ r ɛ
1222-5					œ f
353-5					p w ʃ ɔ̃
201-5					f ɛ̃ k
20-5					k a t r
503-5					p l ɛ
957-5					d n
728-5					l a ŋ
244-5					n ɔ̃
289-5					n a t
911-5					r a n
724-5					t r w
145-5					d ø
992-5					k i
1181-5					ʃ j n n
706-5					œ j
106-5					f ə r
741-5					p ø
421-5					f l œ r
227-5					p j e
920-5					h œ r
1083-5					k ɔ r n
1066-5					ʒ ə
1125-5					ʒ ə n u
1197-5					m ə r
473-5					n u
284-5					n e z
661-5					œ̃ n
701-5					r u ʒ
