COGID	Albanian	English	French	German	Latin
1		ɔ l		a l	
916	e		e		e t
915		a n d		u n t	
1016		a n ə m ə l	a n i m a l		a n i m aː l
271		a ʃ		a ʃ ə	
272			s ɑ̃ d r		k i n e r
952		a t	a		a d
278			m ɔ v ɛ z		m a l o
410			e k ɔ r s		k o r t i k
336	s e p s e		p a r s		
1009			v ɑ̃ t r		w e n t r
198	m a ð				m a g n o
479			w a z o		a w i
711		b ai t		b ai s	
712			m ɔ r		m o r d eː
1112		b l ə d		b l uː t	
1113			s ɑ̃		s a n gʷ i n
78		b l o		b l aː z	f l aː
605			ɔ s		o s s
205		b r ɛ s t		b r u s t	
752			r ɛ s p i r e		s p iː r aː
514		b ə r n	b r y l e	b r e n	
301		k l ɔ		k l au ə	
695			n ɥ a ʒ		n uː b eː
72		k o l d		k a l t	
73			f r w a d		f r iː g i d o
560	v j e n	k ə m	v j ɛ̃	k o m	w e n iː
164	n u m ə r u a r				n u m e r aː
162		k au n t	k ɔ̃ t e		
238		d e		t aː g	
239			ʒ u r		d i eː
257			m œ r		m o r iː
1181	c e n		ʃ j ɛ n	h u n d	k a n i
1079	p i		b w a		b i b e
1078		d r ɪ ŋ k		t r i ŋ k	
572		d r ai		t r o k ə n	
573			s ɛ ʃ		s i kː o
1119			p u s j ɛ r		p u l w i s
438	v e ʃ	ɪ r	ɔ r ɛ j	oː r	au r i
66		ə r θ		eː r d ə	
67			t ɛ r		t e rː a
116		i t		e s	e d e
1222	v e z	ɛ g	œ f	ai	oː w o
706		ai	œ j	au g ə	o k u l o
220		f ɔ l		f a l	
188		f ɑ r		f e r n	p r o k u l
106		f ɑ ð ə r	p ɛ r	f aː t ə r	p a t r
745		f ɛ ð ə r		f eː d ə r	p e nː a
741	p a k	f j u	p ø		p au k o
779		f ai ə r		f oi ə r	
353	p e ʃ k	f ɪ ʃ	p w a s ɔ̃	f i ʃ	p i s k i
201	p e s ə	f ai v	s ɛ̃ k	f y n f	kʷ iː n kʷ e
1174		f l o		f l iː s	
421		f l au ə r	f l œ r	b l uː m	f l oː s
841		f l ai		f l iː g	
842			v ɔ l e		w o l aː
466				n eː b ə l	n e b u l a
227		f ʊ t	p j e	f uː s	p e d
20	k a t ə r	f ɔ r	k a t r	f iː r	kʷ a tː u o r
373		f r i z		f r iː r	
374			ʒ ɛ l e		g e l aː
1102	p e m				p oː m o
1100		f r u t	f r ɥ i	f r u x t	
503	p l o t	f ʊ l	p l ɛ n	f o l	p l eː n o
933		g ɪ v		g eː b	
934			d ɔ n e		d a
59		g o		g eː	
167		g ʊ d		g uː t	
168			b ɔ n		b o n o
904		g r a s		g r aː z	
391		g r i s	g r ɛ s		
1191		g r i n		g r yː n	
1192			v ɛ r t		w i r i d i
100			ɛ̃ t ɛ s t ɛ̃		i n t e s t iː n o
379		h ɛ r		h aː r	
380			ʃ ə v ø		k a p i lː o
1094		h a n d		h a n d	
1095			m ɛ̃		m a n u
760		h ɛ d			k a p u t
786		h ɪ r		h øː r	
920		h ɑ r t	k œ r	h e r ts ə n	k o r d
520		h ɪ r		h iː r	
808		h o l d		h a l t	
809			t ə n		t e n eː
1083		h ɔ r n	k ɔ r n	h o r n	k o r n uː
996		h ɑ t		h ai s	
997			ʃ o d		k a l i d o
47		h j u m ə n	y m ɛ n		h o m i n
321			m a r i		m a r iː t o
1066		ai	ʒ ə	i x	e g o
448		ai s		ai s	
449			g l a s		g l a k i eː
969			s i		s iː
957	n ə	ɪ n	d ɑ̃	i n	i n
1125		n i	ʒ ə n u	k n iː	g e n uː
486			k u t o		k u l t r o
111		l e k	l a k		l a k u
676		l a f		l a x	
677			r i		r iː d eː
427			f œ j		f o l i o
975		l ai		l iː g	
793		l ɪ v ə r		l eː b ə r	
728	ɟ a t	l ɔ ŋ	l ɔ̃ g	l a ŋ	l o n g o
598		l au s		l au z	
599			p u		p eː d i k u l o
1143		m a n		m a n	
454		m u n		m oː n d	
455			l y n		l uː n a
1197		m ə ð ə r	m ɛ r	m u t ə r	m aː t r
1061		m au n t ə n	m ɔ̃ t a ɲ		m o n t
1105		m au θ		m u n d	
244	e m ə r	n e m	n ɔ̃	n aː m ə n	n oː m i n
630	n g u ʃ t			e ŋ	a n g u s t o
889		n ɪ r		n aː	
1155			k u	h a l z	k o l l o
473		n u	n u v ɛ l	n oi	n o w o
289	n a t	n ai t	n ɥ i	n a x t	n o k t
284		n o z	n e	n aː z ə	n aː s o
24		n ɑ t		n i x t	n oː n
232		n au		n uː n	n u n k
343	v j e t ə r		v j ɛ j		w e t e r
342		o l d		a l t	
661		w ə n	œ̃	ai n	uː n o
1002		ə ð ə r		a n d ə r	
1003			o t r		a l i o
554		p a θ		pf aː d	
555			s ɑ̃ t j e		s eː m i t a
1202	ʃ t y			ʃ t oː s	
1203		p ʊ ʃ	p u s e		
1088		r e n		r eː g ə n	
1089			p l ɥ i		p l u w i a
701		r ɛ d	r u ʒ	r oː t	r u b r o
673	d j a θ t				d e k s t e r
671		r ai t	d r w a t	r e x t	
309			f l ø v		f l uː m i n
911	rː ə ɲ	r u t	r a s i n	v u r ts ə l	r aː d iː k
460			p u r i	f au l	p u t r i d o
315		r au n d	r ɔ̃ d	r u n d	r o t u n d o
511	f ə r k o				f r i k aː
1169		s ɔ l t	s ɛ l	z a l ts	s a l
445	r ə r				a r eː n a
442		s a n d		z a n d	
939		s e		z aː g	
940			d i		d iː k e
8	g ə r v i ʃ		g r a t	k r a ts	
397		s i		z eː	
398			m ɛ r		m a r e
385	ʃ	s i		z eː	
386			v w a		w i d eː
945		s i d		z aː m ə n	s eː m i n
644		s o	k u z		s u e
961		ʃ a r p		ʃ a r f	
1150	ʃ k u r t ə r	ʃ ɔ r t	k u r t	k u r ts	
683	k ə n d o		ʃ ɑ̃ t e		k a n i t
682		s ɪ ŋ		z i ŋ	
982		s ɪ t	a s i z	z i ts	s e d eː
52				h au t	k u t i
650	c i e ł		s j ɛ l		k ae l o
827		s l i p		ʃ l aː f	
828			d ɔ r		d o r m iː
612	t y m		f y m e		f uː m o
656	ɟ a r p ə r		s ɛ r p ɑ̃		
987		s n o	n ɛ ʒ	ʃ n eː	n i w
769	p ə ʃ t y				s p u e
149		s p l ɪi t		ʃ p a l t	
150			f ɑ̃ d		f i n d e
548			p r ɛ s e		p r e m e
1041		s t a n d		ʃ t eː	s t aː
1055		s t ɑ r	e t w a l	ʃ t e r n	s t eː lː a
578		s t o n		ʃ t ai n	
871	d r e j t		d r w a t		r eː k t o
1130		s ə k	s y s e	z au g	s uː g e
433		s ə n	s ɔ l ɛ j	z o n ə	s oː l
1071		s w ɛ l		ʃ v e l	
158	n o t o				n aː
155		s w ɪ m		ʃ v i m	
123			k ø		k au d a
772		ð a t		d a s	
717		ð ɛ r		d aː	
687		θ ɪ k		d i k	
492		θ ɪ n		d y n	t e n u i
636		θ ɪ ŋ k		d e ŋ k	
863		ð ɪ s		d iː z	
585	t		t y	d uː	t uː
724	t r e	θ r i	t r w a	d r ai	t r i
1025	l i ð				l i g aː
625		t ə ŋ	l ɑ̃ g	ts u ŋ ə	l i n gʷ a
1186		t u θ	d ɑ̃	ts aː n	d e n t
349	d r u r	t r i			
348			a r b r		a r b o s
814	v ə r t e t		v r ɛ	v aː r	w eː r o
145	d y	t u	d ø	ts v ai	d u o
1209		v ɑ m ə t	v ɔ m i		w o m e
667	l a		l a v e		l a w aː
666		w ɑ ʃ		v a ʃ	
527	u j	w ɑ t ə r		v a s ə r	
528			o		a kʷ a
499	n		n u		n oː
498		w i		v iː r	
416		w ɑ t	k w a	v	kʷ o
532		w ai t		v ai s	
992	k	h u	k i	v eː	kʷ o
181		w ai d		v ai t	
1233		w ɪ n d	v ɑ̃	v i n d	w e n t o
1227			ɛ l		aː l a
92	m e			m i t	
884		w ə r m	v ɛ r	v u r m	w e r m i
403		j ɪ r		j aː r	
404			a n e		a nː o
14		j ɛ l o	ʒ o n	g e l b	
1029	j u		v u		w oː
1028		j u		iː r	
