COGID	Albanian	English	French	German	Latin
560-1	k j m				
438-1	ɔ r				
1222-1	œ f				
353-1	p i ʃ				
201-1	f ɛ̃ n				
20-1	f a r				
503-1	p l l n				
957-1	i n				
728-1	l ɔ̃ ŋ				
244-1	n ɔ̃ m n				
289-1	n ɥ i t				
911-1	r u s i n				
724-1	t r i				
145-1	d u				
992-1	k i				
1181-1	ʃ j n n				
741-1	p ø				
1150-1	k u r t				
585-1	t uː				
814-1	v r ɛ				
560-2		k o m			
438-2		oː r			
1222-2		ai			
353-2		f i ʃ			
201-2		f y n f			
20-2		f iː r			
503-2		f o l			
957-2		i n			
728-2		l a ŋ			
244-2		n aː m ə n			
289-2		n a x t			
911-2		v u r ts ə l			
724-2		d r ai			
145-2		ts v ai			
992-2		v eː			
706-2		au g ə			
106-2		f aː t ə r			
741-2		p au k			
421-2		b l uː m			
227-2		f uː s			
920-2		h e r ts ə n			
1083-2		h o r n			
1066-2		i x			
1125-2		k n iː			
1197-2		m u t ə r			
473-2		n oi			
284-2		n aː z ə			
661-2		ai n			
701-2		r oː t			
315-2		r u n d			
1169-2		z a l ts			
1150-2		k u r ts			
982-2		z i ts			
987-2		ʃ n eː			
1055-2		ʃ t e r n			
1130-2		z au g			
433-2		z o n ə			
625-2		ts u ŋ ə			
1186-2		ts aː n			
560-3			v j e n		
438-3			v r ʃ		
1222-3			v e z		
353-3			p i ʃ k		
201-3			p e n ə		
20-3			k a t ə r		
503-3			p l o t		
957-3			i n		
728-3			l a t		
244-3			n m m r		
289-3			n a t		
911-3			r ə ɲ		
724-3			t r i		
145-3			d u		
992-3			k		
1181-3			c e n		
706-3			o k u		
106-3			f a t ə r		
741-3			p a k		
421-3			f l oː s		
227-3			f e d		
920-3			h o r d		
1083-3			h o r n		
1066-3			e g		
1125-3			g n uː		
1197-3			m aː t ə r		
473-3			n o		
284-3			n aː z o		
661-3			uː n		
701-3			r u b		
315-3			r u n d		
1169-3			s a l		
1150-3			ʃ k u r t ə r		
982-3			s e d		
987-3			n n w		
1055-3			s t eː r a		
1130-3			s uː g		
433-3			s oː n		
585-3			t uː		
625-3			l i ŋ gʷ		
1186-3			d e n		
814-3			v ə r t		
560-4				k ə m	
438-4				ɪ r	
1222-4				ɛ g	
353-4				f ɪ ʃ	
201-4				f ai v	
20-4				f ɔ r	
503-4				f ʊ l	
957-4				ɪ n	
728-4				l ɔ ŋ	
244-4				n e m	
289-4				n ai t	
911-4				r u t	
724-4				θ r i	
145-4				t u	
992-4				h u	
1181-4				k a n	
706-4				ai	
106-4				f ɑ ð ə r	
421-4				f l au ə r	
227-4				f ʊ t	
920-4				h ɑ r t	
1083-4				h ɔ r n	
1066-4				ai	
1125-4				n i	
1197-4				m ə ð ə r	
473-4				n u	
284-4				n o z	
661-4				w ə n	
701-4				r ɛ d	
315-4				r au n d	
1169-4				s ɔ l t	
1150-4				ʃ ɔ r t	
982-4				s ɪ t	
987-4				s n o	
1055-4				s t ɑ r	
1130-4				s ə k	
433-4				s ə n	
585-4				t uː	
625-4				t ə ŋ	
1186-4				t u θ	
814-4				v eː r o	
560-5					v j m
438-5					ɪ r
1222-5					ɛ g
353-5					p ɪ ʃ
201-5					f ai v
20-5					f a r
503-5					f l l
957-5					ɪ n
728-5					l a ŋ
244-5					n e m
289-5					n a t
911-5					r u t
724-5					t r i
145-5					d u
992-5					k u
1181-5					h u n
706-5					ai
106-5					f ɑ t ə r
741-5					p j u
421-5					f l au ə r
227-5					f ʊ t
920-5					h ɑ r t
1083-5					h ɔ r n
1066-5					ai
1125-5					n i
1197-5					m u ð ə r
473-5					n u
284-5					n o z
661-5					ə n
701-5					r ɛ d
315-5					r au n d
1169-5					s ɔ l t
982-5					s i t
987-5					s n o
1055-5					s t ɑ r
1130-5					s ə k
433-5					s ə n
585-5					t uː
625-5					t ə ŋ
1186-5					t u θ
814-5					v aː r
