COGID	Albanian	English	French	German	Latin
416		w ɑ t	k w a	v	kʷ o
1233		w ɪ n d	v ɑ̃	v i n d	w e n t o
884		w ə r m	v ɛ r	v u r m	w e r m i
916	e		e		e t
1016		a n ə m ə l	a n i m a l		a n i m aː l
952		a t	a		a d
78		b l o		b l aː z	f l aː
514		b ə r n	b r y l e	b r e n	
1079	p i		b w a		b i b e
116		i t		e s	e d e
188		f ɑ r		f e r n	p r o k u l
745		f ɛ ð ə r		f eː d ə r	p e nː a
1100		f r u t	f r ɥ i	f r u x t	
47		h j u m ə n	y m ɛ n		h o m i n
111		l e k	l a k		l a k u
1061		m au n t ə n	m ɔ̃ t a ɲ		m o n t
630	n g u ʃ t			e ŋ	a n g u s t o
1155			k u	h a l z	k o l l o
24		n ɑ t		n i x t	n oː n
232		n au		n uː n	n u n k
343	v j e t ə r		v j ɛ j		w e t e r
671		r ai t	d r w a t	r e x t	
460			p u r i	f au l	p u t r i d o
8	g ə r v i ʃ		g r a t	k r a ts	
385	ʃ	s i		z eː	
945		s i d		z aː m ə n	s eː m i n
644		s o	k u z		s u e
683	k ə n d o		ʃ ɑ̃ t e		k a n i t
650	c i e ł		s j ɛ l		k ae l o
612	t y m		f y m e		f uː m o
1041		s t a n d		ʃ t eː	s t aː
871	d r e j t		d r w a t		r eː k t o
492		θ ɪ n		d y n	t e n u i
1209		v ɑ m ə t	v ɔ m i		w o m e
667	l a		l a v e		l a w aː
527	u j	w ɑ t ə r		v a s ə r	
499	n		n u		n oː
14		j ɛ l o	ʒ o n	g e l b	
1029	j u		v u		w oː
1		ɔ l		a l	
915		a n d		u n t	
271		a ʃ		a ʃ ə	
272			s ɑ̃ d r		k i n e r
278			m ɔ v ɛ z		m a l o
410			e k ɔ r s		k o r t i k
336	s e p s e		p a r s		
1009			v ɑ̃ t r		w e n t r
198	m a ð				m a g n o
479			w a z o		a w i
711		b ai t		b ai s	
712			m ɔ r		m o r d eː
1112		b l ə d		b l uː t	
1113			s ɑ̃		s a n gʷ i n
