ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	COGID
649	82_i	I	Albanian	Albanian	unë	u.n.ə	u n ə	gheg1238	42.317	21.3837	Indo-European	1068
650	82_i	I	English	English	I	ai	ai	stan1293	53.0	-1.0	Indo-European	1066
651	82_i	I	French	French	je	ʒ.ə	ʒ ə	stan1290	48.0	2.0	Indo-European	1066
652	82_i	I	German	German	ich	i.x	i x	stan1295	48.649	12.4676	Indo-European	1066
654	82_i	I	Latin	Latin	ego	e.g.o	e g o	lati1261	41.9026	12.4502	Indo-European	1066
1	1_all	all	Albanian	Albanian	gjithë	ɟ.i.θ	ɟ i θ	gheg1238	42.317	21.3837	Indo-European	4
2	1_all	all	English	English	all	ɔ.l	ɔ l	stan1293	53.0	-1.0	Indo-European	1
3	1_all	all	French	French	tous	t.u.t	t u t	stan1290	48.0	2.0	Indo-European	2
4	1_all	all	German	German	alle	a.l	a l	stan1295	48.649	12.4676	Indo-European	1
6	1_all	all	Latin	Latin	omnes	o.m.n.i	o m n i	lati1261	41.9026	12.4502	Indo-European	6
9	2_and	and	Albanian	Albanian	e	e	e	gheg1238	42.317	21.3837	Indo-European	916
10	2_and	and	English	English	and	a.n.d	a n d	stan1293	53.0	-1.0	Indo-European	915
11	2_and	and	French	French	et	e	e	stan1290	48.0	2.0	Indo-European	916
12	2_and	and	German	German	und	u.n.t	u n t	stan1295	48.649	12.4676	Indo-European	915
14	2_and	and	Latin	Latin	et	e.t	e t	lati1261	41.9026	12.4502	Indo-European	916
17	3_animal	animal	Albanian	Albanian	kafshë	k.a.f.ʃ	k a f ʃ	gheg1238	42.317	21.3837	Indo-European	1018
18	3_animal	animal	English	English	animal	a.n.ə.m.ə.l	a n ə m ə l	stan1293	53.0	-1.0	Indo-European	1016
19	3_animal	animal	French	French	animal	a.n.i.m.a.l	a n i m a l	stan1290	48.0	2.0	Indo-European	1016
20	3_animal	animal	German	German	Tier	t.iː.r	t iː r	stan1295	48.649	12.4676	Indo-European	1015
22	3_animal	animal	Latin	Latin	animal	a.n.i.m.aː.l	a n i m aː l	lati1261	41.9026	12.4502	Indo-European	1016
25	4_ashes	ashes	Albanian	Albanian	hi	h.i.r	h i r	gheg1238	42.317	21.3837	Indo-European	274
26	4_ashes	ashes	English	English	ashes	a.ʃ	a ʃ	stan1293	53.0	-1.0	Indo-European	271
27	4_ashes	ashes	French	French	cendre	s.ɑ̃.d.r	s ɑ̃ d r	stan1290	48.0	2.0	Indo-European	272
28	4_ashes	ashes	German	German	Asche	a.ʃ.ə	a ʃ ə	stan1295	48.649	12.4676	Indo-European	271
30	4_ashes	ashes	Latin	Latin	cinis	k.i.n.e.r	k i n e r	lati1261	41.9026	12.4502	Indo-European	272
33	5_at	at	Albanian	Albanian	në	n.ə	n ə	gheg1238	42.317	21.3837	Indo-European	954
34	5_at	at	English	English	at	a.t	a t	stan1293	53.0	-1.0	Indo-European	952
35	5_at	at	French	French	à	a	a	stan1290	48.0	2.0	Indo-European	952
36	5_at	at	German	German	an	a.n	a n	stan1295	48.649	12.4676	Indo-European	951
38	5_at	at	Latin	Latin	ad	a.d	a d	lati1261	41.9026	12.4502	Indo-European	952
41	6_back	back	Albanian	Albanian	shpinë	ʃ.p.i.n	ʃ p i n	gheg1238	42.317	21.3837	Indo-European	369
42	6_back	back	English	English	back	b.a.k	b a k	stan1293	53.0	-1.0	Indo-European	367
43	6_back	back	French	French	dos	d.o	d o	stan1290	48.0	2.0	Indo-European	366
44	6_back	back	German	German	Rücken	r.y.k.ə.n	r y k ə n	stan1295	48.649	12.4676	Indo-European	365
46	6_back	back	Latin	Latin	tergum	t.e.r.g.o	t e r g o	lati1261	41.9026	12.4502	Indo-European	371
49	7_bad	bad	Albanian	Albanian	keq	k.e.c	k e c	gheg1238	42.317	21.3837	Indo-European	281
50	7_bad	bad	English	English	bad	b.a.d	b a d	stan1293	53.0	-1.0	Indo-European	279
51	7_bad	bad	French	French	mauvais	m.ɔ.v.ɛ.z	m ɔ v ɛ z	stan1290	48.0	2.0	Indo-European	278
52	7_bad	bad	German	German	schlecht	ʃ.l.e.x.t	ʃ l e x t	stan1295	48.649	12.4676	Indo-European	277
54	7_bad	bad	Latin	Latin	malus	m.a.l.o	m a l o	lati1261	41.9026	12.4502	Indo-European	278
57	8_bark	bark	Albanian	Albanian	shkëlbozë	ʃ.k.ə.l.b.o.z	ʃ k ə l b o z	gheg1238	42.317	21.3837	Indo-European	413
58	8_bark	bark	English	English	bark	b.ɑ.r.k	b ɑ r k	stan1293	53.0	-1.0	Indo-European	411
59	8_bark	bark	French	French	écorce	e.k.ɔ.r.s	e k ɔ r s	stan1290	48.0	2.0	Indo-European	410
60	8_bark	bark	German	German	Rinde	r.i.n.d.ə	r i n d ə	stan1295	48.649	12.4676	Indo-European	409
62	8_bark	bark	Latin	Latin	cortex	k.o.r.t.i.k	k o r t i k	lati1261	41.9026	12.4502	Indo-European	410
65	9_because	because	Albanian	Albanian	sepse	s.e.p.s.e	s e p s e	gheg1238	42.317	21.3837	Indo-European	336
