COGID	Albanian	English	French	German	Latin
560-1	v j e n				
438-1	v e ʃ				
1222-1	v e z				
353-1	p e ʃ k				
201-1	p e s ə				
20-1	k a t ə r				
503-1	p l o t				
957-1	n ə				
728-1	ɟ a t				
244-1	e m ə r				
289-1	n a t				
911-1	rː ə ɲ				
724-1	t r e				
145-1	d y				
992-1	k				
1181-1	c e n				
741-1	p a k				
1150-1	ʃ k u r t ə r				
585-1	t				
814-1	v ə r t e t				
916-1	e				
1079-1	p i				
630-1	n g u ʃ t				
343-1	v j e t ə r				
8-1	g ə r v i ʃ				
385-1	ʃ				
683-1	k ə n d o				
650-1	c i e ł				
612-1	t y m				
871-1	d r e j t				
667-1	l a				
527-1	u j				
499-1	n				
1029-1	j u				
336-1	s e p s e				
198-1	m a ð				
164-1	n u m ə r u a r				
560-2		k ə m			
438-2		ɪ r			
1222-2		ɛ g			
353-2		f ɪ ʃ			
201-2		f ai v			
20-2		f ɔ r			
503-2		f ʊ l			
957-2		ɪ n			
728-2		l ɔ ŋ			
244-2		n e m			
289-2		n ai t			
911-2		r u t			
724-2		θ r i			
145-2		t u			
992-2		h u			
706-2		ai			
106-2		f ɑ ð ə r			
741-2		f j u			
421-2		f l au ə r			
227-2		f ʊ t			
920-2		h ɑ r t			
1083-2		h ɔ r n			
1066-2		ai			
1125-2		n i			
1197-2		m ə ð ə r			
473-2		n u			
284-2		n o z			
661-2		w ə n			
701-2		r ɛ d			
315-2		r au n d			
1169-2		s ɔ l t			
1150-2		ʃ ɔ r t			
982-2		s ɪ t			
987-2		s n o			
1055-2		s t ɑ r			
1130-2		s ə k			
433-2		s ə n			
625-2		t ə ŋ			
1186-2		t u θ			
416-2		w ɑ t			
1233-2		w ɪ n d			
884-2		w ə r m			
1016-2		a n ə m ə l			
952-2		a t			
78-2		b l o			
514-2		b ə r n			
116-2		i t			
188-2		f ɑ r			
745-2		f ɛ ð ə r			
1100-2		f r u t			
47-2		h j u m ə n			
111-2		l e k			
1061-2		m au n t ə n			
24-2		n ɑ t			
232-2		n au			
671-2		r ai t			
385-2		s i			
