COGID	Albanian	English	French	German	Latin
560-1	v j ɛ̃				
438-1	ɔ r ɛ				
1222-1	œ f				
353-1	p i ʃ s ɔ̃				
201-1	s ɛ̃ n				
20-1	k a t r				
503-1	p l ɛ n				
957-1	i n				
728-1	l ɔ̃ g				
244-1	n ɔ̃ m n				
289-1	n ɥ i t				
911-1	r a s i n				
724-1	t r i				
145-1	d u				
992-1	k i				
1181-1	ʃ j n n				
741-1	p ø				
560-2		k o m			
438-2		oː r			
1222-2		ai			
353-2		f i ʃ			
201-2		f y n f			
20-2		f iː r			
503-2		f o l			
957-2		i n			
728-2		l a ŋ			
244-2		n aː m ə n			
289-2		n a x t			
911-2		v u r ts ə l			
724-2		d r ai			
145-2		ts v ai			
992-2		v eː			
706-2		au g ə			
106-2		f aː t ə r			
741-2		p au k			
421-2		b l uː m			
227-2		f uː s			
560-3			v j e n		
438-3			v r ʃ		
1222-3			v e z		
353-3			p i ʃ k		
201-3			p e n ə		
20-3			k a t ə r		
503-3			p l o t		
957-3			i n		
728-3			l a t		
244-3			n m m r		
289-3			n a t		
911-3			r ə ɲ		
724-3			t r i		
145-3			d u		
992-3			k		
1181-3			c e n		
706-3			o k u		
106-3			f a t ə r		
741-3			p a k		
421-3			f l oː s		
227-3			f e d		
560-4				k ə m	
438-4				ɪ r	
1222-4				ɛ g	
353-4				f ɪ ʃ	
201-4				f ai v	
20-4				f ɔ r	
503-4				f ʊ l	
957-4				ɪ n	
728-4				l ɔ ŋ	
244-4				n e m	
289-4				n ai t	
911-4				r u t	
724-4				θ r i	
145-4				t u	
992-4				h u	
1181-4				k a n i	
706-4				ai	
106-4				f ɑ ð ə r	
421-4				f l au ə r	
227-4				f ʊ t	
560-5					k j m
438-5					ɪ r
1222-5					ɛ g
353-5					f ɪ ʃ
201-5					f ai v
20-5					f a r
503-5					f l l
957-5					ɪ n
728-5					l a ŋ
244-5					n e m
289-5					n a t
911-5					r u t
724-5					t r i
145-5					d u
992-5					k u
1181-5					h u n d
706-5					ai
106-5					f ɑ ð ə r
741-5					p j u
421-5					f l au ə r
227-5					f ʊ t
