COGID	Albanian	English	French	German	Latin
560-1	v j e n				
438-1	v e ʃ				
1222-1	v e z				
353-1	p e ʃ k				
201-1	p e s ə				
20-1	k a t ə r				
503-1	p l o t				
957-1	n ə				
728-1	ɟ a t				
244-1	e m ə r				
289-1	n a t				
911-1	rː ə ɲ				
724-1	t r e				
145-1	d y				
992-1	k				
1181-1	c e n				
741-1	p a k				
560-2		k ə m			
438-2		ɪ r			
1222-2		ɛ g			
353-2		f ɪ ʃ			
201-2		f ai v			
20-2		f ɔ r			
503-2		f ʊ l			
957-2		ɪ n			
728-2		l ɔ ŋ			
244-2		n e m			
289-2		n ai t			
911-2		r u t			
724-2		θ r i			
145-2		t u			
992-2		h u			
706-2		ai			
106-2		f ɑ ð ə r			
741-2		f j u			
421-2		f l au ə r			
227-2		f ʊ t			
560-3			v j ɛ̃		
438-3			ɔ r ɛ j		
1222-3			œ f		
353-3			p w a s ɔ̃		
201-3			s ɛ̃ k		
20-3			k a t r		
503-3			p l ɛ n		
957-3			d ɑ̃		
728-3			l ɔ̃ g		
244-3			n ɔ̃		
289-3			n ɥ i		
911-3			r a s i n		
724-3			t r w a		
145-3			d ø		
992-3			k i		
1181-3			ʃ j ɛ n		
706-3			œ j		
106-3			p ɛ r		
741-3			p ø		
421-3			f l œ r		
227-3			p j e		
560-4				k o m	
438-4				oː r	
1222-4				ai	
353-4				f i ʃ	
201-4				f y n f	
20-4				f iː r	
503-4				f o l	
957-4				i n	
728-4				l a ŋ	
244-4				n aː m ə n	
289-4				n a x t	
911-4				v u r ts ə l	
724-4				d r ai	
145-4				ts v ai	
992-4				v eː	
1181-4				h u n d	
706-4				au g ə	
106-4				f aː t ə r	
421-4				b l uː m	
227-4				f uː s	
560-5					w e n iː
438-5					au r i
1222-5					oː w o
353-5					p i s k i
201-5					kʷ iː n kʷ e
20-5					kʷ a tː u o r
503-5					p l eː n o
957-5					i n
728-5					l o n g o
244-5					n oː m i n
289-5					n o k t
911-5					r aː d iː k
724-5					t r i
145-5					d u o
992-5					kʷ o
1181-5					k a n i
706-5					o k u l o
106-5					p a t r
741-5					p au k o
421-5					f l oː s
227-5					p e d
