COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	h a							
5-1	a a							
4-1	tʰ ɛ k							
6-1	a a ŋ							
15-1	b i							
55-1	l ɔ							
56-1	a							
60-1	ɕ i							
61-1	kʰ u ŋ							
80-1	tɕʰ ɔ k							
87-1	tɕʰ a							
86-1	pʰ a							
92-1	pʰ a							
102-1	m ɛi							
106-1	pʰ ɔ k							
108-1	d a							
107-1	pʰ a							
112-1	pʰ a m							
115-1	s							
114-1	t ɔ m							
120-1	t a							
124-1	h a							
125-1	tʰ ɔ k							
132-1	h ɛi							
131-1	r i ŋ							
136-1	p a							
134-1	kʰ a k							
137-1	a							
138-1	d ɔ k							
140-1	h a							
143-1	tɕʰ a k							
145-1	tɕʰ a m							
147-1	h ɛi							
149-1	w i t							
153-1	ɕ a							
152-1	kʰ ɛ n							
158-1	h u s							
163-1	l i							
164-1	ɲ ɔ							
167-1	pʰ a ŋ							
171-1	ɲ u ŋ							
172-1	b u k							
173-1	t ɔ n							
183-1	l ɛi							
185-1	m a							
188-1	g u n							
189-1	ts u ŋ							
193-1	h ɛi							
196-1	m au							
199-1	tɕʰ ɛi							
200-1	kʰ a n							
201-1	kʰ i							
202-1	kʰ ɔ m							
203-1	tʰ ɔ ŋ							
204-1	p ɔ							
206-1	ɲ a ŋ							
117-1	b ɔ							
146-1	kʰ i p							
219-1	h a							
218-1	kʰ i							
224-1	m a ŋ							
240-1	ɕ a k							
244-1	w a t							
255-1	t a s							
260-1	p a							
263-1	l u							
269-1	g ɛ k							
271-1	tʰ a k							
209-1	kʰ i p							
277-1	m a m							
278-1	b u ŋ							
135-1	d a							
284-1	m ɔ							
797-1	h a							
290-1	n u ŋ							
289-1	kʰ i t							
296-1	h i							
310-1	ɕ i							
319-1	i							
325-1	l ɛ							
327-1	tʰ ɛi							
331-1	k u							
337-1	b ɛ n							
338-1	ɲ i ŋ							
339-1	au							
350-1	kʰ a							
349-1	tʰ u ŋ							
357-1	tɕʰ a							
355-1	a							
363-1	p a n							
361-1	tʰ u							
365-1	ɕ a							
364-1	h ɛi							
375-1	l ɔ k							
379-1	ɕ ɛ t							
380-1	kʰ a							
396-1	j u							
400-1	m a							
405-1	d a ŋ							
404-1	ɕ ɔ m							
409-1	l ɛ k							
410-1	h k							
415-1	p a							
416-1	p a							
101-1	ɲ u ŋ							
37-1	kʰ a							
424-1	h ɛi							
434-1	tɕʰ ɛ n							
445-1	p u							
446-1	ɕ i							
451-1	t aˀ							
457-1	n a m							
456-1	p a							
464-1	pʰ i ŋ							
473-1	ɕ i							
474-1	ɔ ŋ							
479-1	ɕ ɛ n							
489-1	j i							
490-1	h au							
494-1	ɕ a							
503-1	kʰ u							
502-1	ʑ a ŋ							
235-1	l u ŋ							
519-1	l i							
523-1	ɔ k							
527-1	kʰ ɛ ŋ							
538-1	ɕ							
544-1	w a m							
850-1	h a							
554-1	b ɛi							
553-1	d u ŋ							
558-1	kʰ a m							
561-1	ɕ a							
562-1	p a							
564-1	j ɛi							
567-1	m a							
570-1	pʰ u							
575-1	u							
582-1	n a							
585-1	a t							
589-1	kʰ ɔ m							
593-1	d ɛ n							
594-1	n a ŋ							
595-1	tʰ u ŋ							
596-1	ɲ a k							
598-1	ʑ a							
599-1	d ɛ m							
602-1	ʑ ɛi							
603-1	l a p							
606-1	ɕ ɔ m							
605-1	p a							
620-1	n a							
637-1	pʰ a k							
639-1	dʑ u							
645-1	kʰ ɔ							
646-1	l ɛ ŋ							
168-1	h ɛ k							
658-1	h ɔ							
665-1	pʰ a							
668-1	h a							
677-1	t a ŋ							
75-1	k ɔ ŋ							
678-1	h a							
682-1	m ɛ n							
493-1	ʑ u							
693-1	ɕ a							
694-1	m a							
702-1	tɕʰ ɔ n							
704-1	m a							
176-1	l a							
709-1	ɕ							
710-1	t ɔ p							
714-1	m a t							
718-1	kʰ a							
719-1	tɕʰ a							
22-1	m ɔ							
723-1	tɕʰ i ŋ							
726-1	dʑ ɛ ŋ							
729-1	p ɔˀ							
730-1	t i							
739-1	pʰ l i							
740-1	b u							
741-1	kʰ ɔ p							
744-1	a							
743-1	h ɛ n							
746-1	pʰ ɔ ŋ							
748-1	tʰ ɛ k							
747-1	kʰ u							
749-1	kʰ ɛ n							
751-1	t au							
762-1	m ɛ n							
764-1	h ɛ n							
765-1	b i							
788-1	h i m							
615-1	l a k							
803-1	ɕ a							
802-1	w a k							
808-1	b a							
809-1	ts i							
819-1	d u k							
821-1	ɕ a							
820-1	p a							
828-1	ɕ a k							
827-1	p ɔ							
835-1	h a							
308-1	d u							
844-1	ʑ i							
848-1	m a							
705-1	l a							
613-1	a							
649-1	h ɛ k							
876-1	ɕ au							
878-1	j ɔ m							
889-1	h a m							
898-1	n u k							
902-1	h a ŋ							
910-1	a i							
916-1	l i							
919-1	l ɛi							
922-1	ɕ i t							
930-1	ɕ u							
933-1	kʰ i							
939-1	d ɛ k							
947-1	j ɛ n							
948-1	n u ŋ							
963-1	ʑ a							
967-1	kʰ u p							
969-1	ɕ							
970-1	kʰ ɔ k							
972-1	n a							
731-1	m ɔ							
973-1	dʑ i ŋ							
974-1	h a s							
979-1	dʑ au							
182-1	kʰ u							
993-1	n a m							
994-1	j u							
1001-1	ɕ ɔ							
1002-1	d a k							
1005-1	tɕʰ ɔ n							
1009-1	kʰ u							
1022-1	ɕ a							
1021-1	j ɔ k							
1043-1	w ɔ ŋ							
1049-1	t ɛi							
1065-1	kʰ i ŋ							
1068-1	w u							
1077-1	ɹ u ŋ							
1081-1	l a ŋ							
1084-1	h i ŋ							
1092-1	m ɛi							
1091-1	tɕʰ i							
1096-1	n a							
1097-1	g ɔ							
1102-1	ɲ ɛi							
1104-1	tʰ ɔ n							
1108-1	tɕʰ a k							
552-1	dʑ a							
1111-1	p ɛi							
1116-1	ɕ au							
722-1	kʰ u							
1141-1	j u ŋ							
1147-1	p a							
1146-1	ʑ ɔ							
1150-1	h a ŋ							
1151-1	a m							
1158-1	h a k							
1159-1	pʰ a							
1164-1	tʰ a							
1163-1	l a							
1167-1	ɕ a ŋ							
1171-1	l ɔi							
1177-1	ʑ u ɹ							
1187-1	kʰ au							
1189-1	ɲ i t							
52-1	kʰ a							
1195-1	ʑ i							
1203-1	tʰ u p							
1211-1	j u							
329-1	w a							
1217-1	m a							
72-1	kʰ a							
1218-1	tɕʰ i k							
1222-1	tɕʰ u							
1229-1	dʑ a m							
1238-1	d a ŋ							
1249-1	ɲ i							
1252-1	j a							
1254-1	n a m							
1253-1	ɕ ɔ ŋ							
1257-1	k a l							
1263-1	dʑ ɛi							
1266-1	dʑ a k							
584-1	t ɔ m							
7-1	w ɔi							
1191-1	n a ŋ							
13-1	tɕʰ a							
18-1	b i							
33-1	n a m							
74-1	t a n							
81-1	ɕ a n							
83-1	m i k							
89-1	tʰ ɔ ŋ							
90-1	ʑ a p							
123-1	tɕʰ i							
122-1	h a s							
121-1	m a							
154-1	tɕʰ u							
159-1	ɕ a							
161-1	kʰ i							
170-1	g ɛ t							
91-1	a							
181-1	a u							
186-1	dʑ ɛi							
191-1	ɕ a							
217-1	k a							
221-1	n u							
252-1	ts ɛ n							
253-1	l ɛ m							
261-1	b i							
262-1	ɔ							
281-1	ts ɛ k							
287-1	n ɛ n							
288-1	h a							
292-1	d ɔ							
297-1	kʰ ɔ k							
311-1	k i							
332-1	b a							
358-1	j ɔ ŋ							
366-1	ts ɔ							
378-1	tɕʰ a t							
382-1	m i							
392-1	dʑ ɔ k							
397-1	b a							
471-1	m a ŋ							
477-1	d a							
478-1	r u							
481-1	dʑ a p							
483-1	ʑ ɛ n							
511-1	kʰ a							
525-1	tɕʰ i							
542-1	dʑ ɔ ŋ							
638-1	n u ŋ							
656-1	ʑ u n							
657-1	d ɔ ŋ							
659-1	d a							
711-1	tɕʰ ɔ ɹ							
745-1	n a m							
818-1	tʰ ɛ k							
825-1	tʰ a							
839-1	tɕʰ a							
841-1	j a							
894-1	b u							
932-1	ɕ i							
936-1	ɹ a							
943-1	pʰ a k							
965-1	d u ŋ							
1039-1	ɕ u m							
1044-1	a							
1076-1	kʰ e							
1126-1	tʰ ɛ t							
1131-1	pʰ a							
1132-1	tɕʰ a p							
1166-1	d e p							
1175-1	ɕ i n							
944-1	t u ŋ							
1199-1	tɕʰ a ŋ							
1256-1	tɕʰ u ŋ							
1282-1	d i							
1283-1	j u							
30-1	m au							
32-1	p a							
59-1	m au							
68-1	h a							
69-1	h a ŋ							
82-1	pʰ ɛ t							
88-1	ʑ i k							
100-1	ʑ au							
116-1	w a k							
142-1	z ɛ k							
155-1	kʰ a ŋ							
268-1	tɕʰ u							
285-1	tɕʰ a m							
315-1	h u							
318-1	j u							
406-1	l a							
421-1	j ɛ t							
436-1	d i							
515-1	b u							
516-1	d ɔ p							
524-1	z u m							
545-1	pʰ a							
566-1	kʰ a k							
579-1	tɕʰ ɔ							
587-1	tɕ u p							
597-1	ʑ a							
166-1	l a k							
644-1	j ɔ ŋ							
687-1	n ɛi							
733-1	t ɔ ŋ							
738-1	tɕʰ ɛ t							
755-1	h ɛ m							
1-2		g uː						
5-2		n ɛː						
4-2		tʰ ɛ k						
6-2		n a ŋ						
15-2		dʑ i						
55-2		r ɔ						
56-2		a						
60-2		s eˀ						
61-2		kʰ y ŋ						
80-2		dʑ ɔ k						
87-2		tɕʰ ɐ						
86-2		pʰ l yː						
92-2		pʰ l a						
102-2		m ɛˀ						
106-2		pʰ u k						
108-2		d øː						
107-2		l a						
112-2		pʰ a m						
115-2		s						
114-2		t u ŋ						
120-2		t u						
124-2		a						
125-2		tʰ ɔ k						
132-2		s ə						
131-2		r i ŋ						
136-2		m ə						
134-2		kʰ ɐ k						
137-2		a						
138-2		d ɔ k						
140-2		h uː						
143-2		tɕʰ ɐ k						
145-2		tɕʰ ɔ̃ː						
147-2		h ɛː						
149-2		h i k						
153-2		s						
152-2		tɕʰ ɛ n						
158-2		h y k						
163-2		r i						
164-2		n yː						
167-2		pʰ a ŋ						
171-2		n y ŋ						
172-2		b y k						
173-2		tʰ oː						
183-2		r aː						
185-2		m uː						
188-2		kʰ i ŋ						
189-2		tɕ i ŋ						
193-2		h ɛ						
196-2		m ɐ̃ː						
199-2		tɕʰ ɛː						
200-2		kʰ ɛ n						
201-2		tɕʰ i						
202-2		kʰ						
203-2		tʰ u ŋ						
204-2		b yː						
206-2		n a n						
117-2		b yː						
146-2		tɕʰ eː						
219-2		h ə						
218-2		tɕʰ ɛː						
224-2		m ɔ̃ː						
240-2		tɕʰ ɐ k						
244-2		j ɔˀ						
255-2		n ɐ̃						
260-2		b eˀ						
263-2		r ɔː						
269-2		dʑ ɛ k						
271-2		tʰ ɐ k						
209-2		tɕʰ iˀ						
277-2		m a						
278-2		b u ŋ						
135-2		d a						
284-2		m yː						
797-2		a						
290-2		l i ŋ						
289-2		tɕ iˀ						
296-2		r iː						
310-2		s						
319-2		iː						
325-2		r ɛ						
327-2		tʰ aː						
331-2		k ɔː						
337-2		b ɛ ŋ						
338-2		n y ŋ						
339-2		ɔ̃ː						
350-2		kʰ ə						
349-2		tʰ y ŋ						
357-2		tɕʰ u						
355-2		a						
363-2		m ə						
361-2		tʰ oː						
365-2		s a ɹ						
364-2		dʑ ɛ t						
375-2		r u k						
379-2		s ɛ t						
380-2		kʰ a						
396-2		j oː						
400-2		m uː						
405-2		d a ŋ						
404-2		s ø m						
409-2		r ɛ k						
410-2		i k						
415-2		b ɛˀ						
416-2		b a						
101-2		n u ŋ						
37-2		kʰ uː						
424-2		h ɛː						
434-2		tɕʰ ɛ n						
445-2		p ə						
446-2		s iː						
451-2		t u						
457-2		n a m						
456-2		b r uː						
464-2		pʰ i ŋ						
473-2		tɕʰ iː						
474-2		a ŋ						
479-2		s ɛ n						
489-2		j ɐ						
490-2		h ɔ̃ː						
494-2		s ə						
503-2		g ə						
502-2		z a ŋ						
235-2		l y ŋ						
519-2		l iː						
523-2		u k						
