COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
184	t oː k aː + tɬ	t u w a + n	t oː k aː + ʔ	t o k a h + tɬ i	t o g a	t uː k e j		t oː k aː h ɨ + tɬ	t u k ø
14			p iː s + t i ʔ		p i s + t i k				
177	m i a k iː n	m i a k p a	m i a ʔ	m i a k	m i a k	m i j a k		m ɨ j a k	m e j a k
10	k e ʔ ts o m								k e ts o m a
22	tɬ a t i aː	t a t i	t a t i a		t a t a	t a t i a	t a t i	tɬ a + t ɨ + h a	tɬ a t i a
182	k a m + tɬ			k a m a + k					k a m a + k
28	iː ts + t i k	s e s e k	s e s eː ʔ		s e s eː k	s e s e k		s e s e + k	
12			t a n + k w a		t a m + b a	t a n + k w a		k ɨ h + ts o m a	
221	n e l w a + tɬ		n e l w a + ʔ	n e l w a + tɬ		n e l w a + t		n e l w a + tɬ	n e l w a + j u + tɬ
33	tʃ i tʃ i	tʃ u tʃ u		tʃ i tʃ i		p eː l u			tʃ iː tʃ iː + t u
17	o m i + tɬ	u m i + t	o m i + ʔ	o h m i + tɬ	o m i + t	uː m i + t	o + t	oː m ɨ + tɬ	
330	k o s + t i k		k o s t i ʔ	k o s t i k	g o s t i k			k o s + t ɨ + k	k o s t iː k
318	t o + t oː n + k i	t r uː n i k	t o t oː n i ʔ	t o t o n k i	t o t oː n i k	t u t uː n i k		t o + t oː n ɨ + k	t o t u n + k iː
320	aː + tɬ		aː ʔ + t i	a + tɬ	aː + t	aː + t	a + t	aː + tɬ	ø + ts i n + tɬ i
294	t e ʔ w aː + tɬ	t e h e	t e h	t e h w a	t e h a	t a		t ə h a	t a h a
93	k w a l + l i			k w a l i					k w a l iː
224	j a w a l + t i k		j a w a l + t i ʔ	j e w a l + t i k		j a w a l + n a h		j a w a l + t ɨ + k	j e w a l + t iː k
296	n e n e + p i l + l i	n eː n e p i l		n e n e p i l	n e n e p i l	n e n e p i l	n e n e p i l	n ɨ n ɨ + p ɨ l	n e n e p iː l
81			ts o h m i + ʔ		ts o h m i + t				
88	kx i + tɬ	i kx i	i kx i	i kx i	i kx i	kx i		ɨ kx ɨ	i kx iː
102			ts o n + k a l		ts o n + g a l	ts u n + k a l			
144				x i w i + tɬ			x u t		x iː b iː tɬ
239		b w e r a x t i			b e t a x		k w e t e x + t		
57			t e k s i s		t e k s i s	t e k s i s + t i			
284	t oː n a + t i w	r o n t i n		t o n a l + ts i n + tɬ i	t oː n a t i	t uː n a l	t u n e l		t u n a l iː
313	tɬ a n + tɬ i	t aː n	t a n + t i	tɬ a n	t a n	t a n		tɬ a n	tɬ a n + k o tʃ
94		j e k + t i	j eː k + t i		j e k + t i	j eː k		j eː k + tɬ ɨ	
125	k w aː k w a w + tɬ	k o k o i t	k w aː k w a	k w a k o w	b aː b aː				
79	i h w i + tɬ	i j + u h w i + j u		i h w i + tɬ				ɨ w ɨ	
85			t oː p o h		t oː p o h				
191	a ʔ m oː		a j aː ʔ	a h m o					a m o
