GRAPHEME,SC,PROSODY,LENGTH,NASAL,TONE_START,TONE_END,TONE_DIR
-,_,0,0,0,,,
+,_,0,0,0,,,
⁰,_,0,0,0,0,0,0
¹,_,0,0,0,1,1,0
¹¹,_,0,0,0,1,1,0
¹²,_,0,0,0,1,2,1
¹²¹,_,0,0,0,1,1,0
¹³,_,0,0,0,1,3,1
²,_,0,0,0,2,2,0
²¹,_,0,0,0,2,1,-1
²¹²,_,0,0,0,2,2,0
²¹³,_,0,0,0,2,3,1
²¹⁴,_,0,0,0,2,4,1
²²,_,0,0,0,2,2,0
²²⁴,_,0,0,0,2,4,1
²³,_,0,0,0,2,3,1
²⁴,_,0,0,0,2,4,1
²⁴²,_,0,0,0,2,2,0
²⁵,_,0,0,0,2,5,1
³,_,0,0,0,3,3,0
³¹,_,0,0,0,3,1,-1
³²,_,0,0,0,3,2,-1
³²³,_,0,0,0,3,2,-1
³³,_,0,0,0,3,3,0
³⁴,_,0,0,0,3,4,1
³⁴³,_,0,0,0,3,4,1
³⁵,_,0,0,0,3,5,1
⁴,_,0,0,0,4,4,0
⁴¹,_,0,0,0,4,1,-1
⁴¹²,_,0,0,0,4,2,-1
⁴²,_,0,0,0,4,2,-1
⁴³,_,0,0,0,4,3,-1
⁴⁴,_,0,0,0,4,4,0
⁴⁵,_,0,0,0,4,5,1
⁵,_,0,0,0,5,5,0
⁵¹,_,0,0,0,5,1,-1
⁵²,_,0,0,0,5,2,-1
⁵³,_,0,0,0,5,3,-1
⁵⁴,_,0,0,0,5,4,-1
⁵⁵,_,0,0,0,5,5,0
a,A,7,0,0,,,
á,A,7,0,0,1,5,1
ă,A,7,0,0,,,
ã,A,7,0,0,,,
a̰,A,7,0,0,,,
a̱,A,7,0,0,,,
aː,A,7,1,0,,,
ãː,A,7,1,0,,,
a̰ː,A,7,1,0,,,
a̱ː,A,7,1,0,,,
aːi,A,7,1,0,,,
aːi̯,A,7,1,0,,,
aːu,A,7,1,0,,,
aːu̯,A,7,1,0,,,
a̱ːu,A,7,1,0,,,
ae,A,7,0,0,,,
æ,E,7,0,0,,,
æ̃,E,7,0,0,,,
æ̰,E,7,0,0,,,
æː,E,7,1,0,,,
