COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a a m a									
893-1	a n a									
1285-1	n w a									
1303-1	ŋ g ɔ m a									
2197-1	z a a l a									
2828-1	i i n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	i n ɛ									
1789-1	k a l a ŋ g a									
3207-1	β ʊ l a									
3519-1	t ʊ m a									
3686-1	i m b a									
4249-1	k ʊ m i									
4451-1	β i s i									
448-1	j ɔ n i									
630-1	β ɛ l ɛ									
814-1	ŋ ɔ m b ɛ									
1216-1	k a β a									
1228-1	b l a									
1418-1	t i m a s a j a									
1475-1	k w a									
2026-1	t l ɛ									
2775-1	β ʊ m b a									
3397-1	β ɔ l a									
3826-1	z ɔ ɔ k a									
4003-1	i β a									
4040-1	g ɛ n i									
4373-1	l i m i									
4384-1	i n ɔ									
84-1	s ʊ g ʊ l u									
116-1	f i i k a									
181-1	g ɔ ɔ ŋ g ɔ									
419-1	l ɔ ɔ g a									
587-1	ɔ ɔ ŋ g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	β i i n a									
1159-1	ɲ a									
1350-1	l j a									
1374-1	n a á n ɛ a									
1396-1	z ɔ β ʊ									
1430-1	i s ʊ									
1666-1	t a á n ʊ									
1767-1	k ɔ d ʊ									
1906-1	i i ŋ g a l a									
2177-1	ŋ g a h i									
2286-1	l a									
2317-1	f ʊ β a									
2419-1	s ɛ k a									
2750-1	i z i									
3018-1	z i l a									
3275-1	k a a n a									
3441-1	s a a ŋ g a									
3464-1	β ɔ ɔ n a									
3639-1	t ɛ t ɛ m l a									
3885-1	β ʊ m ɔ									
3981-1	ɛ m a n a									
4192-1	β i m b a									
4260-1	z w a									
4350-1	l i i l ɔ									
43-1	z i m ʊ									
93-1	k ɔ n ɔ									
200-1	β i									
374-1	a l a									
459-1	l u m a									
508-1	p ɔ p u									
528-1	β i l i									
575-1	t a									
871-1	t a a m a									
1137-1	z i k ʊ									
1339-1	t w i									
1585-1	a l a									
1712-1	p ʊ l ɔ									
1872-1	p a									
2088-1	β i s a									
2166-1	u m b a									
2334-1	f i g ɔ									
2393-1	m a ɛ a									
2537-1	l ɔ m ɔ									
2665-1	i i ŋ g i									
2738-1	β ɛ l ɛ l									
2872-1	k ɔ s i									
2893-1	z i k ʊ a									
2997-1	g a á n z a									
3075-1	g ʊ l ʊ β ɛ									
3675-1	l l a ɛ l ɛ									
4028-1	w ɛ									
4137-1	m i l a									
4238-1	i s ɔ z i									
4316-1	t a t ʊ									
4429-1	a z a s a									
4440-1	β i l i									
