COGID	Albanian	English	French	German	Latin
560-1	k j m				
438-1	u r e j				
1222-1	u f ai				
353-1	f ɪ s k u				
201-1	f ai n f				
20-1	f a r ai r				
503-1	f l e n a				
957-1	e n				
728-1	l a ŋ				
244-1	n e m e n				
289-1	n a f t				
911-1	r e d i l				
724-1	t r v a				
145-1	u b				
992-1	h e				
1181-1	ʃ a n e				
741-1	p au k a				
1150-1	k u r d				
585-1	t y				
814-1	v e r				
916-1	t				
1079-1	b iː b				
630-1	e ŋ				
343-1	w i i r				
8-1	g r a l				
385-1	s u				
683-1	ʃ ə t				
650-1	s l e l				
612-1	f uː m a				
871-1	r i k t a				
667-1	l a w e				
527-1	w ai t ə r				
499-1	n u				
1029-1	w e				
560-2		w ɪ m n			
438-2		u ɪ ʃ j			
1222-2		ai f ai			
353-2		f ɪ s k			
201-2		f i n f			
20-2		f ə r			
503-2		f l o n ai			
957-2		ɪ n			
728-2		l au n g ai			
244-2		n au m ɪ n			
289-2		n o f t			
911-2		w a i n l			
724-2		t r v a			
145-2		ai uː			
992-2		k ɪ			
706-2		ɔ g l ai			
106-2		p i r			
741-2		p au k			
421-2		f l o r			
227-2		f ʊ s			
920-2		k o r			
1083-2		k ai r n ə			
1066-2		ɪ f			
1125-2		k n ʊ			
1197-2		m ɪ d r			
473-2		n au w i l			
284-2		n ɪ s ai			
661-2		ai n			
701-2		r u d			
315-2		r au d n d ai			
1169-2		s o l			
1150-2		ʃ ɛ r t ə r			
982-2		s ɪ ɔ s			
987-2		ʃ n			
1055-2		t ɛ v n a			
1130-2		s ɔ g ɛ			
433-2		s u l i j			
625-2		l ɪ n			
1186-2		ai n d			
416-2		k v			
1233-2		w ɪ n d ai			
884-2		w au r m ɪ			
1016-2		a ɛ m e l			
952-2		a d			
78-2		f l i s			
514-2		b r ɛ n l			
116-2		ɪ θ ɪ			
188-2		f r ai			
745-2		f ɪ n ə r			
1100-2		f r ɛ f d			
47-2		h m i n			
111-2		l a h ʊ			
1061-2		m au n t			
24-2		n u n f d			
232-2		n au n h			
671-2		r v f t			
385-2		s i			
945-2		s e m ɪ n			
644-2		s ʊ			
1041-2		s t e			
492-2		d ɪ n au ɪ			
1209-2		w a m			
527-2		au j t ə r			
14-2		g ɪ l v			
1-2		o l			
915-2		au n d			
271-2		a s ə			
560-3			k j m		
438-3			u r ɛ		
1222-3			u g		
353-3			f ɪ s k		
201-3			f ɑ̃ f		
20-3			f a r		
503-3			p ai l		
957-3			ɪ n		
728-3			l a ŋ		
244-3			e m ə r		
289-3			a t f		
911-3			r ɑ̃ t i l		
724-3			t r ɪ		
145-3			d u ai		
992-3			h u		
1181-3			k u n		
706-3			ɔ g u l ai		
106-3			f a t r		
741-3			f j u		
421-3			f l u s r		
227-3			f ə d		
920-3			e k ɔ r		
1083-3			h a r n ə		
1066-3			ɪ g f		
1125-3			g i		
1197-3			m ɑ̃ t r		
473-3			n ai		
284-3			e s ai		
661-3			u n		
701-3			r e b r ai		
315-3			r ø t u n		
1169-3			s o l t		
1150-3			s k u r t ɑ̃ r		
982-3			i ɛ t		
987-3			s v		
1055-3			s t ai r a		
1130-3			s ɥ g ɛ		
433-3			s u l		
585-3			t y		
625-3			u ŋ ə		
1186-3			u s		
814-3			w e r		
416-3			w ai t		
1233-3			w ɛ n t		
884-3			v u r m ɪ		
916-3			t		
1016-3			a ɑ̃ m e l		
952-3			a t		
514-3			b r a n		
1079-3			b i b		
1100-3			f r ɛ f t		
47-3			k ɔ m u		
111-3			l a k u		
1061-3			m ɔ̃ t ø		
1155-3			ʃ o l s		
343-3			w ɛ t ɛ r		
671-3			r ai t		
460-3			f u t r ɪ d		
8-3			k ɑ̃ r w ɛ s		
644-3			s u		
683-3			k ɑ̃ d		
650-3			i		
612-3			f ɥ m		
871-3			t ɛ		
1209-3			a m ɑ̃ t		
667-3			l a v e		
499-3			n e		
14-3			j e b		
1029-3			e u		
272-3			k ɑ̃ r		
560-4				v ə m n	
438-4				au eː ʃ j	
1222-4				aː g r	
353-4				p i ʃ k iː	
201-4				p i b eː	
20-4				f a r ə r	
503-4				p l aː n	
957-4				i n	
728-4				l a n g a	
244-4				i m ə r n	
289-4				n uː iː t	
911-4				r a t i n	
724-4				t r iː a	
145-4				t oː a	
992-4				h r	
1181-4				ʃ iː n	
706-4				o k r l a	
106-4				p aː t r	
421-4				f l u r	
227-4				p uː eː	
920-4				k o r t	
1083-4				h a r n ə	
1066-4				d g a	
1125-4				n eː n oː	
1197-4				m e t r	
473-4				n a v aː l	
284-4				n eː r	
661-4				ə n a	
701-4				r r b r a	
315-4				r au n t n t ai	
1169-4				ʃ a l t	
1150-4				ʃ a r t	
982-4				z eː t r	
987-4				n eː v	
1055-4				ʃ t ai r l	
1130-4				ʃ ə g eː	
433-4				ʃ au l	
585-4				t oː	
625-4				l eː ŋ	
1186-4				t eː n t	
814-4				b ə r a t	
416-4				k a	
1233-4				b eː n t a	
884-4				v aː r m iː	
78-4				b l aː	
514-4				b r uː l aː	
116-4				eː t eː	
188-4				f ai r	
745-4				f eː n ə r	
1100-4				f r oː iː	
630-4				n g ə ʃ t	
1155-4				h au l l a	
24-4				n uː n	
232-4				n au n h	
671-4				t r v a s	
460-4				p oː r iː t ai	
8-4				g ɑ̃ r b i ʃ	
385-4				ʃ iː	
945-4				z eː m eː n	
1041-4				ʃ t a n d	
492-4				t eː n au eː	
527-4				oː j s ə r	
14-4				d aː l a	
1-4				a l	
915-4				a n d	
271-4				a ʃ	
560-5					w a m n
438-5					i aː k w
1222-5					o g f
353-5					f e k s au
201-5					f a s f
20-5					f a r e r
503-5					p l a n
957-5					i n
728-5					s a ŋ
244-5					n e m e n
289-5					n o t
911-5					r a u n l
724-5					t r i
145-5					a uː ai
992-5					k i
1181-5					k oː n d
706-5					u i
