COGID	Albanian	English	French	German	Latin
560-1	k u m ə n				
438-1	u r e				
1222-1	e g u				
353-1	p i ʃ				
201-1	t y n				
20-1	k u r t				
503-1	p l y				
957-1	i n				
728-1	l au g				
244-1	n u m ə n				
289-1	n u t				
911-1	r ə r t				
724-1	ʃ r eː				
145-1	t u				
992-1	k u				
1181-1	k u n d				
741-1	p au k				
560-2		w ɑ m			
438-2		ɑ r i			
1222-2		ɑ w			
353-2		f ɑ ʃ			
201-2		w ə n			
20-2		w ə ð ə r			
503-2		p l o			
957-2		ɪ n			
728-2		ʃ au			
244-2		n au m ə n			
289-2		n u t			
911-2		w ə r t			
724-2		t r i			
145-2		t w			
992-2		w ɑ t			
706-2		au			
106-2		f ə ð ə r			
741-2		p au			
421-2		b l ɑ r			
227-2		f au			
560-3			v ɔ m i		
438-3			u r		
1222-3			u ʒ		
353-3			p ɑ̃		
201-3			k f w a		
20-3			k f a r		
503-3			p u r i		
957-3			ɑ̃		
728-3			l ɛ g		
244-3			n u m i n		
289-3			n a t		
911-3			v r ɛ		
724-3			t r w a t		
145-3			d v		
992-3			k u z		
1181-3			k u n d		
706-3			œ̃		
106-3			p w a l		
741-3			p ɔ̃		
421-3			b l u r		
227-3			p u ʒ		
560-4				v a m ə n	
438-4				v u r	
1222-4				v	
353-4				f i z h	
201-4				v i e	
20-4				v	
503-4				f l uː e	
957-4				e aː	
728-4				z u ŋ	
244-4				e u m ə n	
289-4				n oi	
911-4				r aː ts	
724-4				ʃ r e	
145-4				ts oː	
992-4				v h	
1181-4				h e e	
706-4				e h	
106-4				f e r n	
421-4				f l o z	
227-4				f uː s	
560-5					w o m o
438-5					u r e
1222-5					kʷ o
353-5					p e g s o
201-5					p e k u l a
20-5					k o r
503-5					p l o
957-5					e n o
728-5					l o n gʷ a
244-5					n o m o
289-5					n uː n
911-5					w r o
724-5					s r eː
145-5					d uː
992-5					k e
1181-5					k o n t
706-5					o g o
106-5					p e nː a
741-5					p a k u
421-5					f l o m i
227-5					p uː d
