COGID	Albanian	English	French	German	Latin
560-1	j m				
438-1	u r				
1222-1	o f				
353-1	f u ʃ				
201-1	f y				
20-1	f r				
503-1	p y l				
957-1	d				
728-1	l a ŋ g				
244-1	n u m				
289-1	n a f				
911-1	u r i				
724-1	d r u r				
145-1	d u				
992-1	k u				
1181-1	k i n				
741-1	f u				
1150-1	ʃ u r i				
585-1	d y				
814-1	u r				
916-1	t				
1079-1	b a				
630-1	ə ŋ ð ə				
343-1	j t i r				
560-2		w ɑ n			
438-2		w i			
1222-2		w f			
353-2		f v s h			
201-2		s i n			
20-2		f ɔ r			
503-2		f l o			
957-2		θ i			
728-2		l a ŋ			
244-2		n u m ə r			
289-2		n ai f			
911-2		w ə r i			
724-2		θ r v			
145-2		θ w ai			
992-2		w ɑ			
706-2		ai j ə l ai			
106-2		p a r i			
741-2		d ɑ h			
421-2		f l o			
227-2		p ʊ θ			
920-2		h ɑ r t			
1083-2		h ɑ r l			
1066-2		j f			
1125-2		j ə n			
1197-2		m a t r			
473-2		l ai v ɑ			
284-2		n ɪ s			
661-2		ɑ l			
701-2		r u j			
315-2		r au θ			
1169-2		s i l			
1150-2		s i t			
982-2		s ɪ d			
987-2		s ə v			
1055-2		s t v r			
1130-2		s au s			
433-2		s u l			
625-2		l ə ŋ ə			
1186-2		θ i n			
416-2		w ɑ			
1233-2		w ə n d			
884-2		w i r			
1016-2		ɛ l ə m a l			
952-2		ɛ			
78-2		b l i s			
514-2		b r ə l			
116-2		ɪ t ɪ			
188-2		f ɛ r h			
745-2		f ɪ n			
1100-2		f r u f			
47-2		h m i l			
111-2		l ɛ s			
1061-2		m au t ɛ			
24-2		n u f d			
232-2		n n h			
671-2		θ r f t			
560-3			a m		
438-3			u r		
1222-3			v o		
353-3			p o s k		
201-3			p a p		
20-3			p a r i		
503-3			p u		
957-3			n		
728-3			s a ŋ		
244-3			n u m i		
289-3			n a f		
911-3			v u r i		
724-3			t r o		
145-3			t u		
992-3			w		
1181-3			ʃ u n		
706-3			u ʒ i		
106-3			p ɔ t r		
741-3			f ʒ k		
421-3			p u m r		
227-3			p u		
920-3			k ɔ r t		
1083-3			k ɔ r n ɥ		
1066-3			o f		
1125-3			k o n		
1197-3			m i		
473-3			n u		
284-3			n e s		
661-3			u		
701-3			r u		
315-3			r u		
1169-3			s ɔ n		
1150-3			s u r t		
982-3			s i		
987-3			s v		
1055-3			s t ɔ r		
1130-3			s u g o		
433-3			s u n		
585-3			t y		
625-3			t i ŋ		
1186-3			t e n		
814-3			v ɑ̃ r t		
416-3			v ɔ		
1233-3			v ɑ̃ t		
884-3			v i r m		
916-3			a t		
1016-3			ɛ̃ i m e		
952-3			ɔ		
514-3			u r		
1079-3			a j b		
1100-3			p r u t		
47-3			k u m i		
111-3			k u		
1061-3			m ɔ̃ t i		
1155-3			ʃ r r		
343-3			v a t r		
671-3			r o f t		
560-4				a a n	
438-4				a r ʃ	
1222-4				a f	
353-4				f v z h	
201-4				f b eː	
20-4				f a r	
503-4				f l aː l	
957-4				n	
728-4				ʃ l k	
244-4				n m ə r	
289-4				n uː t	
911-4				r eː	
724-4				d r v	
145-4				t au	
992-4				h	
1181-4				k i n	
706-4				ai h au l	
106-4				f a l	
421-4				f l au z	
227-4				f uː t	
920-4				h ai r t	
1083-4				h au l n	
1066-4				g eː	
1125-4				g n au	
1197-4				m a n	
473-4				n au b	
284-4				n eː r	
661-4				v ə n	
701-4				l au b	
315-4				r au t	
1169-4				ʃ a l t	
1150-4				ʃ au r ts	
982-4				z aː	
987-4				z n	
1055-4				ʃ t aː l	
1130-4				z uː ʃ aː	
433-4				ʃ uː l e	
585-4				ts oː	
625-4				l ə ŋ	
1186-4				t y n	
814-4				a r t	
416-4				v a	
1233-4				v eː n t	
884-4				v aː r m	
78-4				f l eː	
514-4				b r uː l	
116-4				eː t eː	
188-4				f h au l	
745-4				f eː d ə	
1100-4				f r uː s	
630-4				n k v ʃ t	
1155-4				h au l	
24-4				n a t	
232-4				n au n h	
671-4				t r v a ts	
560-5					w u m i
438-5					u r s
1222-5					o p s
353-5					p i s k
201-5					p e w k
20-5					p u t r i d o
503-5					p u t r i d o
957-5					i n
728-5					s u ŋ
244-5					n u m e
289-5					n u t
911-5					w u t i
724-5					t r eː
145-5					t u
992-5					k u
1181-5					k oː n i
706-5					o i
106-5					p u t r i d o
741-5					f w k u
421-5					p l u w i a
227-5					p u t r i d o
920-5					k o r t i
1083-5					k o r n
1066-5					g f
1125-5					g i
1197-5					m i n t r
473-5					n u w i l
284-5					n eː s i
661-5					u n
701-5					r u t
315-5					r u n
1169-5					s a l t
982-5					s eː m i
987-5					s n u
1055-5					s t iː r
1130-5					s u k
433-5					s u l i
585-5					t e
625-5					t i ŋ u
1186-5					t i n u
814-5					w eː r i d i
416-5					w o t
1233-5					w i n
884-5					w i r m
916-5					l
1016-5					aː n e m aː l
952-5					aː t
78-5					b t eː s
1079-5					b ae
116-5					i t
188-5					p o r n
745-5					p a t i r
47-5					k m u m e
111-5					l aː k
1061-5					m ɔ̃ t aː e
630-5					n ŋ u s t
1155-5					k u t r i d o
24-5					n o t p
232-5					n u n
343-5					w w t e r
