COGID	Albanian	English	French	German	Latin
560-1	j m				
438-1	y r e				
1222-1	u g				
353-1	p e ʃ				
201-1	j y n				
20-1	t j				
503-1	p l y				
957-1	d ə n				
728-1	l j g				
244-1	n m				
289-1	n				
911-1	u ʃ i n				
724-1	ʃ				
145-1	d u				
992-1	k u				
1181-1	k u n d				
741-1	p j u				
1150-1	ʃ u r i				
585-1	d y				
814-1	u ə r				
560-2		w ɑ t			
438-2		ɑ r i			
1222-2		ɑ w			
353-2		p w s au			
201-2		w ɪ n d			
20-2		w			
503-2		f l o			
957-2		ɪ n			
728-2		s au			
244-2		n m			
289-2		n ɑ t			
911-2		w r ə t			
724-2		t r w			
145-2		t w			
992-2		w			
706-2		au j			
106-2		f ə r			
741-2		p au			
421-2		b l au m			
227-2		f j t			
920-2		h au r t			
1083-2		h ɑ r			
1066-2		j			
1125-2		j ə n			
1197-2		m ə r			
473-2		n w ə l			
284-2		n ɪ t			
661-2		s n			
701-2		r u j r			
315-2		r au θ			
1169-2		s ə l t			
1150-2		s ʊ r t			
982-2		s ə t			
987-2		s n i			
1055-2		s t ə r			
1130-2		s au			
433-2		s ɑ n t			
625-2		t ɪ ŋ			
1186-2		t ɪ n d			
560-3			v w a		
438-3			u r		
1222-3			u w		
353-3			p ɑ̃ k		
201-3			f w a		
20-3			f a r		
503-3			p u		
957-3			ɑ̃		
728-3			s a		
244-3			w u m		
289-3			o		
911-3			r e t		
724-3			s r w a t		
145-3			t v		
992-3			v		
1181-3			s ɑ̃		
706-3			w k i		
106-3			p a r		
741-3			p ɔ̃		
421-3			f l u r		
227-3			p u		
920-3			k ɔ r		
1083-3			k u r		
1066-3			w a		
1125-3			g y		
1197-3			a ʒ ɛ r		
473-3			w		
284-3			l w a		
661-3			v		
701-3			r u		
315-3			r ɔ̃		
1169-3			k u		
1150-3			g u r t		
982-3			s ɑ̃		
987-3			k w		
1055-3			k t a r		
1130-3			k u ʒ		
433-3			k u		
585-3			t u		
625-3			t ɥ a		
1186-3			t y l		
814-3			v ɛ r		
560-4				v e m	
438-4				i r e	
1222-4				i b	
353-4				f i z h	
201-4				f i z	
20-4				v	
503-4				f l aː z	
957-4				e i	
728-4				l au ŋ	
244-4				e i m	
289-4				e	
911-4				r eː	
724-4				d r e	
145-4				s oː	
992-4				v	
1181-4				h i e	
706-4				a h l	
106-4				f i r	
421-4				b l uː l	
227-4				f e s	
920-4				h au r	
1083-4				h a r n	
1066-4				g	
1125-4				n	
1197-4				m aː r	
473-4				n au v u	
284-4				n eː r	
661-4				v ə n d	
701-4				r u g	
315-4				r uː n	
1169-4				z u	
1150-4				v	
982-4				z i s	
987-4				n u g	
1055-4				ʃ t e r	
1130-4				z au h	
433-4				z i n	
585-4				t oː	
625-4				l i ŋ	
1186-4				s i n d	
814-4				v r u	
560-5					w u m e
438-5					w r e
1222-5					w p
353-5					p oː s o
201-5					p i n
20-5					p k o r
503-5					p l o
957-5					e n
728-5					s o n
244-5					a o m i n
289-5					n uː n
911-5					w r i n
724-5					t r w a t
145-5					t i
992-5					kʷ e
1181-5					k e n t o
706-5					o g a
106-5					p nː e r
741-5					p o k
421-5					f l o k u l
227-5					p u t r i d o
920-5					k o r i n
1083-5					k o r d i
1066-5					e n
1125-5					g e n t o
1197-5					m a r
473-5					n e
284-5					n aː
661-5					w n
701-5					r u d
315-5					r o n t
1169-5					s o l t
982-5					s e d e
987-5					s n eː
1055-5					s t o r
1130-5					s u nː
433-5					s u
585-5					t u
625-5					t e n u
1186-5					t eː
814-5					w r e r
