COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t i ʔ									
56-1	o m e									
96-1	a t									
99-1	a r i z a									
114-1	t o k ʔ									
115-1	o z ʔ									
133-1	t i p a n ʔ									
144-1	a t a w ʔ									
150-1	k a w									
234-1	k o m									
236-1	p i k o n									
241-1	a w i n									
249-1	i tʃ e ʔ									
1-1	w a z a ʔ									
2-1	n o m r a									
65-1	i w									
74-1	p a n a									
106-1	t o n i ʔ									
128-1	p o k ʔ									
147-1	t o k i ʔ									
231-1	p a n a w o ʔ									
232-1	p i p i w o ʔ									
239-1	n a m a k a n									
266-1	i z i m									
51-1	o w e ʔ									
97-1	m a p o m									
109-1	o p w i k									
121-1	k a p a w a ʔ									
149-1	t o k									
160-1	k i r i k									
163-1	o p e n									
167-1	p a ʔ									
207-1	m i									
259-1	t o w a ʔ									
66-1	k a r a k a w									
134-1	n i p a t									
139-1	m u k o r i									
142-1	p a t a m ʔ									
145-1	k a t a t									
148-1	z a w a n ʔ									
162-1	i w i n ʔ									
166-1	i m i ʔ									
179-1	t a									
201-1	p e									
21-1	t a n									
24-1	p k o r a n									
52-2		o t ã								
56-2		i m e								
96-2		a r a s								
99-2		o r i r a m								
114-2		t o t e s i								
115-2		i r e s i								
133-2		t i t a s i								
144-2		o r a r a s i								
150-2		t a w								
234-2		t e n								
236-2		t o t i n								
241-2		a j ã n								
249-2		o s e								
74-2		t a m ã								
93-2		t o t a r i s i								
95-2		w i t s i								
106-2		t o m e s ã n								
119-2		i w a t i s i n								
128-2		s o t e s i								
147-2		t o m e s ã								
231-2		t o m e ã								
232-2		t i t i j a								
239-2		n a m a t a n								
266-2		i t i n								
51-2		i w e								
55-2		i s a m								
97-2		n i s e n a s								
121-2		t a t i a i s i								
163-2		i t i n								
167-2		t a								
259-2		t i a								
66-2		t i r a a j								
112-2		t r a a s i								
116-2		t o t a t a s n								
125-2		t a t i m a s i i								
135-2		t i n k i								
139-2		m e n e s								
142-2		i k a r a n i s i								
148-2		p r a j i n i								
162-2		i j i n								
166-2		i n i								
179-2		p a								
52-3			t i k k a							
56-3			tʃ u m i							
96-3			p a t a t							
99-3			a t i w a m t a							
114-3			t u tʃ a j i							
115-3			t i m a t a							
133-3			k e k a m a tʃ e							
144-3			u t u w a j i							
150-3			tʃ a w							
234-3			a k e m							
236-3			k u k o m							
241-3			p a tʃ w i m							
249-3			u h i							
1-3			a m a							
2-3			a w e k m m							
65-3			a w j m							
93-3			t u k a m a j i							
95-3			a u e k a							
106-3			p u m a j i							
119-3			ɲ a t i j a							
128-3			p u tʃ a j i							
147-3			p u m a j i							
231-3			p a m a t i							
232-3			p u p i w a e							
239-3			j u m a k a m							
266-3			k u i t e k m							
3-3			e a ɲ u k k a m e							
4-3			a m a m a							
55-3			m tʃ i a m							
109-3			p o a tʃ a							
121-3			e k a a a a a a a							
149-3			tʃ e k m m							
160-3			tʃ e w i							
207-3			m e d							
112-3			t i i t k a t a tʃ e							
125-3			k a k e m a t i							
134-3			p i ʃ a tʃ e							
135-3			t u k o a m a tʃ e							
139-3			a k o m e m i tʃ e							
52-4				i t e						
56-4				u m e						
96-4				a t						
99-4				a r i						
114-4				t o k						
115-4				u r						
133-4				t i p a n						
144-4				a w a w						
150-4				k a w						
234-4				k u m						
236-4				p i k u m						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a ʒ̟ a						
2-4				o m						
65-4				i w						
74-4				p a m a						
93-4				t i a o						
95-4				i						
106-4				t u n a						
119-4				u						
128-4				p u k						
147-4				t u m e						
231-4				p a m a w o						
232-4				p i						
239-4				m a m a k a m						
266-4				i ʒ̟ i m						
3-4				o i						
4-4				w u w i						
51-4				u w e						
97-4				n a p u m						
109-4				o p e k						
121-4				k a p a w a						
149-4				t o k						
160-4				k i r i k						
163-4				u p i n						
167-4				p a						
207-4				m i						
259-4				t u w a						
66-4				t a r a k a w						
116-4				k u a k						
134-4				n i p a t						
135-4				m u m m i						
139-4				k i r i m u n k						
142-4				p a t a m						
145-4				k a t a t						
148-4				t a w a n						
162-4				i n i n						
166-4				i m i						
179-4				t a						
201-4				p e						
21-4				t a n						
24-4				w k u r a n						
52-5					a t i					
56-5					i m e					
96-5					a r a s i					
99-5					a r a j e n					
114-5					t o k o s i					
115-5					e r e s i					
133-5					t i p r a s i					
144-5					i w a r a s i					
150-5					k a w					
234-5					k o m					
236-5					p a k i n					
241-5					a w i n					
249-5					i s e					
1-5					w a t a ʔ					
2-5					w o r m					
65-5					i w i					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					s i t i					
106-5					t i n s i					
119-5					i t i s i					
128-5					o k y s i					
147-5					t i m i s i					
239-5					m a m i k a n					
266-5					i t i m					
3-5					w i r i k i a					
4-5					w a r i					
51-5					i w e ʔ					
55-5					i f i m					
97-5					e f o m a n					
109-5					i p o j e t i					
149-5					t o k i					
160-5					k y r i ʔ					
163-5					i p i r i					
167-5					p a					
207-5					m i					
259-5					t o w a ʔ					
66-5					w r a p a m					
112-5					t r a j i s i					
116-5					t o p a k i s i					
134-5					m e p a t i					
135-5					w i m i j i p e m					
139-5					m o n o s i					
142-5					y p a r a m e s i					
145-5					k a r a t i s i					
148-5					t r a w a n e s i					
162-5					i y w i n					
166-5					i m i					
179-5					t a					
201-5					p e					
21-5					w j o p e p m					
52-6						t a h i a				
56-6						tʃ a m i				
96-6						t a w i tʃ i				
99-6						i t i w a m t o a				
114-6						t k a r i				
115-6						t t a r a tʃ i				
133-6						t t i t a tʃ i s i				
144-6						t a t i w i tʃ o				
150-6						t u w				
234-6						a t a				
236-6						t i t a i				
241-6						a w i m				
249-6						a h i				
1-6						w i r a				
2-6						a i a m				
65-6						a w u tʃ i				
74-6						t a w a				
93-6						t i p a w i tʃ o				
95-6						tʃ w a i tʃ i				
106-6						t u m i tʃ o				
119-6						u w a t i tʃ i				
128-6						t a tʃ a r i				
147-6						tʃ i m i r i				
231-6						t i m a t i				
232-6						t p p i tʃ e a tʃ				
239-6						i m a k a m				
266-6						t a i t i m				
3-6						k a tʃ i t a				
4-6						w a tʃ i				
55-6						a tʃ a m				
97-6						w a tʃ tʃ tʃ a tʃ a tʃ a				
109-6						w t a a tʃ i				
160-6						t i r i t				
207-6						m i				
112-6						t a t i a t i tʃ i				
116-6						t a p a k a a i				
125-6						t i i m i tʃ o				
134-6						t i p a t i				
135-6						k a m tʃ a				
139-6						w a i m i m i tʃ i				
201-6						t tʃ a tʃ tʃ				
21-6						tʃ tʃ w a tʃ a tʃ				
24-6						tʃ tʃ tʃ i p i tʃ tʃ tʃ tʃ i				
52-7							i t o			
56-7							i i m o ʔ			
96-7							a r t d			
99-7							a r i a			
114-7							t u k			
115-7							i i r			
133-7							i t i r a m			
144-7							i u r a w			
150-7							k a w ʔ			
234-7							i k o m			
236-7							p i k u d			
241-7							a j w i n			
249-7							i h ʔ			
1-7							w a h a			
2-7							i v i m d i			
65-7							i w i d i			
74-7							p a m o			
93-7							t u p a r			
95-7							i k			
106-7							t u m o			
119-7							i i t			
128-7							s a k			
147-7							t i i			
231-7							p a m a w o			
232-7							v i p i w a			
266-7							t i j i d			
3-7							v u r i m			
4-7							w a r i d			
51-7							i w o ʔ			
55-7							u s z a m			
97-7							m u r i m			
109-7							u p n i			
121-7							k a p a w a			
149-7							t o k d			
160-7							k i r i k			
163-7							u p i d			
167-7							i i p a			
207-7							m i			
259-7							t o w a			
66-7							k u r a k a d w			
125-7							t u r u m a m o			
135-7							t i m			
142-7							i p a r a m			
145-7							k a r i t i i			
148-7							t r a w i j			
162-7							i i w i d			
166-7							i m i			
179-7							t a d			
201-7							p w i d			
21-7							t u i i t a d n			
24-7							p a k a o n			
52-8								u t a		
56-8								u m y		
96-8								i r a s		
99-8								u r u r u		
114-8								t u k		
115-8								i r		
133-8								t u t r a s y		
144-8								i r a j a y		
150-8								k a j		
234-8								k i m		
236-8								t u k y m		
241-8								u j o n		
249-8								i w i		
1-8								u t a		
2-8								y i i m o		
65-8								u w		
74-8								t a m o		
93-8								t u t a r y		
95-8								j i t		
119-8								i t		
231-8								t i m a o		
232-8								k i k i y		
239-8								m u m a t a m		
3-8								u w u k y		
4-8								u v y t		
51-8								i j i		
55-8								v a m		
109-8								i v v e s		
121-8								k u k u k a		
149-8								t u k		
163-8								i t i r a		
167-8								t a		
259-8								t u a		
66-8								k i r a k a		
112-8								t r a a s i		
116-8								t u t a t a		
125-8								k y t y m a s i		
145-8								k u v u t u y		
52-9									i t u	
56-9									i m i	
96-9									a r	
99-9									a r i k a	
114-9									t o k	
115-9									i r	
133-9									t i p r a m	
144-9									a r a w a	
150-9									k a w	
234-9									k o m	
236-9									p i k i n	
241-9									a w i n	
249-9									i ʃ i	
1-9									w a t a ʔ	
2-9									w i m	
65-9									i w	
74-9									p a n a	
93-9									t o p a r i	
